rank,name,url,jury_mean,n_votes,rationale
17,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,78.6,5,"Bellingcat's Online Investigation Toolkit provides widely accessible, open source infrastructure for investigative journalism and counter-disinformation, supporting evidence-based decisions and partic"
18,Campaign Tracker,https://www.campaigntracker.nl/en,78.4,5,"Campaign Tracker robustly advances campaign infrastructure, information warfare countermeasures, and evidence-based transparency in Dutch political advertising, with strong practitioner credibility, p"
19,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,78.3,9,"Strong community organising (C4: 12) and evidence-based decision-making (C3: 16), with cross-context transferability (C6: 6) and open-source accessibility (M6: +4). Progressive alignment (M1: +6) and "
20,Open Collective,https://opencollective.com,78,5,"Open Collective provides transparent, open source infrastructure for grassroots and mutual aid groups, with strong evidence of progressive alignment and practitioner credibility, though its limitation"
21,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,77.8,5,"Democracy Club Developer API provides open, evidence-based, and privacy-conscious election infrastructure that improves voter access and transparency, with strong practitioner credibility, progressive"
22,ODK (Open Data Kit),https://getodk.org,77.6,5,"ODK demonstrates strong campaign infrastructure, evidence-based decision support, and global scalability for civic data collection, though its primary users are professionals and NGOs rather than gras"
23,Your Priorities,https://yrpri.org,76.8,5,"Your Priorities demonstrates strong participatory democracy infrastructure and evidence of real-world impact, with moderate open source commitment, partial progressive alignment, and some practitioner"
24,Worker Info Exchange,https://www.workerinfoexchange.org,76.6,5,"Worker Info Exchange strongly advances worker agency and participatory democracy through data rights advocacy and platform accountability, scoring highly on campaign infrastructure, information warfar"
25,Decidim,https://decidim.org,76.5,24,"Decidim strongly aligns with C4 for grassroots mobilisation, C2 for safe counter-disinfo participation, and C5/C6 for GDPR-native, cross-context deployment in multiple countries, with good C1/C3 suppo"
26,One Project,https://oneproject.org,76.4,5,"One Project delivers open source infrastructure for economic democracy and participatory governance, scoring highly on campaign infrastructure, evidence-based decisions, and progressive alignment, but"
27,Principles for Public Participation in Procurement of AI,https://p4ai.net,76.2,5,"The project advances participatory democracy by embedding public input into AI procurement, demonstrates evidence-based methodology and cross-jurisdictional adoption, and earns positive modifiers for "
28,Citizen OS,https://citizenos.com/platform,75.2,5,"Citizen OS provides open-source, evidence-backed participatory democracy infrastructure with strong community governance, but shows limited reach beyond Estonia and lacks explicit focus on marginalise"
29,Relational Tech Project,https://relationaltechproject.org,74.8,5,"Relational Tech Project demonstrates strong grassroots, participatory, and open-source credentials with a clear focus on community organizing and digital rights, but lacks explicit evidence on informa"
30,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,74.6,5,"The project advances participatory AI governance and rights-based engagement with civil society and marginalized groups, scoring well on campaign infrastructure, evidence-based approaches, and open so"
31,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,74,5,"Cybersecurity for Democracy demonstrates strong impact on information warfare, campaign infrastructure, and evidence-based decision-making, with open-source outputs and policy influence, though its pr"
32,Open Supply Hub,https://opensupplyhub.org,74,5,"Open Supply Hub demonstrates strong alignment with campaign infrastructure, information transparency, and evidence-based advocacy, but its direct impact on participatory democracy and marginalised com"
33,Internet Archive Wayback Machine,https://web.archive.org,74,5,"The Internet Archive Wayback Machine provides vital open access infrastructure supporting information freedom and knowledge preservation, with strong evidence of open source practice, multi-channel ac"
34,GlobaLeaks,https://www.globaleaks.org,73.6,24,"GlobaLeaks excels in my evaluation for its core focus on countering information warfare through secure whistleblowing (C2) and privacy-by-design (C5), aligning with anti-establishment resistance to su"
35,Constitute Project,https://constituteproject.org,73.6,5,"Constitute Project provides open, accessible constitutional data supporting participatory democracy and civic data goals, with clear evidence of use by reform commissions and international organizatio"
36,Matrix,https://matrix.org,73.3,24,"High on C2 (16) for secure comms countering disinfo, C4 (10) for activist mobilisation, C5 (11) privacy-native design, and C6 (6) international use, with solid C1/C3 (8 each) for outreach tools; howev"
37,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,73.2,5,"Gapminder Worldview Upgrader scores well for evidence-based decision-making, information warfare (misinformation correction), and campaign infrastructure for public education, with additional points f"
38,Riseup,https://riseup.net,73.1,24,"Secure communication tools strongly support campaign infrastructure (C1), counter-disinformation security (C2), volunteer mobilisation (C4), privacy-by-design (C5), and global transferability (C6), al"
39,HURIDOCS,https://github.com/huridocs,73,9,"HURIDOCS strongly addresses campaign infrastructure, information management for justice, and open source evidence-based tools serving human rights defenders and marginalized communities, with addition"
40,Creative Commons,https://creativecommons.org,72.8,5,"Creative Commons advances open licensing and public interest infrastructure globally, scoring strongly on campaign infrastructure, evidence-based advocacy, and cross-context deployment, with positive "
41,The Circuit,https://thecircuit.cc,72.8,5,"The Circuit advances judicial accountability and racial equity through data-driven, public-facing investigative journalism, strongly serving information warfare and evidence-based criteria, with moder"
42,Who Targets Me Trends,https://trends.whotargets.me,72.8,5,"Who Targets Me Trends provides valuable infrastructure and transparency for digital political advertising and supports information warfare countermeasures and evidence-based decisions, but its primary"
43,LittleSis,https://littlesis.org,72.7,24,"Core strength in information warfare analysis via power mapping (C2: 18), supporting evidence-based research (C3: 16) and tangential campaign use (C1: 8), community for activists (C4: 6), open-source "
44,VFRAME,https://vframe.io,72.5,24,"I award a solid score for its strengths in C2 and C3 through AI-powered OSINT for countering war-related disinformation and enabling evidence-based human rights investigations, though it falls short i"
45,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,72,5,"The project demonstrates strong campaign infrastructure, information access, and community ownership through a global, volunteer-driven, consensus-based process, but lacks explicit evidence on informa"
46,Strike Map,https://strikemap.org,71.8,5,"Strike Map demonstrates strong alignment with participatory democracy and grassroots organizing, scoring well on campaign infrastructure, community organizing, and evidence-based approaches, with posi"
47,Open Ownership,https://www.openownership.org,71.6,5,"Open Ownership advances campaign infrastructure, information warfare resistance, and evidence-based reforms for transparency, but its primary users are institutional and there is limited evidence of d"
48,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,71.4,5,"The project robustly advances campaign infrastructure, information warfare resilience, and evidence-based transparency in political advertising, with open source standards and international reach, tho"
49,Global Fact-Check Bot (GFC),https://globalfactcheck.bot,71.4,5,"Global Fact-Check Bot demonstrates strong alignment with campaign infrastructure, information warfare, and evidence-based decision criteria, with moderate community organizing and privacy attention, a"
50,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,71.2,5,"Rahvaalgatus demonstrates strong participatory democracy infrastructure and open-source, community-driven governance, but lacks clear evidence on information warfare countermeasures, privacy/GDPR comp"
51,Alaveteli,https://alaveteli.org,71.1,24,"Strong on C2 for countering info opacity through FOI requests and C4 for citizen mobilisation, with solid C5 privacy via open source and C6 cross-context deployment in 25+ countries; as a disruption-s"
52,Aleph (OCCRP),https://aleph.occrp.org,71.0,24,"High marks on C2 for tracking disinformation in corruption data and C3 for evidence-based investigations, but docked on C1 for indirect campaign use and C5 due to centralised control; I heavily penali"
53,Participedia,https://participedia.net,70.8,9,"Participedia provides a robust, open-source, international platform documenting participatory democracy methods and cases, scoring highly on campaign infrastructure, evidence-based decision support, a"
54,Mozilla Data Collective,https://datacollective.mozillafoundation.org,70.8,5,"Mozilla Data Collective demonstrates strong alignment with participatory data practices, open source ethos, and global community service, but its early stage and limited evidence on direct campaign in"
55,Murmurations Protocol,https://murmurations.network,70.6,5,"Murmurations Protocol advances open, interoperable infrastructure for civil society collaboration and serves marginalised cooperative movements, but shows limited evidence of large-scale campaign use,"
56,The Government Says,https://thegovernmentsays.com,70.6,5,"The project provides open, real-time access to UK government press releases, supporting transparency and journalism, with strong evidence for campaign infrastructure, information access, open source s"
57,LiquidFeedback,https://liquidfeedback.com,70.5,24,"Outstanding for community organising and decision-making (C4: 12), with strong campaign infrastructure for proposals (C1: 15), evidence-based evaluation (C3: 14), moderate disinformation tracking (C2:"
58,Pursuance Project,https://pursuanceproject.org,70.4,5,"Pursuance Project demonstrates strong alignment with participatory democracy and digital rights through its open source, community-owned platform for activists and nonprofits, but lacks evidence of im"
59,Spacetube,https://spacetu.be,70.4,5,"Spacetube is a grassroots, open source group-to-group chat tool built on Matrix that directly supports organizing and participatory democracy, with strong alignment on campaign infrastructure and priv"
60,The Commons Social Change Library,https://commonslibrary.org,70.2,5,"The Commons Social Change Library provides valuable infrastructure for campaigners and activists with a strong participatory and social justice orientation, but lacks evidence of direct information wa"
61,AlgorithmWatch,https://algorithmwatch.org,69.8,24,"Excels in C2 for analysing AI-driven disinformation and C3 for evidence-based policy research, with good C6 transferability across 11 countries; however, from my anti-establishment lens, I reduce scor"
62,Wikidata,https://www.wikidata.org,69.8,24,"Wikidata offers a global open knowledge base for data-driven analysis, excelling in C3 and cross-context applicability under C6, with tangential benefits for campaigns and info warfare in C1 and C2. M"
63,Privacy Badger,https://privacybadger.org,69.8,5,"Privacy Badger robustly advances privacy and digital rights for general internet users and marginalized groups like activists and journalists, scoring highly on privacy and information warfare, but la"
64,DoGooder,https://dogooder.co,69.6,19,"This platform excels in campaign infrastructure for grassroots advocacy (C1:18) and community mobilisation (C4:11), with strong cross-context deployment (C6:6) and some evidence-based features implied"
65,Loomio,https://www.loomio.org,69.4,24,"Loomio shines for volunteer mobilisation in political movements (C4) and evidence-supported collaborative decisions (C3), with campaign utility (C1) and international applicability (C6), fitting my an"
66,ОПОРА (Opora),https://www.oporaua.org,69.0,24,"Strong on campaign infrastructure for election monitoring (C1: 16), info warfare (C2: 18), and evidence-based evaluation (C3: 16), with solid organising (C4: 10); privacy unmentioned but contextual (C"
67,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,68.6,5,"Landlord Tech Watch provides open-source, grassroots infrastructure and civic data highlighting power imbalances in housing, serving marginalized tenants and advocates, but lacks clear evidence of cam"
68,SecureDrop,https://securedrop.org,68.2,24,"Whistleblower submission system scores moderately on campaign infrastructure (C1: 9) for enabling secure communications, strong on information warfare (C2: 15) by facilitating leak-based counter-disin"
69,Open Referral UK,https://openreferraluk.org,68.2,5,"Open Referral UK advances campaign infrastructure and evidence-based decisions via open standards for community service data, but its primary users are institutional rather than grassroots, and there "
70,PolicyEngine,https://policyengine.org/uk,68.1,24,"PolicyEngine shines in evidence-based policy simulation (C3: 18) and has moderate campaign utility for advocacy (C1: 9), with good privacy via open-source (C5: 9) and strong transferability (C6: 6), b"
71,Participa (Podemos),https://github.com/podemos-info/participa,67.9,9,"Participa demonstrates clear strengths in participatory democracy, evidence-based internal voting, and open source principles, but its impact is limited to a single party context, is technologically o"
72,Humble Data Workshop,https://humbledata.org,67.8,5,"Humble Data Workshop scores well for its open-source, volunteer-driven infrastructure, strong focus on inclusion and digital literacy for marginalized groups, and international reach, but lacks eviden"
73,WhatDoTheyKnow,https://www.whatdotheyknow.com,67.1,24,"WhatDoTheyKnow facilitates freedom of information requests for evidence-based accountability, strong on C3 and community mobilisation in C4, with open source aiding transferability under C6 despite UK"
74,PlaceCal,https://github.com/geeksforsocialchange/placecal,67,9,"PlaceCal provides open-source, community-driven infrastructure for local civic participation, scoring well on campaign infrastructure and community organising, but lacks strong evidence for informatio"
75,Community Tech,https://www.communitytech.network,67,5,"Community Tech demonstrates strong alignment with participatory democracy and local community empowerment, fulfilling campaign infrastructure and community organising criteria, though there is limited"
76,Go Vocal,https://www.govocal.com,67,5,"Go Vocal demonstrates strong campaign infrastructure and participatory democracy alignment, but lacks independent evidence of impact, robust information warfare features, or clear inclusion of margina"
77,Full Fact AI,https://fullfact.org/ai,66.8,5,"Full Fact AI scores strongly on campaign infrastructure, information warfare, and evidence-based decision support for fact-checkers, but its lack of open source, primary service to professional users "
78,RxC Voice,https://github.com/radicalxchange/rxc-voice,66.8,5,"RxC Voice offers open-source, participatory democracy infrastructure leveraging innovative voting mechanisms, but lacks clear evidence of impact, inclusion, or robust information warfare countermeasur"
79,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor,66.6,5,"Open Data Editor advances civic data infrastructure and accessibility for non-technical users, scores well on privacy and open source, but lacks clear evidence of direct impact on information warfare "
80,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,66.4,5,"The project robustly supports participatory democracy and open source values (C1, C3), but shows moderate evidence for community organising and cross-context utility, with minor progressive and scalab"
81,Ethelo,https://ethelo.com,66.1,24,"This scenario analysis tool shines for evidence-based decision-making (C3:18) and community organising in deliberative settings (C4:10), with cross-context use (C6:5), but weaker on campaigns (C1:10) "
82,meet.coop,https://www.meet.coop,66.1,24,"Meet.coop stands out for surveillance-free privacy (C5) and activist organising via video (C4, C1), resonating with my anti-establishment views on cooperative alternatives to Big Tech. Progressive mis"
83,Mapped,https://mapped.commonknowledge.coop,66.0,24,"Stronger on C1 (12) for direct supporter data enrichment in campaigns and C4 (8) for organiser tools, with some C3 (8) for data-driven insights, but low on C2 (3), C5 (4), and C6 (2) as UK-bound with "
84,Parti,https://parti.xyz,65.8,24,"Parti excels in C4 for volunteer mobilisation through collaboration tools and scores well on C1 and C3 for civic outreach and surveys supporting evidence-based organising, with decent C6 transferabili"
85,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,65.8,5,"The project demonstrates strong campaign infrastructure and supports participatory democracy through open data policy adoption, but evidence for impact on information warfare, privacy/GDPR, and direct"
86,Local Intelligence Hub,https://www.localintelligencehub.com,65.8,5,"The Local Intelligence Hub scores well for campaign infrastructure, evidence-based decisions, and climate-aligned participatory democracy, but lacks clear evidence on information warfare countermeasur"
87,Who Posted What?,https://whopostedwhat.com,65.6,5,"The project provides valuable infrastructure for researchers and public interest workers to investigate disinformation and media trends on Facebook, scoring well for campaign infrastructure, informati"
88,Bonfire,https://bonfirenetworks.org,65.0,24,"Strong community organising via federated networks (C4: 12), privacy-respecting design (C5: 12), and campaign infrastructure for activists (C1: 14), with evidence support (C3: 10) and global scalabili"
89,TheyWorkForYou,https://www.theyworkforyou.com,65.0,24,"TheyWorkForYou provides accessible parliamentary data for citizens and campaigners, aiding evidence-based analysis under C3 and community engagement via C4, though UK-bound per C6 and tangential to di"
90,The Engine Room Library,https://library.theengineroom.org,65,5,"The Engine Room Library provides open, multilingual resources supporting civil society and responsible data use, scoring well on campaign infrastructure, evidence-based decision support, and privacy, "
91,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,65,5,"RxC Quadratic Voting provides an open-source, nonprofit tool for participatory democracy with clear evidence of use in organizational governance, but limited large-scale impact, modest community organ"
92,sourceAFRICA,https://sourceafrica.net,64.8,24,"The document repository supports information warfare countermeasures by enabling access for journalists and watchdogs (C2) and evidence-based investigations (C3), with community contributions (C4) and"
93,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,64.8,9,"DISARM Frameworks provides open source, internationally used infrastructure for countering disinformation with clear relevance to information warfare and evidence-based decision-making, but its primar"
94,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,64.8,5,"Abstract Wikipedia scores well for campaign infrastructure, evidence-based knowledge sharing, and open source alignment, but lacks direct evidence of participatory democracy, information warfare count"
95,OpenProcurement,https://openprocurement.io,64.1,24,"Offers tangential civil society tools (C1: 6) but strong on countering corruption disinfo (C2: 12) and data analysis (C3: 12), with high transferability (C6: 6) despite standard privacy/organizing (C5"
96,Turkopticon,https://turkopticon.ucsd.edu,64.1,24,"I score this moderately because it excels in C4 for worker-led community organising but scores low on C1, C2, and C3 due to limited direct ties to political campaigns or evidence-based decision-making"
97,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,64,9,"Groupthink advances participatory democracy and open policymaking for citizens and activists, scoring well on campaign infrastructure, community organising, and open source alignment, but is limited b"
98,Anna's Archive,https://annas-archive.pm,63.8,5,"Anna's Archive advances open access to knowledge and supports civic data and digital rights, but lacks documented evidence of campaign infrastructure, information warfare interventions, or robust comm"
99,Humanitarian Data Exchange,https://data.humdata.org,63.8,5,"The Humanitarian Data Exchange provides significant infrastructure for evidence-based humanitarian coordination and transparency, but its primary users are institutional actors rather than citizens, a"
100,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,63.8,5,"Consent-O-Matic delivers meaningful privacy infrastructure for internet users globally, scoring well on campaign infrastructure, privacy, and evidence-based practice, though its broader community orga"
101,WriteToThem,https://www.writetothem.com,63.6,24,"WriteToThem enables direct constituent communication with representatives, aiding community organising in C4 and evidence tracking via C3, though UK-specific under C6 and tangential to campaigns in C1"
102,CrowdJustice,https://www.crowdjustice.com,63.4,24,"I give this a strong score for excelling in C1 campaign infrastructure through legal crowdfunding and C4 mobilisation, directly aiding anti-establishment justice efforts without surveillance risks. Mo"
103,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,63,5,"The project provides open-access, evidence-based digital skills training for public servants internationally, scoring well on campaign infrastructure, evidence-based decisions, and scalability, but it"
104,CKAN,https://ckan.org,62.9,24,"As a data portal system, it excels in evidence-based decision making (C3) and aids information analysis (C2), with strong international deployment (C6), but minimal campaign (C1) or organising (C4) ti"
105,Coral,https://coralproject.net,62.8,24,"The project scores moderately on C2 for counter-disinformation through safer commenting and on C6 for strong cross-context deployment, but lower on C1 and C3 due to limited direct campaign or evidence"
106,Bluesky,https://bsky.app,62.6,5,"Bluesky demonstrates moderate strengths in campaign infrastructure, information warfare potential, and evidence-based transparency, but lacks clear evidence of deep community organising, privacy leade"
107,Tracka,https://yourtracka.org,62.3,24,"YourTracka monitors public projects via citizen reports, strong on community mobilisation in C4 and evidence-based tracking in C3, with Nigeria focus limiting C6 transferability. Modifiers boost for p"
108,Mastodon C,https://www.mastodonc.com,62.3,19,"Mastodon earns top marks for decentralised campaign outreach (C1), community mobilisation (C4), and privacy-focused federation countering centralised surveillance (C5), aligning with my scepticism of "
109,OpenSanctions,https://www.opensanctions.org,62.2,24,"This open-source platform excels in info warfare analysis (C2: 18) via sanctions data and supports evidence-based decisions (C3: 15) for investigators, with some campaign utility in tracking elites (C"
110,Pastecal,https://github.com/kazad/pastecal,62,5,"Pastecal provides a simple, open-source, zero-login scheduling tool that directly supports grassroots organizing and participatory democracy, but its limited evidence for information warfare, privacy,"
111,Populate Tools,https://github.com/populatetools,62,5,"Populate Tools provides open source civic engagement infrastructure with participatory democracy aims and some evidence of community and government use, but lacks clear information on evidence-based d"
112,Unpaywall Browser Extension,https://unpaywall.org/products/extension,62,5,"Unpaywall Browser Extension scores well for campaign infrastructure, information access, and open source transparency, but lacks strong evidence for participatory democracy, community organising, or d"
113,All Our Ideas,https://all-our-ideas.citizens.is,61.8,24,"Solid on evidence-based decision making via pairwise voting (C3) and community organising for citizens/policymakers (C4), with open source transferability (C6); some campaign applicability (C1 moderat"
114,Public AI Inference Utility,https://publicai.co,61.8,5,"Public AI Inference Utility scores well for open-source infrastructure and cross-context accessibility, but limited evidence of direct community organising or information warfare impact constrains its"
115,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,61.8,5,"Marks Out Of Tenancy empowers renters with participatory review tools and rights guidance, serving a marginalised community and advancing civic data, but lacks transparency on moderation, data verific"
116,Bluesky Social,https://github.com/bluesky-social,61.4,5,"Bluesky Social demonstrates strong open-source infrastructure, some community-driven governance, and decentralization, but lacks clear evidence of participatory democracy, social justice impact, or de"
117,Turbo Phonebank,https://turbophonebank.com,61.4,5,"Turbo Phonebank scores strongly on campaign infrastructure, participatory democracy, and volunteer mobilisation, but has limited evidence on information warfare, privacy, and cross-context utility; mo"
118,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,61.2,5,"The project provides open-source, research-oriented tools for analyzing platform accountability and misinformation on X/Twitter, serving journalists and advocates but with limited evidence of direct c"
119,GOV.UK Notify,https://www.notifications.service.gov.uk,61.2,5,"GOV.UK Notify provides scalable, open (partially), and cost-saving notification infrastructure for UK public sector organizations, improving citizen communication but lacking direct evidence of partic"
120,Parliament Watch Uganda,https://parliamentwatch.ug,61,5,"Parliament Watch Uganda provides citizens with access to parliamentary data and aims to bridge the gap between parliament and the public, moderately fulfilling campaign infrastructure, participatory d"
121,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,60.8,5,"The Turn2us Benefits Calculator demonstrates strong alignment with social justice and participatory access by serving low-income and marginalized communities, but lacks evidence for campaign infrastru"
122,Parallel Parliament,https://www.parallelparliament.co.uk,60.6,5,"Parallel Parliament provides valuable campaign infrastructure and civic data for multiple user types, but its for-profit model, lack of open source, and limited direct evidence of participatory democr"
123,adhocracy+,https://adhocracy.plus,60.5,24,"This project scores moderately on community organising (C4) due to its focus on participatory platforms for civil society and administrations, but low on campaign effectiveness (C1) and information wa"
124,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,60.4,5,"DOT provides open-source, evidence-based infrastructure for data integrity in public health and humanitarian contexts, with demonstrated impact in Uganda, but its primary users are institutional actor"
125,GovTrack.us,https://www.govtrack.us,60.3,24,"GovTrack.us impresses for enabling evidence-based transparency (C3) and indirect information warfare countermeasures via congressional tracking (C2), useful for anti-establishment advocates (C1), thou"
126,Diia,https://expo.diia.gov.ua,60.2,24,"Government-led digital ecosystem raises red flags for surveillance and centralisation, scoring decent on evidence-based services (C3:14) and cross-context potential (C6:3), but low on campaign mobilis"
127,Fatebook,https://fatebook.io,60.2,24,"Prediction platform supports evidence-based forecasting (C3:17) and info warfare analysis (C2:12), with international reach (C6:6) and community contributions (C4:7), but less direct for campaigns (C1"
128,Organise,https://www.organise.org.uk,60.2,24,"Excels in community organising for workers (C4: 12) and some campaign outreach (C1: 12), with evidence-based campaign features (C3: 10); info warfare low (C2: 4), privacy standard (C5: 6), UK-limited "
129,WhatGov,https://www.whatgov.co.uk,60.2,24,"WhatGov simplifies parliamentary information for citizens and researchers, supporting evidence-based decisions via C3 and indirect community tools in C4, with open source enabling moderate generalisab"
130,Metaculus,https://metaculus.com,60.1,24,"Excels in C3 (18) for evidence-based forecasting and C2 (14) informing disinfo/policy, with good C1 (10) for policy outreach and C6 (6) international; lower on C4 (5), C5 (4) due to partial privacy, b"
131,rsky,https://github.com/blacksky-algorithms/rsky,59.8,5,"rsky demonstrates strong alignment with campaign infrastructure, privacy, and open-source principles, but lacks clear evidence of direct participatory democracy impact or robust information warfare co"
132,NumFOCUS,https://numfocus.org,59.6,24,"This open science supporter aids evidence-based analysis (C3:12) and developer communities (C4:7) with strong openness (M6:+4) and scalability (M5:+6), but scores low on direct campaign (C1:6) or disi"
133,Give Food,https://www.givefood.org.uk,59.2,5,"Give Food demonstrates strong civic data infrastructure and addresses food insecurity for marginalised communities, but lacks clear evidence in the dossier for information warfare or evidence-based me"
134,ShineYourEye,https://www.shineyoureye.org,59.0,24,"Shine Your Eye supports community organising and legislative tracking for accountability in Nigeria, scoring well on C4 but lower on campaign-specific tools and privacy features under C1 and C5, with "
135,CoTech,https://coops.tech,59,5,"CoTech demonstrates strong alignment with participatory democracy and community ownership through its cooperative structure and values-driven network, but lacks clear evidence of impact on information"
136,Land Explorer,https://landexplorer.coop,59,5,"Land Explorer provides participatory mapping tools for community groups and land trusts, supporting civic data and common good land use, but lacks strong evidence for information warfare, evidence-bas"
137,OpenCRVS,https://www.opencrvs.org,58.4,24,"As a government-led open-source system for civil registration, it scores low on campaign tools (C1: 5) and info warfare (C2: 3) but higher on evidence-based decisions via data (C3: 12) and transferabi"
138,Watch Duty,https://www.watchduty.org,58.4,5,"Watch Duty advances civic data access and real-time public safety alerts via volunteer mobilisation, but lacks evidence of participatory democracy, privacy safeguards, or inclusion, meriting a moderat"
139,CommunityRule,https://communityrule.info,58.2,24,"Governance toolkit boosts community organising (C4) and privacy via open source (C5), with information warfare ties through transparent rules (C2); low on campaigns (C1) but adaptable internationally "
140,Martus,https://www.martus.org,58.0,24,"Martus scores highly for privacy-respecting secure data collection aiding human rights campaigns (C1, C5) and countering disinformation through activist reporting (C2), with global transferability (C6"
141,Idealist,https://idealist.org,57.8,24,"Strong on volunteer mobilisation and community organising (C4: 12) with global reach (C6: 6), but limited direct campaign infrastructure (C1: 10) or disinformation tools (C2: 6), moderate evidence-bas"
142,Nyaaya,https://nyaaya.org,57.8,24,"High on C2 (12) for countering legal disinfo, C3 (12) evidence-based access, C5 (9) privacy in public info, good C6 (4) adaptable model, but lower C1 (5), C4 (3) India-specific; anti-establishment val"
143,Interoperable Deliberative Tools,https://metagov.org/projects/interop,57.8,5,"Interoperable Deliberative Tools provides infrastructure for participatory democracy and supports evidence-based, scalable, multi-channel governance experimentation, but its primary users are research"
144,Remember to Vote,https://remembertovote.org.uk,57.8,5,"The project provides a grassroots SMS reminder service to support voter participation, addressing campaign infrastructure and participatory democracy, but lacks evidence of robust information warfare "
145,MapIt,https://mapit.mysociety.org,57.6,24,"This project scores moderately on C1 and C3 for its tangential utility in campaign mapping and data analysis, but low on C2, C4, and C5 due to limited direct connections to disinformation, organising,"
