"rank","name","url","score","criteria_score","modifier_adj","completeness","uncertainty","pop_risk","primary_driver","rationale"
"13","meet.coop","https://www.meet.coop","59.3","38","13","0.55","MEDIUM","NONE","modifier","Cooperative infrastructure addressing corporate surveillance of digital communications is both a genuine power asymmetry correction and an example of the kind of structural alternative that Community Tech advocates for. The cooperative governance model means members genuinely control the infrastructure. The limitation is scale: a smaller user base than mainstream platforms means the surveillance correction is available primarily to already-organized progressive communities rather than the populations most exposed to surveillance risks."
"14","Open Ownership","https://www.openownership.org","58.9","36","15","0.6","MEDIUM","NONE","modifier","Beneficial ownership transparency is a structural anti-corruption mechanism — the Senegal extractive industry case and UK Procurement Act influence demonstrate genuine policy adoption. The disparity tracking across jurisdictions with varying governance capacity shows methodological awareness. What limits the score relative to Worker Info Exchange or Organise is that the direct beneficiaries are researchers and civil society rather than the populations whose rights are affected by corrupt contracting — the accountability circuit is long and indirect."
"15","ShineYourEye","https://www.shineyoureye.org","55.7","35","13","0.45","MEDIUM","NONE","modifier","Nigerian citizens face a specific named exclusion mechanism — the absence of accessible, searchable legislative tracking infrastructure — that ShineYourEye directly corrects. The Nigerian context scores well on C5 and the focus on voter accountability in a complex civic environment demonstrates that the project is addressing a real structural gap rather than building on existing civic tech infrastructure. The critical self-examination is limited in the dossier, which prevents a higher C4 score."
"16","Community Tech","https://www.communitytech.network","55.7","35","13","0.5","MEDIUM","NONE","modifier","The core proposition — technology built with, by and for communities that is locally accountable — names the mechanism by which civic tech fails excluded communities: technology designed externally for communities rather than by them. The policy report calling on UK government to ensure technology works for everyone is evidence of advocacy beyond network-building. What I cannot fully assess from the dossier is whether the network itself operates by the principles it advocates for, which is the critical self-examination question."
"17","CrowdJustice","https://www.crowdjustice.com","55.2","33","15","0.45","MEDIUM","NONE","modifier","Access to legal challenge mechanisms is a specific named exclusion mechanism — legal action is prohibitively expensive without collective funding, and CrowdJustice directly enables people to pool resources for institutional challenges. The NHS GP surgeries case and other documented policy outcomes confirm structural impact. The for-profit model and limited self-examination of whether the platform systematically advantages well-connected campaigns over grassroots ones is the gap that limits the score."
"18","Give Food","https://www.givefood.org.uk","54.5","34","13","0.6","MEDIUM","NONE","modifier","Food insecurity data made accessible for parliamentary advocacy — the Work and Pensions Committee use — demonstrates that evidence can shift policy when it names a structural need clearly. The geographic tracking of food insecurity and disparity identification show methodological commitment beyond simple data aggregation. I note that the focus on homeowners and food banks as intermediaries means the actual food-insecure populations are several steps removed from the tool itself, which limits C3 (direct participatory engagement)."
"19","Loomio","https://www.loomio.org","53.5","34","12","0.6","MEDIUM","LOW","modifier","Loomio's cooperative ownership model and documented use in the Mamdani mayoral campaign (13,000 members, zero paid staff, binding collective decisions) demonstrates genuine democratic depth at the collaborative/empowering end of the IAP2 spectrum. The limitation is that it primarily serves already-engaged communities with organizational infrastructure — cooperatives, membership organisations, political movements — rather than populations with limited prior access to collective decision-making infrastructure."
"20","VFRAME","https://vframe.io","53.2","33","13","0.6","MEDIUM","NONE","modifier","Computer vision for war crimes documentation addresses an epistemic power asymmetry — illegal munitions use goes undocumented without technical verification tools, enabling institutional impunity. Adoption by human rights organizations and evidence use in international humanitarian law proceedings confirms structural impact. The limitation is that VFRAME operates at one remove from affected populations: it supports investigators who document abuses, but the communities bearing the cost of those abuses have no direct engagement with the tool's design."
"21","Objector.ai","https://www.objector.ai","52.9","36","9","0.55","MEDIUM","NONE","modifier","Planning objection complexity is a genuine procedural barrier that systematically excludes communities from decisions about their built environment — Alexandra's constitution notes that forms and procedures are power-distributing artefacts. Objector.ai directly addresses this. I apply M4 at moderate magnitude because an AI tool that generates planning objections without documented accountability for the quality of those objections, and without community governance, could shift the locus of legitimate participation without redistributing power."
"22","WhatDoTheyKnow","https://www.whatdotheyknow.com","50.5","34","9","0.6","LOW","MEDIUM","modifier","FOI requests are a formal legal mechanism for citizens to compel government transparency, and WhatDoTheyKnow makes those rights accessible and visible at scale. The score reflects genuine democratic empowerment. I flag medium popularity risk — this is a well-known mySociety product with strong institutional documentation — and note that the primary limitation is the FOI system's dependence on public authority compliance, which means the mechanism works best against responsive institutions and least well against resistant ones."
"23","Watch Duty","https://www.watchduty.org","45.4","29","10","0.45","MEDIUM","NONE","modifier","Real-time wildfire information addresses a genuine life-safety information asymmetry — communities in wildfire-prone areas previously had limited access to the real-time situational data that first responders held. The volunteer first responder model is a genuine form of community participation in public safety infrastructure. The score is limited by the absence of any documented self-examination of who the platform reaches and who remains excluded by digital access, and no evidence of engagement with the communities most affected by wildfire displacement."
"24","Neighbourhood Warmth","https://www.mysociety.org/climate/neighbourhood-warmth","41.8","31","4","0.45","MEDIUM","NONE","criteria","Community retrofit organizing addresses a real structural barrier — individual homeowners cannot access coordinated retrofit assessment without collective infrastructure. The team-formation model is genuinely collaborative in design intention. What limits the score is that this is prototype-stage with no published metrics, and the focus on homeowners means it addresses a relatively resource-rich population compared to renters and social housing residents who face the same or greater energy poverty challenges without the asset base to act."
"25","DoNotPay","https://www.donotpay.com","36.1","28","2","0.5","MEDIUM","NONE","modifier","AI legal assistance addresses the financial exclusion mechanism that prevents people from exercising legal rights — access to justice as a class issue. The tool directly enables contestability. I apply M4 at moderate magnitude because a commercial AI legal service in regulatory gray zones (AI-generated legal documents) without accountability frameworks creates new risks for users who may rely on incorrect advice; M1 partially offsets this for the genuine contestability enablement. The for-profit model and limited documented engagement with excluded communities limit the overall score."
"26","Deliberation & Technology (DelibTech) Network","https://www.demnext.org/projects/delibtech-network","31.7","26","0","0.4","HIGH","NONE","criteria","A practitioner network for deliberative democracy technology is genuinely useful infrastructure, but the primary beneficiaries are technologists and practitioners rather than communities whose deliberation is being designed. The score reflects the democratic depth of network governance and the importance of the domain without overstating the evidence base, which is sparse — the underdog signal for a small network project is real, but so is the uncertainty about what the network actually produces."
"27","MP Watch","https://www.mpwatch.org","30.5","25","0","0.4","HIGH","NONE","criteria","Connecting citizens with MPs on climate action addresses the accountability gap between electoral promises and actual voting records in a specific issue domain. The underdog signal for a small advocacy organization is real. The score is limited by generic beneficiary framing (citizens, campaigners, MPs) without specific analysis of which communities are most excluded from climate accountability conversations, and no documented self-examination of whether MP engagement translates into structural change."
"28","Wikidata","https://www.wikidata.org","30.5","25","0","0.55","LOW","HIGH","criteria","Wikidata is an epistemic commons that partially corrects the exclusion of non-Western and non-English knowledge from machine-readable data infrastructure. The documented awareness of coverage gaps and ongoing initiatives for Global South representation show methodological self-awareness. I flag high popularity risk — Wikidata is one of the most well-known open data projects globally, and the score is based on genuine criteria assessment rather than documentation richness; the primary limitation is that editing requires technical access that structurally excludes many communities."
"29","deliberAIde","https://www.deliberaide.com","30.1","28","-4","0.55","MEDIUM","NONE","criteria","AI-supported dialogue analysis in government consultations has genuine deliberative democracy value — structured synthesis of consultation inputs can counteract the well-documented problem of consultation responses from organized interests drowning out individual voices. I apply M4 at weak magnitude because the documented limitations (language model bias in non-English contexts, limited transparency on training data) are acknowledged but not fully resolved, and AI tools in public consultation processes require stronger governance than is documented here."
"30","Consciousness Evolution Operating System (ConSoc)","https://www.consoc.io","30.0","20","0","0.15","HIGH","NONE","criteria","The dossier for ConSoc is almost entirely blank — tagline 'Feel Symbiotic Cooperation' and civic technology practitioners as beneficiaries is all I have to work with. The constitution requires me to apply underdog protection for completeness below 0.4, and the floor of 30 applies. I cannot make any substantive scoring judgment about this project; the thin dossier is itself evidence consistent with C5 (structural underdog), but I cannot assess whether the project's design merits the score it receives by floor protection."
"31","We Live It","https://www.welivedit.ai","30.0","20","0","0.2","HIGH","NONE","criteria","AI-powered community-driven urban planning is a domain I value, but the dossier is almost empty — even the primary_users_or_beneficiaries field appears broken (individual characters rather than strings). I apply the underdog floor of 30 because completeness is below 0.4. I cannot assess whether this is a genuinely empowering tool or a commercial AI platform using community engagement language without substance; that uncertainty is captured in HIGH uncertainty and the floor score."
"32","FixMyStreet","https://www.fixmystreet.com","29.3","24","0","0.65","LOW","NONE","criteria","FixMyStreet addresses citizen-council accountability gaps in street maintenance — a real if relatively low-stakes power asymmetry. mySociety's user research tradition and observed policy influence on digital service standards are genuine. What limits the score is that the mechanism is informational (report a problem) rather than structural (guarantee a response), coverage varies significantly by local authority, and there is no evidence that the design examined which communities are systematically excluded from reporting or receiving responses."
"33","WriteToThem","https://www.writetothem.com","29.3","24","0","0.55","MEDIUM","NONE","criteria","Making it easier to contact elected representatives is a genuine democratic access mechanism, particularly for people unfamiliar with the political system. The limitation that defines the score is that WriteToThem cannot guarantee or even track responsive rates from elected officials, which means the tool improves access to the mechanism without examining whether that mechanism is itself responsive to ordinary constituents relative to organized interests."
"34","Local Intelligence Hub","https://www.localintelligencehub.com","29.3","24","0","0.5","MEDIUM","NONE","criteria","Data for climate campaigners to demonstrate public mandate to MPs is useful organizing infrastructure, but the beneficiaries — campaigners and organizers — are already-organized civic actors rather than communities excluded from political processes. The members-only restriction and variable dataset currency limit both the transparency of the tool and the ability to assess its equity impacts. The underdog signal for a small campaign-focused org is real."
"35","Internet Archive Wayback Machine","https://web.archive.org","28.0","23","0","0.7","LOW","HIGH","criteria","The Internet Archive preserves the historical record against institutional erasure, which is a genuine epistemic power asymmetry correction — governments and corporations can unpublish evidence, but the Archive provides persistent public access. I flag high popularity risk: this is one of the best-known projects in the batch, and I am not automatically discounting it, but the score reflects criteria assessment rather than documentation richness. The primary limitation is that the Archive operates as a passive repository rather than an active contestability mechanism."
"36","TheyWorkForYou","https://www.theyworkforyou.com","28.0","23","0","0.6","LOW","MEDIUM","criteria","Parliamentary transparency is a genuine democratic need and TheyWorkForYou does it well, but the primary limitation is that making voting records accessible informs citizens without giving them any mechanism to act on that information. The score reflects a solid information asymmetry correction without the structural contestability that would lift it higher. The underdog signal is limited — mySociety is an established civic tech organization with strong institutional documentation."
"37","Campaign Tracker","https://www.campaigntracker.nl/en","28.0","23","0","0.6","MEDIUM","NONE","criteria","Political advertising spend transparency in Dutch elections with documented policy impact (2023 electoral law changes) is a genuine accountability mechanism. The score reflects solid information asymmetry work with policy adoption evidence. What limits the higher bracket is that journalists and researchers benefit more directly than the voters who are the nominal targets of the advertising — the accountability circuit runs through professional intermediaries rather than directly empowering affected communities."
"38","OpenSanctions","https://www.opensanctions.org","28.0","23","0","0.55","MEDIUM","NONE","criteria","Open source sanctions and PEP data is useful investigative infrastructure, but the primary beneficiaries — compliance professionals, financial institutions, investigators — are professional and institutional actors rather than populations affected by the sanctioned individuals' actions. The documented LLM error issues and human moderation requirements show methodological honesty. The score reflects the genuine civic value of the data without the community-centring that would score it higher."
"39","Mastodon C","https://www.mastodonc.com","26.8","22","0","0.5","MEDIUM","NONE","criteria","Data science and analytics consultancy for open data and civic technology is infrastructure-level work that enables other accountability mechanisms. The documented policy contributions (UK open data standards, EU data governance) show genuine impact. The score is limited by the professional service model — the direct beneficiaries are government and civil society clients, and the equity impact depends entirely on what those clients do with the analysis."
"40","Who Posted What?","https://whopostedwhat.com","26.8","22","0","0.5","MEDIUM","NONE","criteria","A grassroots investigative tool enabling fact-checkers to search Facebook content for public interest work — the individual authorship and access restrictions demonstrate both structural disadvantage (high C5) and methodological care (access limited to verified public interest workers). The score is primarily driven by the underdog signal and the genuine epistemic accountability function, limited by the fact that it primarily serves professional researchers rather than the communities affected by disinformation."
"41","Violation Tracker UK","https://violationtrackeruk.goodjobsfirst.org","24.4","20","0","0.4","HIGH","NONE","criteria","A database of corporate violations and enforcement actions is useful accountability infrastructure, but the thin dossier (JS required to access the database) limits what I can assess. The information is primarily useful to researchers and journalists rather than the workers or communities harmed by the violations. The score reflects the genuine civic value without evidence of community-centring or critical self-examination."
"42","Go Vocal","https://www.govocal.com","23.0","23","-5","0.45","HIGH","NONE","criteria","A commercial government engagement platform with some documentation of community consultation outcomes. I apply M4 at moderate magnitude because the proprietary algorithm for AI analysis lacks transparency, which is precisely the governance gap I look for in tools used to synthesize public participation data — the translation from community input to policy recommendation is hidden inside a commercial product. Limited independent evaluation compounds this concern."
"43","MyActionCenter","https://www.myaction.center","22.0","18","0","0.4","HIGH","NONE","criteria","Activist coordination tools for organized campaigns have value in the democratic infrastructure, but the primary users — nonprofits and political organizations — are already-organized actors, and the tool requires NationBuilder platform access with associated fees. The score reflects the democratic involvement function without the excluded-population centring or critical self-examination that would score it higher."
"44","Parallel Parliament","https://www.parallelparliament.co.uk","22.0","18","0","0.45","HIGH","NONE","criteria","Parliamentary tracking with live transcripts and bill amendment tracking is useful civic infrastructure for researchers and policy professionals. The underdog signal for a small commercial startup is real. The primary limitation is that the beneficiaries are professionals and researchers — campaigners and parliamentarians — rather than communities excluded from political processes, and there is no documented engagement with how the tool reaches or fails to reach ordinary citizens."
"45","WhatGov","https://www.whatgov.co.uk","22.0","18","0","0.35","HIGH","NONE","criteria","Parliament, Clearly — a useful simplification layer on parliamentary information, but the sparse dossier and generic citizen framing prevent a higher score. The tool informs rather than empowers, and there is no documented engagement with how it reaches communities excluded from political processes by literacy, language, or digital access barriers."
"46","Public Editor","https://www.publiceditor.io","22.0","18","0","0.35","HIGH","NONE","criteria","Collaborative fact-checking has epistemic accountability value, but the sparse dossier prevents a full assessment. The beneficiaries (journalists, media organizations, readers) are primarily professional and engaged civic actors. There is no evidence of community engagement with the tool's design or critical examination of whether collaborative fact-checking redistributes epistemic authority or consolidates it in media institutions."
"47","Wikum","https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization","22.0","18","0","0.4","HIGH","NONE","criteria","Collective summarization of large online discussions is an interesting deliberative infrastructure tool — it addresses the participation barriers created by high-volume online discourse. The academic context limits the evidence base for real-world deployment and community impact. The score reflects genuine democratic depth potential (community members collectively synthesize discussions) without evidence that this has been deployed at scale with excluded populations."
"48","Plinth","https://www.plinth.org.uk","20.7","17","0","0.5","MEDIUM","NONE","criteria","AI platform for measuring community impact and managing government programs has genuine infrastructure value for charities and local authorities. The HAF programme management use-case is concrete. What limits the score is that the direct beneficiaries are organizations (charities, funders) rather than communities, and there is no evidence that the platform critically examines whether its measurement frameworks capture what matters to the communities being served or what matters to funders."
"49","Vote for Policies","https://voteforpolicies.org.uk","20.7","17","0","0.4","HIGH","NONE","criteria","Blind policy comparison for voters is a genuinely useful epistemic tool for reducing tribal voting. The project is now discontinued after the 2024 election, which limits both its current relevance and the evidence base. The underdog signal for a nonprofit tool that shut down is real. The primary limitation is that informing voters without examining which communities have least access to policy information, or why voters remain tribal despite knowing policy positions, leaves the structural question unanswered."
"50","GovTrack.us","https://www.govtrack.us","20.7","17","0","0.6","LOW","NONE","criteria","US congressional tracking with voting records and legislative data is a solid transparency platform, but the beneficiaries — citizens, journalists, advocates — are primarily already-engaged civic actors. The score reflects information asymmetry correction without structural power redistribution or community-centring. The documentation of dependent on external data sources and incomplete historical data shows methodological honesty."
"51","OpenOrigins","https://www.openorigins.com","19.5","16","0","0.35","HIGH","NONE","criteria","Content authentication to combat deepfakes addresses a real epistemic power asymmetry in visual media. The sparse dossier prevents a full assessment. The primary beneficiaries are journalists and media organizations; there is no evidence of engagement with communities most affected by deepfake-based disinformation, and no self-examination of whether authentication tools centralize verification authority in institutions."
"52","Agencies for Good","https://www.agenciesforgood.org","19.5","16","0","0.4","HIGH","NONE","criteria","A network of tech-for-good agencies and freelancers is infrastructure for civic technology supply rather than demand — it helps build better tools rather than directly addressing power asymmetries. The cooperative governance model is a genuine structural signal. The score is limited by the professional-sector beneficiaries and the absence of evidence about what the network actually produces in terms of community benefit."
"53","Shared Digital Guides","https://www.shareddigitalguides.org.uk","19.5","16","0","0.4","HIGH","NONE","criteria","Guides for nonprofits to use digital tools for social good has infrastructure value for the charity sector. The score is limited by the professional-sector focus and acknowledged absence of a formal evidence base for impact. The content quality depends on contributing organizations, which means the guides may reflect the digital literacy of better-resourced charities rather than the needs of smaller, community-led organizations."
"54","Discourse","https://www.discourse.org","18.3","15","0","0.5","MEDIUM","NONE","criteria","Forum software with community management features. The primary beneficiaries are tech companies and product teams, not communities facing structural exclusion. Discourse enables conversation but is primarily serving resource-rich organizations — the documented challenges around moderation at scale and technical expertise requirements mean it is less accessible to community organizations with limited technical capacity."
"55","Viewpoints","https://viewpoints.xyz","17.7","17","-3","0.4","HIGH","NONE","criteria","AI-powered polls and consensus building for meetings and events. The core function — structured opinion aggregation — has democratic participation potential, but the absence of any published research on poll accuracy or bias, combined with undocumented AI methodology, makes it impossible to assess whether the consensus mechanisms are actually representative or reflect algorithmic artifacts. I apply M6 weakly for the technical framing that doesn't engage with governance dimensions."
"56","MP Twitter Bios","https://www.mptwitterbios.co.uk","15.9","13","0","0.4","HIGH","NONE","criteria","A narrow academic research tool examining MP self-presentation on Twitter — whether MPs mention their party affiliation. This is interesting research but has limited structural impact on power asymmetries or excluded populations. The academic context and snapshot-in-time methodology limit scope. The underdog signal for an academic project with a thin dossier is real but the domain is too narrow to score higher."
"57","Gapminder Worldview Upgrader","https://upgrader.gapminder.org","15.5","16","-4","0.65","MEDIUM","NONE","criteria","Correcting misconceptions about global development is epistemically valuable but raises the question I bring from SKEPSIS: whose misconceptions are being corrected, towards whose framing of development? The adoption by Fortune 500 companies and educational institutions suggests this tool may function more as legitimacy infrastructure for development sector actors than as structural power redistribution for communities represented in the data. I apply M6 because the technical quiz format frames attitude change as a neutral educational intervention without examining the governance of what counts as a corrected worldview."
"58","GOV.UK Forms","https://www.forms.service.gov.uk","15.5","16","-4","0.55","MEDIUM","NONE","criteria","Government form creation tools have genuine accessibility value — WCAG compliance reduces barriers for disabled users. However, forms are power-distributing artefacts, and a tool that makes it easier to create forms without examining how those forms distribute access is doing implicit power work while claiming technical neutrality. I apply M6 because the design is framed as a technical efficiency improvement without any documented engagement with how form design choices affect which communities can successfully navigate government services."
"59","The Guide to Major Trusts 2025/26","https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/","14.6","12","0","0.35","HIGH","NONE","criteria","A directory of grant-makers for charities and nonprofits is useful sector infrastructure, but it addresses an information asymmetry within the professional nonprofit sector rather than a power asymmetry affecting communities. The beneficiaries are fundraisers and budget-holders, not the communities served by funded organisations. The score reflects the limited structural relevance to my evaluative framework."
"60","Teaching Public Service in the Digital Age","https://www.teachingpublicservice.digital","14.6","12","0","0.3","HIGH","NONE","criteria","Open-access training for public servants to develop digital-era skills has systemic value — better-trained public servants may design more equitable services. But the direct beneficiaries are educators and public officials, and there is no documented engagement with whether the curriculum addresses how digital service design can exclude communities or examines power distribution through forms and procedures."
"61","GOV.UK Pay","https://www.payments.service.gov.uk","13.4","11","0","0.5","MEDIUM","NONE","criteria","Payment processing infrastructure for public services reduces costs and standardizes citizen transactions with government. The score reflects functional public sector infrastructure without structural power asymmetry correction — the beneficiaries are primarily government agencies, and there is no documented examination of how payment systems exclude populations without bank accounts or digital access."
"62","Papertree","https://www.papertree.earth","13.4","11","0","0.3","HIGH","NONE","criteria","Tree planting data transparency for climate accountability — a sparse dossier prevents full assessment. The score reflects the limited evidence of community engagement, structural power correction, or critical self-examination. Climate accountability tools that primarily serve organizations and researchers without examining the communities most affected by deforestation score limited on my C2 criteria."
"63","Prolific","https://www.prolific.com","13.1","14","-4","0.55","MEDIUM","NONE","criteria","Research data collection infrastructure with some documented use in AI governance (Collective Intelligence Project). I apply M4 weakly because the aggregation of participant data for AI training research involves governance questions about whose voices are collected, how, and for whom — the self-selection bias and cost barriers acknowledged in the limitations confirm that the participant pool is not representative of the populations most affected by AI governance decisions."
"64","Polimorphic","https://www.polimorphic.com","13.0","18","-9","0.45","HIGH","NONE","modifier","AI platform for government operations and resident engagement with case study claims (50% call reduction in Littleton, CO) but no independently verified methodology. I apply both M4 (AI in public services without accountability) and M6 (technical framing bypassing governance) because the proprietary platform obscures how AI is translating resident input into government decisions, and the framing as 'service-first government operations' treats what is fundamentally a political question (which services, for whom) as a technical efficiency problem."
"65","PoliMonitor","https://www.polimonitor.com","12.2","10","0","0.35","HIGH","NONE","criteria","Political monitoring for public affairs professionals is a service for organizations that want to track political discussions — essentially B2B political intelligence. The beneficiaries are communications and public affairs professionals, not communities excluded from political processes. The underdog signal for a small commercial tool is real but insufficient to compensate for the limited structural relevance."
"66","GOV.UK Service Manual","https://www.gov.uk/service-manual","11.6","12","-3","0.55","MEDIUM","NONE","criteria","The Service Standard and Service Manual establish UK government digital service quality norms — including accessibility and user-centred design. These are genuine equity-relevant standards. I apply M6 weakly because the manual frames good service design as primarily a technical standard ('meeting the 14 points') without examining how design choices distribute access across different communities or how the procurement and political context shapes what services get built for whom."
"67","GOV.UK Notify","https://www.notifications.service.gov.uk","11.0","9","0","0.5","MEDIUM","NONE","criteria","Government notification infrastructure — emails, texts, letters — is functional public sector tooling. The score reflects its purely informational function: Notify enables government agencies to communicate decisions to citizens without providing any mechanism for citizens to contest those decisions. The one-directional flow is itself a power distribution choice that the tool does not examine."
"68","oTree","https://www.otree.org","11.0","9","0","0.4","HIGH","NONE","criteria","Open-source behavioral research infrastructure for economists and psychologists. The civic relevance is indirect — research on voter behavior and public goods may inform policy. The direct beneficiaries are academics, not communities. There is no evidence of engagement with communities, and the academic open-source model with no community ownership or governance limits the democratic depth score."
"69","Urbit","https://urbit.org","10.6","12","-4","0.5","MEDIUM","NONE","criteria","Personal server operating system for digital self-sovereignty — technically interesting but the beneficiaries are developers and technology enthusiasts who require significant technical expertise to use it. The documented limitation ('self-hosting requires technical expertise, not yet as simple as intended') confirms that the project addresses digital sovereignty for already technically privileged users. I apply M6 because the technical framing of sovereignty does not engage with the governance dimensions of who can achieve it or what structural conditions would make it accessible."
"70","GOV.UK One Login","https://www.sign-in.service.gov.uk","10.2","19","-13","0.6","MEDIUM","NONE","modifier","Centralized government identity authentication raises concerns that dominate the positive access-enabling function. I apply M4 strongly because centralizing government identity data across all services substantially increases institutional surveillance capacity without commensurate contestability rights for citizens, and I apply M2 partially because 'streamlined access' framing obscures how the platform increases government visibility into citizen service use. The acknowledged digital divide and accessibility challenges compound this — the mechanism that claims to reduce access barriers may simultaneously increase profiling of those who do use it."
"71","WorkInCharities","https://www.workincharities.co.uk","9.8","8","0","0.3","HIGH","NONE","criteria","A job board for the charity sector — useful professional infrastructure but with no structural relevance to power asymmetries, excluded populations, or democratic participation. The score reflects the limited civic technology dimensions in the dossier."
"72","GovWise","https://www.govwise.ai/en","8.0","9","-3","0.3","HIGH","NONE","criteria","AI procurement tender screening for businesses — B2B commercial tool for organizations participating in public procurement. The beneficiaries are businesses and procurement teams, not communities affected by public spending decisions. I apply M6 weakly because the framing of procurement as an AI efficiency problem obscures the governance question of which businesses get access to public contracts and how procurement decisions affect public services."
