rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
13,Open Collective,https://opencollective.com,51.6,39,4,0.6,MEDIUM,HIGH,criteria,Open Collective's transition to OFiCo collective governance and its financial infrastructure for mutual aid groups and grassroots organisations demonstrates genuine attention to the power dynamics of civic finance. The medium C4 score reflects a gap: the dossier doesn't document whether the platform has examined how its fiscal hosting model might reproduce geographic and jurisdictional inequalities rather than correcting them.
14,Privacy Badger,https://privacybadger.org,51.1,37,6,0.7,LOW,HIGH,criteria,Privacy Badger addresses a structural surveillance power asymmetry — giving users technical sovereignty over third-party tracking — and its documented response to Google's vulnerability disclosure (changing from heuristic to pre-trained blocking) is exactly the kind of self-examination of technical assumptions my constitution rewards at C4. The score is constrained by generic beneficiary framing and limited lifecycle engagement with affected communities beyond the developer/user relationship.
15,Relational Tech Project,https://relationaltechproject.org,50.3,38,4,0.5,HIGH,NONE,criteria,The by-with-and-for-neighbors mission makes explicit a participatory design ethic that most civic tech projects claim but few document; the grassroots/indie status and absence of professional communications infrastructure is itself evidence of structural disadvantage consistent with C5. The thin dossier is the main constraint — I cannot fully assess whether the participatory ethos translates into documented multi-stage engagement or specific named excluded populations served.
16,Right To Know,https://right-to-know.org,47.7,35,5,0.6,MEDIUM,NONE,criteria,Right To Know gives communities a toolkit to discover environmental health hazards and has documented environmental justice framing and disparity tracking — naming both the population (environmental justice advocates) and a class of excluded knowledge (community awareness of local hazards). What stops it scoring higher is limited evidence of lifecycle engagement with communities in design and limited formal contestability mechanisms beyond information provision.
17,Public AI Inference Utility,https://publicai.co/,45.0,32,6,0.5,HIGH,NONE,criteria,"Public AI addresses the most acute AI power asymmetry in current civic tech: the concentration of inference infrastructure in a handful of commercial entities. Being very new (September 2025) with limited track record means governance and participatory engagement evidence is thin, which is why I flag high uncertainty; the M1 modifier applies because the theory of correction is structural and the Hugging Face partnership is a real mechanism."
18,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,44.5,34,3,0.5,HIGH,NONE,criteria,"Beckton's conditional-commitment mechanism — only charging when critical mass is achieved — is a genuinely clever inversion of the free-rider problem for trade unions and civic groups, and the prototype rule applies because the democratic empowerment theory is described rather than just claimed. The honest never-quite-finished acknowledgement is the kind of reflexivity I value; the thin evidence base and prototype status keep the certainty low."
19,Open Digital Planning,https://opendigitalplanning.org/,44.2,33,4,0.7,LOW,NONE,criteria,"Open Digital Planning's council-of-councils governance model and deployment across 100+ Local Planning Authorities demonstrates genuine multi-stage engagement at the infrastructure level, and digitising planning creates real accessibility gains for residents. What holds it back is that the design process centres planning authorities rather than residents — planning consultation has historically been dominated by those with time and literacy to engage, a structural exclusion the dossier doesn't examine."
20,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,44.0,32,5,0.6,MEDIUM,NONE,criteria,"Quadratic voting's redistribution of voting power toward intensity of preference is a genuine structural intervention in collective decision-making, and RadicalXChange's explicit theory of democratic mechanism earns C6 credit. The generic beneficiary framing and absence of specific excluded-population engagement limit C2; this is a tool looking for contexts of structural exclusion rather than one built within them."
21,sourceAFRICA,https://sourceafrica.net,42.8,31,5,0.7,MEDIUM,NONE,criteria,"sourceAFRICA provides infrastructure for African investigative journalism — an epistemic power correction in a continent where press freedom and institutional accountability are structurally constrained. The ANCIR/Code for Africa governance gives it institutional legitimacy, but it sits at the informs end of democratic depth: it supports watchdog journalism rather than empowering affected communities to act on the documents themselves."
22,Open Heart Mind (OHM),https://openheartmind.org,40.2,33,0,0.6,MEDIUM,NONE,criteria,"Open Heart Mind's peer evaluation platform and cooperative structure demonstrate genuine participatory methodology and collective governance; treating peer reviews as first-class contributions is an interesting inversion of standard academic valuation hierarchies. The early-stage status, small pilot evidence base, and thin connection to named excluded populations stop it from ranking higher — this is a promising method looking for harder problems."
23,PlanIT,https://planit.org.uk,40.2,33,0,0.6,MEDIUM,NONE,criteria,"PlanIT's deployment across 15+ UK councils for formal planning consultations gives it genuine democratic depth at the consults level, which is better than most transparency tools in this batch. The website being offline in 2026 and the absence of self-examination of who actually participates in planning consultations — generally not the most excluded communities — limits both C4 and confidence in continued impact."
24,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,40.2,33,0,0.3,HIGH,NONE,criteria,"The Plunkett Foundation's community asset transfer platform is doing work directly relevant to power asymmetries in land and property — giving communities mechanisms to fight back against asset disposal. The thin dossier limits my scoring confidence significantly; based on Plunkett's track record in community asset transfer, I suspect this project scores higher than the documentation allows me to demonstrate."
25,PolicyEngine,https://policyengine.org/uk,39.6,30,3,0.8,LOW,HIGH,criteria,"PolicyEngine's open-source distributional analysis creates genuine epistemic equity in policy debate — making regressive or progressive fiscal impacts legible to advocacy organisations without economics departments. The distributional impact analysis qualifies for M7 credit. What it doesn't do is name whose power position changes, involve excluded communities in designing the analysis, or examine whether its framing of policy as technically simulatable obscures the political choices embedded in model assumptions."
26,Open Referral UK,https://openreferraluk.org,39.0,32,0,0.7,MEDIUM,NONE,criteria,"Open Referral UK's data standard directly addresses the fragmentation that prevents vulnerable people from finding community services — a structural information asymmetry with real consequences for people in social care. The steering group includes community representation and CDDO endorsement gives it policy traction; the score is constrained by limited evidence of direct engagement with the residents who need the services most, whose experience should be driving standard design."
27,Snowdrift.coop,https://snowdrift.coop,37.8,31,0,0.6,MEDIUM,NONE,criteria,"Snowdrift's crowdmatching mechanism is an attempt to solve the collective action problem in funding public goods — a structural intervention, not just a donation platform. The cooperative structure and honest alpha-stage documentation show genuine epistemic humility. The beneficiary population (open source developers, digital commons creators) is not structurally excluded in the sense this constitution rewards most highly."
28,Parliament Watch Uganda,https://parliamentwatch.ug/,36.6,30,0,0.5,HIGH,NONE,criteria,"Parliament Watch Uganda operates in a context of constrained democratic accountability — Ugandan parliamentary transparency is a higher-stakes intervention than its equivalents in consolidated democracies, and the C5 score reflects genuine structural disadvantage as a civil society project in a politically restricted environment. The dossier's thin outcome methodology prevents me from assessing whether the transparency actually feeds back into democratic participation for ordinary Ugandans."
29,The Accountability Project,https://publicaccountability.org,35.5,25,5,0.6,MEDIUM,NONE,modifier,The Accountability Project's 1.9 billion public records database provides an epistemic power correction for investigative journalists exposing official misconduct — the scale alone is remarkable. What limits the score substantially is that this serves researchers and journalists rather than the communities whose lives are documented in those records; there is no mechanism for affected people to engage with or contest the data about themselves.
30,PolicyKit,https://policykit.org,35.4,29,0,0.6,MEDIUM,NONE,criteria,"PolicyKit's empowering-online-communities-to-evolve-their-own-governance framing positions it at the collaborates end of the IAP2 spectrum, which is the right democratic depth direction. The academic research context means limited evidence of deployment in communities facing structural exclusion; the tool is currently positioned for online community management rather than the harder governance problems I care about most."
31,Pursuance Project,https://pursuanceproject.org,34.1,28,0,0.5,MEDIUM,NONE,criteria,Pursuance provides secure collaborative infrastructure for activists and journalists — an enabling layer rather than a power correction mechanism in itself. The free open-source provision and focus on civil society rather than institutional actors gives it grassroots credibility. The absence of any documentation of what it has been used for or who uses it makes substantive assessment impossible.
32,Who Targets Me Trends,https://trends.whotargets.me,34.1,28,0,0.6,MEDIUM,NONE,criteria,Who Targets Me Trends makes political advertising targeting legible to researchers and election monitors across 60+ countries — a transparency function for digital political power. The score is constrained by the informs level democratic depth (researchers can see the targeting but affected citizens cannot contest it) and the lack of specific excluded-population framing in how political advertising harms are distributed.
33,Objector.ai,https://objector.ai,33.8,31,-4,0.5,MEDIUM,NONE,criteria,"Objector.ai lowers the barrier to filing formal planning objections, which is genuinely useful for communities that find planning bureaucracy intimidating, and there is documented evidence of community empowerment (Moylgrove Community). The M6 reduction applies because the AI-generated letter approach treats planning objection as a technical drafting problem rather than examining how planning systems systematically exclude certain community voices regardless of how well-drafted their objections are."
34,Participedia,https://participedia.net,31.7,26,0,0.7,MEDIUM,MEDIUM,criteria,"Participedia's crowdsourced documentation of 1,800+ participatory democracy cases creates a genuinely useful epistemic resource for practitioners, and the multi-university governance demonstrates some participatory process. The communities documented in the cases are rarely the same communities contributing documentation — the knowledge infrastructure runs through researchers and practitioners, not the participants themselves."
35,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,31.7,26,0,0.5,HIGH,NONE,criteria,"The Society for Hopeful Technologists is creating solidarity infrastructure for tech workers who want to push back against harmful deployments — something I think matters. The pre-launch status and informal network structure limit evidence-based scoring significantly; I note it as genuinely underdog-positioned (earning C5 credit), but there is insufficient evidence to score the other criteria with confidence."
36,Unpaywall Browser Extension,https://unpaywall.org/products/extension,31.7,26,0,0.6,MEDIUM,NONE,criteria,"Unpaywall reduces the barrier to accessing legally available open access papers for researchers who lack institutional subscriptions — a genuine if modest epistemic power correction. The beneficiary population includes students and citizens from under-resourced institutions, which earns C2 credit. The tool is an access facilitator rather than a mechanism that changes who produces or controls knowledge."
37,Open Council Network,https://opencouncil.network,30.5,25,0,0.6,MEDIUM,NONE,criteria,"Open Council Network tracks local government decision-making and produces weekly summaries — a useful transparency function for citizens and campaigners wanting to monitor their councils. The community-led governance with advisory board gives it more democratic process than most transparency tools, but it sits firmly at the informs level and the dossier provides no evidence of engagement with the communities most affected by council decisions."
38,OA.Works,https://oa.works/,30.1,28,-4,0.7,MEDIUM,NONE,criteria,OA.Works addresses the knowledge equity problem in scholarly publishing through tools like OA.Report for compliance tracking — the global South deployment evidence is meaningful. The M6 reduction reflects my concern that the tools primarily help institutions comply with mandates rather than examining how open access policy itself might reproduce inequalities in whose research is valued as worth open-accessing.
39,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,30.0,23,0,0.1,HIGH,NONE,criteria,"Uncertainty: HIGH. The dossier is effectively empty — no communities served, no issue area, no project description. The underdog protection floor applies because the paper could document important civic tech research that lacks a rich web presence; until the content can be read, I cannot score this project meaningfully and apply the minimum floor."
40,[Unidentified — tracking-template-38b4c],https://tracking-template-38b4c.web.app,30.0,0,0,0.0,HIGH,NONE,criteria,"Uncertainty: HIGH. The dossier is entirely blank — the Firebase web app URL provides no identifying information about the project's purpose, communities, or mechanism. I apply the underdog protection floor given the absence of documentation, but this is an abstention in all but formality."
41,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,29.9,27,-3,0.6,MEDIUM,NONE,criteria,Open Data Editor makes tabular data validation accessible to non-technical actors in civil society and government — a genuine democratisation of data quality. The Global South deployment earns C2 credit. The M6 reduction reflects the tool's framing as technical data hygiene rather than engaging with the political questions of why certain data standards are adopted and whose knowledge gets counted as valid.
42,openparliament.ca,https://openparliament.ca/,29.3,24,0,0.6,MEDIUM,NONE,criteria,"openparliament.ca makes Canadian parliamentary activity searchable by individual, making political accountability more accessible to citizens and researchers. The individual/grassroots maintainer gives it genuine C5 underdog credibility. What limits the score is the informs democratic depth — users can search what their representatives said, but the tool gives them no mechanism to influence what happens next — and the honest admission that Parliament's own site now covers more ground."
43,Open Letter,https://openletter.earth,28.0,23,0,0.5,MEDIUM,NONE,criteria,Open Letter facilitates open letter campaigns with documented outcomes like making a Brussels avenue car-free. This is consults level democratic engagement — expressing collective views to decision-makers without binding them to respond. The generic civic beneficiary framing and absence of any self-examination of whether open letter campaigns reach beyond already-engaged civic participants limits the score.
44,Tech Coops List,https://tech-coops.xyz,28.0,23,0,0.5,MEDIUM,NONE,criteria,The Tech Coops List documents an alternative model of technology production where workers own the means — directly relevant to my interest in intra-class dynamics and who benefits from digital labour. But this is an information resource rather than a mechanism that redistributes power within the tech sector; the directory format limits the democratic depth score.
45,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,26.8,22,0,0.6,MEDIUM,NONE,criteria,"Open Access TI UK provided beneficial ownership transparency data that supported civil society advocacy on corporate accountability. The platform appears to be offline as of 2026, raising sustainability questions, and the primary beneficiaries (journalists, compliance professionals) are several removes from the communities harmed by financial opacity."
46,Parse The Bill,https://parsethebill.com,26.8,22,0,0.5,MEDIUM,NONE,criteria,"Parse The Bill reduces the complexity barrier to understanding UK parliamentary legislation — a useful information equity function. The AI-accuracy caveat is honestly stated. What it doesn't address is the structural inequality of who can act on understanding a bill: the legislative participation gap is about access to institutional power, not just bill comprehension."
47,Spartacus,https://spartacus.app,26.8,22,0,0.4,MEDIUM,NONE,criteria,"Spartacus's conditional commitment mechanism is interesting as a collective action solution, but the dossier gives no evidence of who is using it, what problems it is solving, or whether it actually helps excluded communities overcome collective action barriers rather than helping already-organised groups coordinate more efficiently."
48,Open Supply Hub,https://opensupplyhub.org,26.1,28,-8,0.7,MEDIUM,MEDIUM,modifier,Open Supply Hub's global supply chain mapping creates transparency that advocacy organisations can use to pressure brands on worker conditions. The M2 reduction reflects my concern that the data flows primarily to brands and retailers rather than to the workers in those facilities — transparency enabling better institutional management of supply chains is not the same as transparency that gives workers power over their conditions.
49,Remember to Vote,https://remembertovote.org.uk,25.6,21,0,0.5,MEDIUM,NONE,criteria,Remember to Vote addresses a specific participation barrier — voter ID requirements creating confusion about polling station logistics — with a free SMS reminder service. This is informs level democratic engagement: reminding people of a right they already have rather than addressing why some communities participate less in elections.
50,The Government Says,https://thegovernmentsays.com,25.6,21,0,0.5,MEDIUM,NONE,criteria,The Government Says aggregates UK government press releases in real time — a monitoring tool that reduces information asymmetry between government communications professionals and those tracking official messaging. This is primarily useful for journalists and researchers; the community-driven governance is noted but the tool sits firmly at the informs level.
51,OpenBudgets.eu,https://openbudgets.eu,24.4,20,0,0.6,MEDIUM,NONE,criteria,"OpenBudgets.eu made EU budget data more accessible and analysable — a transparency function for fiscal accountability. The varied data quality across member states and sustainability concerns post-grant are honestly noted. At informs level democratic depth, this serves analysts rather than giving affected communities any formal mechanism to contest budget allocations."
52,Turbo Phonebank,https://turbophonebank.com,24.4,20,0,0.5,MEDIUM,NONE,criteria,"Turbo Phonebank is a free grassroots tool for campaign canvassing that lowers the resource barrier for volunteer-driven advocacy. The single-maintainer structure earns C5 credit. The beneficiaries are campaigners and organisers, who are not structurally excluded in the sense this constitution rewards most highly."
53,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,23.2,19,0,0.4,MEDIUM,NONE,criteria,"Citizens Advice's data visualisations track client demographics and advice issues — the underlying data is about people facing financial difficulty, housing problems, and benefit denials. But the visualisations serve researchers and policymakers rather than the affected clients; there is no documented mechanism for the data to feed back into service improvement co-designed with clients."
54,OSINT Framework,https://osintframework.com,22.0,18,0,0.5,MEDIUM,NONE,criteria,"OSINT Framework provides a curated toolkit for open source intelligence gathering — primarily useful for journalists, investigators, and security researchers. The individual/grassroots maintenance and thin documentation earn C5 credit. The tool is neutral infrastructure that could serve investigative accountability as easily as surveillance; the absence of any community or power analysis is reflected in low C4."
55,The List,https://the-list.uk,22.0,18,0,0.5,MEDIUM,NONE,criteria,The List is a single-person resource tracking UK trust and foundation funding changes — genuinely useful for cash-strapped small charities navigating the funding ecosystem. The reliance on community-submitted data and honest sustainability concerns earn it C5 credit. This is primarily institutional information flow rather than a power correction for the communities that the charities serve.
56,Open Council Data UK,https://opencouncildata.co.uk,19.5,16,0,0.6,MEDIUM,NONE,criteria,Open Council Data UK provides structured data on UK councillor compositions — useful for researchers and campaigners tracking political representation. The for-profit structure and researcher/campaigner beneficiary framing positions this firmly in the data infrastructure space without engaging with the communities underrepresented in the councils being tracked.
57,Open Science Framework,https://osf.io,19.5,16,0,0.6,MEDIUM,HIGH,criteria,"OSF improves research transparency and reproducibility — important for the quality of public knowledge, but primarily valuable to researchers, funders, and institutions. The popularity risk flag reflects OSF's well-established position in research infrastructure. The generic beneficiary framing and absent community engagement limit scoring; this is not a disadvantaged project."
58,PostBug,https://postbug.com,19.5,16,0,0.4,MEDIUM,NONE,criteria,"PostBug enables postcard campaigns to power — a simple tactile advocacy tool. The dossier is thin on evidence of actual use, outcomes, or excluded population targeting. This is a facilitation tool at consults level: it makes expressing opposition or support easier but does nothing structural about whether decision-makers respond."
59,Shareyourpaper.org,https://shareyourpaper.org,19.5,16,0,0.4,MEDIUM,NONE,criteria,Shareyourpaper.org helps researchers legally deposit their papers for open access — an important compliance support tool. The benefit flows primarily to researchers and to readers in under-resourced institutions. This is a smoother version of an existing pathway rather than a mechanism that challenges the structural incentives maintaining the paywall publishing model.
60,UrbanistAI,https://site.urbanistai.com,19.5,25,-11,0.5,HIGH,NONE,modifier,"UrbanistAI's AI-powered participatory planning raises exactly the concern from my SKEPSIS work: collective intelligence framing that could function as a legitimacy tactic for planning decisions already made. The documented absence of any independent evaluation, AI bias transparency, or methodology publication is precisely what M4 penalises. The Zurich deployment is real but the governance layer around AI use is absent from the dossier."
61,Spacetube,https://spacetu.be,19.5,16,0,0.4,HIGH,NONE,criteria,"Spacetube's group-to-group Matrix chat enables inter-group communication without both groups needing to share a server — a useful feature for distributed organising. The underdog signal earns C5 credit. Without evidence of who uses it, what communities it serves, or any power analysis, this is infrastructure of uncertain impact."
62,Theft Bisect,https://onodi.co/bisect/,19.0,18,-3,0.6,MEDIUM,NONE,criteria,"Theft Bisect is a clever individual tool addressing a specific institutional policy (British Transport Police's footage review limit), and the honest acknowledgement of GDPR concerns shows some critical awareness. The M6 reduction reflects the primarily technical framing — this addresses an efficiency problem rather than examining the structural relationship between policing, surveillance infrastructure, and who bears the costs of bike theft in different communities."
63,ORCID,https://orcid.org,18.3,15,0,0.6,MEDIUM,HIGH,criteria,"ORCID solves a real attribution problem in research infrastructure, and the effort to monitor adoption disparities across regions and disciplines is noted. But this is infrastructure serving researchers and institutions, not excluded populations; the power asymmetries it addresses (author disambiguation, citation attribution) are internal to the research system rather than structural exclusions with civic consequences."
64,Open Data Communities,https://opendatacommunities.org,18.3,15,0,0.6,MEDIUM,NONE,criteria,"Open Data Communities published important datasets on deprivation, housing, and planning — data that underpins much civic research. The announced discontinuation in March 2025 means this is infrastructure being withdrawn. The government institutional origin limits C5; the observational methodology and researcher beneficiaries limit C2 and C3."
65,Timecounts,https://timecounts.org,18.3,15,0,0.4,MEDIUM,NONE,criteria,Timecounts is a volunteer management platform for nonprofits and community organisations. The single-organisation testimonial and absence of independent impact evaluation make it hard to assess whether it creates efficiencies that genuinely help grassroots organisations or primarily serves professionally-run nonprofits. No mechanism for excluded community voice in design or governance.
66,Radicle,https://radicle.xyz,17.7,17,-3,0.4,HIGH,NONE,modifier,Radicle's peer-to-peer sovereign code forge addresses developer dependency on centralised platforms — a real digital sovereignty concern. The M6 reduction reflects that the technical framing of platform independence doesn't engage with the governance questions of who benefits from open source infrastructure and who is structurally excluded from participating in it.
67,semanticClimate,https://semanticclimate.github.io,17.1,14,0,0.4,MEDIUM,NONE,criteria,semanticClimate provides semantic search over climate science literature — a research accessibility tool. The absent underdog signal and thin documentation suggest this is primarily academic infrastructure serving researchers. No community engagement and no mechanism that changes who can participate in climate policy debates.
68,Pageviews Analysis,https://pageviews.wmcloud.org,15.9,13,0,0.5,MEDIUM,NONE,criteria,Pageviews Analysis tracks Wikipedia attention metrics — useful for researchers and editors understanding public interest patterns. The individual/grassroots maintenance earns C5 credit. The tool has no civic power asymmetry dimension and no connection to excluded populations.
69,Plausible Analytics,https://plausible.io,15.9,13,0,0.5,MEDIUM,NONE,criteria,"Plausible Analytics provides privacy-respecting website analytics — an important digital rights tool for website operators. The beneficiaries are website operators, not communities facing exclusion; this is a market substitution for a surveillance product rather than a structural power redistribution."
70,River Sentiment Dashboard,https://riversentiment.app,15.9,13,0,0.5,MEDIUM,NONE,criteria,The River Sentiment Dashboard visualises social media sentiment alongside ecological data for Thames basin rivers — an interesting methodological combination. The tool is primarily academic research infrastructure; there is no mechanism for communities along the rivers to shape assessment of their waterways or use the data to hold polluters accountable.
71,Open Standards for Data Guidebook,https://standards.theodi.org,15.9,13,0,0.5,MEDIUM,NONE,criteria,The ODI's guidebook helps practitioners develop and adopt open data standards — valuable technical infrastructure. The community contributions via GitHub are noted. This operates entirely within the professional civic tech ecosystem and doesn't engage with the communities most affected by how data about them is standardised and shared.
72,User Research Library,https://research.localgov.digital,14.6,12,0,0.4,MEDIUM,NONE,criteria,The local government user research library aggregates research conducted about service users — an evidence base for service improvement. But the evidence is used by service designers and policymakers rather than being accessible to the communities whose needs are being researched; there is no mechanism for community contestability of the research findings.
73,Schema.org,https://schema.org,14.1,14,-3,0.3,MEDIUM,HIGH,modifier,"Schema.org defines how information is structured on the internet — infrastructure that shapes who can be found and represented in machine-readable ways. The M6 reduction reflects the purely technical framing of a governance-heavy problem: how schemas encode assumptions about people, organisations, and events has political consequences the Schema.org process does not examine."
74,Overton,https://overton.io,13.4,11,0,0.5,MEDIUM,NONE,criteria,"Overton indexes how policy ideas spread and connects researchers with policymakers — a market intelligence tool for people already inside the policy ecosystem. The beneficiary population (policy researchers, think tanks, IGOs) is the opposite of structurally excluded. This tool makes epistemic access to policy processes easier for already-empowered actors."
75,Registers and Collaboration: Making Lists We Can Trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,13.4,11,0,0.4,MEDIUM,NONE,criteria,"This ODI report on data register governance is valuable technical guidance for practitioners. It sits in the background infrastructure layer of civic data and doesn't engage with who is excluded from the data systems whose governance it discusses, or how register design embeds assumptions about whose existence needs to be formally recorded."
76,Public Media Stack,https://publicmediastack.com,11.0,9,0,0.4,MEDIUM,NONE,criteria,The Public Media Stack maps software tools used in public media workflows — a static inventory resource guide for media organisations. The 2020 launch date and 100-product scope make this a frozen inventory rather than an active power intervention. It exclusively serves media organisations rather than the communities whose stories are or are not told.
77,soweego,https://soweego.readthedocs.io,11.0,9,0,0.5,MEDIUM,NONE,criteria,"soweego links Wikidata to external catalogs — open data infrastructure maintenance. The apparent inactivity since 2021 and narrow technical scope (three catalogs: Discogs, IMDB, MusicBrainz) reflect a tool with no civic power asymmetry dimension and a limited, technical audience."
78,PolicyMogul,https://policymogul.com,9.8,8,0,0.3,MEDIUM,NONE,criteria,PolicyMogul is a commercial public affairs monitoring tool for people already embedded in the policy process. The for-profit model and professional user base place it at the far end from the concerns this constitution prioritises; policy access tools that serve paid professionals score much lower than those serving communities without institutional representation.
79,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,9.8,8,0,0.3,MEDIUM,NONE,criteria,"Understanding Your Morality is an individual values clarification tool from Clearer Thinking. There is no community, no power asymmetry, no excluded population, and no democratic depth dimension; it is a self-assessment quiz with no structural civic function."
80,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,8.4,20,-16,0.3,HIGH,NONE,modifier,Empurrando Juntas's AI-powered opinion collection with persona segmentation raises the exact concerns from my Open Banking and SKEPSIS work: framing data collection about communities as participation while the data product (audience personas) primarily benefits institutions wanting to understand and communicate with those communities. The absence of documented community control over how segmentation data is used triggers both M2 and M4.
81,OpenAudience,https://openaudience.org,6.6,12,-8,0.3,HIGH,HIGH,modifier,OpenAudience's postcode-based audience profiling for political campaigners increases institutional capacity to target communities without giving those communities any mechanism to understand or contest how they are being classified and communicated with. This is the exact profiling-without-governance pattern M4 penalises; framing postcode demographic analysis as open data empowerment when it primarily serves political targeting also invites M2 scrutiny.
