"project_url","project_name","criterion","evidence_field","evidence_value","interpretation","score","max_score","justification"
"https://www.organise.org.uk","Organise","C4","documented_limitations","Limited to UK jurisdiction; Primarily reaches digitally-connected workers; Reliance on user-generated campaigns","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Limited to UK jurisdiction; Primarily reaches digitally-connected workers; Reliance on user-generated campaigns"
"https://www.organise.org.uk","Organise","C5","underdog_signal","For-profit/social enterprise","Underdog features present; small-medium org; some structural exclusion focus","4","6","Moderate underdog features. For-profit/social enterprise"
"https://www.organise.org.uk","Organise","C6","governance_model","LLC","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","3","12","Informs level IAP2. Governance: LLC"
"https://www.organise.org.uk","Organise","modifier_M1","modifier","M1","Workers collective infrastructure with Employment Rights Bill influence","11","","Applied M1 (+11): Workers collective infrastructure with Employment Rights Bill influence"
"https://www.organise.org.uk","Organise","modifier_M3","modifier","M3","Grassroots with documented structural outcomes","7","","Applied M3 (+7): Grassroots with documented structural outcomes"
"https://www.organise.org.uk","Organise","modifier_M7","modifier","M7","Influenced Employment Rights Bill banning zero-hours contracts","4","","Applied M7 (+4): Influenced Employment Rights Bill banning zero-hours contracts"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C1","political_relevance_summary","Humanitarian OpenStreetMap Team (HOT) addresses making civic data accessible and actionable and enabling broader democratic participation. It has documented policy impact.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. Humanitarian OpenStreetMap Team (HOT) addresses making civic data accessible and actionable and enabling broader democratic participation. It has documented policy impact."
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C2","communities_served","humanitarian organizations; development agencies; government partners; researchers; volunteers; affected communities","Excluded populations named; some mechanism specificity; limited participatory design evidence","14","20","Populations named with partial mechanism. Served: humanitarian organizations; development agencies; government partners; researchers; volunteers; affected communities"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: foundation"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C4","documented_limitations","Data quality varies by region and volunteer expertise; Coverage gaps in remote or conflict-affected areas; Sustainability of volunteer engagement over time; Attribution and credit for contributors","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Data quality varies by region and volunteer expertise; Coverage gaps in remote or conflict-affected areas; Sustainability of volunteer engagement over"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C5","underdog_signal","Nonprofit/charity","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. Nonprofit/charity"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: foundation"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","modifier_M1","modifier","M1","Geographic exclusion as humanitarian mechanism; communities on maps get aid","10","","Applied M1 (+10): Geographic exclusion as humanitarian mechanism; communities on maps get aid"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","modifier_M3","modifier","M3","Community-led mapping with UN protocol adoption","7","","Applied M3 (+7): Community-led mapping with UN protocol adoption"
"https://www.hotosm.org","Humanitarian OpenStreetMap Team (HOT)","modifier_M5","modifier","M5","Disaster and humanitarian rapid response utility","5","","Applied M5 (+5): Disaster and humanitarian rapid response utility"
"https://www.opencrvs.org","OpenCRVS","C1","political_relevance_summary","OpenCRVS addresses threats to digital rights and online privacy, providing infrastructure that protects civic freedoms in an increasingly surveilled digital environment.","Specific named mechanism; class-level power asymmetry clearly articulated; formal contestation apparatus identified","11","12","Strong power asymmetry framing. OpenCRVS addresses threats to digital rights and online privacy, providing infrastructure that protects civic freedoms in an increasingly surveilled digital environment."
"https://www.opencrvs.org","OpenCRVS","C2","communities_served","governments; civil registration authorities; system integrators; development partners; citizens","Named excluded population(s) with specific access mechanism; participatory design documented; disparity tracking present","16","20","Named excluded population with specific mechanisms. Served: governments; civil registration authorities; system integrators; development partners; citizens"
"https://www.opencrvs.org","OpenCRVS","C3","governance_model","project_of_larger_org","Multiple lifecycle stages documented; genuine decision-making at some stages","9","12","Multiple participation stages. Governance: project_of_larger_org"
"https://www.opencrvs.org","OpenCRVS","C4","documented_limitations","Requires significant local capacity building and infrastructure investment; Dependent on reliable internet connectivity in deployment contexts; Data security and privacy considerations in low-resource settings","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","9","20","Generic limitations, output focus. Limitations: Requires significant local capacity building and infrastructure investment; Dependent on reliable internet connectivity in deployment contexts; Data s"
"https://www.opencrvs.org","OpenCRVS","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.opencrvs.org","OpenCRVS","C6","governance_model","project_of_larger_org","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: project_of_larger_org"
"https://www.opencrvs.org","OpenCRVS","modifier_M1","modifier","M1","Legal identity as foundational exclusion mechanism; targets unregistered populations","12","","Applied M1 (+12): Legal identity as foundational exclusion mechanism; targets unregistered populations"
"https://www.opencrvs.org","OpenCRVS","modifier_M3","modifier","M3","Civil registration structural impact; govt adoption","7","","Applied M3 (+7): Civil registration structural impact; govt adoption"
"https://www.opencrvs.org","OpenCRVS","modifier_M4","modifier","M4","Government data infrastructure: surveillance and data security risks acknowledged","-5","","Applied M4 (-5): Government data infrastructure: surveillance and data security risks acknowledged"
"https://www.ushahidi.com","Ushahidi","C1","political_relevance_summary","Ushahidi addresses democratic participation and citizen engagement. Crowdsourcing Solutions to Empower Communities.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. Ushahidi addresses democratic participation and citizen engagement. Crowdsourcing Solutions to Empower Communities."
"https://www.ushahidi.com","Ushahidi","C2","communities_served","citizens; community groups; governments; activists; organizations; journalists","Excluded populations named; some mechanism specificity; limited participatory design evidence","13","20","Populations named with partial mechanism. Served: citizens; community groups; governments; activists; organizations; journalists"
"https://www.ushahidi.com","Ushahidi","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: foundation"
"https://www.ushahidi.com","Ushahidi","C4","documented_limitations","Data quality varies by deployment and user base; Digital divide limits participation in regions with low internet access; Verification of crowdsourced information requires manual review; Platform effectiveness depends on critical mass of users","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Data quality varies by deployment and user base; Digital divide limits participation in regions with low internet access; Verification of crowdsourced"
"https://www.ushahidi.com","Ushahidi","C5","underdog_signal","Nonprofit/charity","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. Nonprofit/charity"
"https://www.ushahidi.com","Ushahidi","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","3","12","Informs level IAP2. Governance: foundation"
"https://www.ushahidi.com","Ushahidi","modifier_M1","modifier","M1","Crisis mapping addresses information asymmetry for excluded populations","9","","Applied M1 (+9): Crisis mapping addresses information asymmetry for excluded populations"
"https://www.ushahidi.com","Ushahidi","modifier_M3","modifier","M3","Documented adoption in multiple crises and elections","6","","Applied M3 (+6): Documented adoption in multiple crises and elections"
"https://www.ushahidi.com","Ushahidi","modifier_M5","modifier","M5","Humanitarian rapid response tool","5","","Applied M5 (+5): Humanitarian rapid response tool"
"https://www.oporaua.org","ОПОРА (Opora)","C1","political_relevance_summary","ОПОРА (Opora) addresses gaps in democratic participation by providing tools or platforms that enable citizens and communities to engage more directly in governance and decision-making processes.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. ОПОРА (Opora) addresses gaps in democratic participation by providing tools or platforms that enable citizens and communities to engage more directly in governance and decision-making processes."
"https://www.oporaua.org","ОПОРА (Opora)","C2","communities_served","citizens; election observers; researchers; civil society organizations; diaspora communities","Excluded populations named; some mechanism specificity; limited participatory design evidence","14","20","Populations named with partial mechanism. Served: citizens; election observers; researchers; civil society organizations; diaspora communities"
"https://www.oporaua.org","ОПОРА (Opora)","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: foundation"
"https://www.oporaua.org","ОПОРА (Opora)","C4","documented_limitations","Limited by access to certain election administration data; constrained by security concerns during conflict periods","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Limited by access to certain election administration data; constrained by security concerns during conflict periods"
"https://www.oporaua.org","ОПОРА (Opora)","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.oporaua.org","ОПОРА (Opora)","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","3","12","Informs level IAP2. Governance: foundation"
"https://www.oporaua.org","ОПОРА (Opora)","modifier_M1","modifier","M1","Election integrity as power mechanism in authoritarian-adjacent context","10","","Applied M1 (+10): Election integrity as power mechanism in authoritarian-adjacent context"
"https://www.oporaua.org","ОПОРА (Opora)","modifier_M3","modifier","M3","Civic election monitoring with documented accountability outcomes","6","","Applied M3 (+6): Civic election monitoring with documented accountability outcomes"
"https://www.torproject.org","Tor Project","C1","political_relevance_summary","Tor Project addresses digital rights and online freedoms. Anonymity Online - Advance human rights and defend privacy through free and open source anonymity and privacy technologies.","Specific named mechanism; class-level power asymmetry clearly articulated; formal contestation apparatus identified","10","12","Strong power asymmetry framing. Tor Project addresses digital rights and online freedoms. Anonymity Online - Advance human rights and defend privacy through free and open source anonymity and privacy technologies."
"https://www.torproject.org","Tor Project","C2","communities_served","journalists; activists; researchers; citizens; dissidents; privacy-conscious users","Excluded populations named; some mechanism specificity; limited participatory design evidence","14","20","Populations named with partial mechanism. Served: journalists; activists; researchers; citizens; dissidents; privacy-conscious users"
"https://www.torproject.org","Tor Project","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: foundation"
"https://www.torproject.org","Tor Project","C4","documented_limitations","Tor exit nodes can be monitored; Timing attacks possible; Slower browsing speeds due to multi-layer encryption","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","7","20","Generic limitations, output focus. Limitations: Tor exit nodes can be monitored; Timing attacks possible; Slower browsing speeds due to multi-layer encryption"
"https://www.torproject.org","Tor Project","C5","underdog_signal","Nonprofit/charity","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. Nonprofit/charity"
"https://www.torproject.org","Tor Project","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: foundation"
"https://www.torproject.org","Tor Project","modifier_M1","modifier","M1","Anonymity as mechanism against surveillance power; used by journalists/dissidents","10","","Applied M1 (+10): Anonymity as mechanism against surveillance power; used by journalists/dissidents"
"https://www.torproject.org","Tor Project","modifier_M3","modifier","M3","Infrastructure for global civil society; documented adoption in hostile regimes","7","","Applied M3 (+7): Infrastructure for global civil society; documented adoption in hostile regimes"
"https://yourtracka.org","Tracka","C1","political_relevance_summary","Tracka addresses democratic participation and citizen engagement. Monitor the status of federal and state projects in your community and take action on implementation gaps.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. Tracka addresses democratic participation and citizen engagement. Monitor the status of federal and state projects in your community and take action on implementation gaps."
"https://yourtracka.org","Tracka","C2","communities_served","citizens; community members; civil society organizations","Excluded populations named; some mechanism specificity; limited participatory design evidence","12","20","Populations named with partial mechanism. Served: citizens; community members; civil society organizations"
"https://yourtracka.org","Tracka","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","7","12","Multiple participation stages. Governance: foundation"
"https://yourtracka.org","Tracka","C4","documented_limitations","Limited government responsiveness in some states; Digital divide affecting rural participation; Sustainability dependent on continued funding","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Limited government responsiveness in some states; Digital divide affecting rural participation; Sustainability dependent on continued funding"
"https://yourtracka.org","Tracka","C5","underdog_signal","Nonprofit/charity","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. Nonprofit/charity"
"https://yourtracka.org","Tracka","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: foundation"
"https://yourtracka.org","Tracka","modifier_M1","modifier","M1","Political accountability mechanism in Nigerian governance context","12","","Applied M1 (+12): Political accountability mechanism in Nigerian governance context"
"https://yourtracka.org","Tracka","modifier_M3","modifier","M3","Grassroots community monitoring with documented elected official engagement","8","","Applied M3 (+8): Grassroots community monitoring with documented elected official engagement"
"https://www.martus.org","Martus","C1","political_relevance_summary","Martus addresses empowering advocacy and civic campaigning and protecting digital rights and privacy.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. Martus addresses empowering advocacy and civic campaigning and protecting digital rights and privacy."
"https://www.martus.org","Martus","C2","communities_served","human rights activists; NGOs; civil liberties organizations; researchers; investigators","Excluded populations named; some mechanism specificity; limited participatory design evidence","14","20","Populations named with partial mechanism. Served: human rights activists; NGOs; civil liberties organizations; researchers; investigators"
"https://www.martus.org","Martus","C3","governance_model","project_of_larger_org","Multiple lifecycle stages documented; genuine decision-making at some stages","7","12","Multiple participation stages. Governance: project_of_larger_org"
"https://www.martus.org","Martus","C4","documented_limitations","No longer receiving security updates or maintenance; Unsupported platform with growing technical demands; Server infrastructure will eventually be discontinued; Users advised to re-evaluate threat model given lack of support","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: No longer receiving security updates or maintenance; Unsupported platform with growing technical demands; Server infrastructure will eventually be dis"
"https://www.martus.org","Martus","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.martus.org","Martus","C6","governance_model","project_of_larger_org","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: project_of_larger_org"
"https://www.martus.org","Martus","modifier_M1","modifier","M1","Human rights documentation for persecuted and at-risk communities","9","","Applied M1 (+9): Human rights documentation for persecuted and at-risk communities"
"https://www.martus.org","Martus","modifier_M3","modifier","M3","NGO adoption in conflict zones and authoritarian contexts","7","","Applied M3 (+7): NGO adoption in conflict zones and authoritarian contexts"
"https://www.globaleaks.org","GlobaLeaks","C1","political_relevance_summary","GlobaLeaks addresses digital rights and online freedoms. Free and open-source whistleblowing software enabling secure anonymous reporting platforms.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","9","12","Partial power asymmetry identification. GlobaLeaks addresses digital rights and online freedoms. Free and open-source whistleblowing software enabling secure anonymous reporting platforms."
"https://www.globaleaks.org","GlobaLeaks","C2","communities_served","journalists; activists; public agencies; corporations; independent media; whistleblowers","Excluded populations named; some mechanism specificity; limited participatory design evidence","13","20","Populations named with partial mechanism. Served: journalists; activists; public agencies; corporations; independent media; whistleblowers"
"https://www.globaleaks.org","GlobaLeaks","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: foundation"
"https://www.globaleaks.org","GlobaLeaks","C4","documented_limitations","Limited quantitative impact evaluation; reliance on self-reported outcomes from deploying organizations","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Limited quantitative impact evaluation; reliance on self-reported outcomes from deploying organizations"
"https://www.globaleaks.org","GlobaLeaks","C5","underdog_signal","Nonprofit/charity","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. Nonprofit/charity"
"https://www.globaleaks.org","GlobaLeaks","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","1","12","Informs level IAP2. Governance: foundation"
"https://www.globaleaks.org","GlobaLeaks","modifier_M1","modifier","M1","Whistleblowing infrastructure against institutional power","9","","Applied M1 (+9): Whistleblowing infrastructure against institutional power"
"https://www.globaleaks.org","GlobaLeaks","modifier_M3","modifier","M3","Deployed across multiple high-stakes anti-corruption contexts","7","","Applied M3 (+7): Deployed across multiple high-stakes anti-corruption contexts"
"https://www.open-contracting.org","Open Contracting Partnership","C1","political_relevance_summary","Open Contracting Partnership addresses the civic need for government transparency and open data access, enabling citizens, journalists, and researchers to hold public institutions accountable.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","8","12","Partial power asymmetry identification. Open Contracting Partnership addresses the civic need for government transparency and open data access, enabling citizens, journalists, and researchers to hold public institutions accountable."
"https://www.open-contracting.org","Open Contracting Partnership","C2","communities_served","government procurement officials; civil society organizations; researchers; journalists; citizens; businesses","Excluded populations named; some mechanism specificity; limited participatory design evidence","12","20","Populations named with partial mechanism. Served: government procurement officials; civil society organizations; researchers; journalists; citizens; businesses"
"https://www.open-contracting.org","Open Contracting Partnership","C3","governance_model","foundation","Multiple lifecycle stages documented; genuine decision-making at some stages","7","12","Multiple participation stages. Governance: foundation"
"https://www.open-contracting.org","Open Contracting Partnership","C4","documented_limitations","Outcome attribution challenges due to multiple concurrent reforms; data quality varies significantly by country; limited long-term impact studies; difficulty isolating OCP's specific contribution from broader transparency initiatives","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: Outcome attribution challenges due to multiple concurrent reforms; data quality varies significantly by country; limited long-term impact studies; dif"
"https://www.open-contracting.org","Open Contracting Partnership","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.open-contracting.org","Open Contracting Partnership","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: foundation"
"https://www.open-contracting.org","Open Contracting Partnership","modifier_M1","modifier","M1","Procurement opacity as power asymmetry mechanism enabling corruption","9","","Applied M1 (+9): Procurement opacity as power asymmetry mechanism enabling corruption"
"https://www.open-contracting.org","Open Contracting Partnership","modifier_M3","modifier","M3","Policy adoption across multiple governments with documented savings","7","","Applied M3 (+7): Policy adoption across multiple governments with documented savings"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C1","political_relevance_summary","Marks Out Of Tenancy addresses making civic data accessible and actionable and empowering advocacy and civic campaigning.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","7","12","Partial power asymmetry identification. Marks Out Of Tenancy addresses making civic data accessible and actionable and empowering advocacy and civic campaigning."
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C2","communities_served","renters; tenants; local authorities; universities; students' unions","Excluded populations named; some mechanism specificity; limited participatory design evidence","11","20","Populations named with partial mechanism. Served: renters; tenants; local authorities; universities; students' unions"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C3","governance_model","social enterprise","Some participation documented; primarily delivery-stage or consultation-only","6","12","Some participation, limited to delivery or consultation. Governance: social enterprise"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C4","documented_limitations","No information on review verification mechanisms; No published methodology for landlord/agency rating calculation; No disclosed data on review authenticity or moderation practices","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","8","20","Generic limitations, output focus. Limitations: No information on review verification mechanisms; No published methodology for landlord/agency rating calculation; No disclosed data on review authent"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","C6","governance_model","social enterprise","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","1","12","Informs level IAP2. Governance: social enterprise"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","modifier_M1","modifier","M1","Landlord power asymmetry in private rental market; tenants historically voiceless","10","","Applied M1 (+10): Landlord power asymmetry in private rental market; tenants historically voiceless"
"https://www.marksoutoftenancy.com","Marks Out Of Tenancy","modifier_M3","modifier","M3","Grassroots tenant information platform with review aggregation","7","","Applied M3 (+7): Grassroots tenant information platform with review aggregation"
"https://www.meet.coop","meet.coop","C1","political_relevance_summary","meet.coop addresses enabling broader democratic participation and protecting digital rights and privacy.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","8","12","Partial power asymmetry identification. meet.coop addresses enabling broader democratic participation and protecting digital rights and privacy."
"https://www.meet.coop","meet.coop","C2","communities_served","activists; educators; housing cooperatives; progressive organizations; social movements","Broad population implied; mechanism general; no documented participatory design process","10","20","Broad population implied without mechanism specificity. Served: activists; educators; housing cooperatives; progressive organizations; social movements"
"https://www.meet.coop","meet.coop","C3","governance_model","cooperative","Multiple lifecycle stages documented; genuine decision-making at some stages","8","12","Multiple participation stages. Governance: cooperative"
"https://www.meet.coop","meet.coop","C4","documented_limitations","Limited feature parity with commercial alternatives; Smaller user base than mainstream platforms","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","7","20","Generic limitations, output focus. Limitations: Limited feature parity with commercial alternatives; Smaller user base than mainstream platforms"
"https://www.meet.coop","meet.coop","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
"https://www.meet.coop","meet.coop","C6","governance_model","cooperative","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: cooperative"
"https://www.meet.coop","meet.coop","modifier_M1","modifier","M1","Platform co-op model challenges tech oligopoly in video conferencing","7","","Applied M1 (+7): Platform co-op model challenges tech oligopoly in video conferencing"
"https://www.meet.coop","meet.coop","modifier_M3","modifier","M3","Worker-owned infrastructure alternative to corporate platforms","6","","Applied M3 (+6): Worker-owned infrastructure alternative to corporate platforms"
"https://www.openownership.org","Open Ownership","C1","political_relevance_summary","Open Ownership addresses the civic need for government transparency and open data access, enabling citizens, journalists, and researchers to hold public institutions accountable.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","8","12","Partial power asymmetry identification. Open Ownership addresses the civic need for government transparency and open data access, enabling citizens, journalists, and researchers to hold public institutions accountable."
"https://www.openownership.org","Open Ownership","C2","communities_served","governments; researchers; civil society organizations; extractive industry stakeholders; policymakers","Excluded populations named; some mechanism specificity; limited participatory design evidence","11","20","Populations named with partial mechanism. Served: governments; researchers; civil society organizations; extractive industry stakeholders; policymakers"
"https://www.openownership.org","Open Ownership","C3","governance_model","foundation","Some participation documented; primarily delivery-stage or consultation-only","6","12","Some participation, limited to delivery or consultation. Governance: foundation"
"https://www.openownership.org","Open Ownership","C4","documented_limitations","Variation in government capacity and political will to implement reforms; Data quality and completeness challenges across jurisdictions; Limited enforcement mechanisms in some countries","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","7","20","Generic limitations, output focus. Limitations: Variation in government capacity and political will to implement reforms; Data quality and completeness challenges across jurisdictions; Limited enfor"
"https://www.openownership.org","Open Ownership","C5","underdog_signal","Nonprofit/charity","Weak underdog signal; institutional or well-resourced context; limited exclusion specificity","2","6","Weak underdog signal. Nonprofit/charity"
"https://www.openownership.org","Open Ownership","C6","governance_model","foundation","Informs (IAP2 level 1); primarily one-way information flow; limited reciprocity","2","12","Informs level IAP2. Governance: foundation"
"https://www.openownership.org","Open Ownership","modifier_M1","modifier","M1","Beneficial ownership opacity as mechanism enabling kleptocracy and tax avoidance","8","","Applied M1 (+8): Beneficial ownership opacity as mechanism enabling kleptocracy and tax avoidance"
"https://www.openownership.org","Open Ownership","modifier_M3","modifier","M3","Policy adoption in multiple jurisdictions via Beneficial Ownership Data Standard","7","","Applied M3 (+7): Policy adoption in multiple jurisdictions via Beneficial Ownership Data Standard"
"https://www.shineyoureye.org","ShineYourEye","C1","political_relevance_summary","Addresses government transparency and democratic accountability by tracking Nigerian politicians' activities and enabling citizen engagement with elected representatives.","Power asymmetry named; mechanism partially specified; some formal response mechanism present","7","12","Partial power asymmetry identification. Addresses government transparency and democratic accountability by tracking Nigerian politicians' activities and enabling citizen engagement with elected representatives."
"https://www.shineyoureye.org","ShineYourEye","C2","communities_served","citizens; voters; campaigners","Excluded populations named; some mechanism specificity; limited participatory design evidence","11","20","Populations named with partial mechanism. Served: citizens; voters; campaigners"
"https://www.shineyoureye.org","ShineYourEye","C3","governance_model","foundation","Some participation documented; primarily delivery-stage or consultation-only","6","12","Some participation, limited to delivery or consultation. Governance: foundation"
"https://www.shineyoureye.org","ShineYourEye","C4","documented_limitations","Not documented","Generic limitations referenced; output focus rather than outcomes; minimal self-critique","7","20","Generic limitations, output focus. Limitations: Not documented"
"https://www.shineyoureye.org","ShineYourEye","C5","underdog_signal","True","Underdog features present; small-medium org; some structural exclusion focus","3","6","Moderate underdog features. True"
