rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
64,django-collaborative,https://github.com/propublica/django-collaborative,15.3,15,-3,0.65,MEDIUM,NONE,modifier,M6 applied: technical tip-gathering tool framing without governance/participation dimension
65,Pastecal,https://github.com/kazad/pastecal,14.6,12,0,0.55,HIGH,NONE,criteria,Calendar sharing tool; limited equity or political relevance; primarily technical utility
66,Idealist,https://idealist.org,14.6,12,0,0.65,LOW,NONE,criteria,Nonprofit job board; limited structural equity analysis or community empowerment
67,PatCit,https://github.com/cverluise/patcit,13.1,14,-4,0.65,MEDIUM,NONE,modifier,M6 applied: purely technical patent citation dataset; no governance engagement
68,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,13.1,14,-4,0.60,MEDIUM,NONE,modifier,M6 applied: technical smart contract mechanism without adequate governance analysis
69,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,13.1,14,-4,0.65,MEDIUM,NONE,modifier,M6 applied: technical simulation framing with no governance dimension
70,UK Elections Leaflets,https://github.com/thicknavyrain/uk_elections_leaflets,12.9,13,-3,0.55,HIGH,NONE,modifier,M6 applied: technical hackathon data project without community engagement
71,Local Insight,https://localinsight.org,12.2,10,0,0.55,MEDIUM,NONE,criteria,Local data intelligence; limited excluded population focus or participatory design
72,Manifold Markets,https://manifold.markets,11.6,12,-3,0.60,MEDIUM,NONE,modifier,M6 applied: market mechanism framing treats civic information as tradeable commodity
73,whatsmeow,https://github.com/tulir/whatsmeow,10.4,11,-3,0.55,HIGH,NONE,modifier,M6 applied: technical WhatsApp API library; no political or governance dimension
74,GreenPT,https://greenpt.ai/,10.4,11,-3,0.55,MEDIUM,NONE,modifier,M6 applied: technical environmental/privacy framing without governance analysis
75,Bluesky Social,https://github.com/bluesky-social,9.4,11,-4,0.65,LOW,HIGH,modifier,M6 applied: predominantly technical decentralisation framing; HIGH pop_risk: platform infrastructure without equity mandate
76,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,9.2,10,-3,0.60,LOW,NONE,modifier,M6 applied: geographic API technical framing; no community empowerment dimension
77,Awesome Gov Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,7.0,9,-4,0.60,MEDIUM,NONE,modifier,M6 applied: purely technical government data catalog; CDDO/government-internal framing
78,Journalist Studio,https://journaliststudio.google.com,7.0,9,-4,0.65,LOW,NONE,modifier,M6 applied: technical Google platform framing; commercial orientation reduces structural equity value
79,Fission Codes,https://github.com/fission-codes/fission-codes,6.0,9,-5,0.45,HIGH,NONE,modifier,M6 applied: purely technical Web3 status codes; no civic or governance dimension
80,Granicus,https://granicus.com/uk,6.0,9,-5,0.60,LOW,NONE,modifier,M6 applied: purely commercial technical platform for government communication; no community empowerment
81,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,0.0,7,-12,0.65,LOW,HIGH,modifier,M6+M4 applied: purely technical LLM with no governance framework; concerns about state influence without accountability; score floored at 0
