rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
18,All Our Ideas,https://all-our-ideas.citizens.is,52.3,38,+6,0.75,LOW,NONE,modifier,Pairwise comparison for policy priority-setting; Iceland government consultation deployment with documented policy outcomes; M1 for formal participatory mechanism; Omidyar/NSF backing
19,Citizen OS,https://citizenos.com,52.3,38,+6,0.75,LOW,NONE,modifier,Formal democratic discussion and voting mechanisms; Estonia e-governance integration documented; M1 for formal participatory framework; documents digital literacy and language barriers as limitations
20,ClimateAction.tech,https://climateaction.tech,51.3,38,+5,0.70,LOW,NONE,modifier,100% volunteer cooperative network; no paid staff or known funders; highest C5 among scored projects; M5 for documented multi-stage volunteer community engagement
21,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,51.1,37,+6,0.75,LOW,NONE,modifier,Mandatory disclosure mechanism for named population (women workers) excluded by specific mechanism (gender pay gap); M1 for formal correction of pay transparency asymmetry; documents threshold limitations (250+ employees only)
22,Anna's Archive,https://annas-archive.org,49.7,35,+7,0.35,HIGH,NONE,modifier,Researchers/students excluded from academic knowledge by specific named mechanism (paywalls/copyright restrictions); M3 triggered; C6 suspended and C3/C4 floored per underdog protection (completeness 0.35); solo/grassroots with legal exposure
23,Atlas of Surveillance,https://atlasofsurveillance.org,48.1,37,+3,0.75,LOW,NONE,modifier,EFF project documenting police surveillance by demographics; strong C4 with disparity tracking; M7 for analysis of who benefits from surveillance asymmetry; EFF backing moderates C5
24,Aleph (OCCRP),https://aleph.occrp.org,46.7,35,+4,0.85,LOW,HIGH,modifier,Panama/Pandora Papers investigations with strong documented policy outcomes; M7 for mapping corporate-government complicity; honest C4 documents USAID dependency and editorial risk; pop_risk HIGH given prestige
25,Humanitarian Data Exchange,https://data.humdata.org,43.0,32,+4,0.75,LOW,MEDIUM,modifier,Serves humanitarian communities in active crisis zones (specific named populations); M3 for excluded access to humanitarian coordination data; geographic coverage gaps documented; pop_risk MEDIUM as UN/OCHA infrastructure
26,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,42.7,35,0,0.75,LOW,NONE,criteria,Policy influence on EU DSA platform regulation; disparity_tracking=true with demographic analysis; strong C4 with limitations documented; research-centre framing limits direct community centering
27,Bellingcat OSINT Toolkit,https://www.bellingcat.com/resources/how-tos,41.8,31,+4,0.85,LOW,HIGH,modifier,Enables accountability journalism on corporate-political power networks; M7 for investigation of intra-class dynamics; honest C4 documents independence controversy; pop_risk HIGH given prestige and prizes
28,CoTech,https://www.cotech.uk,41.5,34,0,0.65,MEDIUM,NONE,criteria,UK cooperative tech network with strong C6 cooperative governance; values-aligned tech businesses not maximally excluded populations; moderate across remaining criteria; member-supported model
29,ODK (Open Data Kit),https://getodk.org,40.6,30,+4,0.80,LOW,NONE,modifier,Data collection infrastructure for resource-constrained environments; M3 for Global South health/election communities; documents technical capacity requirements; Gates/World Bank/USAID/Omidyar moderates C5
30,CommunityRule,https://communityrule.info,40.2,33,0,0.70,LOW,NONE,criteria,Governance toolkit for community self-governance; strong C6 democratic depth; documents English-speaking focus as limitation; Mozilla/Knight/Omidyar funding; moderate across criteria
31,The Decelerator,https://thedecelerator.org,40.2,33,0,0.70,LOW,NONE,criteria,Free support for civil society organizational endings; disparity_tracking=true; honest documents scale and UK-only limitations; Pears/PHF/Esmee Fairbairn funding; time-limited project
32,Democracy Club Developer API,https://democracyclub.org.uk/projects/api,40.2,33,0,0.70,LOW,NONE,criteria,Voter information API with community_ownership=true; volunteer-led across multiple UK elections; Omidyar/Google.org/Mozilla/Electoral Commission funding; voters broadly not specifically excluded populations
33,The Commons Social Change Library,https://commonslibrary.org,39.0,32,0,0.70,LOW,NONE,criteria,Free library for activists/campaigners; moderate C2 naming activist communities; Shuttleworth/Omidyar backing; no specific exclusion mechanism named for served populations
34,Creative Commons,https://creativecommons.org,36.6,30,0,0.80,LOW,HIGH,criteria,Redistributes copyright power; strong C4 documenting AI training controversy and enforcement contradictions; pop_risk HIGH as foundational global infrastructure; generic creator/public beneficiaries limit C2
35,arXiv,https://arxiv.org/abs/2005.13701,35.4,29,0,0.75,LOW,HIGH,criteria,Open access academic infrastructure; documents language representation limitations (non-English research underrepresented); pop_risk HIGH as foundational global infrastructure; researchers/academics as primary users limit C2
36,mySociety Datasets and APIs,https://mysociety.org/data,35.4,29,0,0.75,LOW,NONE,criteria,Parliamentary transparency infrastructure with FOI Act policy outcomes; documents geographic coverage gaps; researchers/journalists as primary beneficiaries limit C2; Omidyar/OSF/FCDO funding
37,Diia,https://diia.gov.ua,34.2,33,-6,0.75,LOW,MEDIUM,modifier,M4 applied: wartime data centralisation expansion without commensurate accountability governance; formal service access mechanism for Ukrainian citizens; pop_risk MEDIUM; government-operated limits C5
38,Turn2Us Benefits Calculator,https://www.turn2us.org.uk/benefits-calculator,32.4,29,-3,0.70,LOW,NONE,modifier,M6 applied: informational benefits eligibility tool; low-income households as named population but exclusion mechanism (complex welfare system) not explicitly named; DWP partnership reduces C5
39,Coral,https://coralproject.net,31.7,26,0,0.75,LOW,NONE,criteria,Strong C4 documenting AI bias in non-English moderation and disparity in outcomes; newsrooms not excluded populations; comment infrastructure limits C6; Knight/Mozilla/NYT backing
40,CiviCRM,https://civicrm.org,31.7,26,0,0.75,LOW,NONE,criteria,Open source CRM for nonprofits with community-governed LLC structure; documents accessibility limitations; nonprofits broadly not excluded populations; infrastructure limits democratic depth
41,Conservative Party Funding,https://github.com/jrmontag/uk-conservative-party-funding,31.7,26,0,0.35,HIGH,NONE,criteria,Solo unfunded project exposing UK political funding power asymmetry; C6 suspended and C3/C4 floored per underdog protection (completeness 0.35); strong C5 for solo/unfunded; score above floor
42,FarmerChat,https://farmerchat.digitalgreen.org,31.5,34,-10,0.65,MEDIUM,NONE,modifier,M2 applied: AI tool funded by Gates/CGIAR collecting agricultural data from smallholder farmers under empowerment framing; strong C2 for Global South farmers as specific excluded population undermined by profiling-as-empowerment pattern
43,EntitledTo,https://www.entitledto.co.uk,31.1,28,-3,0.70,LOW,NONE,modifier,M6 applied: informational benefits calculator for low-income households; DWP-integrated; benefit claimants as named population; UK only; no disparity tracking
44,CivicPress,https://civicpress.dev,30.0,20,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; solo self-funded project founded 2025; C6 suspended; minimal dossier data
45,Filmot,https://filmot.com,30.0,18,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; solo indie YouTube subtitle search; patronage model; C6 suspended; minimal dossier data
46,Channel,https://channel.org,30.0,19,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; Newsmast Foundation content platform; C6 suspended; minimal dossier data
47,CoTSI,https://cyber.fsi.stanford.edu,30.0,17,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; Stanford Internet Observatory academic database on verification markets; C6 suspended; minimal dossier data
48,Ddocs,https://ddocs.org,30.0,17,0,0.20,HIGH,NONE,[floor],Underdog protection floor: completeness 0.20 < 0.4; decentralised documentation platform; community_ownership=true; C6 suspended; minimal dossier data
49,Dovetail,https://dovetail.uk,30.0,17,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; UK nonprofit digital matchmaking; Nesta/Comic Relief; C6 suspended; minimal dossier data
50,DoGooder,https://dogooder.co,30.0,20,0,0.35,HIGH,NONE,[floor],Underdog protection floor: completeness 0.35 < 0.4; civic advocacy platform; dead_link at scrape; C6 suspended; minimal dossier data
51,Collab.Land,https://collab.land,30.0,15,0,0.30,HIGH,NONE,[floor],Underdog protection floor: completeness 0.30 < 0.4; VC-backed token-gated membership; C6 suspended; minimal dossier data
52,CivicMatch,https://civicmatch.org,30.0,16,0,0.25,HIGH,NONE,[floor],Underdog protection floor: completeness 0.25 < 0.4; civic opportunity matching platform; C6 suspended; minimal dossier data
53,Dunadyne,https://dunadyne.com,30.0,15,0,0.20,HIGH,NONE,[floor],Underdog protection floor: completeness 0.20 < 0.4; DUNA collective intelligence SaaS; C6 suspended; minimal dossier data
54,Sunlight Foundation Community Methodology,https://communities.sunlightfoundation.com/methodology,30.0,15,0,0.10,HIGH,NONE,[floor],Underdog protection floor: no dossier file found; completeness 0.10; maximum uncertainty; C6 suspended
55,Aragon,https://aragon.org,29.9,27,-3,0.70,MEDIUM,NONE,modifier,M6 applied: DAO governance for VC-backed crypto entities; token holders not excluded populations; Polychain/Dragonfly/Consensys backing; limited civic relevance
56,Civic Tech Field Guide,https://civictech.guide,29.3,24,0,0.65,MEDIUM,NONE,criteria,Explicitly acknowledges Western bias and limited Global South representation as core limitation; strongest honest C4 self-examination of type; underdog_signal; FNF funding
57,Constitute Project,https://constituteproject.org,28.0,23,0,0.70,LOW,NONE,criteria,Constitutional database used in high-stakes design processes; documents limitation of focusing on written documents over informal practices; researchers/courts not excluded populations; NED/OSF/Google.org funding
58,Full Fact AI,https://fullfact.org/ai,26.9,27,-6,0.80,LOW,NONE,modifier,M4 applied: AI processing 333k sentences/day with limited transparency on algorithmic decision-making; fact-checkers not excluded populations; strong deployment record; Google/Facebook/Omidyar/NED funding
59,In The News,https://en.wikipedia.org/wiki/Wikipedia:In_the_news,26.8,22,0,0.55,MEDIUM,NONE,criteria,Volunteer-driven Wikipedia news section; documents Western/coverage bias as limitation; general public as primary users; limited governance depth; Wikimedia Foundation
60,Digital Account Management Toolkit,https://digitalcharity.org.uk,26.8,22,0,0.60,MEDIUM,NONE,criteria,Nonprofit account security for civil society; civil society as indirect beneficiaries; limited excluded population focus; Digital Charity Lab; UK/Ireland only
61,Bluesky Social,https://bsky.app,25.0,23,-3,0.65,LOW,HIGH,modifier,M6 applied: VC-backed consumer social app without explicit equity mandate; pop_risk HIGH; Sequoia/Benchmark/Khosla backing; general public as primary users limit C2
62,Docs Plus,https://docsplus.com,24.4,20,0,0.45,MEDIUM,NONE,criteria,Open-source collaborative docs with community_ownership; thin dossier reduces confidence; Grant for Web/Nesta; limited excluded population focus
63,CKAN,https://ckan.org,23.2,19,0,0.80,LOW,HIGH,criteria,Government open data management infrastructure without explicit equity mandate; pop_risk HIGH as global government data standard; UK/World Bank/EU Commission backing; researchers/government not excluded populations
64,EDGAR,https://github.com/bellingcat/edgar,21.4,20,-3,0.60,MEDIUM,NONE,modifier,M6 applied: technical CLI tool for SEC data retrieval; journalists/researchers not excluded populations; Bellingcat backing; no community governance dimension
65,Contracts for Data Collaboration,https://theodi.org/article/contracts-for-data-collaboration,21.4,20,-3,0.60,MEDIUM,NONE,modifier,M6 applied: academic data governance framework document; researchers/policymakers as users; Berkman Klein/Mozilla/NSF funding; technical framing without community engagement
66,Fatebook,https://fatebook.io,21.4,20,-3,0.70,MEDIUM,NONE,modifier,M6 applied: prediction market framing treats civic information as optimisation problem; researchers/forecasters not excluded populations; Open Philanthropy/SFF funding; LLC governance
67,CharmVerse,https://charmverse.io,20.2,19,-3,0.65,MEDIUM,NONE,modifier,M6 applied: web3 community platform for DAO operators; DAO operators not excluded populations; Coinbase Ventures/Polychain backing; no civic governance dimension
68,Charity Digital Skills Report,https://mediatrust.org/charity-digital-skills-report,19.0,18,-3,0.65,LOW,NONE,modifier,M6 applied: annual informational survey of sector professionals; charity professionals not excluded populations; Media Trust project; no community empowerment
69,Collaborative Data Patterns,https://theodi.org/guides/collaborative-data-patterns,17.7,17,-3,0.65,LOW,NONE,modifier,M6 applied: technical ODI guidebook for data practitioners; data practitioners not excluded populations; Open Data Institute project; purely informational
70,UK Parliament Developer Portal,https://developer.parliament.uk,16.5,16,-3,0.55,HIGH,NONE,modifier,M6 applied: technical API portal for parliamentary data; developers not excluded populations; government-operated; dead_link at scrape time
71,Pear by Holepunch,https://pears.com,16.5,16,-3,0.55,MEDIUM,NONE,modifier,M6 applied: technical p2p platform for app developers; developers not excluded populations; experimental modules documented as limitation; VC-funded
72,Kagi SlopStop,https://kagi.com/slopstop,15.3,18,-3,0.60,MEDIUM,NONE,modifier,M6 applied: AI content detection tool; internet users not excluded populations; for-profit LLC; methodology not fully published as documented limitation
73,CiviClick,https://civiclick.com,15.3,18,-3,0.55,MEDIUM,NONE,modifier,M6 applied: AI-powered advocacy software for public affairs professionals; professionals not excluded populations; for-profit model; no community governance
74,AI Safety Info,https://aisafety.info,12.9,13,-3,0.70,LOW,NONE,modifier,M6 applied: technical AI safety FAQ for researchers/students; generic professional audience; Open Philanthropy/FLI funding; no governance analysis or community empowerment
75,Responsible Tech Guide 2025,https://responsibletechguide.com,12.9,13,-3,0.60,MEDIUM,NONE,modifier,M6 applied: annual informational guide for tech sector professionals; generic professional audience; no community engagement or excluded population focus
76,CAN/DGSI 127 Age Assurance Standard,https://www.csagroup.org/store/product/can-dgsi-127,11.6,12,-3,0.60,MEDIUM,NONE,modifier,M6 applied: technical Canadian standards document; developers/policymakers as users; government-funded; no community participation or excluded population focus
77,Choose a License,https://choosealicense.com,11.6,12,-3,0.50,MEDIUM,NONE,modifier,M6 applied: technical open source license chooser; developers as users; GitHub-operated; no political or civic governance dimension
78,Gov Reuse Library,https://github.com/ministryofjustice/moj-frontend,10.4,11,-3,0.60,MEDIUM,NONE,modifier,M6 applied: government internal technical reuse library; government developers not excluded populations; MoJ-funded; no community empowerment
79,Esper,https://esper.com,8.2,10,-4,0.50,MEDIUM,NONE,modifier,M6 applied: proprietary AI-assisted government platform; government agencies not excluded populations; no documented limitations; commercial orientation with no community governance
