rank,name,url,score,criteria_score,modifier_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
11,"Mozilla Data Collective","https://datacollective.mozillafoundation.org",71.6,53,7,0.65,MEDIUM,NONE,modifier,"Indigenous language communities/Global South as specifically named populations excluded from AI development by data extraction without consent; community data ownership as structural correction; M3 triggered; high C5 (very early stage)"
12,"Decidim","https://decidim.org",71.0,50,10,0.85,LOW,MEDIUM,modifier,"Binding citizen proposals; cooperative Free Software Association governance; documents failure modes including political capture and digital divide; M1 for formal redistribution of decision-making; pop_risk MEDIUM given scale"
13,"ОПОРА (Opora)","https://www.oporaua.org",70.9,45,16,0.6,MEDIUM,NONE,modifier,"Operating civic monitoring infrastructure during active armed conflict is the definition of structural underdog — Opora documents electoral integrity and civic participation while facing security constraints and access limitations. The mechanism is specific: war disrupts electoral processes in ways that disenfranchise diaspora communities and conflict-affected populations, and Opora is building the infrastructure to document and contest this. Uncertainty is medium because conflict conditions limit what the dossier can capture."
14,"Tor Project","https://www.torproject.org",70.7,44,17,0.6,LOW,HIGH,modifier,"Tor addresses a named power asymmetry — state and corporate surveillance restricting political expression and journalistic freedom — with technical infrastructure that genuinely empowers journalists, dissidents, and activists. I flag high popularity risk: this is one of the best-known projects in the batch, with a rich dossier and strong institutional reputation, and the score reflects the genuine mechanism quality rather than documentation richness."
15,"Security First / Umbrella","https://secfirst.org",70.3,47,13,0.7,MEDIUM,NONE,criteria,"The Umbrella app sits at the intersection of my deepest concerns — specifically named high-risk populations (activists, journalists, human rights defenders in conflict zones) facing the most acute surveillance power asymmetries, with documented adoption by press freedom organisations as evidence the tool reaches them. What holds it back is thin evidence of participatory lifecycle engagement: I see adoption but not co-design with the communities it protects."
16,"Participa (Podemos)","https://github.com/podemos-info/participa",70.0,50,9,0.80,LOW,NONE,modifier,"Binding democratic mechanism for 500k+ members with 30+ binding votes; formal structural redistribution of policymaking authority"
17,"Tracka","https://yourtracka.org",70.0,41,20,0.55,MEDIUM,NONE,modifier,"Government project abandonment as a mechanism of community exclusion is precisely named — the dossier documents a specific health centre in Ningo, Akwanga LGA completed after 7+ years of abandonment following Tracka monitoring. Community-based monitoring with government feedback loops represents multi-stage engagement. The Nigerian context scores well on C5 and the accountability mechanism is formal rather than merely informational."
18,"Framework for Meaningful Engagement 2.0","https://ecnl.org/publications/framework-meaningful-engagement-20",69.5,48,11,0.80,LOW,NONE,modifier,"300+ stakeholders co-created including marginalized and vulnerable groups in AI governance; highest C3 in batch; M3+M5 both triggered; directly addresses AI accountability gap foregrounded in Alexandra's constitution"
19,"Consul Democracy","https://consulproject.org",68.5,48,10,0.85,LOW,MEDIUM,modifier,"Formal binding citizen proposals across 350+ governments; strong C6 democratic depth; M1 structural redistribution of decision-making authority; disparity tracking noted as ongoing challenge in dossier"
20,"Martus","https://www.martus.org",68.4,43,16,0.5,MEDIUM,NONE,modifier,"Secure documentation infrastructure for human rights activists addresses a specific exclusion mechanism: lack of secure storage preventing evidence preservation and ultimately legal accountability. The end-of-life status (no longer receiving security updates) is an honest limitation that scores well on C4 — the project does not overclaim — and increases C5 (a discontinued but valuable tool is itself evidence of the funding and infrastructure gaps affecting human rights tech)."
21,"SecureDrop","https://securedrop.org",67.3,47,10,0.7,MEDIUM,HIGH,criteria,"SecureDrop builds a formal mechanism — anonymous cryptographically protected whistleblower submission — that structurally changes the power position of people with information about institutional wrongdoing; the power asymmetry is as named and significant as it gets. The score is constrained by modest participatory engagement with affected populations and reliance on technical infrastructure (Tor, staff-maintained installations) that limits access for non-technical whistleblowers."
22,"GlobaLeaks","https://www.globaleaks.org",67.2,42,16,0.6,MEDIUM,NONE,modifier,"Whistleblowing infrastructure addresses the employer-employee power asymmetry where retaliation risk structurally prevents accountability. GlobaLeaks' EU Directive compliance and open-source model are genuine structural signals. What keeps this below the top tier is the absence of documented evidence that deploying organizations used the platform in ways that shifted power rather than simply reframed existing disclosure processes."
23,"FixMyBlock","https://fixmyblock.org",66.7,44,13,0.70,LOW,NONE,modifier,"Tower block residents/social housing tenants with named exclusion mechanism (landlord safety obligations not met); formal mechanism for contesting landlord obligations; Legal Education Foundation; M3+M1 both triggered"
24,"Stanford PB Platform","https://github.com/stanfordcdt/pb",65.7,44,12,0.75,LOW,NONE,modifier,"Formal citizen budget decision authority; multi-city deployment documented; strong C3 participatory design"
25,"Parti","https://parti.xyz",65.7,44,12,0.6,MEDIUM,NONE,criteria,"Parti's integration into South Korean municipal participatory budgeting — with 200,000+ registered users allocating public funds including 5 billion won in Incheon — puts it at the empowers end of the democratic depth spectrum. The dossier's English-language gaps and thin documentation of whether PB in South Korea actually reaches excluded communities stops it from scoring higher on C2."
26,"HURIDOCS","https://github.com/huridocs",65.3,47,8,0.85,LOW,NONE,modifier,"Enables formal accountability processes; epistemic redress for suppressed testimony; strong C2+C4 on human rights documentation"
27,"Riseup","https://riseup.net",65.3,47,8,0.6,MEDIUM,NONE,criteria,"Riseup frames its work as liberatory social change and provides activist organisations with secure communications infrastructure specifically to protect against state surveillance — a structural rather than informational power correction. The medium C4 score reflects limited documented examination of whether Riseup's own operational choices (volunteer capacity constraints, service disruptions) reproduce the insecurity they claim to resist."
28,"Nyaaya","https://nyaaya.org",64.8,40,16,0.80,LOW,NONE,modifier,"Formal legal knowledge access correcting epistemic power asymmetry; highly specific named populations with named exclusion mechanism; strong M1+M3"
29,"Open Contracting Partnership","https://www.open-contracting.org",64.8,40,16,0.7,LOW,LOW,modifier,"US$2 trillion in public procurement is a meaningful power asymmetry — opacity in contracting enables corruption and excludes civil society from accountability. The mix of government adoption tracking, policy analysis, and disparity tracking (women-owned business participation, geographic disparities) shows methodological sophistication. The limitation: the dossier acknowledges that isolating OCP's contribution from concurrent reforms is difficult."
30,"LiquidFeedback","https://liquidfeedback.com",63.9,45,9,0.85,LOW,NONE,modifier,"Formal binding democratic delegation mechanism; strong C6 democratic depth; M1 structural correction"
31,"New_ Public Roundabout","https://newpublic.substack.com/p/introducing-roundabout-built-for",63.7,44,10,0.70,MEDIUM,NONE,modifier,"Explicitly targets underestimated communities; co-designed with community stewards multi-stage; M3+M5 both active"
32,"Groupthink (OpenPolitics)","https://github.com/openpolitics/groupthink",62.9,45,8,0.75,MEDIUM,NONE,modifier,"Structural redistribution of policymaking authority used in UK elections; strong C4 critical self-examination"
33,"Rahvaalgatus","https://github.com/rahvaalgatus/rahvaalgatus",62.9,45,8,0.65,MEDIUM,NONE,modifier,"Formal legislative petition mechanism triggering parliamentary consideration; strong C6 democratic depth; M1 structural correction"
34,"Bonfire","https://bonfirenetworks.org",62.7,44,9,0.75,LOW,NONE,modifier,"Cooperative federated platform for activist/mutual aid/digital-rights communities; honest limitations documentation; M1+M5 triggered; strong C5 (solo team NLnet/NGI grant-cycle dependent; underdog_signal=true)"
35,"Polis","https://github.com/compdemocracy/polis",61.3,47,4,0.80,LOW,MEDIUM,criteria,"Strong C3+C4 scores; multi-stage engagement documented across vTaiwan deployments; MEDIUM pop_risk: AI-mediated consensus may systematically suppress minority positions"
36,"The Circuit","https://thecircuit.cc",61.0,41,11,0.7,LOW,MEDIUM,criteria,"The Circuit makes racial disparity in Cook County courts visible through 3 million cases — naming the mechanism (judicial discretion producing racially differentiated outcomes) and the specific populations (Black defendants, public defenders navigating the system). The intra-class analysis of the court ecosystem earns M7 credit. What stops it ranking higher is that collaborative journalism operates at the informs end of democratic depth."
37,"Marks Out Of Tenancy","https://www.marksoutoftenancy.com",60.9,36,17,0.45,MEDIUM,NONE,modifier,"This directly inverts the algorithmic tenant-ranking system that I have researched — instead of landlords and referencing companies ranking tenants, tenants rank landlords and letting agencies. The intra-class dynamics are present: not just tenants as excluded, but the specific mechanisms through which landlords benefit from information asymmetry. What limits the score is the absence of any verification methodology for reviews and no published rating calculation methodology."
38,"LittleSis","https://littlesis.org",59.6,39,12,0.85,LOW,NONE,modifier,"Enables accountability campaigns against corporate-government power; maps intra-class dynamics; M1+M7 both active"
39,"meet.coop","https://www.meet.coop",59.3,38,13,0.55,MEDIUM,NONE,modifier,"Cooperative infrastructure addressing corporate surveillance of digital communications is both a genuine power asymmetry correction and an example of the kind of structural alternative that Community Tech advocates for. The cooperative governance model means members genuinely control the infrastructure. The limitation is scale: a smaller user base means the surveillance correction is available primarily to already-organized progressive communities."
40,"Alaveteli","https://alaveteli.org",59.2,42,8,0.85,LOW,NONE,modifier,"Formal FOI rights mechanism across 25+ jurisdictions; documents dependence on FOI law quality and government responsiveness; M1 structural correction of information access asymmetry; decade-plus mySociety project"
41,"Open Ownership","https://www.openownership.org",58.9,36,15,0.6,MEDIUM,NONE,modifier,"Beneficial ownership transparency is a structural anti-corruption mechanism — the Senegal extractive industry case and UK Procurement Act influence demonstrate genuine policy adoption. What limits the score relative to Worker Info Exchange or Organise is that the direct beneficiaries are researchers and civil society rather than the populations whose rights are affected by corrupt contracting."
42,"Cortico","https://cortico.ai",58.7,44,5,0.80,LOW,NONE,modifier,"Underheard voices as specifically named excluded communities; disparity_tracking=true; multi-city documented engagement model; M3 triggered; Reid Hoffman/Knight/Carnegie backing moderates C5"
43,"Ciudadanía Inteligente","https://ciudadaniai.org",58.7,44,5,0.85,LOW,NONE,modifier,"Documented policy outcomes across Latin America; disparity tracking for marginalized communities; honest causation assessment; M3 for communities excluded from civic processes; OSF/Omidyar/Google.org/Ford funding"
44,"OpenProcurement","https://openprocurement.io",57.6,39,10,0.7,MEDIUM,NONE,criteria,"OpenProcurement's deployment as ProZorro in Ukraine produced $6 billion in documented procurement savings and direct anti-corruption outcomes, making this one of the strongest examples of a project that structurally corrects a significant power asymmetry rather than just making it visible. The score is limited by thin evidence of how civil society watchdogs were engaged in design and whether the transparency mechanism gives excluded suppliers genuine contestability rights."
45,"Principles for Public Participation in Procurement of AI","https://p4ai.net",57.2,42,6,0.6,MEDIUM,NONE,criteria,"This framework directly addresses the governance gap I care about most — who gets to shape the decision to deploy AI in public services. The multi-stakeholder methodology and documented influence on EU AI Act procurement guidelines suggest genuine policy traction. What it lacks is specific evidence of excluded community involvement in designing the principles."
46,"Adhocracy","https://adhocracy.plus",56.8,40,8,0.75,LOW,NONE,modifier,"Formal participatory budgeting in Berlin (Kiezkasse); M1 structural redistribution of budgeting authority to municipal residents; documents German-language focus and outcome attribution limitations"
47,"One Project","https://oneproject.org/",56.8,40,8,0.5,MEDIUM,NONE,criteria,"One Project's explicit framing around economic democracy — building infrastructure to connect participatory funds, community-led organisations, and solidarity economy networks — puts it firmly at the collaborates end of democratic depth, and the Horizon Fund's tracking of underrepresented communities demonstrates some attention to class dynamics. The thin outcome methodology and absence of documented limitations make it hard to assess whether the infrastructure actually redistributes economic decision-making to excluded communities."
48,"Humble Data Workshop","https://humbledata.org",56.2,42,5,0.75,MEDIUM,NONE,modifier,"Named excluded populations with named tech-sector exclusion mechanism; highest C2 in batch among non-governance tools; M3 active"
49,"ShineYourEye","https://www.shineyoureye.org",55.7,35,13,0.45,MEDIUM,NONE,modifier,"Nigerian citizens face a specific named exclusion mechanism — the absence of accessible, searchable legislative tracking infrastructure — that ShineYourEye directly corrects. The Nigerian context scores well on C5 and the focus on voter accountability in a complex civic environment demonstrates that the project is addressing a real structural gap rather than building on existing civic tech infrastructure."
50,"Community Tech","https://www.communitytech.network",55.7,35,13,0.5,MEDIUM,NONE,modifier,"The core proposition — technology built with, by and for communities that is locally accountable — names the mechanism by which civic tech fails excluded communities: technology designed externally for communities rather than by them. The policy report calling on UK government to ensure technology works for everyone is evidence of advocacy beyond network-building."
51,"Strike Map","https://strikemap.org",55.6,39,8,0.6,MEDIUM,NONE,criteria,"Strike Map documents collective worker action and makes labour solidarity visible and searchable — serving a documentation function that helps workers in disputes understand patterns across industries. The community reporting model and explicit disclaimer about coverage gaps show epistemic humility. What would elevate it further is evidence of how the map feeds back into worker organising rather than primarily serving researchers and journalists."
52,"Ethelo","https://ethelo.com",55.2,42,4,0.70,LOW,NONE,modifier,"Indigenous communities explicitly named among served populations in Metro Vancouver deployment; multi-party deliberation for collective decisions; M3 for indigenous population specificity; Telus/Deloitte/government backing moderates C5"
53,"CrowdJustice","https://www.crowdjustice.com",55.2,33,15,0.45,MEDIUM,NONE,modifier,"Access to legal challenge mechanisms is a specific named exclusion mechanism — legal action is prohibitively expensive without collective funding, and CrowdJustice directly enables people to pool resources for institutional challenges. The NHS GP surgeries case and other documented policy outcomes confirm structural impact. The for-profit model and limited self-examination of whether the platform systematically advantages well-connected campaigns is the gap that limits the score."
54,"FairBnb Coop","https://fairbnb.coop",55.0,41,5,0.65,MEDIUM,NONE,modifier,"Cooperative tourism platform redistributing value from extractive platforms to local communities; M1 for cooperative ownership model; currently offline due to security attack — operational status uncertain"
55,"Talk to the City","https://talktothecity.org",55.0,41,5,0.7,MEDIUM,MEDIUM,criteria,"The Silent Cry deployment for reentry challenges of formerly incarcerated people, alongside the Taiwan AI Assembly's 2,000-opinion deliberation, shows Talk to the City operating across populations and democratic contexts that score well on C2 and C6. What limits the score is insufficient evidence that the AI summaries actually shift institutional decisions rather than producing inputs absorbed into existing governance without changing power."
56,"CoBudget","https://cobudget.com",54.8,40,6,0.75,LOW,NONE,modifier,"Participatory budgeting with formal direct allocation of resources by groups; Cobudget Association cooperative governance; M1 for formal redistribution of financial decision-making authority; strong C6 democratic depth"
57,"Sci-Hub","https://sci-hub.se",54.6,39,7,0.6,MEDIUM,HIGH,modifier,"Sci-Hub is the most direct epistemic power asymmetry correction in this batch: it removes a specific named barrier (publisher paywall monopoly) that systematically excludes researchers in low-income countries from publicly-funded knowledge. The individual operation, legal precarity, and absence of participatory design are real limitations; I weight them less heavily than the structural correction it achieves in practice for the researchers most excluded."
58,"Give Food","https://www.givefood.org.uk",54.5,34,13,0.6,MEDIUM,NONE,modifier,"Food insecurity data made accessible for parliamentary advocacy — the Work and Pensions Committee use — demonstrates that evidence can shift policy when it names a structural need clearly. The geographic tracking of food insecurity and disparity identification show methodological commitment beyond simple data aggregation. I note that the focus on foodbanks as intermediaries means the actual food-insecure populations are several steps removed from the tool itself, which limits C3."
59,"Activist Handbook","https://activisthandbook.org",53.8,40,5,0.75,LOW,NONE,modifier,"Fully community-written wiki with iterative multi-stage contribution lifecycle; M5 for documented multi-stage engagement; Shuttleworth/Mozilla/OSF backing moderates C5"
60,"rsky","https://github.com/blacksky-algorithms/rsky",53.8,40,5,0.60,MEDIUM,NONE,modifier,"Community safety and self-governance as core design goals for AT Protocol; grassroots/indie; M1 for redistribution of platform governance to communities; strong C5 (volunteer-driven no institutional funding)"
61,"Loomio","https://www.loomio.org",53.5,34,12,0.6,MEDIUM,LOW,modifier,"Loomio's cooperative ownership model and documented use in the Mamdani mayoral campaign (13,000 members, zero paid staff, binding collective decisions) demonstrates genuine democratic depth at the collaborative/empowering end of the IAP2 spectrum. The limitation is that it primarily serves already-engaged communities with organizational infrastructure rather than populations with limited prior access to collective decision-making infrastructure."
62,"VFRAME","https://vframe.io",53.2,33,13,0.6,MEDIUM,NONE,modifier,"Computer vision for war crimes documentation addresses an epistemic power asymmetry — illegal munitions use goes undocumented without technical verification tools, enabling institutional impunity. Adoption by human rights organizations and evidence use in international humanitarian law proceedings confirms structural impact. The limitation is that VFRAME operates at one remove from affected populations."
63,"Objector.ai","https://www.objector.ai",52.9,36,9,0.55,MEDIUM,NONE,modifier,"Planning objection complexity is a genuine procedural barrier that systematically excludes communities from decisions about their built environment — Alexandra's constitution notes that forms and procedures are power-distributing artefacts. Objector.ai directly addresses this. I apply M4 at moderate magnitude because an AI tool that generates planning objections without documented accountability for the quality of those objections could shift the locus of legitimate participation without redistributing power."
64,"All Our Ideas","https://all-our-ideas.citizens.is",52.3,38,6,0.75,LOW,NONE,modifier,"Pairwise comparison for policy priority-setting; Iceland government consultation deployment with documented policy outcomes; M1 for formal participatory mechanism; Omidyar/NSF backing"
65,"Citizen OS","https://citizenos.com",52.3,38,6,0.75,LOW,NONE,modifier,"Formal democratic discussion and voting mechanisms; Estonia e-governance integration documented; M1 for formal participatory framework; documents digital literacy and language barriers as limitations"
66,"Open Collective","https://opencollective.com",51.6,39,4,0.6,MEDIUM,HIGH,criteria,"Open Collective's transition to OFiCo collective governance and its financial infrastructure for mutual aid groups and grassroots organisations demonstrates genuine attention to the power dynamics of civic finance. The medium C4 score reflects a gap: the dossier doesn't document whether the platform has examined how its fiscal hosting model might reproduce geographic and jurisdictional inequalities rather than correcting them."
67,"ClimateAction.tech","https://climateaction.tech",51.3,38,5,0.70,LOW,NONE,modifier,"100% volunteer cooperative network; no paid staff or known funders; highest C5 among scored projects; M5 for documented multi-stage volunteer community engagement"
68,"Gender Pay Gap Service","https://gender-pay-gap.service.gov.uk",51.1,37,6,0.75,LOW,NONE,modifier,"Mandatory disclosure mechanism for named population (women workers) excluded by specific mechanism (gender pay gap); M1 for formal correction of pay transparency asymmetry; documents threshold limitations (250+ employees only)"
69,"Privacy Badger","https://privacybadger.org",51.1,37,6,0.7,LOW,HIGH,criteria,"Privacy Badger addresses a structural surveillance power asymmetry — giving users technical sovereignty over third-party tracking — and its documented response to Google's vulnerability disclosure (changing from heuristic to pre-trained blocking) is exactly the kind of self-examination of technical assumptions my constitution rewards at C4. The score is constrained by generic beneficiary framing and limited lifecycle engagement with affected communities beyond the developer/user relationship."
70,"WhatDoTheyKnow","https://www.whatdotheyknow.com",50.5,34,9,0.6,LOW,MEDIUM,modifier,"FOI requests are a formal legal mechanism for citizens to compel government transparency, and WhatDoTheyKnow makes those rights accessible and visible at scale. The score reflects genuine democratic empowerment. I flag medium popularity risk — this is a well-known mySociety product — and note that the primary limitation is the FOI system's dependence on public authority compliance, which means the mechanism works best against responsive institutions."
71,"PlaceCal","https://github.com/geeksforsocialchange/placecal",50.3,38,4,0.70,MEDIUM,NONE,criteria,"Community-based organiser tool with documented engagement; strong C3+C5; M5 active for multi-stage lifecycle"
72,"Relational Tech Project","https://relationaltechproject.org",50.3,38,4,0.5,HIGH,NONE,criteria,"The by-with-and-for-neighbors mission makes explicit a participatory design ethic that most civic tech projects claim but few document; the grassroots/indie status and absence of professional communications infrastructure is itself evidence of structural disadvantage consistent with C5. The thin dossier is the main constraint — I cannot fully assess whether the participatory ethos translates into documented multi-stage engagement or specific named excluded populations served."
73,"Anna's Archive","https://annas-archive.org",49.7,35,7,0.35,HIGH,NONE,modifier,"Researchers/students excluded from academic knowledge by specific named mechanism (paywalls/copyright restrictions); M3 triggered; C6 suspended and C3/C4 floored per underdog protection (completeness 0.35); solo/grassroots with legal exposure"
74,"Atlas of Surveillance","https://atlasofsurveillance.org",48.1,37,3,0.75,LOW,NONE,modifier,"EFF project documenting police surveillance by demographics; strong C4 with disparity tracking; M7 for analysis of who benefits from surveillance asymmetry; EFF backing moderates C5"
75,"Right To Know","https://right-to-know.org",47.7,35,5,0.6,MEDIUM,NONE,criteria,"Right To Know gives communities a toolkit to discover environmental health hazards and has documented environmental justice framing and disparity tracking — naming both the population (environmental justice advocates) and a class of excluded knowledge (community awareness of local hazards). What stops it scoring higher is limited evidence of lifecycle engagement with communities in design and limited formal contestability mechanisms beyond information provision."
76,"Aleph (OCCRP)","https://aleph.occrp.org",46.7,35,4,0.85,LOW,HIGH,modifier,"Panama/Pandora Papers investigations with strong documented policy outcomes; M7 for mapping corporate-government complicity; honest C4 documents USAID dependency and editorial risk; pop_risk HIGH given prestige"
77,"Watch Duty","https://www.watchduty.org",45.4,29,10,0.45,MEDIUM,NONE,modifier,"Real-time wildfire information addresses a genuine life-safety information asymmetry — communities in wildfire-prone areas previously had limited access to the real-time situational data that first responders held. The volunteer first responder model is a genuine form of community participation in public safety infrastructure. The score is limited by the absence of any documented self-examination of who the platform reaches and who remains excluded by digital access."
78,"Public AI Inference Utility","https://publicai.co/",45.0,32,6,0.5,HIGH,NONE,criteria,"Public AI addresses the most acute AI power asymmetry in current civic tech: the concentration of inference infrastructure in a handful of commercial entities. Being very new (September 2025) with limited track record means governance and participatory engagement evidence is thin, which is why I flag high uncertainty; the M1 modifier applies because the theory of correction is structural and the Hugging Face partnership is a real mechanism."
79,"Beckton","https://richardpope.org/2017/03/05/beckton-a-tool-to-build",44.5,34,3,0.5,HIGH,NONE,criteria,"Beckton's conditional-commitment mechanism — only charging when critical mass is achieved — is a genuinely clever inversion of the free-rider problem for trade unions and civic groups, and the prototype rule applies because the democratic empowerment theory is described rather than just claimed. The honest never-quite-finished acknowledgement is the kind of reflexivity I value; the thin evidence base and prototype status keep the certainty low."
80,"Open Digital Planning","https://opendigitalplanning.org/",44.2,33,4,0.7,LOW,NONE,criteria,"Open Digital Planning's council-of-councils governance model and deployment across 100+ Local Planning Authorities demonstrates genuine multi-stage engagement at the infrastructure level, and digitising planning creates real accessibility gains for residents. What holds it back is that the design process centres planning authorities rather than residents — planning consultation has historically been dominated by those with time and literacy to engage, a structural exclusion the dossier doesn't examine."
81,"RxC Quadratic Voting","https://quadraticvote.radicalxchange.org",44.0,32,5,0.6,MEDIUM,NONE,criteria,"Quadratic voting's redistribution of voting power toward intensity of preference is a genuine structural intervention in collective decision-making, and RadicalXChange's explicit theory of democratic mechanism earns C6 credit. The generic beneficiary framing and absence of specific excluded-population engagement limit C2; this is a tool looking for contexts of structural exclusion rather than one built within them."
82,"Humanitarian Data Exchange","https://data.humdata.org",43.0,32,4,0.75,LOW,MEDIUM,modifier,"Serves humanitarian communities in active crisis zones (specific named populations); M3 for excluded access to humanitarian coordination data; geographic coverage gaps documented; pop_risk MEDIUM as UN/OCHA infrastructure"
83,"sourceAFRICA","https://sourceafrica.net",42.8,31,5,0.7,MEDIUM,NONE,criteria,"sourceAFRICA provides infrastructure for African investigative journalism — an epistemic power correction in a continent where press freedom and institutional accountability are structurally constrained. The ANCIR/Code for Africa governance gives it institutional legitimacy, but it sits at the informs end of democratic depth: it supports watchdog journalism rather than empowering affected communities to act on the documents themselves."
84,"Cybersecurity for Democracy","https://cybersecurityfordemocracy.org",42.7,35,0,0.75,LOW,NONE,criteria,"Policy influence on EU DSA platform regulation; disparity_tracking=true with demographic analysis; strong C4 with limitations documented; research-centre framing limits direct community centering"
85,"Bellingcat OSINT Toolkit","https://www.bellingcat.com/resources/how-tos",41.8,31,4,0.85,LOW,HIGH,modifier,"Enables accountability journalism on corporate-political power networks; M7 for investigation of intra-class dynamics; honest C4 documents independence controversy; pop_risk HIGH given prestige and prizes"
86,"Neighbourhood Warmth","https://www.mysociety.org/climate/neighbourhood-warmth",41.8,31,4,0.45,MEDIUM,NONE,criteria,"Community retrofit organizing addresses a real structural barrier — individual homeowners cannot access coordinated retrofit assessment without collective infrastructure. The team-formation model is genuinely collaborative in design intention. What limits the score is that this is prototype-stage with no published metrics, and the focus on homeowners means it addresses a relatively resource-rich population compared to renters and social housing residents."
87,"CoTech","https://www.cotech.uk",41.5,34,0,0.65,MEDIUM,NONE,criteria,"UK cooperative tech network with strong C6 cooperative governance; values-aligned tech businesses not maximally excluded populations; moderate across remaining criteria; member-supported model"
88,"Labour Xchange","https://labourxchange.uk",41.5,34,0,0.70,MEDIUM,NONE,criteria,"Strong C2 naming excluded worker populations; but limited participatory governance and critical self-examination"
89,"Land Explorer","https://landexplorer.coop",41.5,34,0,0.70,MEDIUM,NONE,criteria,"Cooperative land data tool with equity framing; moderate across criteria; no strong modifiers triggered"
90,"ODK (Open Data Kit)","https://getodk.org",40.6,30,4,0.80,LOW,NONE,modifier,"Data collection infrastructure for resource-constrained environments; M3 for Global South health/election communities; documents technical capacity requirements; Gates/World Bank/USAID/Omidyar moderates C5"
91,"CommunityRule","https://communityrule.info",40.2,33,0,0.70,LOW,NONE,criteria,"Governance toolkit for community self-governance; strong C6 democratic depth; documents English-speaking focus as limitation; Mozilla/Knight/Omidyar funding; moderate across criteria"
92,"The Decelerator","https://thedecelerator.org",40.2,33,0,0.70,LOW,NONE,criteria,"Free support for civil society organizational endings; disparity_tracking=true; honest documents scale and UK-only limitations; Pears/PHF/Esmee Fairbairn funding; time-limited project"
93,"Democracy Club Developer API","https://democracyclub.org.uk/projects/api",40.2,33,0,0.70,LOW,NONE,criteria,"Voter information API with community_ownership=true; volunteer-led across multiple UK elections; Omidyar/Google.org/Mozilla/Electoral Commission funding; voters broadly not specifically excluded populations"
