rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
23,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,73.7,64.7,9,1.0,LOW,LOW,modifier,
24,LittleSis,https://littlesis.org,72.4,59.4,13,1.0,LOW,LOW,modifier,
25,OpenSanctions,https://www.opensanctions.org,71.9,55.9,16,1.0,LOW,HIGH,modifier,
26,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,71.9,55.9,16,0.93,LOW,HIGH,modifier,
27,Open Council Network,https://opencouncil.network,71.8,59.8,12,0.93,LOW,LOW,modifier,
28,Decidim,https://decidim.org,71.7,62.7,9,0.93,LOW,HIGH,modifier,
29,WhatDoTheyKnow,https://www.whatdotheyknow.com,71.5,55.5,16,0.93,LOW,LOW,modifier,
30,Ethelo,https://ethelo.com,71.2,62.2,9,1.0,LOW,LOW,modifier,
31,Creative Commons,https://creativecommons.org,70.4,61.4,9,1.0,LOW,HIGH,modifier,
32,Cobudget,https://cobudget.com,70.2,61.2,9,1.0,LOW,LOW,modifier,
33,Polis,https://github.com/compdemocracy/polis,70.0,58.0,12,1.0,LOW,HIGH,modifier,
34,CommunityRule,https://communityrule.info,69.3,57.3,12,0.93,LOW,LOW,modifier,
35,The Circuit,https://thecircuit.cc,68.9,63.9,5,0.93,LOW,LOW,criteria,
36,FixMyStreet,https://www.fixmystreet.com,68.9,56.9,12,0.93,LOW,HIGH,modifier,
37,Bonfire,https://bonfirenetworks.org,68.8,59.8,9,1.0,LOW,LOW,modifier,
38,Parse The Bill,https://parsethebill.com,68.5,56.5,12,0.93,LOW,HIGH,modifier,
39,CKAN,https://ckan.org,68.4,60.4,8,1.0,LOW,HIGH,modifier,
40,Your Priorities,https://yrpri.org,68.3,56.3,12,1.0,LOW,LOW,modifier,
41,CiviCRM,https://civicrm.org,68.2,59.2,9,1.0,LOW,LOW,modifier,
42,oTree,https://www.otree.org,67.5,55.5,12,1.0,LOW,LOW,modifier,
43,Diia,https://expo.diia.gov.ua,67.4,59.4,8,1.0,LOW,LOW,modifier,
44,Strike Map,https://strikemap.org,67.4,59.4,8,0.87,LOW,LOW,modifier,
45,Constitute Project,https://constituteproject.org,67.3,55.3,12,0.93,LOW,LOW,modifier,
46,Loomio,https://www.loomio.org,67.2,58.2,9,0.93,LOW,HIGH,modifier,
47,Populate Tools,https://github.com/populatetools,67.0,52.0,15,0.93,LOW,HIGH,modifier,
48,Fatebook,https://fatebook.io,66.4,58.4,8,1.0,LOW,LOW,modifier,
49,Open Science Framework,https://osf.io,66.4,58.4,8,0.93,LOW,LOW,modifier,
50,Matrix,https://matrix.org,66.4,58.4,8,1.0,LOW,LOW,modifier,
51,Fairbnb.coop,https://fairbnb.coop,66.3,57.3,9,1.0,LOW,LOW,modifier,
52,Relational Tech Project,https://relationaltechproject.org,66.3,54.3,12,0.73,LOW,NONE,modifier,
53,Talk to the City,https://talktothecity.org,66.3,54.3,12,1.0,LOW,LOW,modifier,
54,Discourse,https://www.discourse.org,65.9,53.9,12,1.0,LOW,LOW,modifier,
55,OpenCRVS,https://www.opencrvs.org,65.5,57.5,8,1.0,LOW,HIGH,modifier,
56,Tor Project,https://www.torproject.org,65.4,60.4,5,0.93,LOW,HIGH,criteria,
57,Murmurations Protocol,https://murmurations.network,65.3,53.3,12,0.93,LOW,HIGH,modifier,
58,LiquidFeedback,https://liquidfeedback.com,65.0,62.0,3,1.0,LOW,LOW,criteria,
59,GlobaLeaks,https://www.globaleaks.org,64.9,56.9,8,1.0,LOW,LOW,modifier,
60,WriteToThem,https://www.writetothem.com,64.5,52.5,12,0.93,LOW,LOW,modifier,
61,Bluesky Social,https://github.com/bluesky-social,64.5,56.5,8,1.0,LOW,HIGH,modifier,
62,Aleph (OCCRP),https://aleph.occrp.org,64.5,52.5,12,0.93,LOW,LOW,modifier,
63,Nook CRM,https://nookcrm.com,63.5,54.5,9,0.93,LOW,LOW,modifier,
64,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,63.5,54.5,9,0.93,LOW,HIGH,modifier,
65,Open Collective,https://opencollective.com,63.3,54.3,9,0.93,LOW,LOW,modifier,
66,Manifold Markets,https://manifold.markets,63.0,51.0,12,0.93,LOW,LOW,modifier,
67,PolicyEngine,https://policyengine.org/uk,62.9,54.9,8,1.0,LOW,LOW,modifier,
68,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,62.9,53.9,9,0.93,LOW,LOW,modifier,
69,Alaveteli,https://alaveteli.org,62.3,56.3,6,0.93,LOW,LOW,criteria,
70,Channel.org,https://channel.org,62.3,53.3,9,0.87,LOW,LOW,modifier,
71,CharmVerse,https://charmverse.io,62.3,53.3,9,0.93,LOW,LOW,modifier,
72,Citizen OS,https://citizenos.com/platform,62.3,53.3,9,0.93,LOW,LOW,modifier,
73,Participa (Podemos),https://github.com/podemos-info/participa,61.6,49.6,12,1.0,LOW,HIGH,modifier,
74,AISafety.info,https://aisafety.info,61.5,56.5,5,1.0,LOW,LOW,criteria,
75,sourceAFRICA,https://sourceafrica.net,61.5,53.5,8,0.93,LOW,HIGH,modifier,
76,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,61.5,46.5,15,0.93,LOW,HIGH,modifier,
77,Snowdrift.coop,https://snowdrift.coop,61.4,52.4,9,0.93,LOW,LOW,modifier,
78,One Project,https://oneproject.org,61.4,49.4,12,1.0,LOW,LOW,modifier,
79,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,61.1,53.1,8,0.93,LOW,LOW,modifier,
80,Shared Digital Guides,https://www.shareddigitalguides.org.uk,60.9,52.9,8,0.87,LOW,LOW,modifier,
81,GOV.UK Forms,https://www.forms.service.gov.uk,60.9,52.9,8,0.93,LOW,LOW,modifier,
