rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
113,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,56.0,48.0,8,0.93,LOW,HIGH,modifier,
114,Journal of Open Source Software,https://joss.theoj.org,55.6,50.6,5,0.93,LOW,LOW,criteria,
115,ClimateAction.Tech,https://climateaction.tech,55.6,50.6,5,0.93,LOW,LOW,criteria,
116,Coral,https://coralproject.net,55.6,50.6,5,1.0,LOW,LOW,criteria,
117,Riseup,https://riseup.net,55.5,43.5,12,0.93,LOW,HIGH,modifier,
118,The Accountability Project,https://publicaccountability.org,55.3,47.3,8,0.8,LOW,NONE,modifier,
119,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,55.1,47.1,8,0.93,LOW,LOW,modifier,
120,GOV.UK Notify,https://www.notifications.service.gov.uk,55.1,47.1,8,0.93,LOW,LOW,modifier,
121,Go Vocal,https://www.govocal.com,55.0,51.0,4,0.93,LOW,LOW,criteria,
122,Open Referral UK,https://openreferraluk.org,54.7,46.7,8,1.0,LOW,LOW,modifier,
123,Mozilla Data Collective,https://datacollective.mozillafoundation.org,54.6,49.6,5,1.0,LOW,HIGH,criteria,
124,Logos,https://logos.co,54.2,42.2,12,0.93,LOW,LOW,modifier,
125,Security First / Umbrella,https://secfirst.org,54.1,46.1,8,1.0,LOW,LOW,modifier,
126,The Government Says,https://thegovernmentsays.com,54.1,46.1,8,0.93,LOW,LOW,modifier,
127,docs.plus,https://docs.plus,54.1,45.1,9,0.87,LOW,LOW,modifier,
128,PlaceCal,https://github.com/geeksforsocialchange/placecal,54.1,45.1,9,0.93,LOW,HIGH,modifier,
129,Pastecal,https://github.com/kazad/pastecal,54.1,45.1,9,0.93,LOW,HIGH,modifier,
130,Pursuance Project,https://pursuanceproject.org,54.1,45.1,9,0.93,LOW,LOW,modifier,
131,Theft Bisect,https://onodi.co/bisect,54.0,49.0,5,1.0,LOW,LOW,criteria,
132,DoNotPay,https://www.donotpay.com,54.0,49.0,5,0.93,LOW,LOW,criteria,
133,TheyWorkForYou,https://www.theyworkforyou.com,54.0,50.0,4,0.93,LOW,LOW,criteria,
134,Atlas of Surveillance,https://atlasofsurveillance.org,53.9,53.9,0,1.0,LOW,LOW,criteria,
135,Mastodon C,https://www.mastodonc.com,53.7,45.7,8,1.0,LOW,HIGH,modifier,
136,semanticClimate,https://semanticclimate.github.io,53.6,48.6,5,0.93,LOW,LOW,criteria,
137,dDocs,https://ddocs.new,53.6,48.6,5,0.67,MEDIUM,NONE,criteria,
138,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,53.2,41.2,12,0.93,LOW,HIGH,modifier,
139,rsky,https://github.com/blacksky-algorithms/rsky,53.1,45.1,8,0.93,LOW,LOW,modifier,
140,OpenBudgets.eu,https://openbudgets.eu,53.0,48.0,5,0.93,LOW,HIGH,criteria,
141,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,52.5,52.5,0,1.0,LOW,HIGH,criteria,
142,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,52.5,43.5,9,0.93,LOW,LOW,modifier,
143,Open Council Data UK,https://opencouncildata.co.uk,52.4,48.4,4,0.87,LOW,LOW,criteria,
144,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,52.4,48.4,4,0.87,LOW,LOW,criteria,
145,meet.coop,https://www.meet.coop,52.4,49.4,3,0.93,LOW,LOW,criteria,
146,The Commons Social Change Library,https://commonslibrary.org,52.4,48.4,4,0.87,LOW,LOW,criteria,
147,Tech Coops List,https://tech-coops.xyz,52.2,48.2,4,0.93,LOW,HIGH,criteria,
148,Nym,https://nymtech.net,52.1,47.1,5,0.93,LOW,LOW,criteria,
149,Cortico,https://cortico.ai/platform,52.0,48.0,4,0.93,LOW,LOW,criteria,
150,Turkopticon,https://turkopticon.ucsd.edu,51.7,46.7,5,0.93,LOW,LOW,criteria,
151,Nyaaya,https://nyaaya.org,51.7,46.7,5,1.0,LOW,HIGH,criteria,
152,Agencies for Good,https://www.agenciesforgood.org,51.5,47.5,4,0.87,LOW,HIGH,criteria,
153,Mastodon,https://github.com/mastodon/mastodon,51.5,52.5,-1,1.0,LOW,HIGH,criteria,
154,EDGAR,https://github.com/bellingcat/edgar,51.1,43.1,8,0.93,LOW,LOW,modifier,
155,Granitt,https://granitt.io,51.1,47.1,4,0.8,LOW,NONE,criteria,
156,SecureDrop,https://securedrop.org,51.1,46.1,5,0.93,LOW,LOW,criteria,
157,Spartacus,https://spartacus.app,51.1,47.1,4,0.87,LOW,LOW,criteria,
158,Humble Data Workshop,https://humbledata.org,51.1,47.1,4,0.93,LOW,LOW,criteria,
159,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,51.0,51.0,0,1.0,LOW,HIGH,criteria,
160,Monitor Mamdani,https://monitormamdani.com,50.7,46.7,4,0.8,LOW,MEDIUM,criteria,
161,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,50.7,45.7,5,0.93,LOW,LOW,criteria,
162,Modular Politics,https://arxiv.org/abs/2005.13701,50.5,46.5,4,0.87,LOW,LOW,criteria,
