rank,name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
184,Granicus,https://granicus.com/uk,48.6,48.6,0,0.87,LOW,HIGH,criteria,
185,ОПОРА (Opora),https://www.oporaua.org,48.2,42.2,6,0.93,LOW,LOW,criteria,
186,Idealist,https://idealist.org,48.1,44.1,4,0.87,LOW,LOW,criteria,
187,PatCit,https://github.com/cverluise/patcit,48.1,43.1,5,1.0,LOW,HIGH,criteria,
188,CivicPress,https://civicpress.io,48.1,43.1,5,1.0,LOW,LOW,criteria,
189,GrantNav,https://grantnav.threesixtygiving.org,48.1,43.1,5,0.93,LOW,LOW,criteria,
190,Who Targets Me Trends,https://trends.whotargets.me,48.0,48.0,0,0.87,LOW,LOW,criteria,
191,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,47.7,42.7,5,0.93,LOW,LOW,criteria,
192,Choose a License,https://choosealicense.com,47.7,42.7,5,0.93,LOW,LOW,criteria,
193,Privacy Badger,https://privacybadger.org,47.6,47.6,0,0.93,LOW,LOW,criteria,
194,Democracy Fund Open Source,https://www.dfos.com,47.5,43.5,4,0.8,LOW,NONE,criteria,
195,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,46.7,46.7,0,1.0,LOW,LOW,criteria,
196,Harmonica,https://harmonica.chat,46.5,42.5,4,0.87,LOW,HIGH,criteria,
197,CiviClick,https://civiclick.com,46.5,42.5,4,0.8,LOW,NONE,criteria,
198,Open Letter,https://openletter.earth,46.2,42.2,4,0.73,LOW,NONE,criteria,
199,Timecounts,https://timecounts.org,46.2,42.2,4,0.87,LOW,LOW,criteria,
200,Viewpoints,https://viewpoints.xyz,46.2,42.2,4,0.93,LOW,LOW,criteria,
201,Civic Tech Field Guide,https://civictech.guide,45.6,41.6,4,0.93,LOW,LOW,criteria,
202,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,45.6,41.6,4,0.93,LOW,LOW,criteria,
203,Organise,https://www.organise.org.uk,45.6,41.6,4,0.87,LOW,LOW,criteria,
204,WardWatch,https://wardwatch.uk,45.3,45.3,0,0.93,LOW,LOW,criteria,
205,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,45.2,40.2,5,0.93,LOW,LOW,criteria,
206,Metaculus,https://metaculus.com,45,58.0,8,1.0,LOW,LOW,procedural,
207,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,45,47.1,8,0.87,LOW,LOW,procedural,
208,Give Food,https://www.givefood.org.uk,45,52.0,5,0.87,LOW,LOW,procedural,
209,Members' Interests,https://membersinterests.org.uk,45,42.2,4,0.87,LOW,LOW,procedural,
210,PlanIT,https://planit.org.uk,45,41.8,4,0.8,LOW,NONE,procedural,
211,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,45,54.1,8,1.0,LOW,HIGH,procedural,
212,Humanitarian Data Exchange,https://data.humdata.org,45,49.0,8,0.93,LOW,LOW,modifier,
213,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,45,46.5,9,0.87,LOW,LOW,procedural,
214,CrowdJustice,https://www.crowdjustice.com,45,44.1,4,0.87,LOW,LOW,procedural,
215,PolicyKit,https://policykit.org,45,42.2,12,1.0,LOW,LOW,procedural,
216,Anna's Archive,https://annas-archive.pm,45,41.8,8,0.87,LOW,LOW,procedural,
217,Spacetube,https://spacetu.be,44.8,39.8,5,0.87,LOW,LOW,criteria,
218,MP Twitter Bios,https://www.mptwitterbios.co.uk,44.2,40.2,4,0.93,LOW,LOW,criteria,
219,Schema.org,https://schema.org,44.1,44.1,0,0.6,MEDIUM,NONE,criteria,
220,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,43.9,35.9,8,0.93,LOW,LOW,modifier,
221,Community Tech,https://www.communitytech.network,43.6,39.6,4,0.87,LOW,LOW,criteria,
222,User Research Library,https://research.localgov.digital,43.3,43.3,0,0.87,LOW,HIGH,criteria,
223,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,43.1,43.1,0,0.93,LOW,LOW,criteria,
224,GovTrack.us,https://www.govtrack.us,43.1,45.1,-2,0.93,LOW,LOW,criteria,
225,FarmerChat,https://farmerchat.digitalgreen.org,43.1,43.1,0,0.87,LOW,LOW,criteria,
226,Pear by Holepunch,https://docs.holepunch.to,42.9,34.9,8,0.93,LOW,LOW,modifier,
227,whatsmeow,https://github.com/tulir/whatsmeow,42.9,34.9,8,0.73,LOW,MEDIUM,modifier,
228,Prolific,https://www.prolific.com,42.7,42.7,0,0.93,LOW,LOW,criteria,
229,Global Fact-Check Bot (GFC),https://globalfactcheck.bot,42.7,42.7,0,0.93,LOW,LOW,criteria,
230,Collaborative Data Patterns,https://collaborative-data.theodi.org,42.6,38.6,4,0.87,LOW,LOW,criteria,
231,The Data Trusts Initiative,https://datatrusts.uk,42.2,42.2,0,0.93,LOW,LOW,criteria,
232,Libertrium,https://liberopinion.com,42.2,38.2,4,0.8,LOW,NONE,criteria,
233,Overton,https://overton.io,42.2,38.2,4,0.87,LOW,LOW,criteria,
234,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,42.2,42.2,0,0.93,LOW,LOW,criteria,
235,DoGooder,https://dogooder.co,42.2,38.2,4,0.73,LOW,NONE,criteria,
236,Find local consultations,https://gov.uk/find-local-consultations,42.2,38.2,4,0.8,LOW,MEDIUM,criteria,
237,We Live It,https://www.welivedit.ai,42.2,38.2,4,0.87,LOW,LOW,criteria,
238,WhatGov,https://www.whatgov.co.uk,42.2,39.2,3,0.87,LOW,HIGH,criteria,
239,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,41.8,41.8,0,0.87,LOW,HIGH,criteria,
240,Campaign Tracker,https://www.campaigntracker.nl/en,41.7,45.7,-4,1.0,LOW,HIGH,criteria,
241,Kagi SlopStop,https://blog.kagi.com/slopstop,41.6,47.6,-6,1.0,LOW,LOW,criteria,
242,UK Parliament Developer Portal,https://developer.parliament.uk,41.4,41.4,0,0.73,LOW,NONE,criteria,
243,Service Manual,https://www.gov.uk/service-manual,41.3,33.3,8,0.93,LOW,LOW,modifier,
