title,url,desc
ODK (Open Data Kit),https://getodk.org,"Open-source tools for collecting, managing, and using data in resource-constrained environments"
mySociety Datasets and APIs,https://data.mysociety.org,"Open datasets and APIs for democracy, transparency, and community engagement"
Ethelo,https://ethelo.com,The world's leading group solutions technology — a multi-party scenario analysis engine that finds fair solutions with broad support.
Cobudget,https://cobudget.com,"Bring people, ideas and money together, encouraging participation at every stage"
Citizen OS,https://citizenos.com/platform/,"Secure, free and open-source participation platform for meaningful discussions and democratic decisions"
Interoperable Deliberative Tools,https://metagov.org/projects/interop,Homebase for interoperable deliberative tools enabling governance beyond voting and commenting
mySociety Datasets and APIs,https://data.mysociety.org,"Open datasets and APIs for democracy, transparency, and community engagement"
Open Digital Planning,https://opendigitalplanning.org,Planning services designed by councils for councils — a community of Local Planning Authorities transforming England's digital planning system
Polis,https://github.com/compdemocracy/polis,Open-source AI-powered platform for large-scale open-ended public feedback and deliberation
AlgorithmWatch,https://algorithmwatch.org,"A non-governmental, non-profit organization based in Berlin and Zurich that fights for a world where algorithms and Artificial Intelligence (AI) do not weaken justice, human rights, democracy, and sustainability but strengthen them."
vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,Taiwan's open digital democracy platform for collaborative online public consultation on legislation
Gapminder Worldview Upgrader,https://upgrader.gapminder.org,Important stuff most people get wrong — a free educational tool to help people rid themselves of common systematic misconceptions about global development
Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,A toolkit for open source researchers - your place to discover tools for online investigations
DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,Master copies of the DISARM disinformation TTP frameworks for describing and countering disinformation incidents
AlgorithmWatch,https://algorithmwatch.org,"A non-governmental, non-profit organization based in Berlin and Zurich that fights for a world where algorithms and Artificial Intelligence (AI) do not weaken justice, human rights, democracy, and sustainability but strengthen them."
Decidim,https://decidim.org,"A free/libre, open and safe digital platform for citizen participation. Reprogramming democracy is now possible."
LiquidFeedback,https://liquidfeedback.com,Liquid democracy software for transparent proposal development and collective decision-making
Martus,https://www.martus.org,"Free, open source secure information collection and management tool for human rights activists"
Journalist Studio,https://journaliststudio.google.com,"A collection of tools to empower journalists to do their work more efficiently, creatively, and securely"
Who Targets Me Trends,https://trends.whotargets.me,Platform for tracking and analyzing digital political advertising across Meta and Google in 60+ countries
