slug,name,pr_number,pr_url,criterion_index,criterion_label,criterion_title,weight
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","6","C6","Public health and government digital infrastructure","10"
"david-powell","David Powell","71","https://github.com/nwspk/politech-awards-2026/pull/71","7","C7","Environmental sustainability","6"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","1","C1","Democratic resilience utility","20 pts (high)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","2","C2","Inclusivity of non-Western and crisis contexts","20 pts (high)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","3","C3","Psychological/behavioural depth of intervention","12 pts (medium)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","4","C4","Strategic impact clarity (theory of change)","12 pts (medium)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","5","C5","Implementation maturity and real deployment","12 pts (medium)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","6","C6","Open access and anti-capture design","6 pts (low)"
"davit-jintcharadze","Davit Jintcharadze","86","https://github.com/nwspk/politech-awards-2026/pull/86","7","C7","Humanitarian and dignity-centred framing","6 pts (low)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","1","Criterion 1","Accessibility of civic and political technology for excluded communities","HIGH (max 20 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","2","Criterion 2","Open source commitment and community governance","HIGH (max 20 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","3","Criterion 3","Making government and civic processes legible and navigable","HIGH (max 20 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","4","Criterion 4","Inclusive community-building as a dimension of the project's design","MEDIUM (max 12 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","5","Criterion 5","Implementation maturity and real-world deployment","MEDIUM (max 12 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","6","Criterion 6","AI and technology as community infrastructure, not surveillance infrastructure","MEDIUM (max 12 pts)"
"fatima-sarah-khalid","Fatima Sarah Khalid","67","https://github.com/nwspk/politech-awards-2026/pull/67","7","Criterion 7","Cross-jurisdictional replicability and knowledge sharing","LOW (max 6 pts)"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","1","C1","Digital commons protection and anti-extractivism","HIGH — 20 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","2","C2","Civic engagement and participatory democracy enablement","HIGH — 20 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","3","C3","Data for social good — rigour applied to public benefit","HIGH — 20 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","4","C4","Social cohesion, belonging, and equity of access","MEDIUM — 12 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","5","C5","Interdisciplinary approach and creative methodology","MEDIUM — 12 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","6","C6","Transparency, accountability, and epistemic honesty","MEDIUM — 12 points"
"francesca-galli","Francesca Galli","88","https://github.com/nwspk/politech-awards-2026/pull/88","7","C7","Community ownership and local grounding","LOW — 6 points"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","1","Criterion 1","Free and open access to tools — removal of access barriers","high (max 20 pts)"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","2","Criterion 2","Direct benefit to practitioners and communities — not organisations or platforms","high (max 20 pts)"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","3","Criterion 3","Anti-extraction stance — independence from corporate platforms and surveillance infrastructure","high (max 20 pts)"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","4","Criterion 4","Community journalism and democratic participation infrastructure","medium (max 12 pts)"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","5","Criterion 5","Technology in service of human skill — tools that augment, not replace","medium (max 12 pts)"
"beacon","Beacon","72","https://github.com/nwspk/politech-awards-2026/pull/72","6","Criterion 6","Design ethics and intentionality — craft as a political choice","low (max 6 pts)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","1","Criterion 1","Community Ownership and Governance Model","HIGH (20 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","2","Criterion 2","Technological Sovereignty / Self-Hosting Capability","HIGH (20 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","3","Criterion 3","Anti-Extraction Innovation Design","HIGH (20 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","4","Criterion 4","Privacy by Design and Data Ethics","MEDIUM (12 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","5","Criterion 5","Accessibility and Inclusive Participation","MEDIUM (12 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","6","Criterion 6","Environmental Responsibility and Long-Term Thinking","MEDIUM (12 points)"
"gamithra-marga","Gamithra Marga","68","https://github.com/nwspk/politech-awards-2026/pull/68","7","Criterion 7","Open Government and Democratic Transparency","LOW (6 points)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","1","Criterion 1","Democratic infrastructure quality and accessibility","HIGH (max 20 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","2","Criterion 2","Evidence-based design and epistemic rigour","HIGH (max 20 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","3","Criterion 3","Participation infrastructure for low-resource organising","HIGH (max 20 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","4","Criterion 4","Practical deployment and real-world uptake","MEDIUM (max 12 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","5","Criterion 5","Coalition-building and cross-factional utility","MEDIUM (max 12 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","6","Criterion 6","Transparency and trust-building in institutions","MEDIUM (max 12 pts)"
"hannah-orourke","Hannah O'Rourke","84","https://github.com/nwspk/politech-awards-2026/pull/84","7","Criterion 7","AI governance and responsible technology framing","LOW (max 6 pts)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","1","Criterion 1","Budget and treasury transparency as civic infrastructure","high (20 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","2","Criterion 2","Governance legibility — making power and decision-making visible","high (20 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","3","Criterion 3","Collective ownership and community governance of infrastructure","high (20 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","4","Criterion 4","Practical deployment and real-world use","medium (12 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","5","Criterion 5","Interoperability and open standards","medium (12 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","6","Criterion 6","Political infrastructure focus (not just political content)","medium (12 points)"
"huda-abdirahim","Huda Abdirahim","74","https://github.com/nwspk/politech-awards-2026/pull/74","7","Criterion 7","Legitimacy and accountability — is the project itself accountable?","low (6 points)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","1","Criterion 1","Safety-consciousness and interpretability by design","HIGH (20 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","2","Criterion 2","Public-interest deployment with real beneficiaries","HIGH (20 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","3","Criterion 3","Open infrastructure and community enablement","HIGH (20 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","4","Criterion 4","Evidence of deployment and implementation maturity","MEDIUM (12 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","5","Criterion 5","Participatory design and governance model","MEDIUM (12 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","6","Criterion 6","Systemic risk awareness and mitigation orientation","MEDIUM (12 pts)"
"jamie-coombes","Jamie Coombes","70","https://github.com/nwspk/politech-awards-2026/pull/70","7","Criterion 7","Originality and distinctiveness of approach","LOW (6 pts)"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","1","C1","Campaign Infrastructure & Effectiveness","HIGH — 20 pts"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","2","C2","Information Warfare & Counter-Disinformation","HIGH — 20 pts"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","3","C3","Evidence-Based Decision Making","HIGH — 20 pts"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","4","C4","Community Organising & Volunteer Mobilisation","MEDIUM — 12 pts"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","5","C5","Privacy-Respecting & GDPR-Native Tools","MEDIUM — 12 pts"
"signal","Signal","80","https://github.com/nwspk/politech-awards-2026/pull/80","6","C6","Cross-Context Transferability","LOW — 6 pts"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","1","Criterion 1","AI and institutional decision-making safety and alignment","HIGH (max 20 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","2","Criterion 2","Financial stability, regulatory, and institutional infrastructure quality","HIGH (max 20 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","3","Criterion 3","Complexity-aware and epistemically honest methodology","HIGH (max 20 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","4","Criterion 4","Cooperation-building and pro-social incentive design","MEDIUM (max 12 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","5","Criterion 5","Protection of attention, autonomy, and community","MEDIUM (max 12 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","6","Criterion 6","Implementation maturity and evidence of real-world institutional use","MEDIUM (max 12 pts)"
"nicholas-botti","Nicholas Botti","75","https://github.com/nwspk/politech-awards-2026/pull/75","7","Criterion 7","Cross-jurisdictional applicability and global accessibility","LOW (max 6 pts)"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","1","Criterion 1","Evidence legibility for public decision-making","HIGH"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","2","Criterion 2","Methodological transparency and reproducibility","HIGH"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","3","Criterion 3","Open data and open-source infrastructure commitment","MEDIUM"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","4","Criterion 4","Data visualisation quality and design integrity","MEDIUM"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","5","Criterion 5","Contribution to counter-narratives grounded in evidence","MEDIUM"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","6","Criterion 6","Implementation maturity and real-world deployment","LOW"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","7","Criterion 7","Global development relevance and cross-jurisdictional scope","LOW"
"prism","Prism","79","https://github.com/nwspk/politech-awards-2026/pull/79","8","Criterion 8","Participatory accountability and governance transparency","LOW"
