rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
28,TheyWorkForYou,https://www.theyworkforyou.com,41,41,0,0.7,LOW,HIGH,criteria,"TheyWorkForYou makes parliamentary records accessible, with documented government partnerships and active development since 2004. It is genuine transparency infrastructure. But my constitution distinguishes transparency from accountability — knowing what your MP said is not the same as being able to contest decisions that affect you. It serves already-engaged citizens and journalists. Popularity risk is HIGH as mySociety's flagship tool; I'd estimate 8-10 points lower normalising for documentation richness."
29,GOV.UK Service Manual,https://www.gov.uk/service-manual,40,40,0,0.6,MEDIUM,LOW,criteria,"The Service Manual establishes standards for UK government digital services, including user research requirements. It is genuinely important HCD infrastructure for the public sector, which is exactly the domain I work in. But it is a standards document, not a tool that directly creates accountability for algorithmic decisions or serves excluded communities. Criterion 5 drives the score — the Service Standard mandates user research in government service design."
30,WriteToThem,https://www.writetothem.com,40,40,0,0.6,MEDIUM,HIGH,criteria,"WriteToThem enables citizens to contact elected representatives — a basic democratic participation tool with government partnerships and documented engagement metrics. It creates a communication pathway but not a contestability mechanism for algorithmic decisions. The populations served are generic citizens, not people excluded by specific algorithmic thresholds. Popularity risk is HIGH as a mySociety tool; I'd estimate 8 points lower normalising for documentation advantage."
31,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,38,35,3,0.4,MEDIUM,NONE,criteria,"A database tracking corporate violations and enforcement actions — this is accountability data infrastructure, making corporate misconduct visible. It serves researchers, journalists, and campaigners. It scores on Criterion 1 because it enables accountability, though it doesn't directly create contestability mechanisms for affected people. The dossier is sparse — page content was inaccessible."
32,GOV.UK Forms,https://www.forms.service.gov.uk,37,37,0,0.6,MEDIUM,LOW,criteria,"GOV.UK Forms is genuine public service HCD — accessible form creation reducing barriers for citizens interacting with government. It scores well on Criterion 5 (HCD in public services) with documented accessibility compliance and GDS partnership. But it is infrastructure plumbing that doesn't directly create accountability mechanisms or target specific excluded populations. The accessibility focus implicitly serves people excluded by inaccessible forms, which gives partial Criterion 2 credit."
33,Martus,https://www.martus.org,37,37,0,0.45,MEDIUM,NONE,criteria,"Martus was a secure information collection tool for human rights activists — important work serving a specific at-risk population. But it is no longer maintained (last commit 2018), explicitly unsupported, and users are advised to re-evaluate their threat models. The accountability infrastructure it once provided is degrading. Criterion 6 is near zero given the discontinuation."
34,GOV.UK One Login,https://www.sign-in.service.gov.uk,36,40,-4,0.6,MEDIUM,LOW,modifier,"Digital identity infrastructure for UK government services — I work in government and I understand the HCD behind this. But the dossier explicitly notes digital divide concerns for elderly and disabled citizens, and the centralised identity model increases government data capacity. Modifier 4 (surveillance capacity without sufficient governance) partially applies. The disparity tracking is noted but the documented limitations about digital exclusion are exactly the kind of concern my research centres."
35,GovTrack.us,https://www.govtrack.us,35,35,0,0.6,MEDIUM,MEDIUM,criteria,"GovTrack provides transparency about US congressional activity — voting records, bill tracking — which is accountability infrastructure in the transparency-to-information sense. But my constitution distinguishes between transparency (telling people what happened) and accountability (giving people power to contest). GovTrack does the former well. Popularity risk is MEDIUM as a well-known civic tech tool."
36,meet.coop,https://www.meet.coop,35,32,3,0.4,MEDIUM,NONE,criteria,"Surveillance-free video conferencing on cooperatively owned infrastructure — the cooperative governance model and explicit privacy framing show critical engagement with the surveillance dimensions of mainstream platforms. The communities served (activists, housing cooperatives, social movements) are specific. Criterion 4 is the primary driver — meet.coop asks what power relations are embedded in communication infrastructure, which is the right question. Modifier 5 applies for cooperative governance."
37,DoNotPay,https://www.donotpay.com,34,39,-5,0.5,MEDIUM,MEDIUM,modifier,"DoNotPay's AI-powered legal assistance could be a contestability tool for people navigating bureaucratic systems, which maps to Criterion 1. But it is a commercial LLC with no community governance, and the AI-generated legal documents raise serious Modifier 2 concerns — framing AI legal assistance as empowerment while the affected person has no ability to verify or contest the AI's advice. The regulatory restrictions noted in the dossier underscore the gap between the empowerment framing and actual accountability."
38,Internet Archive Wayback Machine,https://web.archive.org,34,34,0,0.75,LOW,HIGH,criteria,"The Wayback Machine is foundational digital preservation infrastructure — over a trillion pages archived, used in legal proceedings and journalism globally. But my constitution centres algorithmic accountability and community exclusion, which this doesn't directly address. It scores moderately across criteria as enabling infrastructure without being the accountability tool itself. Popularity risk is HIGH — this is one of the most documented projects on the list, and I'd estimate 8-10 points lower if dossier richness were normalised."
39,GOV.UK Notify,https://www.notifications.service.gov.uk,33,33,0,0.6,MEDIUM,LOW,criteria,"GOV.UK Notify is essential public service plumbing — a free notification service for government agencies to communicate with citizens. The HCD credentials are strong (GDS-built, standardised across government). But it is infrastructure that enables communication, not accountability infrastructure. It doesn't create contestability mechanisms or specifically serve excluded communities. The score is driven by Criterion 5 (HCD in public services) and Criterion 6 (deployment scale)."
40,MP Watch,https://www.mpwatch.org,33,33,0,0.4,MEDIUM,NONE,criteria,"MP Watch connects citizens with MPs around climate action, with documented parliamentary engagement. It creates a thin accountability pathway — citizens can track and engage their representatives — but the accountability mechanism is indirect and depends on MP responsiveness. It serves campaigners rather than people excluded by algorithmic systems specifically."
41,Wikidata,https://www.wikidata.org,33,33,0,0.7,LOW,HIGH,criteria,"Wikidata is foundational knowledge infrastructure — a free, open knowledge base used across 64% of Wikipedia pages and by major AI systems. It is genuinely important but my constitution is about accountability for algorithmic systems and excluded communities, which Wikidata doesn't directly address. Popularity risk is HIGH — this is massively well-documented and well-known. I'd estimate 10 points lower normalising for documentation advantage."
42,GOV.UK Pay,https://www.payments.service.gov.uk,32,32,0,0.6,MEDIUM,LOW,criteria,"Payment processing infrastructure for UK public services — essential plumbing that reduces friction in citizen-government financial interactions. Strong HCD credentials (GDS-built) and wide deployment. But like GOV.UK Notify, this is enabling infrastructure without accountability or community exclusion dimensions. The score is driven by Criterion 5 and Criterion 6."
43,Go Vocal,https://www.govocal.com,31,35,-4,0.55,MEDIUM,LOW,modifier,"Go Vocal is a government engagement platform with documented council deployments (Southwark, Linz, St. Louis). The platform includes AI analysis of resident feedback, but the dossier notes the proprietary algorithm lacks transparency — which directly triggers my Modifier 4 concern about increased data collection capacity without governance accountability. The community engagement surface is real but the AI opacity undermines the accountability claim."
44,Agencies for Good,https://www.agenciesforgood.org,30,16,0,0.3,HIGH,NONE,underdog-protection,"A network of tech-for-good agencies and freelancers with no published impact metrics or civic tech outcomes. The dossier reveals almost nothing about what this network actually produces or who benefits downstream. Underdog protection applies, but even with generous interpretation there is no evidence of accountability infrastructure or community-centring work."
45,Consoc,https://www.consoc.io,30,12,0,0.15,HIGH,NONE,underdog-protection,"The dossier is nearly empty — just a tagline ('Feel Symbiotic Cooperation') and a vague reference to civic technology practitioners. I cannot assess either high-weight criterion with any confidence. Underdog protection applies and holds the score at the floor, but there is simply no evidence to work with."
46,Democracy Fund Open Source,https://www.dfos.com,30,27,0,0.35,HIGH,NONE,underdog-protection,"The dossier is very thin — generic references to civic engagement, voting access, and election administration with government partnerships but no specifics. I want to give this more credit given the foundation governance model and open source framing, but there is no evidence of accountability mechanisms or specific excluded populations served. Underdog protection holds the score at floor."
47,Guide to Major Trusts,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,30,17,0,0.3,HIGH,NONE,underdog-protection,"A directory of UK grant-makers — useful infrastructure for the charity sector but entirely outside my constitution's focus on algorithmic accountability and community exclusion. It serves fundraisers and nonprofits, not populations excluded by automated systems. The dossier is thin and there is nothing to suggest accountability or governance dimensions."
48,MP Twitter Bios,https://www.mptwitterbios.co.uk,30,18,0,0.35,HIGH,NONE,underdog-protection,A data snapshot from 2023 analysing whether UK MPs mention their party in Twitter bios — an interesting research artefact but not accountability infrastructure or community-serving technology. The project appears to be a one-off analysis rather than an ongoing tool. My constitution has no room for political communication research datasets that don't create accountability mechanisms.
49,MyActionCenter,https://www.myaction.center,30,20,0,0.35,HIGH,NONE,underdog-protection,"A gamified activism platform requiring NationBuilder — it turns supporters into campaign forces, which is mobilisation infrastructure for already-engaged political organisations. No evidence of accountability mechanisms, community research, or serving excluded populations. The NationBuilder dependency and limited public effectiveness metrics compound the thin dossier."
50,OpenOrigins,https://www.openorigins.com,30,24,0,0.35,HIGH,NONE,underdog-protection,"Content authentication tools for verifying image/video provenance — addressing deepfakes and manipulated media. This is information integrity work, not accountability infrastructure for algorithmic systems. The dossier is thin and the AI involvement is noted without detail. My constitution has a documented gap for media integrity tools that don't address power asymmetries in automated decision-making."
51,Papertree,https://www.papertree.earth,30,23,0,0.25,HIGH,NONE,underdog-protection,"An interactive tree planting data platform for climate accountability — the accountability framing is present but the dossier is very sparse. No evidence of deployment, community involvement, or specific accountability mechanisms beyond data visualisation. Underdog protection applies but there is too little to assess against my high-weight criteria."
52,PoliMonitor,https://www.polimonitor.com,30,21,0,0.35,HIGH,NONE,underdog-protection,"A political monitoring service for public affairs and communications professionals — this serves lobbyists and corporate communications teams, not communities excluded by algorithmic systems. The dossier is thin and the primary beneficiaries are institutional actors seeking to influence political discussions, which is the opposite of my constitution's community-centring orientation."
53,Public Editor,https://www.publiceditor.io,30,24,0,0.3,HIGH,NONE,underdog-protection,"A platform for collaborative fact-checking and editorial transparency in journalism — the accountability dimension is in making editorial decisions contestable, which partially maps to Criterion 1. But the dossier is very thin and the project appears early-stage. My constitution has a documented gap for information integrity tools. Underdog protection would apply but the score sits just above the floor."
54,RightDD,https://www.rightsdd.com,30,24,-3,0.35,HIGH,NONE,underdog-protection,"Human rights risk management technology for corporate ESG compliance — the human rights framing is present but the primary users are corporations and compliance officers, not affected workers or communities. Modifier 6 (technical intervention bypassing governance questions) applies: the tool helps companies manage risk rather than creating accountability to affected populations. The dossier is thin."
55,Shared Digital Guides,https://www.shareddigitalguides.org.uk,30,20,0,0.35,HIGH,NONE,underdog-protection,"Step-by-step guides for nonprofits using digital tools — capacity building for the charity sector. No evidence of accountability mechanisms, community exclusion focus, or engagement with algorithmic governance questions. The communities served are organisations, not excluded populations. Thin dossier with no formal impact evidence."
56,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,30,30,0,0.45,MEDIUM,NONE,criteria,"Open-access training for public servants — building digital-era capability in government. This supports the ecosystem I work in but doesn't directly create accountability mechanisms or serve excluded communities. Criterion 5 (HCD in public services) drives the score through its government partnership model and public service orientation. It is educational infrastructure, not accountability infrastructure."
57,Turbo Phonebank,https://turbophonebank.com,30,16,0,0.35,HIGH,NONE,underdog-protection,"A free phonebank tool for campaigners and organizers, but my constitution is focused on accountability for algorithmic systems and excluded communities, neither of which this project addresses. The dossier is thin and the project serves already-engaged political organizers rather than people excluded by algorithmic thresholds. Underdog protection applies given sparse evidence."
58,Viewpoints,https://viewpoints.xyz,30,18,-3,0.35,HIGH,NONE,underdog-protection,"AI-powered polling tool with no published research on accuracy or bias, no documentation of AI methodology, and no evidence of deployment with excluded communities. The dossier is thin and the project raises Modifier 6 concerns — a technical intervention framed without governance engagement. Underdog protection applies but the score stays near the floor."
59,WardWatch,https://wardwatch.uk,30,23,-3,0.35,HIGH,NONE,underdog-protection,"AI-generated summaries of councillor performance could increase accountability, but there is no documentation of how the AI model works, what biases it carries, or how affected communities can contest its assessments. Modifier 6 (purely technical without governance engagement) applies. The proprietary governance model and thin dossier compound my uncertainty."
60,Watch Duty,https://www.watchduty.org,30,28,0,0.3,HIGH,NONE,underdog-protection,"Real-time wildfire alerts for residents in fire-prone areas — it serves a specific at-risk population, which gives partial Criterion 2 credit. But it is civic safety infrastructure, not accountability infrastructure for algorithmic systems. The dossier is very thin. My constitution doesn't have room for emergency response tools without governance dimensions."
61,We Live It,https://www.welivedit.ai,30,27,-3,0.25,HIGH,NONE,underdog-protection,"AI-powered community-driven urban planning — the concept maps to my interests but the dossier is nearly empty. The primary_users_or_beneficiaries field is corrupted (individual characters rather than categories). No evidence of deployment, community research, or accountability mechanisms. Modifier 6 (technical framing without governance engagement) applies given the AI-first branding without substance. Underdog protection applies."
62,WhatGov,https://www.whatgov.co.uk,30,28,0,0.35,HIGH,NONE,underdog-protection,"A platform making UK Parliament clearer — similar to TheyWorkForYou but the dossier is much thinner. No published methodology, no evidence of specific community engagement. The foundation governance and parliamentary partnership suggest some institutional grounding, but I can't assess much beyond the transparency function. Underdog protection is close to applying."
63,Whoisology,https://whoisology.com,30,17,-3,0.35,HIGH,NONE,underdog-protection,"A commercial WHOIS lookup tool serving cybersecurity professionals and corporate intelligence — far from my constitution's focus on algorithmic accountability and excluded communities. Modifier 6 applies as a purely technical tool without governance questions. The communities served are professional investigators, not populations excluded by algorithmic systems."
64,WorkInCharities,https://www.workincharities.co.uk,30,9,0,0.2,HIGH,NONE,underdog-protection,"A job board for charity sector workers — entirely outside the scope of my constitution. No accountability mechanisms, no excluded communities served, no governance dimension. The dossier is thin and reveals nothing relevant to algorithmic accountability or community exclusion. Underdog protection holds at the floor."
65,DelibTech Network,https://www.demnext.org/projects/delibtech-network,29,29,0,0.4,MEDIUM,NONE,criteria,A network of technologists studying deliberative democracy technology — this is movement infrastructure rather than direct service. It scores on Criteria 3-5 as a knowledge-building effort but doesn't directly create accountability mechanisms or serve excluded communities. The AI & Democracy Foundation coordination suggests engagement with governance questions around AI in deliberation.
66,Local Intelligence Hub,https://www.localintelligencehub.com,29,29,0,0.45,MEDIUM,NONE,criteria,"A data platform for climate campaigners to understand constituency-level dynamics and demonstrate public mandate to MPs. It serves already-engaged campaigners rather than excluded communities, and the accountability mechanism is indirect — data to support advocacy rather than direct contestability. The members-only data model limits broader public access."
67,Mastodon C,https://www.mastodonc.com,28,28,0,0.5,MEDIUM,NONE,criteria,"A data science consultancy working with government on open data — but the dossier reveals limited specifics about what accountability or community outcomes their work produces. The 'limited transparency on proprietary analytics methods' is a red flag under my constitution. It is consulting infrastructure rather than community-facing technology, and serves institutional clients rather than excluded populations."
68,Parallel Parliament,https://www.parallelparliament.co.uk,28,28,0,0.4,MEDIUM,NONE,criteria,"A UK parliamentary tracking platform with live transcripts and bill amendment tracking. It enhances transparency of the legislative process but doesn't create contestability mechanisms for people affected by legislation. It serves researchers, journalists, and policy professionals — already-engaged, digitally literate users with multiple existing options. My constitution scores transparency tools lower than accountability tools."
69,Plinth,https://www.plinth.org.uk,28,33,-5,0.5,MEDIUM,NONE,modifier,"Plinth uses AI for application scoring, risk assessment, and case note transcription in community services — deployed in local authority Holiday Activity Food programmes and crisis fund delivery. The AI involvement in scoring applications for community services raises my most serious concerns: Modifier 4 (increased algorithmic capacity without governance) and Modifier 2 (profiling communities under service delivery framing). Who can contest an AI application score? The dossier doesn't say."
70,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,27,27,0,0.65,MEDIUM,LOW,criteria,"The Upgrader is a well-designed educational quiz about global development misconceptions, with documented adoption in 50+ countries and government partnerships. But it addresses information gaps in the general public, not accountability deficits in algorithmic systems or exclusion by specific bureaucratic mechanisms. My criteria simply aren't built to see data literacy tools, however good."
71,Unpaywall,https://unpaywall.org/products/extension,26,26,0,0.5,MEDIUM,LOW,criteria,"Unpaywall tackles an access barrier — paywalled research — but this is about knowledge access for researchers and students, not accountability infrastructure for algorithmic systems or communities excluded by bureaucratic thresholds. It scores modestly on transparency but my high-weight criteria don't have room for open access tools that don't address power asymmetries in automated decision-making."
72,Prolific,https://www.prolific.com,24,27,-3,0.6,MEDIUM,LOW,modifier,"Prolific is research data collection infrastructure used for AI training and evaluation. The Collective Intelligence Project case study (voices from 70+ countries into AI governance) is interesting, but Prolific's core model — paying people to provide data for AI training — raises Modifier 2 concerns about data extraction framing. The platform itself doesn't serve excluded communities; it extracts data from participants for institutional clients."
73,oTree,https://www.otree.org,24,24,0,0.55,MEDIUM,NONE,criteria,"An open-source platform for behavioral research experiments used by World Bank, OECD, and government agencies. It is research infrastructure that could inform evidence-based policymaking, scoring on Criterion 3 for methodological rigour. But it doesn't create accountability mechanisms, serve excluded communities, or operate in public service contexts. It is a tool for researchers, not for affected people."
74,Discourse,https://www.discourse.org,23,26,-3,0.55,MEDIUM,MEDIUM,modifier,"Discourse is a widely-used community platform, but it primarily serves tech companies, developers, and product teams — not communities excluded by algorithmic systems. It is infrastructure that could be used for civic purposes but the dossier shows no evidence of accountability orientation or community-centring design. Modifier 6 (purely technical framing) applies mildly. Popularity risk is MEDIUM given its broad recognition in tech circles."
75,Vote for Policies,https://voteforpolicies.org.uk,23,23,0,0.4,MEDIUM,NONE,criteria,"The blind policy comparison concept is an interesting attempt to reduce partisan bias in voter decision-making, which shows critical engagement with how information shapes political choices. But the project is discontinued after the 2024 election, limiting implementation scoring. It served generic 'voters' rather than specifically excluded populations."
