rank,project,url,score,criteria_score,modifier_adj,dossier_completeness,uncertainty,popularity_risk,primary_driver,rationale
11,Full Fact AI,https://fullfact.org/ai,64.9,56.9,8,0.6,MEDIUM,low,criteria,"AI-powered misinformation detection deployed across 12 national elections -- genuine C1 engagement with AI in high-stakes civic contexts. Government fact-checking unit partnerships give C2 institutional credibility. The documented limitations about language-dependent performance and training data bias show C3 awareness. Identifying misleading MP claims leading to correction requests is concrete policy impact. Proprietary limits M6, but M5 applies for policymaker advisory function."
12,ODK (Open Data Kit),https://getodk.org,64.9,55.9,9,0.65,LOW,medium,criteria,"Health ministries, election commissions, USAID programs across Africa and Asia -- ODK is foundational data collection infrastructure for institutional actors in low-resource settings. Founded 2008, 1900 GitHub stars, active development. The documented limitations about technical capacity requirements and mobile network dependency are honest C3 signals. Non-OECD deployment context earns full C7 credit. Moderate popularity risk as a well-known civic tech tool."
13,Alaveteli,https://alaveteli.org,64.8,60.8,4,0.7,LOW,medium,criteria,Over a million FOI requests across 25+ jurisdictions is exactly the kind of civic infrastructure deployment that scores well on C2 and C6. The documented limitations about jurisdictional variation in FOI law effectiveness show genuine complexity awareness. mySociety's broader ecosystem lends credibility. Popularity risk is moderate -- this is well-known in civic tech circles.
14,Humanitarian Data Exchange,https://data.humdata.org,63.9,55.9,8,0.6,MEDIUM,low,criteria,"OCHA's data platform for humanitarian coordination -- this is multilateral institutional infrastructure at the highest level. Improved data standardization and enhanced coordination between humanitarian organizations are documented outcomes. The acknowledged limitations about data quality variation and voluntary contributions show C3 maturity. Non-OECD crisis zones are the primary deployment context, giving full C7 credit."
15,Fundacion Ciudadania Inteligente,https://ciudadaniai.org,61.9,53.9,8,0.6,MEDIUM,none,criteria,"Latin American civic tech organization with real government partnerships in Chile and multiple countries. The Alianza por Algoritmos Inclusivos directly addresses AI bias, earning C1 consideration. Climate compliance tracking (Accion Climatica) and legislative monitoring tools are genuine policymaker advisory infrastructure (M5). Documented limitations about geographic variation in adoption show maturity. The non-OECD focus earns full C7 credit."
16,Diia,https://expo.diia.gov.ua,59.8,58.8,1,0.65,MEDIUM,low,criteria,"Ukraine's digital government ecosystem -- first country to make digital passports full legal equivalents of physical documents. 500k+ business registrations, world's fastest business registration. This is government infrastructure at the highest level of institutional adoption (C2). The documented wartime infrastructure disruption risk and cybersecurity concerns show honest complexity awareness. M2 partially applies: centralization under wartime emergency powers raises legitimate accountability concerns. Open source with 1348 stars."
17,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,58.9,53.9,5,0.55,LOW,none,criteria,"UK Government mandatory reporting service -- directly cited in legislation requiring employers to publish gender pay gap data. This is regulatory transparency infrastructure at its most direct: C2 scores near the top. The documented limitations (250+ employee threshold, no intersectional data, snapshot vs longitudinal) show genuine C3 complexity awareness. Disparity tracking is core to the service design. UK-only and proprietary limit C7 and M6."
18,Constitute Project,https://constituteproject.org,57.9,52.9,5,0.6,MEDIUM,low,criteria,"Used by The Gambia's Constitutional Review Commission, the Colombian Constitutional Court, and UN bodies -- this is exactly the policymaker advisory infrastructure M5 rewards. Making the world's constitutions searchable and comparable is genuine comparative governance infrastructure (C2). The documented limitation about not capturing informal constitutional practices shows C3 honesty. Academic origin with real institutional adoption."
19,Coral,https://coralproject.net,57.0,51.0,6,0.6,MEDIUM,low,criteria,AI-powered comment moderation deployed across 23 countries by major newsrooms -- real institutional adoption at scale. The documented AI moderation bias in non-English languages and explicit disparity tracking show genuine C3 complexity awareness and C5 community protection intent. For-profit model but open source. The core challenge -- maintaining public discourse quality -- is directly relevant to attention and community (C5).
20,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,57.0,52.0,5,0.6,MEDIUM,low,criteria,Sunlight Foundation helped 60+ US cities enact open data policies -- that is documented institutional impact at scale under C2. The framework's acknowledgment that governments publish data 'with little idea who is using it' is exactly the kind of complexity awareness C3 rewards. M5 applies: this is explicitly designed as policymaker advisory infrastructure. US-only scope limits C7.
21,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,56.9,53.9,3,0.7,LOW,medium,criteria,"MH17 and Navalny investigations are among the most consequential OSINT outcomes in recent history, directly cited in criminal prosecutions. The AI-powered search interface is modest but present. What impresses me most is the documented limitation that only 15% of users found tools easily -- that is exactly the kind of failure mode honesty C3 rewards. NED funding controversies are noted but do not trigger M2 given the accountability context."
22,CiviCRM,https://civicrm.org,56.0,52.0,4,0.65,LOW,medium,criteria,"189 million contacts managed across nonprofits globally, 116 million donations processed -- this is genuinely deployed civic infrastructure at scale. Open source, 20+ years of operation, active codebase. The documented limitations about CMS dependency and scalability challenges show honest self-assessment. Not directly government-facing, which limits C2, but the civic sector infrastructure role is clear. Well-known enough to flag moderate popularity risk."
23,adhocracy+,https://adhocracy.plus,56.0,52.0,4,0.65,MEDIUM,low,criteria,"Berlin's participatory budgeting deployments give this real institutional credibility under C2, and the documented limitations about German-language focus show some epistemic honesty (C3). But the dossier notes only anecdotal causation strength and a primarily national scope. Open source civic infrastructure gets the M6 boost."
24,Citizen OS,https://citizenos.com/platform/,55.0,51.0,4,0.6,MEDIUM,none,criteria,Estonian e-governance integration with digital signature support for votes is strong C2 evidence -- this is real government partnership at the national level. Documented limitations about adoption outside Estonia and digital literacy barriers show C3 awareness. The cooperation framing is genuine: deliberation tools structurally incentivise cooperative outcomes (C4). Limited by mostly Estonian scope on C7.
25,The Data Trusts Initiative,https://datatrusts.uk,54.0,49.0,5,0.5,MEDIUM,none,criteria,"Three real-world data trust pilots (Born in Scotland, Brixham, GP Data Trust) and a UK AI Council submission -- this is governance innovation with genuine institutional engagement. The documented limitation that UK legal frameworks for data trusts remain underspecified is exactly the kind of honest complexity acknowledgment C3 rewards. But pilots are small-scale and early-stage, and the UK-only scope limits C7. Conceptually rich, deployment-thin."
26,Ethelo,https://ethelo.com,53.9,52.9,1,0.5,MEDIUM,none,criteria,AI-powered scenario modelling for multi-party preference analysis is directly relevant to C4 (incentive design for cooperation) and M5 (policymaker advisory). Metro Vancouver and Salt Spring Island deployments show real institutional adoption. But the documented limitation that performance metrics are largely self-reported triggers C3 concern and mild M4 for naive optimization claims (7750% participation increase is a red flag for unverified metrics). Partial open source.
27,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,53.1,46.1,7,0.4,MEDIUM,low,criteria,"Community-centered AI training data -- directly relevant to C1 (who controls the data that trains institutional AI). Serving indigenous language communities and Global South populations earns full C7 credit. But this launched in 2025, has 16 GitHub stars, and sustainability model is unproven. The governance complexity of custom data licenses is an honest documented risk. Early-stage status means C6 is very low despite the Mozilla institutional backing."
28,arXiv,https://arxiv.org,53.0,50.0,3,0.6,MEDIUM,high,criteria,"I use arXiv myself -- it is genuinely foundational knowledge infrastructure, and I have to flag that familiarity. Its explicit statement that materials are not peer-reviewed is excellent C3 epistemic honesty. But arXiv is not political technology, not government-facing, and not institutional decision infrastructure. It scores well on maturity (C6) and cross-jurisdictional (C7) but my C2 criterion has no room for a preprint server. Popularity risk is high."
29,Atlas of Surveillance,https://atlasofsurveillance.org,52.0,49.0,3,0.6,MEDIUM,low,criteria,EFF's database of surveillance technology deployments directly serves C5 -- documenting threats to community autonomy. Tracking disparities in surveillance deployment by demographics earns C3 credit. Correlated policy outcomes in local surveillance ordinances are plausible but not strongly evidenced. US-only scope limits C7. The core mission aligns well with my attention-to-power concerns.
30,Cobudget,https://cobudget.com,52.0,48.0,4,0.55,MEDIUM,none,criteria,Participatory budgeting tool with real deployments in multiple countries -- the mechanism design is directly relevant to C4 (cooperation and incentive design). The crowdsourced funding allocation model structurally incentivises cooperation over competition. Small volunteer team and uncertain revenue model are honest limitations. Open source and active codebase. Scores well on what I care about in C4 but lacks institutional heft for C2.
31,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,51.1,47.1,4,0.55,MEDIUM,none,criteria,"Election data API serving voters and civic tech developers -- partnership with Electoral Services Councils is genuine C2 institutional engagement. The documented limitations about data completeness varying by local authority and reliance on volunteer data collection show C3 epistemic honesty. Active since 2009, open source, real election-cycle usage. UK-only scope limits C7 but the democratic infrastructure role is clear."
32,Entitledto,https://entitledto.co.uk,50.1,45.1,5,0.45,MEDIUM,none,criteria,"DWP directly cites this as an official resource for checking benefit eligibility -- that is one of the strongest government integration signals in this batch. Founded 2000, serving low-income households for 25+ years. Dead link (403 status) is concerning but the institutional relationship is well-documented. Proprietary and UK-only limit C7 and M6. M5 applies for genuine policymaker integration. C5 credit for serving vulnerable populations."
33,Bonfire,https://bonfirenetworks.org/,49.1,45.1,4,0.5,MEDIUM,none,criteria,"Explicitly human-centered, community-controlled design with no AI -- that alone tells me something about values. The fediverse approach structurally protects autonomy (C5) and the cooperative design supports cooperation (C4). But it is early-stage beta, funding gaps between grant cycles, and low adoption velocity. My constitution does not protect prototypes from C6 penalties. The vision is right; the evidence is thin."
34,CommunityRule,https://communityrule.info,49.1,45.1,4,0.5,MEDIUM,none,criteria,A governance toolkit for online communities -- this maps directly to C4 (cooperation and incentive design for collective self-governance). The documented limitations about evaluation gaps and English-language bias show some C3 awareness. Government innovation lab partnerships are mentioned but not detailed. Academic origin (Nathan Schneider) gives intellectual credibility but thin deployment evidence.
35,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,48.1,45.1,3,0.45,MEDIUM,none,criteria,Strengthening trust and accountability in cross-sector data collaboratives maps directly to C2 (governance infrastructure) and C4 (cooperation). The academic research framing and government agency collaboration give institutional credibility. But deployment evidence is thin -- referenced in policy discussions rather than adopted as binding frameworks. The documented limitation about developed-economy focus is honest.
36,Kagi SlopStop,https://blog.kagi.com/slopstop,47.1,44.1,3,0.55,MEDIUM,none,criteria,"Using AI to detect AI slop is exactly the kind of recursive safety challenge that interests me. The documented limitations are impressively specific -- 80% threshold for domain classification, manual review process, false positive risks. C3 scores high for this epistemic honesty. But it is a commercial product (subscription-only), no government engagement, and the attention-protection mission (C5) is real but indirect. Kagi's past Yandex controversy is noted."
37,FarmerChat,https://farmerchat.digitalgreen.org,45.2,39.2,6,0.35,HIGH,none,modifier,"AI-powered agricultural advisory for smallholder farmers in South Asia and Sub-Saharan Africa -- the human advisory model where AI augments farmer knowledge rather than replacing judgment aligns with M1. Disparity tracking is documented and the non-OECD deployment context earns C7 credit. But no government partnerships, proprietary, thin dossier. The documented failure modes about language barriers and digital literacy are honest but the evidence base is limited."
38,Modular Politics,https://arxiv.org/abs/2005.13701,45.1,45.1,0,0.4,MEDIUM,none,criteria,"A theoretical framework for composable online governance -- conceptually interesting for C4 (cooperation) and C3 (complexity). The paper acknowledges it is a framework without implementation case studies, which is honest but devastating for C6. My novelty-vs-implementation rule lets C3 and C4 score well, but the implementation penalty applies in full."
39,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,44.2,41.2,3,0.45,MEDIUM,none,criteria,"Mapping surveillance technology deployed by landlords is directly relevant to C5 -- protecting autonomy and community against corporate power. The academic citation on landlord tech (33 citations, 2024) suggests scholarly recognition. But deployment is US-only, no government partnerships, and the page requires JavaScript to even render. Limited institutional maturity keeps C6 low."
40,Activist Handbook,https://activisthandbook.org/,42.2,39.2,3,0.45,MEDIUM,none,criteria,"A wiki-style resource for activists with decent international reach across six countries, but no government engagement and no documented policy outcomes. My constitution rewards institutional infrastructure over movement handbooks -- C2 and C6 drive the score down. The cooperation angle (C4) is its strongest suit, but thin evidence limits what I can credit."
41,All Our Ideas,https://all-our-ideas.citizens.is,42.2,39.2,3,0.3,HIGH,none,criteria,"The homepage returned only 3 words of content, and the dossier is extremely thin -- 19 pass5 words, no documented outcomes, no academic citations. Iceland participatory budgeting is mentioned but not evidenced. Without substantive evidence I cannot credit this highly under any criterion. Low completeness drags every score down."
42,CAN/DGSI 127 Age Assurance Standard,https://dgc-cgn.org/product/can-dgsi-127/,42.2,42.2,0,0.35,HIGH,none,criteria,"Canadian standards body publishing minimum requirements for age assurance technologies -- directly relevant to AI governance (C1) and regulatory infrastructure (C2). Government-funded through Digital Governance Council. But no documented adoption, no implementation evidence, thin dossier. Standards are important institutional infrastructure, but without deployment evidence C6 stays low. Canada-only limits C7."
43,Choose a License,https://choosealicense.com,42.2,39.2,3,0.4,MEDIUM,low,criteria,"GitHub's license chooser is useful developer infrastructure with 3400 stars and real adoption. It supports the open source ecosystem which indirectly supports civic tech. But it is not itself political technology -- it does not engage with governance, regulation, or institutional decision-making. C6 is decent from longevity and usage; everything else scores at the lower end of my criteria."
44,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,42.2,42.2,0,0.4,MEDIUM,none,criteria,"DWP partnership gives this institutional credibility, and helping low-income households navigate welfare benefits is genuine public service infrastructure. But the dossier is thin -- page content was unavailable for detailed analysis, no methodology documentation, no impact metrics. UK-only with no route to cross-jurisdictional use. Scores moderately on C2 from the government partnership alone."
45,ClimateAction.Tech,https://climateaction.tech,41.2,38.2,3,0.4,MEDIUM,none,criteria,"A volunteer community mobilising tech workers on climate -- genuine cooperation-building (C4) but no institutional engagement, no government partnerships, no policy outcomes. The documented limitations about volunteer burnout and informal governance are honest. Open source with 2100 stars suggests real community. But my constitution needs more than community organizing to score highly on C2."
46,UK Parliament Developer Portal,https://developer.parliament.uk,41.2,41.2,0,0.4,MEDIUM,none,criteria,Official Parliament APIs enabling third-party transparency tools -- genuine government data infrastructure under C2. The dead link (403 status) is concerning but the API may still function. Founded 2014 with documented policy contribution to parliamentary data accessibility. UK-only scope limits C7. No documented limitations or failure modes reduces C3 credit. Government-operated infrastructure with real civic tech ecosystem dependency.
47,Aragon,https://aragon.org,41.1,44.1,-3,0.5,MEDIUM,low,criteria,"DAO governance tooling deployed across 48 countries with 2800 GitHub stars -- real adoption. But the regulatory scrutiny and security incidents in DAO implementations are concerning, and the VC funding model plus for-profit structure means this is not public-interest infrastructure in the way my constitution rewards. Smart contract risks are documented but not mitigated. M4 applies mildly for optimising governance speed without systemic risk consideration."
48,EDGAR,https://github.com/bellingcat/edgar,40.3,37.3,3,0.35,HIGH,none,criteria,"Bellingcat's tool for retrieving SEC corporate and financial data -- directly relevant to C2 as financial transparency infrastructure. Open source with 196 stars. But US-only (SEC EDGAR data), no government partnerships, no documented policy outcomes, last commit January 2024 suggests declining maintenance. The financial accountability mission aligns with my Federal Reserve context but the evidence is thin."
49,Fatebook,https://fatebook.io,40.3,37.3,3,0.35,MEDIUM,none,criteria,"Prediction tracking platform -- tangentially relevant to C3 (calibrating confidence and tracking accuracy is epistemic honesty infrastructure). 1200 GitHub stars and active development suggest real adoption. But no government partnerships, no policy outcomes, limited to quantifiable predictions. The forecasting community is niche. My constitution rewards institutional decision infrastructure more than personal calibration tools."
50,Collaborative Data Patterns,https://collaborative-data.theodi.org,40.2,40.2,0,0.35,MEDIUM,none,criteria,"ODI's guidebook for collaborative data projects -- conceptually relevant to C4 (cooperation in data stewardship) and C2 (data governance infrastructure). But it is a publication, not a tool. No deployment evidence, no government partnerships documented, thin dossier. The academic citations listed are clearly automated mismatches (coronary heart disease, online learning). Limited evidence constrains every score."
51,Esper,https://esper.com/product,39.3,34.3,5,0.3,HIGH,none,modifier,"AI-powered policy management platform for US government agencies -- the policymaker advisory function (M5) is the strongest signal. Smart Search AI for policy research is relevant to C1 but with no documented safety methodology. No documented limitations, no failure modes, proprietary subscription model. Thin dossier limits what I can credit. M5 is the primary score driver given the government agency client base."
52,Civic Tech Field Guide,https://civictech.guide,39.2,39.2,0,0.5,MEDIUM,none,criteria,"UNESCO consultation for youth empowerment is the only institutional signal. The acknowledged curation bias toward English-language and Western projects is good C3 honesty. But this is a directory -- it catalogs civic tech rather than being civic tech. No open source despite AI involvement. My constitution rewards infrastructure that shapes institutional decisions, not meta-catalogues."
53,In the News (Wikipedia),https://en.wikipedia.org/wiki/wikipedia:in_the_news,39.2,39.2,0,0.35,MEDIUM,high,criteria,"A section of Wikipedia's main page -- not a standalone project. The editorial process for selecting news items has documented limitations (not original journalism, reliance on secondary sources). Wikipedia overall is foundational infrastructure but this specific feature is a curated news highlight. I flag high popularity risk: my knowledge of Wikipedia inflates confidence. The feature itself has minimal independent evidence of civic or political technology impact."
54,AISafety.info,https://aisafety.info,38.3,35.3,3,0.4,MEDIUM,low,criteria,"The AI chatbot Stampy puts this squarely in C1 territory, and the fact that they acknowledge it may be inaccurate earns some C3 credit. But this is an information resource, not an institutional tool -- no government partnerships, no policy outcomes, no regulatory engagement. My constitution is built for infrastructure that shapes decisions, not educational FAQs."
55,CivicPress,https://civicpress.io/,38.3,35.3,3,0.35,HIGH,none,criteria,"Open-source platform for municipal record publishing -- the concept maps well to C2 (government transparency infrastructure). But 5 GitHub stars, founded 2025, self-funded, no government partnerships yet. This is a prototype. My constitution explicitly does not protect prototypes from C6 penalties. The vision is aligned but the evidence is pre-deployment."
56,CoTech,https://coops.tech,38.2,38.2,0,0.3,HIGH,none,criteria,"A UK network of tech cooperatives -- the cooperative model itself is strong on C4 (cooperation over competition as a structural choice). But the dossier is extremely thin: 19 pass5 words, no government partnerships, no policy outcomes, no documented limitations. The academic citations are clearly automated noise. I cannot credit what the dossier does not evidence."
57,Fairbnb.coop,https://fairbnb.coop,38.2,41.2,-3,0.4,HIGH,none,criteria,"Cooperative tourism platform giving 50% of revenue to community projects -- strong C4 signal for cooperation-oriented incentive design. Bologna city partnership suggests some institutional engagement. But the platform is currently offline due to a coordinated spam attack, which is both an operational failure and an honest transparency signal. The cooperative structure is exactly the design choice I care about, but deployment evidence is thin and the security breach is concerning."
58,Pear by Holepunch,https://docs.holepunch.to,37.3,34.3,3,0.35,HIGH,none,criteria,"Peer-to-peer runtime for censorship-resistant applications -- the decentralization architecture has theoretical C5 value (protecting autonomy). The documented experimental and unstable module status is honest C3 evidence. But this is developer tooling with no civic deployment evidence, no government engagement, VC-funded. The political technology connection is speculative rather than demonstrated."
59,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,37.3,37.3,0,0.4,MEDIUM,none,criteria,"A publication cataloguing responsible tech organizations -- useful as a reference but not infrastructure, not a tool, and not something with documented policy impact. No government partnerships, no open source, no deployment evidence. The academic citations listed are clearly mismatched (IoT, nanotechnology), which suggests automated enrichment errors. My constitution does not reward directories without institutional engagement."
60,COTSI,https://cotsi.org/,36.3,36.3,0,0.3,HIGH,none,criteria,"Cambridge Trust and Safety Index tracking SMS verifications across platforms -- relevant to digital safety infrastructure. But no government partnerships, no policy outcomes, very thin dossier (19 pass5 words), no documented limitations. Academic origin suggests rigor but the evidence is insufficient to credit. Cybersecurity threat intelligence has C2 potential but nothing is documented."
61,FixMyBlock,https://fixmyblock.org,36.3,36.3,0,0.3,HIGH,none,criteria,"Action guides for social housing tenants on fire safety and building maintenance -- directly serves vulnerable communities (C5). The coverage limitation to England, Wales, and Scotland is a documented scope boundary. But no government partnerships, proprietary, no formal evaluation, no academic citations. The post-Grenfell housing safety context gives it urgency, but my constitution needs more evidence of institutional engagement to score higher."
62,The Commons Social Change Library,https://commonslibrary.org,36.3,36.3,0,0.4,MEDIUM,none,criteria,"1500+ resources for social change practitioners -- a real library with real content. But it is not open source, has no government partnerships, no documented policy outcomes, and the academic citations are clearly automated noise (cancer statistics). The mission supports community organizing (C4, C5) but my constitution needs institutional infrastructure engagement to score above middling."
63,Charity Digital Skills Report,https://charitydigitalskills.co.uk,35.3,35.3,0,0.5,MEDIUM,none,criteria,"Annual survey of 672 charity respondents tracking digital skills -- useful sector intelligence but not political technology infrastructure. The documented limitation about not publishing survey methodology or response rate representativeness is a negative C3 signal: they should know better. UK-only scope, no government partnership, proprietary. This falls outside what my constitution is designed to evaluate."
64,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,35.3,35.3,0,0.3,HIGH,none,criteria,"Ministry of Justice platform for reusable digital service components -- relevant to C2 as government infrastructure. But explicitly marked as 'new' and requesting user feedback. Thin dossier: 19 pass5 words, no policy outcomes, no documented uptake. The concept of shared government service components is valuable but I cannot credit a service that is still in its infancy with no adoption evidence."
65,Bluesky,https://bsky.app,35.2,39.2,-4,0.5,MEDIUM,medium,modifier,"VC-funded social platform using ML for content recommendation and moderation -- the algorithmic feed personalization directly raises C1 and C5 concerns. Decentralization claims versus centralized control debates are documented but unresolved. No government partnerships, no policy outcomes, moderation infrastructure still developing. The AT Protocol is interesting infrastructure but this is fundamentally a commercial platform, not civic infrastructure. M4 applies for engagement optimisation."
66,Conservative Party Funding,https://conservativepartyfunding.co.uk,34.3,34.3,0,0.35,HIGH,none,criteria,"Visualising Electoral Commission donation data for one UK party -- narrow but relevant transparency infrastructure (C2). However, no independent data verification, no methodology documentation, no information on update frequency. Single-party focus in a single jurisdiction limits scope. Unfunded grassroots project with no team page. The transparency intent is clear but the execution evidence is thin."
67,DoGooder,https://dogooder.co,33.3,33.3,0,0.35,HIGH,none,criteria,"Dead link (403 status) -- homepage blocked by security service. Advocacy platform for grassroots campaigns with tiered pricing, deployed in US/Canada/Australia/UK. Proprietary, no government partnerships, no documented limitations. The dead link and thin evidence are concerning. Founded 2012 suggests longevity but without accessible evidence I cannot score highly."
68,The Decelerator,https://decelerator.org.uk,33.3,33.3,0,0.35,HIGH,none,criteria,"Support service for civil society organisations facing closures and endings -- unusual and arguably important for sector resilience. The documented awareness of funding exhaustion by 2030 and stigma around discussing endings shows C3 maturity. But this is not technology, not infrastructure, and not government-facing. My constitution is not built to see what this does, even though I recognise the gap it fills."
69,docs.plus,https://docs.plus,32.4,29.4,3,0.2,HIGH,none,criteria,"Open-source collaborative documents for organizations -- homepage has 45 words, dossier has 41 pass5 words. No government partnerships, no policy outcomes, no founding year, no GitHub metrics. Every structured field is empty or minimal. I score the open-source collaborative concept positively but cannot credit what the evidence does not support."
70,Channel.org,https://channel.org,31.4,28.4,3,0.2,HIGH,none,criteria,"Homepage shows 23 words, dossier has 95 pass5 words, and nearly every structured field is empty or null. No government partnerships, no policy outcomes, no academic citations, no news coverage. I cannot score what I cannot see. Open source gets minimal M6 credit, but the evidence base is too thin for any criterion to score above minimal."
71,CiviClick,https://civiclick.com,30.4,30.4,0,0.35,HIGH,none,criteria,"Commercial grassroots advocacy software with AI-powered features, but the dossier provides no detail on what the AI does or how it works. No founding year, no GitHub, no academic citations, no documented limitations. For-profit subscription model serving public affairs professionals -- this is a lobbying tool, not civic infrastructure. Thin evidence across the board."
72,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,30.4,30.4,0,0.3,HIGH,none,criteria,"Free toolkit helping nonprofits manage social media accounts securely -- useful cybersecurity hygiene but not political technology infrastructure. No government partnerships, proprietary, thin dossier (19 pass5 words). The failure mode about toolkit becoming outdated as platforms change protocols is honest but the evidence base is too thin to credit significantly on any criterion."
73,Anna's Archive,https://annas-archive.pm,30.3,35.3,-5,0.35,HIGH,low,modifier,"Dead link on scrape, 28k GitHub stars but operating in a legal gray zone with no formal governance structure. The documented limitations about copyright and domain seizure risk are honest (C3 credit), but there is no institutional engagement, no regulatory dimension, and the opacity of governance triggers M2. I respect the access-to-knowledge mission but my constitution cannot reward what it cannot verify."
74,Dovetail,https://dovetail.network,28.4,28.4,0,0.25,HIGH,none,criteria,"Directory matching non-profits with 250+ digital agencies -- useful sector service but not political technology. No government partnerships, proprietary, UK-only, no documented outcomes or limitations. The academic citations are automated noise. This is a marketplace intermediary; my constitution does not have criteria that reward matchmaking services."
