rank,project_slug,project_name,raw_score,adjusted_score,final_score,rationale
93,writetothem,WriteToThem,50.6,50.6,50.6,C1=1 C2=8 C3=3 C4=4 C5=5 C6=9 C7=8 C8=6
94,metaculus,Metaculus,50.6,50.6,50.6,C1=2 C2=6 C3=5 C4=7 C5=5 C6=7 C7=3 C8=6
95,snowdrift-coop,Snowdrift.coop,50.6,50.6,50.6,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=3 C8=3
96,murmurations-protocol,Murmurations Protocol,50.6,50.6,50.6,C1=1 C2=6 C3=5 C4=4 C5=9 C6=9 C7=3 C8=3
97,open-heart-mind-ohm,Open Heart Mind (OHM),50.6,50.6,50.6,C1=2 C2=5 C3=3 C4=7 C5=9 C6=9 C7=3 C8=3
98,journal-of-open-source-software,Journal of Open Source Software,50.6,50.6,50.6,C1=1 C2=6 C3=3 C4=7 C5=9 C6=9 C7=3 C8=3
99,policyengine,PolicyEngine,50.6,50.6,50.6,C1=1 C2=3 C3=5 C4=7 C5=9 C6=9 C7=3 C8=6
100,fixmystreet,FixMyStreet,50.6,50.6,50.6,C1=1 C2=8 C3=3 C4=4 C5=5 C6=9 C7=8 C8=6
101,rsky,rsky,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=3 C8=3
102,ddocs,dDocs,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=3 C8=3
103,radicle,Radicle,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=3 C8=3
104,martus,Martus,50.0,50.0,50.0,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=8 C8=3
105,pear-by-holepunch,Pear by Holepunch,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=4 C5=9 C6=7 C7=3 C8=3
106,papertree,Papertree,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=4 C5=9 C6=7 C7=3 C8=3
107,consent-o-matic,Consent-O-Matic,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=3 C8=3
108,tech-coops-list,Tech Coops List,50.0,50.0,50.0,C1=1 C2=6 C3=6 C4=6 C5=9 C6=5 C7=3 C8=3
109,participedia,Participedia,50.0,50.0,50.0,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=8 C8=3
110,talk-to-the-city,Talk to the City,46.5,49.5,49.5,C1=2 C2=9 C3=3 C4=4 C5=5 C6=5 C7=3 C8=6
111,vframe,VFRAME,49.4,49.4,49.4,C1=2 C2=6 C3=5 C4=7 C5=5 C6=5 C7=8 C8=3
112,gov-uk-one-login,GOV.UK One Login,49.4,49.4,49.4,C1=1 C2=8 C3=6 C4=4 C5=5 C6=6 C7=3 C8=6
113,humble-data-workshop,Humble Data Workshop,49.4,49.4,49.4,C1=1 C2=6 C3=5 C4=7 C5=9 C6=5 C7=3 C8=3
114,parti,Parti,49.4,49.4,49.4,C1=1 C2=8 C3=5 C4=4 C5=5 C6=9 C7=3 C8=3
115,sourceafrica,sourceAFRICA,49.4,49.4,49.4,C1=1 C2=3 C3=5 C4=6 C5=9 C6=9 C7=3 C8=6
116,humanitarian-data-exchange,Humanitarian Data Exchange,49.4,49.4,49.4,C1=1 C2=6 C3=5 C4=7 C5=5 C6=5 C7=8 C8=6
117,humanitarian-openstreetmap-team-hot,Humanitarian OpenStreetMap Team (HOT),49.4,49.4,49.4,C1=1 C2=6 C3=3 C4=6 C5=5 C6=9 C7=8 C8=6
118,constitute-project,Constitute Project,49.4,49.4,49.4,C1=1 C2=9 C3=3 C4=4 C5=9 C6=5 C7=3 C8=6
119,pursuance-project,Pursuance Project,49.4,49.4,49.4,C1=1 C2=6 C3=3 C4=6 C5=9 C6=9 C7=3 C8=3
120,patcit,PatCit,49.4,49.4,49.4,C1=2 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
121,rxc-quadratic-voting,RxC Quadratic Voting,48.8,48.8,48.8,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
122,members-interests,Members' Interests,48.8,48.8,48.8,C1=1 C2=8 C3=3 C4=4 C5=5 C6=9 C7=8 C8=3
123,open-science-framework,Open Science Framework,48.8,48.8,48.8,C1=1 C2=6 C3=3 C4=7 C5=9 C6=5 C7=8 C8=3
124,bluesky,Bluesky,48.8,48.8,48.8,C1=1 C2=6 C3=6 C4=7 C5=5 C6=7 C7=3 C8=3
125,riseup,Riseup,48.2,48.2,48.2,C1=1 C2=6 C3=6 C4=6 C5=5 C6=5 C7=8 C8=3
126,choose-a-license,Choose a License,48.2,48.2,48.2,C1=1 C2=6 C3=6 C4=4 C5=5 C6=7 C7=8 C8=3
127,tracka,Tracka,48.2,48.2,48.2,C1=1 C2=8 C3=3 C4=6 C5=1 C6=9 C7=8 C8=6
128,ethelo,Ethelo,48.2,48.2,48.2,C1=2 C2=6 C3=3 C4=7 C5=5 C6=7 C7=8 C8=3
129,river-sentiment-dashboard,River Sentiment Dashboard,44.7,47.7,47.7,C1=1 C2=8 C3=5 C4=4 C5=5 C6=5 C7=3 C8=3
130,gov-reuse-library,GOV Reuse Library,47.6,47.6,47.6,C1=1 C2=8 C3=6 C4=4 C5=5 C6=6 C7=3 C8=3
131,semanticclimate,semanticClimate,47.6,47.6,47.6,C1=2 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
132,osint-framework,OSINT Framework,47.6,47.6,47.6,C1=1 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
133,uk-policy-dojo,UK Policy Dojo,47.6,47.6,47.6,C1=2 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
134,community-notes-birdwatch-analysis-tool,Community Notes (Birdwatch) Analysis Tool,47.6,47.6,47.6,C1=1 C2=9 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
135,anna-s-archive,Anna's Archive,47.6,47.6,47.6,C1=1 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
136,aisafety-info,AISafety.info,47.6,47.6,47.6,C1=2 C2=6 C3=5 C4=4 C5=5 C6=9 C7=3 C8=3
137,dao-governance-surfaces,DAO Governance Surfaces,47.6,47.6,47.6,C1=1 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
138,otree,oTree,47.6,47.6,47.6,C1=2 C2=6 C3=3 C4=7 C5=9 C6=5 C7=3 C8=3
139,gov-uk-forms,GOV.UK Forms,47.6,47.6,47.6,C1=1 C2=8 C3=6 C4=4 C5=5 C6=6 C7=3 C8=3
140,entitledto,Entitledto,47.6,47.6,47.6,C1=1 C2=8 C3=5 C4=4 C5=1 C6=9 C7=8 C8=3
141,turn2us-benefits-calculator,Turn2us Benefits Calculator,47.6,47.6,47.6,C1=1 C2=8 C3=5 C4=4 C5=1 C6=9 C7=8 C8=3
142,atlas-of-surveillance,Atlas of Surveillance,47.6,47.6,47.6,C1=2 C2=3 C3=5 C4=7 C5=5 C6=9 C7=3 C8=6
143,spacetube,Spacetube,47.6,47.6,47.6,C1=1 C2=6 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
144,rxc-voice,RxC Voice,47.1,47.1,47.1,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=3 C8=3
145,libertrium,Libertrium,47.1,47.1,47.1,C1=1 C2=8 C3=6 C4=4 C5=1 C6=7 C7=8 C8=3
146,citizen-os,Citizen OS,47.1,47.1,47.1,C1=1 C2=3 C3=3 C4=7 C5=9 C6=9 C7=3 C8=6
147,placecal,PlaceCal,47.1,47.1,47.1,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=3 C8=3
148,channel-org,Channel.org,47.1,47.1,47.1,C1=1 C2=6 C3=3 C4=4 C5=9 C6=9 C7=3 C8=3
149,deliberaide,deliberAIde,47.6,46.6,46.6,C1=2 C2=9 C3=3 C4=7 C5=1 C6=7 C7=3 C8=6
150,activist-handbook,Activist Handbook,46.5,46.5,46.5,C1=1 C2=6 C3=3 C4=6 C5=5 C6=9 C7=3 C8=6
151,responsible-tech-guide-2025,Responsible Tech Guide 2025,46.5,46.5,46.5,C1=1 C2=6 C3=8 C4=4 C5=1 C6=9 C7=3 C8=3
152,the-data-trusts-initiative,The Data Trusts Initiative,47.1,46.1,46.1,C1=2 C2=9 C3=5 C4=7 C5=1 C6=5 C7=3 C8=3
153,bluesky-social,Bluesky Social,45.9,45.9,45.9,C1=1 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
154,soweego,soweego,45.9,45.9,45.9,C1=1 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
155,pageviews-analysis,Pageviews Analysis,45.9,45.9,45.9,C1=1 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
156,granitt,Granitt,45.9,45.9,45.9,C1=1 C2=8 C3=6 C4=4 C5=1 C6=7 C7=3 C8=6
157,participa-podemos,Participa (Podemos),45.9,45.9,45.9,C1=2 C2=6 C3=3 C4=4 C5=9 C6=5 C7=3 C8=6
158,service-manual,Service Manual,45.9,45.9,45.9,C1=1 C2=8 C3=6 C4=4 C5=1 C6=6 C7=8 C8=3
159,policykit,PolicyKit,45.9,45.9,45.9,C1=1 C2=6 C3=3 C4=7 C5=9 C6=5 C7=3 C8=3
160,civicpress,CivicPress,45.9,45.9,45.9,C1=1 C2=5 C3=6 C4=4 C5=9 C6=5 C7=3 C8=3
161,whatsmeow,whatsmeow,45.9,45.9,45.9,C1=1 C2=6 C3=5 C4=4 C5=9 C6=5 C7=3 C8=3
162,collaborative-data-patterns,Collaborative Data Patterns,45.9,45.9,45.9,C1=1 C2=6 C3=5 C4=4 C5=5 C6=9 C7=3 C8=3
163,journalist-studio,Journalist Studio,45.3,45.3,45.3,C1=2 C2=6 C3=5 C4=4 C5=5 C6=7 C7=3 C8=3
164,local-deep-researcher,Local Deep Researcher,45.3,45.3,45.3,C1=1 C2=6 C3=6 C4=4 C5=3 C6=9 C7=3 C8=3
165,mapping-kids,Mapping.kids,45.3,45.3,45.3,C1=1 C2=6 C3=6 C4=4 C5=3 C6=9 C7=3 C8=3
166,edgar,EDGAR,45.3,45.3,45.3,C1=1 C2=3 C3=5 C4=4 C5=9 C6=9 C7=3 C8=3
167,kagi-slopstop,Kagi SlopStop,45.3,45.3,45.3,C1=2 C2=6 C3=3 C4=7 C5=5 C6=7 C7=3 C8=3
168,urbit,Urbit,45.3,45.3,45.3,C1=1 C2=6 C3=6 C4=4 C5=5 C6=7 C7=3 C8=3
169,open-data-communities,Open Data Communities,45.3,45.3,45.3,C1=1 C2=8 C3=3 C4=4 C5=5 C6=6 C7=8 C8=3
170,fatebook,Fatebook,45.3,45.3,45.3,C1=2 C2=6 C3=5 C4=4 C5=5 C6=7 C7=3 C8=3
171,greenpt,GreenPT,45.9,44.9,44.9,C1=1 C2=9 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
172,yoti,Yoti,45.9,44.9,44.9,C1=1 C2=9 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
173,discourse,Discourse,44.7,44.7,44.7,C1=2 C2=6 C3=3 C4=4 C5=5 C6=7 C7=8 C8=3
174,docs-plus,docs.plus,44.7,44.7,44.7,C1=1 C2=6 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
175,logos,Logos,44.7,44.7,44.7,C1=1 C2=6 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
176,meet-coop,meet.coop,44.7,44.7,44.7,C1=1 C2=6 C3=3 C4=6 C5=5 C6=9 C7=3 C8=3
177,in-the-news,In the news,44.7,44.7,44.7,C1=1 C2=6 C3=3 C4=6 C5=9 C6=5 C7=3 C8=3
178,openbudgets-eu,OpenBudgets.eu,44.7,44.7,44.7,C1=1 C2=6 C3=6 C4=4 C5=5 C6=5 C7=3 C8=6
179,stanford-participatory-budgeting-platform,Stanford Participatory Budgeting Platform,44.1,44.1,44.1,C1=1 C2=3 C3=6 C4=4 C5=9 C6=5 C7=3 C8=6
180,local-insight,Local Insight,44.1,44.1,44.1,C1=1 C2=8 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
181,nyaaya,Nyaaya,44.1,44.1,44.1,C1=2 C2=6 C3=3 C4=4 C5=5 C6=9 C7=3 C8=3
182,the-circuit,The Circuit,44.1,44.1,44.1,C1=1 C2=5 C3=5 C4=4 C5=5 C6=9 C7=3 C8=3
183,democracy-fund-open-source,Democracy Fund Open Source,43.5,43.5,43.5,C1=1 C2=3 C3=3 C4=4 C5=9 C6=9 C7=3 C8=6
184,cortico,Cortico,46.5,43.5,43.5,C1=2 C2=9 C3=3 C4=4 C5=1 C6=9 C7=3 C8=6
185,aragon,Aragon,43.5,43.5,43.5,C1=1 C2=3 C3=6 C4=7 C5=5 C6=7 C7=3 C8=3
186,crowdjustice,CrowdJustice,43.5,43.5,43.5,C1=1 C2=6 C3=5 C4=4 C5=1 C6=7 C7=8 C8=6
187,deepseek-v3,DeepSeek-V3,43.5,43.5,43.5,C1=1 C2=6 C3=5 C4=4 C5=5 C6=7 C7=3 C8=3
188,full-fact-ai,Full Fact AI,46.5,43.5,43.5,C1=2 C2=9 C3=3 C4=4 C5=1 C6=9 C7=3 C8=6
189,plinth,Plinth,44.1,43.1,43.1,C1=2 C2=8 C3=5 C4=4 C5=1 C6=7 C7=3 C8=3
190,fission-codes,Fission Codes,42.9,42.9,42.9,C1=1 C2=3 C3=5 C4=4 C5=9 C6=7 C7=3 C8=3
191,govwise,GovWise,45.9,42.9,42.9,C1=2 C2=8 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
192,postcodes-io,postcodes.io,42.9,42.9,42.9,C1=1 C2=3 C3=5 C4=4 C5=9 C6=7 C7=3 C8=3
193,user-research-library,User Research Library,42.9,42.9,42.9,C1=1 C2=8 C3=6 C4=4 C5=1 C6=6 C7=3 C8=3
194,esper,Esper,45.9,42.9,42.9,C1=2 C2=8 C3=6 C4=4 C5=1 C6=7 C7=3 C8=3
195,schema-org,Schema.org,42.9,42.9,42.9,C1=1 C2=3 C3=5 C4=6 C5=9 C6=5 C7=3 C8=3
196,gender-pay-gap-service,Gender Pay Gap Service,42.9,42.9,42.9,C1=1 C2=8 C3=6 C4=4 C5=1 C6=6 C7=3 C8=3
197,registers-and-collaboration-making-lists-we-can-trust,Registers and collaboration: making lists we can trust,42.9,42.9,42.9,C1=1 C2=6 C3=6 C4=4 C5=1 C6=9 C7=3 C8=3
198,the-dao-standard-dao-framework,The DAO (Standard DAO Framework),42.4,42.4,42.4,C1=1 C2=6 C3=3 C4=4 C5=9 C6=5 C7=3 C8=3
