jury_rank,name,url,jury_score,const_score,const_rank,gap,pop_risk,completeness,std_dev,grok_median
135,UK Policy Dojo,https://github.com/mikekelly/policy-dojo,54.2,51.8,140,-5,LOW,0.93,8.5,41.0
136,TheyWorkForYou,https://www.theyworkforyou.com,53.9,54.1,127,9,LOW,0.93,9.1,52.2
137,Discourse,https://www.discourse.org,53.8,49.2,170,-33,HIGH,0.93,10.5,39.3
138,Parliament Watch Uganda,https://parliamentwatch.ug/,53.7,52.3,136,2,LOW,0.87,9.4,40.9
139,Tech Coops List,https://tech-coops.xyz,53.7,51.1,145,-6,LOW,0.93,7.0,46.9
140,ShineYourEye,https://www.shineyoureye.org,53.5,50.6,153,-13,LOW,0.93,6.9,42.1
141,Atlas of Surveillance,https://atlasofsurveillance.org,53.4,50.6,152,-11,LOW,1.0,9.6,43.2
142,Objector.ai,https://www.objector.ai,53.3,48.6,177,-35,HIGH,0.87,8.8,36.6
143,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,53.2,52.7,135,8,LOW,0.93,7.2,46.2
144,OA.Report,https://oa.report,53.1,53.5,128,16,LOW,0.87,6.9,49.9
145,Bluesky Social,https://github.com/bluesky-social,53.1,53.2,131,14,HIGH,1.0,8.8,36.4
146,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,53.1,50.8,147,-1,LOW,0.93,6.1,48.4
147,Talk to the City,https://talktothecity.org,53.1,50.7,151,-4,LOW,1.0,7.3,53.1
148,Plinth,https://www.plinth.org.uk,53.1,48.3,184,-36,LOW,0.93,11.1,39.6
149,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,53.0,49.3,167,-18,LOW,0.93,8.4,47.7
150,ClimateAction.Tech,https://climateaction.tech,52.9,53.3,129,21,MEDIUM,0.93,10.3,39.3
151,UrbanistAI,https://site.urbanistai.com,52.9,50.7,150,1,LOW,0.8,10.8,26.6
152,Who Posted What?,https://whopostedwhat.com,52.7,49.8,161,-9,LOW,0.87,7.2,43.3
153,Activist Handbook,https://activisthandbook.org/,52.7,48.8,172,-19,LOW,0.93,8.5,47.4
154,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,52.4,55.7,113,41,LOW,0.93,10.7,41.3
155,WardWatch,https://wardwatch.uk,52.3,50.3,154,1,LOW,0.87,8.0,42.8
156,GovTrack.us,https://www.govtrack.us,52.3,50.0,158,-2,MEDIUM,1.0,8.9,41.9
157,soweego,https://soweego.readthedocs.io,52.3,49.2,169,-12,LOW,0.93,7.1,41.6
158,RightDD,https://www.rightsdd.com,52.2,48.3,185,-27,LOW,0.87,8.9,38.7
159,Strike Map,https://strikemap.org,52.0,50.8,148,11,LOW,0.93,6.2,44.5
160,Parse The Bill,https://parsethebill.com,51.9,49.6,163,-3,LOW,0.87,7.3,49.2
161,Snowdrift.coop,https://snowdrift.coop,51.9,45.3,211,-50,LOW,0.93,11.1,30.2
162,Public Media Stack,https://publicmediastack.com,51.8,51.8,141,21,LOW,0.87,8.3,48.4
163,Citizen OS,https://citizenos.com/platform/,51.7,50.2,156,7,LOW,0.93,9.0,38.9
164,Aragon,https://aragon.org,51.6,49.5,166,-2,MEDIUM,0.93,10.0,37.9
165,ОПОРА (Opora),https://www.oporaua.org,51.4,50.0,159,6,LOW,0.93,7.7,47.1
166,FixMyStreet,https://www.fixmystreet.com,51.4,48.3,183,-17,HIGH,0.93,13.3,24.1
167,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,51.4,46.9,197,-30,LOW,0.87,11.8,28.9
168,dDocs,https://ddocs.new/,51.3,50.2,157,11,LOW,0.8,7.2,41.3
169,Humble Data Workshop,https://humbledata.org,51.3,48.3,179,-10,LOW,0.93,9.1,52.2
170,Gender Pay Gap Service,https://gender-pay-gap.service.gov.uk,51.2,51.3,142,28,LOW,0.87,10.1,34.1
171,Objector.ai,https://objector.ai,51.1,48.6,176,-5,HIGH,0.87,10.2,28.8
172,GreenPT,https://greenpt.ai/,51.1,48.0,187,-15,LOW,0.8,6.4,46.0
173,Who Targets Me Trends,https://trends.whotargets.me,51.0,51.1,146,27,LOW,0.87,6.0,45.7
174,User Research Library,https://research.localgov.digital,50.9,49.6,164,10,LOW,0.87,11.2,36.7
175,rsky,https://github.com/blacksky-algorithms/rsky,50.7,52.2,137,38,LOW,0.93,9.4,36.0
176,Shareyourpaper.org,https://shareyourpaper.org,50.5,49.6,165,11,LOW,0.93,6.4,44.3
177,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,50.5,47.8,189,-12,MEDIUM,1.0,11.2,31.2
178,Pear by Holepunch,https://docs.holepunch.to,50.5,47.4,190,-12,LOW,0.93,9.9,30.8
179,Manifold Markets,https://manifold.markets,50.4,48.2,186,-7,MEDIUM,0.93,10.7,39.3
180,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,50.3,45.0,221,-41,LOW,0.93,7.8,34.0
181,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,50.1,44.7,231,-50,LOW,0.87,10.5,27.8
182,Radicle,https://radicle.xyz,49.9,49.8,160,22,MEDIUM,0.93,9.4,33.3
183,Nook CRM,https://nookcrm.com,49.9,46.4,199,-16,LOW,0.93,10.8,27.3
184,GOV.UK Pay,https://www.payments.service.gov.uk,49.8,49.8,162,22,LOW,0.93,7.0,42.1
185,Public Editor,https://www.publiceditor.io,49.7,45.0,226,-41,HIGH,0.87,12.4,22.0
186,Prolific,https://www.prolific.com,49.7,44.3,235,-49,LOW,0.87,7.4,39.7
187,GOV.UK Notify,https://www.notifications.service.gov.uk,49.6,48.8,174,13,MEDIUM,0.93,6.3,48.6
188,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,49.5,47.2,194,-6,LOW,0.93,8.8,36.6
189,Harmonica,https://harmonica.chat/,49.3,48.3,178,11,LOW,0.8,10.1,41.0
190,Relational Tech Project,https://relationaltechproject.org,49.3,44.3,233,-43,LOW,0.8,8.5,35.8
191,Kialo,https://kialo.com,49.1,48.8,173,18,LOW,0.93,12.1,36.1
192,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,49.0,47.2,195,-3,LOW,0.93,8.0,35.8
193,Go Vocal,https://www.govocal.com,49.0,46.3,203,-10,LOW,0.93,9.3,31.5
194,Papertree,https://www.papertree.earth,48.9,46.4,200,-6,NONE,0.6,11.8,35.8
195,CoTech,https://coops.tech,48.9,46.3,201,-6,LOW,0.93,10.4,33.6
196,WriteToThem,https://www.writetothem.com,48.9,45.3,212,-16,LOW,0.93,9.4,26.2
197,Missing Numbers,https://missingnumbers.org,48.8,48.3,180,17,LOW,0.93,7.8,38.2
198,Humanitarian Data Exchange,https://data.humdata.org,48.8,45.0,214,-16,LOW,1.0,7.5,47.0
199,docs.plus,https://docs.plus,48.7,47.3,191,8,LOW,0.87,8.0,38.1
200,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,48.7,45.0,222,-22,LOW,0.93,10.5,33.8
201,Anna's Archive,https://annas-archive.pm,48.6,45.0,213,-12,HIGH,0.93,9.0,40.9
202,Members' Interests,https://membersinterests.org.uk,48.6,45.0,218,-16,LOW,0.93,13.4,38.8
203,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,48.6,45.0,219,-16,HIGH,1.0,9.3,35.1
204,Theft Bisect,https://onodi.co/bisect/,48.5,48.3,181,23,LOW,0.93,6.4,46.7
205,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,48.3,47.8,188,17,LOW,0.87,7.7,37.5
206,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,48.2,45.4,207,-1,LOW,0.8,9.9,33.4
207,CrowdJustice,https://www.crowdjustice.com,48.0,44.9,228,-21,LOW,0.93,6.8,40.5
208,Public AI Inference Utility,https://publicai.co/,47.9,45.3,210,-2,LOW,1.0,6.2,40.5
209,ORCID,https://orcid.org,47.8,48.3,182,27,MEDIUM,1.0,10.0,36.3
210,Conservative Party Funding,https://conservativepartyfunding.co.uk,47.8,45.3,208,2,LOW,0.87,7.9,35.5
211,Cortico,https://cortico.ai/platform,47.8,44.3,232,-21,LOW,0.87,8.6,42.1
212,DoGooder,https://dogooder.co,47.8,43.5,237,-25,LOW,0.8,9.6,32.2
213,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,47.6,45.8,205,8,HIGH,0.93,10.8,33.5
214,Dunadyne,https://dunadyne.org,47.5,43.0,243,-29,LOW,0.8,7.8,35.6
215,Deliberation & Technology (DelibTech) Network,https://www.demnext.org/projects/delibtech-network,47.4,49.3,168,47,LOW,0.87,10.0,31.1
216,Campaign Tracker,https://www.campaigntracker.nl/en,47.4,47.1,196,20,LOW,1.0,9.1,33.7
217,GrantNav,https://grantnav.threesixtygiving.org,47.3,46.3,202,15,LOW,1.0,8.0,34.3
218,Organise,https://www.organise.org.uk,47.3,44.9,230,-12,LOW,0.93,9.3,39.8
219,UK Parliament Developer Portal,https://developer.parliament.uk,47.1,42.4,246,-27,LOW,0.93,9.8,37.5
220,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,47.0,45.0,217,3,LOW,0.93,10.8,20.7
221,MP Twitter Bios,https://www.mptwitterbios.co.uk,46.9,49.2,171,50,LOW,0.93,7.3,40.7
222,Agencies for Good,https://www.agenciesforgood.org,46.9,44.9,227,-5,LOW,0.93,9.6,35.1
223,Moral Machine,https://moralmachine.net,46.8,50.7,149,74,MEDIUM,1.0,10.5,34.6
224,Find local consultations,https://gov.uk/find-local-consultations,46.6,47.3,192,32,HIGH,0.87,12.8,26.2
225,arXiv,https://arxiv.org,46.6,46.8,198,27,MEDIUM,1.0,6.0,43.3
226,GOV.UK One Login,https://www.sign-in.service.gov.uk,46.3,43.0,244,-18,LOW,1.0,7.6,44.6
227,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,46.2,42.4,247,-20,LOW,0.87,6.9,35.4
228,CivicPress,https://civicpress.io/,46.1,45.9,204,24,LOW,0.93,8.6,32.3
229,whatsmeow,https://github.com/tulir/whatsmeow,46.1,45.3,209,20,MEDIUM,0.73,13.7,33.6
230,Land Explorer,https://landexplorer.coop,46.0,42.0,253,-23,LOW,0.87,11.8,30.2
231,Metaculus,https://metaculus.com,45.9,45.0,220,11,LOW,1.0,8.7,35.9
232,Timecounts,https://timecounts.org,45.9,42.4,248,-16,LOW,0.87,7.2,32.8
233,Murmurations Protocol,https://murmurations.network,45.8,43.4,239,-6,LOW,0.93,6.1,37.2
234,FixMyBlock,https://fixmyblock.org,45.7,45.4,206,28,LOW,0.87,9.5,39.2
235,PlanIT,https://planit.org.uk,45.6,45.0,223,12,LOW,0.93,11.3,29.5
236,Dovetail,https://dovetail.network,45.3,45.0,215,21,LOW,0.87,9.3,39.5
237,PolicyKit,https://policykit.org,45.1,45.0,224,13,MEDIUM,1.0,9.6,32.3
238,Monitor Mamdani,https://monitormamdani.com/,44.9,48.6,175,63,HIGH,0.93,9.8,37.0
239,In the news,https://en.wikipedia.org/wiki/wikipedia:in_the_news,44.9,42.3,250,-11,LOW,0.87,8.6,38.4
240,Fatebook,https://fatebook.io,44.9,42.0,252,-12,MEDIUM,1.0,10.7,23.2
241,Polimorphic,https://www.polimorphic.com,44.8,42.4,249,-8,LOW,0.8,6.5,36.7
242,The Data Trusts Initiative,https://datatrusts.uk,44.8,41.5,256,-14,LOW,0.87,7.8,35.8
243,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,44.8,40.9,259,-16,LOW,0.8,6.5,32.7
244,Entitledto,https://entitledto.co.uk,44.5,45.0,216,28,LOW,0.93,8.7,29.3
245,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,44.5,40.5,260,-15,LOW,0.87,8.9,40.4
246,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,44.4,40.4,262,-16,LOW,0.93,5.8,37.5
247,MapIt,https://mapit.mysociety.org,44.3,47.3,193,54,LOW,1.0,7.9,34.3
248,Collaborative Data Patterns,https://collaborative-data.theodi.org,44.0,43.3,241,7,LOW,0.87,7.9,39.0
249,Democracy Fund Open Source,https://www.dfos.com,44.0,39.4,269,-20,LOW,0.87,10.7,17.8
250,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,43.8,38.0,279,-29,LOW,0.87,6.4,34.6
251,Give Food,https://www.givefood.org.uk,43.5,44.9,229,22,LOW,1.0,12.3,32.0
252,Watch Duty,https://www.watchduty.org,43.3,40.4,264,-12,LOW,0.87,8.5,35.8
253,Shared Digital Guides,https://www.shareddigitalguides.org.uk,43.2,41.4,257,-4,LOW,0.87,11.2,16.6
254,Viewpoints,https://viewpoints.xyz,43.1,44.3,234,20,LOW,0.87,8.2,38.7
255,Remember to Vote,https://remembertovote.org.uk,43.0,38.1,277,-22,LOW,0.87,6.7,43.0
256,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,42.6,40.4,261,-5,LOW,0.87,8.4,39.3
257,GovWise,https://www.govwise.ai/en,42.5,45.0,225,32,LOW,0.8,10.2,29.9
258,Sci-Hub,https://sci-hub.se,42.5,43.4,240,18,LOW,0.93,8.9,41.7
259,GOV.UK Forms,https://www.forms.service.gov.uk,42.5,42.0,254,5,LOW,0.93,8.9,30.1
260,CiviClick,https://civiclick.com,42.4,41.0,258,2,LOW,0.8,7.1,28.5
261,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,42.3,43.3,242,19,LOW,0.87,8.2,34.2
