rank,project_name,url,score,criteria_total,modifier_adj,completeness,uncertainty,popularity_risk,primary_driver,rationale
12,AlgorithmWatch,https://algorithmwatch.org,40.5,25.5,15,0.98,LOW,LOW,modifier,"AlgorithmWatch demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M1:+5, M3:+10)."
13,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,40.1,30.1,10,0.92,LOW,MEDIUM,criteria,"Bellingcat Online Investigation Toolkit demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Primary driver: ethical infrastructure."
14,Open Ownership,https://www.openownership.org,39.1,21.1,18,0.96,LOW,LOW,modifier,"Open Ownership works in government transparency, which is outside my core health equity focus but has governance dimensions I can evaluate. Modifiers significantly shaped this score (M1:+15, M6:+3)."
15,VFRAME,https://vframe.io,38.3,23.3,15,0.96,LOW,MEDIUM,modifier,"VFRAME operates in Syria -- a fragile context I know from direct experience where technology must work under constraints most designers never consider. Modifiers significantly shaped this score (M1:+5, M3:+10)."
16,Open Collective,https://opencollective.com,38.2,23.2,15,0.87,LOW,MEDIUM,modifier,What stands out about Open Collective is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Modifiers significantly shaped this score (M1:+15).
17,OpenSanctions,https://www.opensanctions.org,38.2,28.2,10,0.94,LOW,MEDIUM,criteria,"OpenSanctions demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Primary driver: ethical infrastructure."
18,Open Supply Hub,https://opensupplyhub.org,37.9,22.9,15,0.89,LOW,LOW,modifier,"Open Supply Hub works in supply chain accountability, which is outside my core health equity focus but has governance dimensions I can evaluate. Modifiers significantly shaped this score (M1:+15)."
19,Mastodon,https://github.com/mastodon/mastodon,37.8,18.8,19,0.96,LOW,HIGH,modifier,"Mastodon works in digital rights infrastructure, which is outside my core health equity focus but has governance dimensions I can evaluate. Modifiers significantly shaped this score (M1:+12, M3:+7). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
20,Decidim,https://decidim.org,37.6,25.6,12,0.96,LOW,HIGH,modifier,"The participatory design evidence in Decidim's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+12). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
21,Creative Commons,https://creativecommons.org,37.1,19.1,18,0.94,LOW,HIGH,modifier,"Creative Commons engages with governance redistribution in ways that resonate with my decolonial commitments. Modifiers significantly shaped this score (M1:+15, M6:+3). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
22,RxC Voice,https://github.com/radicalxchange/rxc-voice,36.8,36.8,0,0.81,LOW,LOW,criteria,"""An app for decentralized democratic governance leveraging Quadratic Funding, pol.is, and Quadratic V..."" -- RxC Voice has a real health equity dimension that my constitution rewards. Primary driver: health equity."
23,Agencies for Good,https://www.agenciesforgood.org,36.4,31.4,5,0.77,LOW,LOW,criteria,What stands out about Agencies for Good is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: community-centred design.
24,HURIDOCS,https://github.com/huridocs,35.1,20.1,15,0.96,LOW,MEDIUM,modifier,"HURIDOCS demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M1:+5, M3:+10)."
25,ShineYourEye,https://www.shineyoureye.org,34.5,22.5,12,0.63,LOW,LOW,criteria,The participatory design evidence in ShineYourEye's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
26,Open Heart Mind (OHM),https://openheartmind.org,34.3,29.3,5,0.87,LOW,LOW,criteria,Open Heart Mind (OHM) engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
27,GlobaLeaks,https://www.globaleaks.org,34.1,19.1,15,0.92,LOW,MEDIUM,modifier,"GlobaLeaks demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M1:+5, M3:+10)."
28,Granicus,https://granicus.com/uk,34.1,19.1,15,0.77,LOW,LOW,modifier,"Granicus has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Modifiers significantly shaped this score (M1:+5, M3:+7, M6:+3)."
29,adhocracy+,https://adhocracy.plus,33.6,23.6,10,0.96,LOW,LOW,criteria,"adhocracy+ demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Primary driver: community-centred design."
30,Open Council Network,https://opencouncil.network,33.5,33.5,0,0.92,LOW,LOW,criteria,What stands out about Open Council Network is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: community-centred design.
31,Security First / Umbrella,https://secfirst.org,33.1,21.1,12,0.94,LOW,LOW,modifier,"Security First / Umbrella has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Modifiers significantly shaped this score (M1:+5, M3:+7)."
32,Labour Xchange,https://labourxchange.uk,32.6,14.6,18,0.75,LOW,LOW,modifier,"Labour Xchange demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M1:+8, M3:+10)."
33,Open Digital Planning,https://opendigitalplanning.org/,32.1,29.1,3,0.98,LOW,MEDIUM,criteria,Open Digital Planning engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
34,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,31.9,23.9,8,0.9,LOW,LOW,criteria,Mozilla Data Collective has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: ethical infrastructure.
35,One Project,https://oneproject.org/,31.9,31.9,0,0.85,LOW,LOW,criteria,What stands out about One Project is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: community-centred design.
36,Bonfire,https://bonfirenetworks.org/,31.8,31.8,0,0.9,LOW,LOW,criteria,Bonfire engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
37,CiviCRM,https://civicrm.org,31.5,16.5,15,0.94,LOW,MEDIUM,modifier,The participatory design evidence in CiviCRM's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+15).
38,Logos,https://logos.co/,30.6,30.6,0,0.85,LOW,LOW,criteria,Logos engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
39,Martus,https://www.martus.org,30.5,15.5,15,0.83,LOW,MEDIUM,modifier,Martus has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Modifiers significantly shaped this score (M1:+15).
40,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,30.4,23.4,7,0.96,LOW,LOW,criteria,Cybersecurity for Democracy has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: ethical infrastructure.
41,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,30.1,23.1,7,0.9,LOW,LOW,criteria,"""A curated list of references to useful UK Government datasets"" -- Awesome UK Government Datasets has a real health equity dimension that my constitution rewards. Primary driver: health equity."
42,ОПОРА (Opora),https://www.oporaua.org,30.1,23.1,7,0.94,LOW,MEDIUM,criteria,ОПОРА (Opora) has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: community-centred design.
43,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,30,0.0,0,0.31,HIGH,NONE,underdog-protection,"The Unknown Academic Paper (SSRN 5351275) website appears to be down, which limits what I can verify about this project. Uncertainty floor applies at completeness 0.31."
44,tracking-template-38b4c.web.app,https://tracking-template-38b4c.web.app,30,0.6,0,0.3,HIGH,NONE,underdog-protection,The dossier for tracking-template-38b4c.web.app is thin -- I apply underdog protection rather than penalise what may reflect difficult operating contexts. Uncertainty floor applies at completeness 0.3.
45,Open Standards for Data Guidebook,https://standards.theodi.org,29.6,29.6,0,0.94,LOW,LOW,criteria,Open Standards for Data Guidebook engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: ethical infrastructure.
46,Constitute Project,https://constituteproject.org,29.4,13.4,16,0.92,LOW,LOW,modifier,"The participatory design evidence in Constitute Project's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+12, M5:+4)."
47,Monitor Mamdani,https://monitormamdani.com/,29.1,24.1,5,0.77,LOW,HIGH,criteria,"The participatory design evidence in Monitor Mamdani's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
48,mySociety Datasets and APIs,https://data.mysociety.org,29.1,24.1,5,0.92,LOW,MEDIUM,criteria,The participatory design evidence in mySociety Datasets and APIs's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
49,Humble Data Workshop,https://humbledata.org,28.6,9.6,19,0.83,LOW,LOW,modifier,"Humble Data Workshop has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Modifiers significantly shaped this score (M1:+15, M5:+4)."
50,Civic Tech Field Guide,https://civictech.guide,28.4,23.4,5,0.8,LOW,LOW,criteria,The participatory design evidence in Civic Tech Field Guide's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
51,Discourse,https://www.discourse.org,28.4,16.4,12,0.88,LOW,HIGH,modifier,"The participatory design evidence in Discourse's dossier reflects the solidarity-over-rescue principle I hold central. Modifiers significantly shaped this score (M1:+12). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
52,GOV.UK One Login,https://www.sign-in.service.gov.uk,28.4,18.4,10,0.96,LOW,LOW,modifier,"GOV.UK One Login demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M3:+10)."
53,Open Science Framework,https://osf.io,28.4,16.4,12,0.89,LOW,MEDIUM,modifier,"Open Science Framework has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Modifiers significantly shaped this score (M1:+5, M3:+7)."
54,GOV.UK Forms,https://www.forms.service.gov.uk,27.4,27.4,0,0.92,LOW,LOW,criteria,"""Create accessible online forms for UK government without technical knowledge"" -- GOV.UK Forms has a real health equity dimension that my constitution rewards. Primary driver: health equity."
55,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,27.4,20.4,7,0.65,LOW,LOW,criteria,"The Open Access – Transparency International UK website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
56,Diia,https://expo.diia.gov.ua,27.3,20.3,7,0.98,LOW,MEDIUM,criteria,"Diia demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Primary driver: ethical infrastructure."
57,Aleph (OCCRP),https://aleph.occrp.org,27.1,27.1,0,0.91,LOW,MEDIUM,criteria,Aleph (OCCRP) engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: ethical infrastructure.
58,Participa (Podemos),https://github.com/podemos-info/participa,27.1,27.1,0,0.94,LOW,LOW,criteria,The participatory design evidence in Participa (Podemos)'s dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
59,deliberAIde,https://www.deliberaide.com,27.1,27.1,0,0.86,LOW,LOW,criteria,The participatory design evidence in deliberAIde's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
60,Parliament Watch Uganda,https://parliamentwatch.ug/,26.8,18.8,8,0.63,LOW,LOW,criteria,The participatory design evidence in Parliament Watch Uganda's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
61,PlanIT,https://planit.org.uk,26.8,19.8,7,0.69,LOW,LOW,criteria,"The PlanIT website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
62,OSINT Framework,https://osintframework.com,26.6,16.6,10,0.81,LOW,MEDIUM,modifier,"OSINT Framework demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M3:+10)."
63,Wikidata,https://www.wikidata.org,26.6,21.6,5,0.94,LOW,HIGH,criteria,"Wikidata has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
64,Nestr,https://nestr.io,26.2,22.2,4,0.71,LOW,LOW,criteria,The participatory design evidence in Nestr's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
65,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,26.1,26.1,0,0.75,LOW,LOW,criteria,The participatory design evidence in Marks Out Of Tenancy's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
66,Nyaaya,https://nyaaya.org,26.1,17.1,9,0.9,LOW,MEDIUM,criteria,Nyaaya has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: community-centred design.
67,Activist Handbook,https://activisthandbook.org/,26.0,26.0,0,0.79,LOW,LOW,criteria,Activist Handbook engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
68,Pursuance Project,https://pursuanceproject.org,25.9,25.9,0,0.81,LOW,LOW,criteria,The participatory design evidence in Pursuance Project's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
69,Give Food,https://www.givefood.org.uk,25.8,15.8,10,0.83,LOW,LOW,modifier,"The Give Food website appears to be down, which limits what I can verify about this project. Modifiers significantly shaped this score (M3:+10)."
70,Parti,https://parti.xyz,25.8,22.8,3,0.94,LOW,LOW,criteria,The participatory design evidence in Parti's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
71,WriteToThem,https://www.writetothem.com,25.8,25.8,0,0.89,LOW,MEDIUM,criteria,The participatory design evidence in WriteToThem's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
72,Cortico,https://cortico.ai/platform,25.6,25.6,0,0.82,LOW,LOW,criteria,The participatory design evidence in Cortico's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
73,Tor Project,https://www.torproject.org,25.2,24.2,1,0.92,LOW,HIGH,criteria,"Tor Project has some relevance to my framework but does not strongly engage with the health equity or power redistribution questions that drive my highest scores. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
74,Nym,https://nymtech.net,25.1,18.1,7,0.79,LOW,MEDIUM,criteria,Nym engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
75,ClimateAction.Tech,https://climateaction.tech,24.9,19.9,5,0.83,LOW,MEDIUM,criteria,ClimateAction.Tech engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
76,Journalist Studio,https://journaliststudio.google.com,24.7,9.7,15,0.85,LOW,MEDIUM,modifier,"My constitution is not built to see what Journalist Studio does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Modifiers significantly shaped this score (M1:+15)."
77,Local Intelligence Hub,https://www.localintelligencehub.com,24.6,21.6,3,0.87,LOW,LOW,criteria,The participatory design evidence in Local Intelligence Hub's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
78,Principles for Public Participation in Procurement of AI,https://p4ai.net,24.5,19.5,5,0.8,LOW,LOW,criteria,The participatory design evidence in Principles for Public Participation in Procurement of AI's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
79,CONSUL Democracy,https://consulproject.org,24.4,19.4,5,0.98,LOW,MEDIUM,criteria,The participatory design evidence in CONSUL Democracy's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
80,Tech Coops List,https://tech-coops.xyz,24.4,24.4,0,0.83,LOW,LOW,criteria,Tech Coops List engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
81,CoTech,https://coops.tech,24.2,24.2,0,0.79,LOW,LOW,criteria,What stands out about CoTech is genuine community ownership -- not just deployment in underserved contexts but governance power held locally. Primary driver: community-centred design.
82,Right To Know,https://right-to-know.org,24.1,17.1,7,0.78,LOW,LOW,criteria,"My constitution is not built to see what Right To Know does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
83,Humanitarian Data Exchange,https://data.humdata.org,23.8,13.8,10,0.92,LOW,MEDIUM,modifier,"Humanitarian Data Exchange demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M3:+10)."
84,Matrix,https://matrix.org,23.6,23.6,0,0.94,LOW,HIGH,criteria,"My constitution is not built to see what Matrix does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
85,Land Explorer,https://landexplorer.coop,23.2,18.2,5,0.75,LOW,LOW,criteria,Land Explorer engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
86,Turbo Phonebank,https://turbophonebank.com,23.2,23.2,0,0.71,LOW,LOW,criteria,The participatory design evidence in Turbo Phonebank's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
87,Vote for Policies,https://voteforpolicies.org.uk,23.2,18.2,5,0.73,LOW,MEDIUM,criteria,The participatory design evidence in Vote for Policies's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
88,CommunityRule,https://communityrule.info,23.1,23.1,0,0.92,LOW,LOW,criteria,The participatory design evidence in CommunityRule's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
89,Talk to the City,https://talktothecity.org,23.0,23.0,0,0.89,LOW,LOW,criteria,The participatory design evidence in Talk to the City's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
90,Moral Machine,https://moralmachine.net,22.8,18.8,4,0.89,LOW,MEDIUM,criteria,"My constitution is not built to see what Moral Machine does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
91,Open Letter,https://openletter.earth,22.5,22.5,0,0.68,LOW,LOW,criteria,The participatory design evidence in Open Letter's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
92,Remember to Vote,https://remembertovote.org.uk,22.4,22.4,0,0.71,LOW,LOW,criteria,The participatory design evidence in Remember to Vote's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
93,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,22.4,22.4,0,0.83,LOW,LOW,criteria,The participatory design evidence in The DAO (Standard DAO Framework)'s dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
94,Bluesky,https://bsky.app,22.1,17.1,5,0.81,LOW,HIGH,criteria,"My constitution is not built to see what Bluesky does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
95,Community Tech,https://www.communitytech.network,22.1,22.1,0,0.73,LOW,LOW,criteria,The participatory design evidence in Community Tech's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
96,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,22.1,19.1,3,0.81,LOW,LOW,criteria,The participatory design evidence in Rahvaalgatus's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
97,Viewpoints,https://viewpoints.xyz,22.1,22.1,0,0.75,LOW,LOW,criteria,The participatory design evidence in Viewpoints's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
98,FarmerChat,https://farmerchat.digitalgreen.org,22.0,3.0,19,0.71,LOW,LOW,modifier,"My constitution is not built to see what FarmerChat does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Modifiers significantly shaped this score (M1:+15, M5:+4)."
99,Internet Archive Wayback Machine,https://web.archive.org,22.0,15.0,7,0.98,LOW,MEDIUM,criteria,"My constitution is not built to see what Internet Archive Wayback Machine does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
100,OA.Works,https://oa.works/,21.9,16.9,5,0.94,LOW,MEDIUM,criteria,"My constitution is not built to see what OA.Works does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
101,Populate Tools,https://github.com/populatetools,21.9,21.9,0,0.83,LOW,LOW,criteria,Populate Tools engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
102,The Data Trusts Initiative,https://datatrusts.uk,21.9,21.9,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what The Data Trusts Initiative does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
103,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,21.8,9.8,12,0.59,LOW,LOW,modifier,"My constitution is not built to see what Understanding Your Morality does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Modifiers significantly shaped this score (M1:+5, M3:+7)."
104,Prolific,https://www.prolific.com,21.7,21.7,0,0.77,LOW,LOW,criteria,"My constitution is not built to see what Prolific does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
105,Relational Tech Project,https://relationaltechproject.org,21.6,21.6,0,0.61,LOW,LOW,criteria,The participatory design evidence in Relational Tech Project's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
106,sourceAFRICA,https://sourceafrica.net,21.6,16.6,5,0.89,LOW,LOW,criteria,"My constitution is not built to see what sourceAFRICA does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
107,CKAN,https://ckan.org,21.5,21.5,0,0.96,LOW,HIGH,criteria,"My constitution is not built to see what CKAN does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
108,Loomio,https://www.loomio.org,21.4,21.4,0,0.92,LOW,HIGH,criteria,"My constitution is not built to see what Loomio does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
109,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,21.2,11.2,10,0.92,LOW,HIGH,modifier,"GRIM (Global Risk Simulator) demonstrates genuine conflict-zone applicability, something I value highly from my decade in fragile states. Modifiers significantly shaped this score (M3:+10). Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
110,Organise,https://www.organise.org.uk,21.2,21.2,0,0.8,LOW,LOW,criteria,The participatory design evidence in Organise's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
111,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,21.2,9.2,12,0.83,LOW,LOW,modifier,"My constitution is not built to see what Teaching Public Service in the Digital Age does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Modifiers significantly shaped this score (M1:+12)."
112,The Engine Room Library,https://library.theengineroom.org,21.2,21.2,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what The Engine Room Library does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
113,Anna's Archive,https://annas-archive.pm,21.1,21.1,0,0.72,LOW,MEDIUM,criteria,"The Anna's Archive website appears to be down, which limits what I can verify about this project. Primary driver: ethical infrastructure."
114,LittleSis,https://littlesis.org,21.1,21.1,0,0.94,LOW,MEDIUM,criteria,"My constitution is not built to see what LittleSis does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
115,docs.plus,https://docs.plus,21.1,21.1,0,0.71,LOW,LOW,criteria,docs.plus engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: community-centred design.
116,Metaculus,https://metaculus.com,21.0,21.0,0,0.79,LOW,LOW,criteria,"The Metaculus website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
117,Alaveteli,https://alaveteli.org,20.8,20.8,0,0.94,LOW,MEDIUM,criteria,The participatory design evidence in Alaveteli's dossier reflects the solidarity-over-rescue principle I hold central. Primary driver: community-centred design.
118,Mapped,https://mapped.commonknowledge.coop,20.8,12.8,8,0.83,LOW,LOW,criteria,"My constitution is not built to see what Mapped does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
119,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,20.8,15.8,5,0.75,LOW,LOW,criteria,"My constitution is not built to see what Society for Hopeful Technologists does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
