rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
29,UK Housing Data Standards,https://hact.org.uk/tools-and-services/uk-housing-data-standards,69.8,59.8,10.0,0.75,LOW,none,modifier,"Sector-developed data standards for UK social housing with 2000+ downloads by housing organizations and a Better Social Housing Review recommendation for sector-wide adoption is exactly the kind of institutional infrastructure I value in C2. The Awaab's Law regulatory alignment gives genuine policy connection. The honest acknowledgment that adoption remains voluntary with 3-5 year implementation timelines earns C3 marks. Modifier 5 for policymaker advisory infrastructure applies. UK-only scope limits C7. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
30,Fundacion Ciudadania Inteligente,https://ciudadaniai.org,68.9,53.9,15.0,0.6,MEDIUM,none,modifier,"Latin American civic tech organization with real government partnerships in Chile and multiple countries. The Alianza por Algoritmos Inclusivos directly addresses AI bias, earning C1 consideration. Climate compliance tracking (Accion Climatica) and legislative monitoring tools are genuine policymaker advisory infrastructure (M5). Documented limitations about geographic variation in adoption show maturity. The non-OECD focus earns full C7 credit. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
31,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,68.8,59.8,9.0,0.55,MEDIUM,none,modifier,Framework for engaging civil society in AI development with real pilots -- Discord's Safety ML team and Amsterdam's image recognition service. This directly instantiates the human-judgment-in-AI-governance principle that M1 rewards. City of Amsterdam adoption gives C2 institutional credibility. The focus on affected communities and marginalized groups shows disparity awareness. Guidance-based rather than prescriptive -- an honest documented limitation. M1 boost is the primary driver. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied.
32,LittleSis,https://littlesis.org,68.8,58.8,10.0,0.75,LOW,medium,modifier,"LittleSis maps 200,000+ entities with relationship data tracking who-knows-who at the heights of business and government -- this is accountability infrastructure that makes power structures visible. The decade-plus track record, active 2026 commits, Washington Post and Guardian citations, and API give strong C6 maturity. The open-source community-curated model earns C4 and modifier marks. The honest acknowledgment of US-centric coverage and volunteer-dependent completeness is noted. I flag moderate popularity risk. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
33,OA.Works,https://oa.works/,68.8,61.8,7.0,0.75,LOW,none,criteria,"The IFLA partnership for RSCVD and the Plan S Journal Checker Tool built on OA.Works permissions data show real institutional uptake, not just aspiration. The documented sunsetting of older tools signals honest lifecycle management. C2 and C3 drive the score: this is infrastructure that helps institutions (funders, libraries) govern research access, with explicit acknowledgment of limitations. Open-source and cross-jurisdictional boosts apply. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
34,Open Science Framework,https://osf.io,68.8,60.8,8.0,0.70,LOW,high,criteria,"OSF's core mission -- addressing the reproducibility crisis -- is a direct instantiation of C3 (epistemic honesty). Making research open and replicable strengthens the evidence base for policy decisions, which connects to C2. NIH and NSF collaborations show institutional uptake. C3 is the primary driver. But like ORCID, this is a very well-known platform; my confidence is partly a product of documentation richness. Discount for familiarity: approximately 7 points. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
35,Open Digital Planning,https://opendigitalplanning.org/,68.7,65.7,3.0,0.80,LOW,none,modifier,"One hundred local planning authorities deploying PlanX and BOPS with a documented 30% processing time reduction -- that is unusually strong C6 evidence for this list. The MHCLG partnership and i.AI collaboration show serious institutional backing. C2 is the primary driver: this is government infrastructure that actually improves regulatory processes. The self-reported methodology is a C3 limitation I note, but the scale of deployment compensates. M5 applies for policymaker advisory infrastructure. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
36,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,67.9,55.9,12.0,0.70,LOW,none,modifier,"The Zagreb city government deployment and presence in 8+ countries including Cambodia and South Africa shows real cross-jurisdictional use, which is rare. The privacy-enhanced AI for data error detection is a responsible design choice. C2 is the primary driver -- this is open data infrastructure used by governments for transparency compliance. OKFN provenance and open-source status earn the M6 boost. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
37,Open Supply Hub,https://opensupplyhub.org,67.9,56.9,11.0,0.65,MEDIUM,none,modifier,"The Bangladesh Ministry of Labour partnership and adoption by major apparel brands for compliance tracking gives this genuine C2 credentials in supply chain accountability. The open data model for supply chain transparency is a cooperation-building mechanism under C4. Documented limitations about data quality variation and voluntary participation are honest. C2 is the driver. Open-source and international scope provide additional lift. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
38,Alaveteli,https://alaveteli.org,67.8,60.8,7.0,0.7,LOW,medium,criteria,"Over a million FOI requests across 25+ jurisdictions is exactly the kind of civic infrastructure deployment that scores well on C2 and C6. The documented limitations about jurisdictional variation in FOI law effectiveness show genuine complexity awareness. mySociety's broader ecosystem lends credibility. Popularity risk is moderate -- this is well-known in civic tech circles. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
39,Metaculus,https://metaculus.com,67.8,61.8,6.0,0.7,LOW,medium,criteria,"Metaculus publishes calibration reports and accuracy statistics -- the methodological transparency about forecast quality is exactly the kind of epistemic honesty I value most in C3. The documented use by research organizations for AI governance, biosecurity, and climate policy planning gives genuine policymaker advisory relevance. The AI involvement (question recommendation, forecast optimization) is modest and purposeful. Modifier boost for policymaker decision-support and complexity acknowledgment both apply. I flag moderate popularity risk in forecasting circles. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
40,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,67.8,60.8,7.0,0.6,MEDIUM,none,modifier,"Deployed for participatory budgeting elections in multiple US cities, this open-source platform has real institutional adoption that I value in C6 and C2. The cooperation-building incentive design of participatory budgeting earns strong C4 marks. But the last commit was June 2023, the dossier lacks detailed policy outcomes beyond a general claim, and US-only scope limits C7. No AI involvement means C1 at midpoint. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
41,Creative Commons,https://creativecommons.org,67.7,63.7,4.0,0.8,LOW,high,criteria,"CC licenses adopted by Wikipedia, 14 countries with open education policies, ported to 75+ jurisdictions -- this is genuinely global legal infrastructure for knowledge sharing. The documented limitations are impressively specific: license incompatibility, noncommercial ambiguity, enforcement limitations. AI training data controversy shows active engagement with current policy questions. I flag high popularity risk: CC's documentation richness inflates confidence. Stripping that, I would score 8-10 points lower. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
42,Internet Archive Wayback Machine,https://web.archive.org,67.0,62,5.0,0.85,LOW,high,criteria,"The Wayback Machine is foundational digital preservation infrastructure -- Library of Congress and National Archives partnerships, legal proceedings citing it as authoritative, 25+ years of operation. It scores strongly on C2 (institutional infrastructure), C6 (maturity), and C7 (global). Modifier 6 applies for open-source civic infrastructure. But I need to flag: this is one of the best-documented projects in the list, and my confidence is partly a product of that. Stripping the documentation advantage, I would estimate 10 points lower. C1 at midpoint for non-AI. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
43,Worker Info Exchange,https://www.workerinfoexchange.org,67.0,56,11.0,0.7,LOW,none,modifier,"Amsterdam District Court ordering Uber to disclose algorithmic management data, and the first court order overturning an automated worker dismissal under GDPR -- these are landmark legal outcomes for algorithmic accountability. The 1.5 million+ trip audit across 258 drivers is rigorous methodology (C3). This directly addresses C1 concerns about AI in institutional decision-making and Modifier 2 (surveillance and opacity) by actively fighting accountability-free automation. Modifier 1 applies -- the litigation literally restores human oversight to automated decisions. The independently verified causation strength is rare and valuable. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
44,OpenBudgets.eu,https://openbudgets.eu,66.8,57.8,9.0,0.65,MEDIUM,none,modifier,"European Commission partnership and use across EU member states for budget transparency gives this strong C2 credentials. The documented limitations around Eastern European adoption gaps and post-grant sustainability show honest self-assessment. But the last commit was June 2023 and there are sustainability concerns, which drags C6 down. C2 drives the score -- this is exactly the kind of institutional fiscal infrastructure I look for. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
45,Public AI Inference Utility,https://publicai.co/,66.8,60.8,6.0,0.55,MEDIUM,none,criteria,"A public inference utility for open-source language models with partnerships including Swiss AI, AI Singapore, and National Computational Infrastructure Australia -- this is genuinely novel public AI infrastructure. C1 scores above midpoint because providing public access to sovereign AI models is an AI governance intervention. The September 2025 launch means deployment evidence is thin but real (Hugging Face integration). C1 and C2 are co-drivers. M6 open-source boost applies. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
46,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,65.8,60.8,5.0,0.7,LOW,none,criteria,"DOT does something I care about deeply: it monitors data integrity in public health systems, which is the kind of complexity-aware, failure-detecting methodology that scores well on C3. The Uganda deployment with documented data quality improvements gives real C6 evidence. The tool explicitly tracks data quality disparities across facilities, which is honest about where gaps exist. Modifier boost for policymaker decision-support infrastructure. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
47,ODK (Open Data Kit),https://getodk.org,64.9,55.9,9.0,0.65,LOW,medium,criteria,"Health ministries, election commissions, USAID programs across Africa and Asia -- ODK is foundational data collection infrastructure for institutional actors in low-resource settings. Founded 2008, 1900 GitHub stars, active development. The documented limitations about technical capacity requirements and mobile network dependency are honest C3 signals. Non-OECD deployment context earns full C7 credit. Moderate popularity risk as a well-known civic tech tool. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
48,Open Council Network,https://opencouncil.network,64.9,53.9,11.0,0.60,MEDIUM,none,modifier,"Partnerships with multiple UK local authorities for data sharing directly serves C2 -- making council decision-making transparent to citizens. The open-source codebase with recent commits (Nov 2025) shows active maintenance. But the documented limitation that coverage depends on council cooperation reveals a structural adoption barrier. C2 is the driver, with the open-source boost adding modest lift. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
49,Nym,https://nymtech.net,64.8,61.8,3.0,0.60,MEDIUM,medium,criteria,"Nym's mixnet architecture is genuinely distinct privacy infrastructure -- it goes beyond VPNs by preventing traffic analysis at the network layer, which matters for protecting autonomy in surveilled contexts. The dossier shows active development and documented limitations, which I value. C5 (attention/autonomy/community) is the primary driver here since this is fundamentally about preserving individual autonomy against network-level surveillance. The open-source boost applies but no regulatory engagement brings C2 down. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
50,Campaign Tracker,https://www.campaigntracker.nl/en,64.0,53,11.0,0.75,LOW,none,modifier,"The Dutch Electoral Council data-sharing agreement and parliamentary research collaboration are exactly the kind of institutional adoption I weight heavily in C2. The project transparently addressed early allegations of underrepresenting right-wing parties -- a genuine complexity acknowledgment that earns Modifier 3 credit. Published performance metrics, policy outcomes on political advertising transparency law, and active codebase. One of the stronger projects in this batch for my criteria, limited mainly by single-country scope on C7. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
51,Humanitarian Data Exchange,https://data.humdata.org,63.9,55.9,8.0,0.6,MEDIUM,low,criteria,"OCHA's data platform for humanitarian coordination -- this is multilateral institutional infrastructure at the highest level. Improved data standardization and enhanced coordination between humanitarian organizations are documented outcomes. The acknowledged limitations about data quality variation and voluntary contributions show C3 maturity. Non-OECD crisis zones are the primary deployment context, giving full C7 credit. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
52,ORCID,https://orcid.org,63.8,59.8,4.0,0.70,LOW,high,criteria,"ORCID is foundational research identification infrastructure mandated by NIH, NSF, and Horizon Europe -- the kind of institutional adoption that scores maximally on C6. Its civic relevance is indirect but real: persistent researcher IDs enable research integrity, which underpins evidence-based policy. C6 and C2 together drive the score. However, ORCID is extremely well-documented and well-known; stripping the documentation advantage, I would estimate 8 points lower. The partial open-source status limits the M6 boost. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
