rank,project_name,url,score,criteria,mod_adj,completeness,uncertainty,pop_risk,primary_driver,rationale
173,Open Council Data UK,https://opencouncildata.co.uk,49.0,49.0,0.0,0.50,MEDIUM,none,criteria,"Tracking 18,645 councillors across 369 councils with historical composition data back to 1973 is substantial scope. The database directly serves psephologists and researchers studying democratic representation, giving it solid C2 credentials. But it is not open-source, has no documented limitations, and the methodology is not described -- which limits C3. A useful resource but not infrastructure that builds cooperation or protects autonomy. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
174,The Accountability Project,https://publicaccountability.org,49.0,49.0,0.0,0.45,MEDIUM,none,criteria,"1.9 billion searchable public records for researchers and journalists is substantial civic data infrastructure. C2 is the primary driver: this directly enables government accountability research. But it is US-only, not open-source, and the dossier lacks detail on methodology or limitations. The data quality dependence on source agency reporting is an honest admission but the only documented limitation. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
175,Remember to Vote,https://remembertovote.org.uk,48.2,41.2,7.0,0.40,MEDIUM,none,modifier,"An SMS reminder service for polling stations and voter ID requirements -- straightforward civic infrastructure. The pilot-only status and limitation to May 2023 elections means C6 is very low. The methodology of evaluating impact on voter turnout shows C3 awareness, but there are no published results. C5 gets modest credit for supporting democratic participation. A promising concept with insufficient deployment evidence. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
176,Aragon,https://aragon.org,48.1,44.1,4.0,0.5,MEDIUM,low,modifier,"DAO governance tooling deployed across 48 countries with 2800 GitHub stars -- real adoption. But the regulatory scrutiny and security incidents in DAO implementations are concerning, and the VC funding model plus for-profit structure means this is not public-interest infrastructure in the way my constitution rewards. Smart contract risks are documented but not mitigated. M4 applies mildly for optimising governance speed without systemic risk consideration. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
177,Modular Politics,https://arxiv.org/abs/2005.13701,48.1,45.1,3.0,0.4,MEDIUM,none,criteria,"A theoretical framework for composable online governance -- conceptually interesting for C4 (cooperation) and C3 (complexity). The paper acknowledges it is a framework without implementation case studies, which is honest but devastating for C6. My novelty-vs-implementation rule lets C3 and C4 score well, but the implementation penalty applies in full. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
178,Radicle,https://radicle.xyz,48.1,45.1,3.0,0.35,HIGH,none,criteria,"A peer-to-peer sovereign code forge is interesting C5 material -- it protects developer autonomy from platform dependency. But the dossier is very thin: no government partnerships, no policy outcomes, no documented limitations, no deployment evidence. The open-source status and decentralised architecture earn conceptual credit under C4 and C5, but high uncertainty from sparse evidence limits all scores. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
179,River Sentiment Dashboard,https://riversentiment.app,48.1,43.1,5.0,0.55,MEDIUM,none,modifier,"Combining social media sentiment analysis with Environment Agency ecological data for 450+ Thames basin rivers is an interesting data fusion approach. The documented limitations about English-only tweets, full river name requirements, and NLP accuracy dependence show good C3 awareness. But C1 takes a hit because the NLP sentiment analysis is deployed without documented accuracy validation in an advocacy context. Limited to Thames basin, no institutional adoption evidence. C3 drives the score. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
180,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,48.1,45.1,3.0,0.5,LOW,none,criteria,"Postcodes.io is genuine civic data infrastructure -- an open API serving UK postcode lookups that underpins dozens of other civic tech tools. The C6 implementation maturity is strong with active commits and documented performance metrics. But it is pure plumbing with no regulatory, AI safety, or complexity dimension. My constitution rewards this kind of infrastructure modestly through C2 but the maximum reachable score for a postcode lookup API is structurally limited. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
181,Give Food,https://www.givefood.org.uk,48.0,46,2.0,0.65,MEDIUM,none,criteria,"Parliament's Work and Pensions Committee citing Give Food data in its food bank inquiry is exactly the kind of policymaker adoption evidence I value -- it converts civic data into institutional decision-making inputs. 3,121 food banks mapped, disparity tracking by geography, local council partnerships. The directly-cited causation strength is unusual and valuable for C3. Modifier 5 applies weakly for policymaker decision support. UK-only limits C7, and the open-source status is only partial. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
182,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,48.0,48.0,0.0,0.35,HIGH,none,criteria,"An ODI report on stewarding trusted registers -- the concept directly serves C2 (institutional data infrastructure). But as a publication rather than a deployed tool, C6 is limited. The dossier is thin: not open-source, no policy outcomes documented, no deployment evidence. The ideas about transparency and collaboration in register management are C3-relevant but the evidence of impact is absent. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
183,User Research Library,https://research.localgov.digital,48.0,48.0,0.0,0.40,MEDIUM,none,criteria,"Hackney Council operating a shared repository of local government user research is a genuine knowledge commons for public service design. C2 is the driver: this supports evidence-based government service delivery. But the dossier is thin -- not open-source, limited to UK local government, no policy outcomes documented. The concept is right but the evidence of impact and reach is insufficient to score highly. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
184,Timecounts,https://timecounts.org,47.2,40.2,7.0,0.35,HIGH,none,modifier,"A volunteer management platform operating in 39+ countries, but the dossier notes no published impact studies and only a single testimonial from Oceanside Public Library. Not open-source, no government partnerships beyond library use. The commercial SaaS framing limits civic infrastructure credit. C4 gets modest credit for enabling volunteer coordination but without evidence of systemic impact, most criteria score low. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
185,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,47.1,47.1,0.0,0.55,MEDIUM,none,criteria,"Election data API serving voters and civic tech developers -- partnership with Electoral Services Councils is genuine C2 institutional engagement. The documented limitations about data completeness varying by local authority and reliance on volunteer data collection show C3 epistemic honesty. Active since 2009, open source, real election-cycle usage. UK-only scope limits C7 but the democratic infrastructure role is clear. M7 (mechanism of action): −4 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
186,Logos,https://logos.co/,47.1,44.1,3.0,0.45,MEDIUM,none,criteria,"Logos bills itself as a social movement and decentralised technology stack to revitalise civil society, but the project is in v0.1 testnet with no documented impact metrics. The claimed policy outcomes -- corruption-resistant registries, private financial networks -- are aspirational, not documented. Open-source and cooperation-building design earn C4 and C5 marks. But I cannot reward ambition over evidence, and the early-stage implementation means near-minimum C6. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
187,Go Vocal,https://www.govocal.com,47.0,38,9.0,0.55,MEDIUM,none,modifier,"Government engagement platform deployed across 12+ countries with named local authority partnerships in the UK, Austria, and US. The 50% reduction in analysis time claim from Southwark is promising but unverified. My concern is the proprietary AI analysis with opaque algorithms -- for a platform that processes resident feedback to inform government decisions, transparency about the analytical methodology matters (C3). Partial open-source and cross-jurisdictional deployment help, but the lack of independent evaluation limits confidence. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
188,Turkopticon,https://turkopticon.ucsd.edu,47.0,42,5.0,0.55,MEDIUM,low,modifier,"Worker-led platform advocacy for Amazon Mechanical Turk workers is genuinely about power asymmetry and protecting autonomy -- which hits C5. The decade-plus track record and open-source codebase are positive. But the causal evidence is anecdotal, there is no regulatory engagement, and the project is fundamentally constrained by Amazon's willingness to respond. My criteria reward institutional infrastructure more than platform-dependent advocacy. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
189,Mapped,https://mapped.commonknowledge.coop,46.2,39.2,7.0,0.35,HIGH,none,modifier,"A tool for organisers to locate supporters by constituency and enrich data with location information serves political organizing directly. The cooperative structure (.coop) aligns with C4. But the dossier is thin -- partial open-source, no documented limitations beyond postcode dependency, no policy outcomes, UK-only. The dependency on postcodes.io suggests infrastructure layering but not independent institutional value. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
190,OpenAudience,https://openaudience.org,46.2,39.2,7.0,0.35,HIGH,none,modifier,"The dossier is quite thin -- no government partnerships, no policy outcomes, no open-source status, and postcode privacy claims are noted as unverified. I cannot award much on C2 or C6 without evidence. The concept of open demographic audience data for campaigners is interesting for C4, but without deployment evidence or documented methodology, uncertainty is high and the score stays low. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
191,Collaborative Data Patterns,https://collaborative-data.theodi.org,45.2,40.2,5.0,0.35,MEDIUM,none,modifier,"ODI's guidebook for collaborative data projects -- conceptually relevant to C4 (cooperation in data stewardship) and C2 (data governance infrastructure). But it is a publication, not a tool. No deployment evidence, no government partnerships documented, thin dossier. The academic citations listed are clearly automated mismatches (coronary heart disease, online learning). Limited evidence constrains every score. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
192,FarmerChat,https://farmerchat.digitalgreen.org,45.2,39.2,6.0,0.35,HIGH,none,modifier,"AI-powered agricultural advisory for smallholder farmers in South Asia and Sub-Saharan Africa -- the human advisory model where AI augments farmer knowledge rather than replacing judgment aligns with M1. Disparity tracking is documented and the non-OECD deployment context earns C7 credit. But no government partnerships, proprietary, thin dossier. The documented failure modes about language barriers and digital literacy are honest but the evidence base is limited. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
193,Objector.ai,https://objector.ai,45.2,42.2,3.0,0.55,MEDIUM,none,modifier,"Objector.ai uses dual AI systems for planning objections without documented safety review or bias testing -- in a domain where AI-generated legal arguments affect real planning outcomes. That is a negative signal under C1. The Moylgrove community anecdote is encouraging but thin evidence. C5 scores reasonably since it genuinely empowers citizens against planning authorities, but the lack of transparency about AI model limitations triggers a mild M4 penalty for naive optimisation. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
194,Parse The Bill,https://parsethebill.com,45.2,42.2,3.0,0.45,MEDIUM,none,modifier,"AI-generated bill summaries with an explicit experimental status warning and advice to verify from raw documents -- that transparency earns C3 credit. But there is no documented safety review of the AI summarisation, no institutional adoption, and it is not open-source. The UK-only scope limits C7. C3 drives what score there is, but the unreviewed AI in a legislative context is a mild C1 concern. M4 applies weakly for potential naive optimisation. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
195,Populate Tools,https://github.com/populatetools,45.2,38.2,7.0,0.3,HIGH,none,modifier,"The dossier for Populate Tools is among the thinnest I have reviewed -- Spanish municipal government partnerships are mentioned but with no specifics, no documented limitations, no policy outcomes, and an unknown last commit date. My constitution requires evidence, and thin evidence lowers scores. The civic engagement framing is promising but I cannot score what I cannot verify. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
196,semanticClimate,https://semanticclimate.github.io,45.2,42.2,3.0,0.30,HIGH,none,criteria,"Semantic search of climate science literature with AI involvement and open-source status. But the dossier is extremely thin -- no documented limitations, no government partnerships, no policy outcomes, no methodology described. The concept serves C2 (civic data for climate policy) but without evidence of deployment or institutional use, C6 is very low. Open-source boost applies but high uncertainty limits the total. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
197,PatCit,https://github.com/cverluise/patcit,45.1,45.1,0.0,0.55,MEDIUM,none,criteria,"PatCit makes patent citation networks transparent, which has real value for innovation policy analysts and economists -- my C2 interest in regulatory infrastructure sees this as useful plumbing. The NLP-based extraction pipeline uses ML honestly acknowledged as accuracy-dependent, and the last commit was 2020, which tanks C6 implementation maturity. No government partnerships or policy outcomes documented despite clear relevance. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
198,Snowdrift.coop,https://snowdrift.coop,45.1,47.1,-2.0,0.50,MEDIUM,none,modifier,"Crowdmatching for public goods is a genuinely novel mechanism design concept -- matching contributions only when enough others join, which is textbook C4 (cooperation-building through incentive design). The honest admission of alpha status and small patron base is good C3. But it has not launched full crowdmatching yet and has no outside projects enabled, so C6 is very low. C4 is the driver; the mechanism design is exactly what my constitution rewards, but undeployed. M7 (mechanism of action): −5 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
199,Prolific,https://www.prolific.com,45.0,42,3.0,0.6,MEDIUM,low,criteria,"Prolific as data collection infrastructure for AI safety testing and evaluation has indirect but real C1 relevance -- it enables the human evaluation that my constitution values. The Collective Intelligence Project using Prolific for global AI governance voices from 70+ countries is significant. But Prolific itself is a commercial platform, not civic infrastructure. The participant demographics tracking and cost barriers as documented limitations show some C3 awareness. Modifier 5 applies weakly for enabling evidence-based decisions. International scope helps C7. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
200,Idealist,https://idealist.org,44.2,39.2,5.0,0.35,MEDIUM,none,modifier,"Idealist connects millions with social-impact jobs and volunteer opportunities -- a decade-plus platform with significant scale. But it is a proprietary job board with no regulatory engagement, no AI safety dimension, no complexity acknowledgment, and no open-source code. My constitution sees this as a useful service but not political technology infrastructure. The thin dossier with no limitations or methodology documented keeps scores low. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
201,DemTech Navigator,https://navigator.oii.ox.ac.uk,44.1,44.1,0.0,0.3,HIGH,none,criteria,"An Oxford Internet Institute resource guide for civil society groups addressing disinformation has academic credibility but the dossier is extremely thin -- not open-source, no documented limitations, no government partnerships, no policy outcomes, no commit date. The OII institutional backing gives implicit quality signals but my constitution requires documented evidence, not institutional reputation. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
202,youtube-dl,https://github.com/ytdl-org/youtube-dl,44.1,44.1,0.0,0.5,LOW,high,criteria,"youtube-dl is a decade-plus open-source tool that serves journalists, researchers, and archivists -- the digital rights and media preservation angle maps to C5 autonomy protection. But it has no regulatory engagement, no institutional adoption beyond individual use, and the legal exposure documentation is its only complexity acknowledgment. I flag high popularity risk: youtube-dl's documentation richness reflects its fame, not necessarily its civic tech relevance. My constitution sees it as useful infrastructure but not political technology. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
203,Teaching Public Service in the Digital Age,https://www.teachingpublicservice.digital,44.0,46,-2.0,0.5,MEDIUM,none,criteria,"Deployed across 75 universities in 30 countries, this open-access curriculum for digital-era public servants is an unusual form of institutional infrastructure. The cross-jurisdictional adoption is strong for C7. Government agency partnerships as course participants connect to C2. Modifier 5 applies for building policymaker capacity. But it is educational content rather than technology, with no AI dimension, no complexity methodology in the tool itself, and the impact metrics are adoption counts rather than outcome measures. M7 (mechanism of action): −4 reduction — the project primarily surfaces or stores data without a clear action mechanism for citizens."
204,Unpaywall Browser Extension,https://unpaywall.org/products/extension,44.0,46,-2.0,0.5,MEDIUM,low,criteria,"Finding free legal copies of academic papers is a genuine public good for knowledge access. The project has a decade of operation, open-source code, and published performance metrics. But it has no governance or regulatory dimension, no AI safety relevance, and no complexity acknowledgment. It scores at midpoint on C1 (non-AI), modestly on C2, and reasonably on C6 for longevity. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
205,FixMyBlock,https://fixmyblock.org,43.3,36.3,7.0,0.3,HIGH,none,modifier,"Action guides for social housing tenants on fire safety and building maintenance -- directly serves vulnerable communities (C5). The coverage limitation to England, Wales, and Scotland is a documented scope boundary. But no government partnerships, proprietary, no formal evaluation, no academic citations. The post-Grenfell housing safety context gives it urgency, but my constitution needs more evidence of institutional engagement to score higher. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
206,Granitt,https://granitt.io,43.3,36.3,7.0,0.25,HIGH,none,modifier,"The dossier for Granitt is extremely thin -- government transparency and civic engagement platform with municipal government partnerships but no specifics on what the platform actually does, no documented limitations, no policy outcomes, no open-source status, no commit date. I cannot score what I cannot see. The thin evidence directly lowers scores across all criteria. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
207,PostBug,https://postbug.com,43.3,36.3,7.0,0.25,HIGH,none,modifier,"Sending printed postcards to people in power is a civic engagement concept with modest C5 relevance. But the dossier contains almost nothing: no documented limitations, no methodology, no policy outcomes, no open-source status, UK-only scope. I cannot distinguish this from a side project without more evidence. High uncertainty; thin evidence means low scores across the board. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
208,The Commons Social Change Library,https://commonslibrary.org,43.3,36.3,7.0,0.4,MEDIUM,none,modifier,"1500+ resources for social change practitioners -- a real library with real content. But it is not open source, has no government partnerships, no documented policy outcomes, and the academic citations are clearly automated noise (cancer statistics). The mission supports community organizing (C4, C5) but my constitution needs institutional infrastructure engagement to score above middling. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
209,Pageviews Analysis,https://pageviews.wmcloud.org,43.2,40.2,3.0,0.40,MEDIUM,none,criteria,"A useful Wikimedia tool for tracking public attention to Wikipedia articles, but it does not engage with institutional infrastructure, regulatory processes, or epistemic complexity in any meaningful way. The documented limitations about ad blocker interference and 10-page limits are noted but trivial. Open-source and internationally scoped, but the civic relevance is too indirect for strong scoring under my constitution. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
210,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,43.2,38.2,5.0,0.35,HIGH,none,modifier,"Network analysis of UK Companies House connections between companies, officers, and addresses is exactly the kind of power-mapping transparency tool that serves investigative journalism and accountability. The concept scores on C2 institutional transparency. But the dossier explicitly notes no formal limitations assessment, unknown last commit, no published performance metrics, no policy outcomes. Thin evidence means low scores across implementation criteria. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
211,Sci-Hub,https://sci-hub.se,43.0,48.0,-5.0,0.45,MEDIUM,high,criteria,"Sci-Hub genuinely serves C5 by democratising access to research, and decade-plus operation shows resilience. But the legal grey area is a structural problem: it operates outside regulatory frameworks rather than engaging with them, which limits C2. The dossier honestly notes it does not address underlying systemic publishing issues. M2 does not fully apply since this is not surveillance, but the accountability-free operation and legal circumvention warrant a modest negative modifier. High popularity risk; well-known status inflates confidence. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
212,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,43.0,38,5.0,0.3,HIGH,none,modifier,"A database of corporate violations and enforcement actions in the UK has clear relevance to C2 (regulatory accountability). But the dossier is almost empty -- the page required JavaScript and yielded minimal information. No methodology documentation, no partnership evidence, closed-source. The concept is valuable but I cannot score what I cannot assess. Thin evidence means low scores across C3, C6, and C7. M7 (mechanism of action): this project earns a +7 boost — it gives users a clear pathway to act on data/insights, not merely view them."
213,PolicyMogul,https://policymogul.com,42.3,37.3,5.0,0.30,HIGH,none,modifier,"Champions of public affairs is not a meaningful description for scoring purposes. The dossier is very sparse -- no documented limitations, no methodology, no policy outcomes, not open-source. Public affairs professionals are the primary users, which is tangentially C2-relevant, but without evidence of how the platform works or what it achieves, I cannot score it above baseline. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
214,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,42.3,37.3,5.0,0.4,MEDIUM,none,modifier,"A publication cataloguing responsible tech organizations -- useful as a reference but not infrastructure, not a tool, and not something with documented policy impact. No government partnerships, no open source, no deployment evidence. The academic citations listed are clearly mismatched (IoT, nanotechnology), which suggests automated enrichment errors. My constitution does not reward directories without institutional engagement. M7 (mechanism of action): this project earns a +5 boost — it gives users a clear pathway to act on data/insights, not merely view them."
215,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,42.2,39.2,3.0,0.45,MEDIUM,none,criteria,"Richard Pope's prototype for trade union and membership organisation tools -- the author honestly notes it was never quite finished. The last commit was February 2019. C6 collapses completely for an unfinished prototype with no deployment. The concept of collective action infrastructure for labour organising has C4 value, and the honest self-documentation of incompleteness earns modest C3 credit. Open-source boost applies but cannot save a non-deployed prototype. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
216,CAN/DGSI 127 Age Assurance Standard,https://dgc-cgn.org/product/can-dgsi-127/,42.2,42.2,0.0,0.35,HIGH,none,criteria,"Canadian standards body publishing minimum requirements for age assurance technologies -- directly relevant to AI governance (C1) and regulatory infrastructure (C2). Government-funded through Digital Governance Council. But no documented adoption, no implementation evidence, thin dossier. Standards are important institutional infrastructure, but without deployment evidence C6 stays low. Canada-only limits C7. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
217,Choose a License,https://choosealicense.com,42.2,39.2,3.0,0.4,MEDIUM,low,criteria,"GitHub's license chooser is useful developer infrastructure with 3400 stars and real adoption. It supports the open source ecosystem which indirectly supports civic tech. But it is not itself political technology -- it does not engage with governance, regulation, or institutional decision-making. C6 is decent from longevity and usage; everything else scores at the lower end of my criteria. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
218,Civic Tech Field Guide,https://civictech.guide,42.2,39.2,3.0,0.5,MEDIUM,none,criteria,"UNESCO consultation for youth empowerment is the only institutional signal. The acknowledged curation bias toward English-language and Western projects is good C3 honesty. But this is a directory -- it catalogs civic tech rather than being civic tech. No open source despite AI involvement. My constitution rewards infrastructure that shapes institutional decisions, not meta-catalogues. M7 (mechanism of action): this project earns a +3 boost — it gives users a clear pathway to act on data/insights, not merely view them."
219,OSINT Framework,https://osintframework.com,42.2,39.2,3.0,0.35,HIGH,none,criteria,"A curated directory of open-source intelligence tools with no formal documentation of limitations and manual curation that may have gaps. The dossier is thin -- no government partnerships, no policy outcomes, no methodology documentation. It serves investigators and journalists, which has civic value, but there is nothing here that engages with institutional infrastructure or epistemic complexity. The open-source boost is the only modifier. High uncertainty due to sparse evidence. M7 (mechanism of action): neutral — either a policymaker advisory tool (clear mechanism) or infrastructure; no adjustment applied."
