rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
95,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,40.2,40.2,0,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. High popularity risk: Neighbourhood Warmth is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
96,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,40.2,38.2,2,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
97,Papertree,https://www.papertree.earth,40.2,40.2,0,0.7,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
98,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,40.2,42.2,-2,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
99,Unpaywall Browser Extension,https://unpaywall.org/products/extension,40.2,40.2,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
100,WhatDoTheyKnow,https://www.whatdotheyknow.com,40.2,40.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
101,ClimateAction.Tech,https://climateaction.tech,39.3,35.3,4,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
102,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,39.2,39.2,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
103,Civic Tech Field Guide,https://civictech.guide,39.2,39.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
104,Granitt,https://granitt.io,39.2,39.2,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
105,Humanitarian Data Exchange,https://data.humdata.org,39.2,39.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
106,Open Data Communities,https://opendatacommunities.org,39.2,39.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
107,Overton,https://overton.io,39.2,39.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
108,Security First / Umbrella,https://secfirst.org,39.2,39.2,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
109,sourceAFRICA,https://sourceafrica.net,39.2,39.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
110,River Sentiment Dashboard,https://riversentiment.app,38.3,36.3,2,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
111,rsky,https://github.com/blacksky-algorithms/rsky,38.3,34.3,4,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
112,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,38.2,38.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
113,Discourse,https://www.discourse.org,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
114,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,38.2,38.2,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
115,GovWise,https://www.govwise.ai/en,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
116,GrantNav,https://grantnav.threesixtygiving.org,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
117,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
118,Polimorphic,https://www.polimorphic.com,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
119,The Accountability Project,https://publicaccountability.org,38.2,38.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
120,The Circuit,https://thecircuit.cc,38.2,38.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
121,UrbanistAI,https://site.urbanistai.com,38.2,38.2,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
122,GovTrack.us,https://www.govtrack.us,38.1,44.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
123,Open Contracting Partnership,https://www.open-contracting.org,38.1,44.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
124,Fission Codes,https://github.com/fission-codes/fission-codes,37.4,28.4,9,0.8,LOW,LOW,modifier,"The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
125,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,37.3,37.3,0,1.0,LOW,LOW,criteria,"Participation has some pathway to influence, though binding outcomes aren't fully documented."
126,django-collaborative,https://github.com/propublica/django-collaborative,37.3,37.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
127,Martus,https://www.martus.org,37.3,37.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
128,Metaculus,https://metaculus.com,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
129,Nook CRM,https://nookcrm.com,37.3,37.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
130,Open Data Editor (ODE),https://okfn.org/en/projects/open-data-editor/,37.3,37.3,0,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. High popularity risk: Open Data Editor (ODE) is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
131,Open Referral UK,https://openreferraluk.org,37.3,37.3,0,1.0,LOW,LOW,criteria,"Participation has some pathway to influence, though binding outcomes aren't fully documented."
132,Public AI Inference Utility,https://publicai.co/,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
133,Turkopticon,https://turkopticon.ucsd.edu,37.3,37.3,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
134,WhatGov,https://www.whatgov.co.uk,37.3,37.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
135,Monitor Mamdani,https://monitormamdani.com/,37.1,43.1,-6,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
136,OpenSanctions,https://www.opensanctions.org,37.1,43.1,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
137,Humble Data Workshop,https://humbledata.org,36.4,32.4,4,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
138,docs.plus,https://docs.plus,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
139,Idealist,https://idealist.org,36.3,36.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
140,Local Insight,https://localinsight.org,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
141,One Project,https://oneproject.org/,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
142,openparliament.ca,https://openparliament.ca/,36.3,36.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
143,ОПОРА (Opora),https://www.oporaua.org,36.3,36.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
144,Prolific,https://www.prolific.com,36.3,36.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
145,Pursuance Project,https://pursuanceproject.org,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
146,UK Parliament Developer Portal,https://developer.parliament.uk,36.3,36.3,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
147,User Research Library,https://research.localgov.digital,36.3,36.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
148,deliberAIde,https://www.deliberaide.com,36.2,42.2,-6,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
149,WriteToThem,https://www.writetothem.com,36.2,42.2,-6,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
150,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,35.3,35.3,0,1.0,LOW,HIGH,criteria,"High popularity risk: Abstract Wikipedia is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
151,Anna's Archive,https://annas-archive.pm,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
152,Community Tech,https://www.communitytech.network,35.3,35.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
153,Coral,https://coralproject.net,35.3,35.3,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
154,Mapped,https://mapped.commonknowledge.coop,35.3,35.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
155,Nestr,https://nestr.io,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
156,Open Council Data UK,https://opencouncildata.co.uk,35.3,35.3,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
157,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
158,Principles for Public Participation in Procurement of AI,https://p4ai.net,35.3,35.3,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
159,Riseup,https://riseup.net,35.3,35.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
160,Strike Map,https://strikemap.org,35.3,35.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
161,Viewpoints,https://viewpoints.xyz,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
162,Watch Duty,https://www.watchduty.org,35.3,35.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
