rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
12,Your Priorities,https://yrpri.org,56.9,56.9,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me."
13,Logos,https://logos.co/,56.0,50.0,6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
14,Mastodon C,https://www.mastodonc.com,55.0,49.0,6,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: Mastodon C is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
15,Bonfire,https://bonfirenetworks.org/,54.9,54.9,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
16,Creative Commons,https://creativecommons.org,53.9,53.9,0,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: Creative Commons is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
17,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,53.9,53.9,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me."
18,Open Digital Planning,https://opendigitalplanning.org/,52.9,52.9,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
19,Talk to the City,https://talktothecity.org,52.9,52.9,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me."
20,Participa (Podemos),https://github.com/podemos-info/participa,52.2,42.2,10,1.0,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
21,HURIDOCS,https://github.com/huridocs,52.0,52.0,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
22,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,51.2,41.2,10,1.0,LOW,LOW,modifier,"The governance visibility dimension is meaningful here. What drives this high is that participation here leads to real outcomes — there's a documented pathway from collective input to binding or consequential decisions. This is what decision-making leverage means to me. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
23,Open Heart Mind (OHM),https://openheartmind.org,51.0,51.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
24,PolicyEngine,https://policyengine.org/uk,51.0,51.0,0,1.0,LOW,LOW,criteria,There's real financial transparency work here that aligns with my view that budget legibility is a democratic precondition. The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
25,Populate Tools,https://github.com/populatetools,51.0,51.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
26,CommunityRule,https://communityrule.info,50.1,44.1,6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
27,Mastodon,https://github.com/mastodon/mastodon,50.1,44.1,6,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. High popularity risk: Mastodon is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
28,CiviCRM,https://civicrm.org,50.0,50.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
29,mySociety Datasets and APIs,https://data.mysociety.org,50.0,50.0,0,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: mySociety Datasets and APIs is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
30,RxC Voice,https://github.com/radicalxchange/rxc-voice,49.2,41.2,8,0.9,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
31,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,49.1,43.1,6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
32,Aleph (OCCRP),https://aleph.occrp.org,49.0,49.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
33,All Our Ideas,https://all-our-ideas.citizens.is,49.0,49.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
34,Open Science Framework,https://osf.io,49.0,49.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
35,Snowdrift.coop,https://snowdrift.coop,49.0,49.0,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
36,VFRAME,https://vframe.io,49.0,49.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
37,PolicyKit,https://policykit.org,48.0,48.0,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
38,Constitute Project,https://constituteproject.org,47.1,47.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
39,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,47.1,47.1,0,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: RxC Quadratic Voting is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
40,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,46.3,37.3,9,0.9,LOW,LOW,modifier,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
41,Find local consultations,https://gov.uk/find-local-consultations,46.3,36.3,10,1.0,LOW,LOW,modifier,"The governance visibility dimension is meaningful here. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
42,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,46.3,37.3,9,0.9,LOW,LOW,modifier,"The governance visibility dimension is meaningful here. The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
43,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,46.1,46.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
44,FixMyStreet,https://www.fixmystreet.com,46.1,46.1,0,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: FixMyStreet is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
45,PlanIT,https://planit.org.uk,46.1,46.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
46,CKAN,https://ckan.org,46.0,52.0,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly."
47,Aragon,https://aragon.org,45.1,45.1,0,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. High popularity risk: Aragon is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
48,Fairbnb.coop,https://fairbnb.coop,45.1,45.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
49,Land Explorer,https://landexplorer.coop,45.1,45.1,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
50,OpenProcurement,https://openprocurement.io,45.1,45.1,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
51,Campaign Tracker,https://www.campaigntracker.nl/en,45.0,51.0,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
52,Members' Interests,https://membersinterests.org.uk,45.0,51.0,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
53,arXiv,https://arxiv.org,44.1,44.1,0,1.0,LOW,LOW,criteria,"Partial fit — some alignment with my criteria but not hitting the core priorities around collective ownership, governance legibility, or decision-making leverage."
54,dDocs,https://ddocs.new/,44.1,44.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
55,Interoperable Deliberative Tools,https://metagov.org/projects/interop,44.1,44.1,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
56,ORCID,https://orcid.org,44.1,44.1,0,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented."
57,oTree,https://www.otree.org,44.1,44.1,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
58,Alaveteli,https://alaveteli.org,44.0,50.0,-6,1.0,LOW,HIGH,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
59,ODK (Open Data Kit),https://getodk.org,44.0,50.0,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
60,Open Supply Hub,https://opensupplyhub.org,44.0,50.0,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
61,Entitledto,https://entitledto.co.uk,43.3,36.3,7,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The explicit focus on communities excluded from traditional financial and governance systems earns a meaningful boost.
62,Modular Politics,https://arxiv.org/abs/2005.13701,43.3,37.3,6,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
63,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,43.3,36.3,7,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The explicit focus on communities excluded from traditional financial and governance systems earns a meaningful boost.
64,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,43.2,41.2,2,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. High popularity risk: Humanitarian OpenStreetMap Team (HOT) is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
65,Cortico,https://cortico.ai/platform,43.1,43.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
66,NumFOCUS,https://numfocus.org,43.1,43.1,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
67,Open Collective,https://opencollective.com,43.1,43.1,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
68,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,43.1,43.1,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
69,Wikidata,https://www.wikidata.org,43.1,43.1,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
70,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
71,Libertrium,https://liberopinion.com,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
72,LittleSis,https://littlesis.org,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
73,Local Intelligence Hub,https://www.localintelligencehub.com,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
74,Matrix,https://matrix.org,42.2,42.2,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
75,Participedia,https://participedia.net,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
76,Plinth,https://www.plinth.org.uk,42.2,42.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
77,The Data Trusts Initiative,https://datatrusts.uk,42.2,40.2,2,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
78,CrowdJustice,https://www.crowdjustice.com,41.3,37.3,4,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented."
79,Agencies for Good,https://www.agenciesforgood.org,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
80,Democracy Fund Open Source,https://www.dfos.com,41.2,41.2,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
81,EDGAR,https://github.com/bellingcat/edgar,41.2,41.2,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
