rank,project_name,url,score,criteria_score,mod_adj,dossier_completeness,uncertainty,pop_risk,primary_driver,rationale
173,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
174,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
175,semanticClimate,https://semanticclimate.github.io,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
176,Tech Coops List,https://tech-coops.xyz,34.3,34.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
177,Who Posted What?,https://whopostedwhat.com,34.3,34.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
178,Wikum,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,34.3,34.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
179,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,34.2,40.2,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
180,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,34.2,40.2,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
181,The Government Says,https://thegovernmentsays.com,34.2,40.2,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
182,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,33.4,29.4,4,1.0,LOW,HIGH,criteria,"High popularity risk: Mozilla Data Collective is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
183,Channel.org,https://channel.org,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
184,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,33.3,33.3,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
185,CoTech,https://coops.tech,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
186,DoNotPay,https://www.donotpay.com,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
187,Esper,https://esper.com/product,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
188,Give Food,https://www.givefood.org.uk,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
189,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
190,Journalist Studio,https://journaliststudio.google.com,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
191,Manifold Markets,https://manifold.markets,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
192,Nym,https://nymtech.net,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
193,Open Letter,https://openletter.earth,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
194,Parliament Watch Uganda,https://parliamentwatch.ug/,33.3,33.3,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
195,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,33.3,33.3,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
196,Schema.org,https://schema.org,33.3,33.3,0,0.7,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
197,We Live It,https://www.welivedit.ai,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
198,Whoisology,https://whoisology.com,33.3,33.3,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
199,MapIt,https://mapit.mysociety.org,33.2,39.2,-6,1.0,LOW,HIGH,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
200,Collab.Land,https://collab.land,32.5,23.5,9,0.9,LOW,LOW,modifier,"The programmable governance mechanism fires here — whether on-chain or through democratic software, what matters is that governance is enforceable and legible in practice, and this delivers that."
201,Bluesky,https://bsky.app,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
202,Data Observation Toolkit (DOT),https://github.com/datakind/data-observation-toolkit,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
203,FarmerChat,https://farmerchat.digitalgreen.org,32.4,32.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
204,GOV.UK Notify,https://www.notifications.service.gov.uk,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
205,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,32.4,32.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
206,Missing Numbers,https://missingnumbers.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
207,MP Watch,https://www.mpwatch.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
208,Objector.ai,https://objector.ai,32.4,32.4,0,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
209,OpenCRVS,https://www.opencrvs.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
210,RightDD,https://www.rightsdd.com,32.4,32.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain."
211,SecureDrop,https://securedrop.org,32.4,32.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
212,Vote for Policies,https://voteforpolicies.org.uk,32.4,32.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
213,Tracka,https://yourtracka.org,32.2,38.2,-6,1.0,LOW,LOW,criteria,"The governance visibility dimension is meaningful here. Participation has some pathway to influence, though binding outcomes aren't fully documented. The extractive or surveillance dimension pulls the score down significantly."
214,CharmVerse,https://charmverse.io/,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
215,Choose a License,https://choosealicense.com,31.4,31.4,0,0.9,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
216,Fatebook,https://fatebook.io,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
217,GlobaLeaks,https://www.globaleaks.org,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
218,GOV.UK One Login,https://www.sign-in.service.gov.uk,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
219,GOV.UK Pay,https://www.payments.service.gov.uk,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
220,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
221,Journal of Open Source Software,https://joss.theoj.org,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
222,MP Twitter Bios,https://www.mptwitterbios.co.uk,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
223,Objector.ai,https://www.objector.ai,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
224,Parse The Bill,https://parsethebill.com,31.4,31.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
225,The Commons Social Change Library,https://commonslibrary.org,31.4,31.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
226,Theft Bisect,https://onodi.co/bisect/,31.4,31.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
227,youtube-dl,https://github.com/ytdl-org/youtube-dl,31.4,31.4,0,1.0,LOW,LOW,criteria,"Limited constitutional fit — doesn't strongly address budget transparency, governance legibility, collective ownership, or decision-making leverage."
228,Charity Digital Skills Report,https://charitydigitalskills.co.uk,31.3,37.3,-6,1.0,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
229,OA.Works,https://oa.works/,31.3,37.3,-6,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain. The extractive or surveillance dimension pulls the score down significantly.
230,Parallel Parliament,https://www.parallelparliament.co.uk,31.3,37.3,-6,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable. The extractive or surveillance dimension pulls the score down significantly."
231,Dovetail,https://dovetail.network,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
232,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
233,GreenPT,https://greenpt.ai/,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
234,Kialo,https://kialo.com,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
235,Pastecal,https://github.com/kazad/pastecal,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
236,PatCit,https://github.com/cverluise/patcit,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
237,PoliMonitor,https://www.polimonitor.com,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
238,Relational Tech Project,https://relationaltechproject.org,30.4,30.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
239,Shared Digital Guides,https://www.shareddigitalguides.org.uk,30.4,30.4,0,0.9,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
240,WardWatch,https://wardwatch.uk,30.4,30.4,0,0.9,LOW,LOW,criteria,"Governance legibility is strong — it makes decision-making processes inspectable, which is exactly what I mean by making power visible and accountable."
241,Worker Info Exchange,https://www.workerinfoexchange.org,30.3,36.3,-6,1.0,LOW,HIGH,criteria,"The governance visibility dimension is meaningful here. The extractive or surveillance dimension pulls the score down significantly. High popularity risk: Worker Info Exchange is well-known and well-documented, which inflates my confidence. Stripping out the documentation advantage, I'd estimate this 8-12 points lower."
242,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,29.5,27.5,2,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here. The gap is that participation doesn't clearly translate to binding outcomes — governance is visible but leverage over decisions is uncertain.
243,Activist Handbook,https://activisthandbook.org/,29.4,29.4,0,1.0,LOW,LOW,criteria,The governance visibility dimension is meaningful here.
