"Rank","Project","URL","Score","Criteria","Mod Adj","Completeness","Uncertainty","Pop Risk","Primary Driver","Rationale"
"34","Activist Handbook","https://activisthandbook.org/","47.1","47.1","0","0.95","LOW","none","criteria","""We write guides for activists. Learn how to become a social activist, plan a political campaign stra"" -- Activist Handbook has meaningful alignment with my priorities. Scores: C2 15/20, C3 12/20, C4 12/12, C7 5/6."
"35","Tactical Data Engagement","https://communities.sunlightfoundation.com/methodology","46.2","41.2","5","0.86","LOW","none","criteria","""A guiding framework for data providers, inside and outside of City Hall, to investigate and catalyze"" -- Tactical Data Engagement has meaningful alignment with my priorities. Scores: C2 15/20, C6 12/12, C4 7/12, C7 4/6."
"36","WhatGov","https://www.whatgov.co.uk","46.1","46.1","0","0.81","LOW","none","criteria","""Government debates as gen-z chats + professional-grade analysis of all government actions. Parliamen"" -- WhatGov has meaningful alignment with my priorities. Scores: C2 18/20, C6 9/12, C4 7/12, C7 4/6."
"37","Snowdrift.coop","https://snowdrift.coop","46.1","46.1","0","0.95","LOW","none","criteria","""We support works that everyone can use, adapt, and share freely. But as
public goods, anyone can fre"" -- Snowdrift.coop has meaningful alignment with my priorities. Scores: C3 20/20, C4 9/12, C6 6/12, C7 6/6."
"38","Open Data Editor (ODE)","https://okfn.org/en/projects/open-data-editor/","46.1","46.1","0","1.0","LOW","none","criteria","""ODE is a free, open-source tool designed to help nonprofits, data journalists, activists, and public"" -- Open Data Editor (ODE) has meaningful alignment with my priorities. Scores: C3 10/20, C4 10/12, C6 9/12, C7 6/6."
"39","LiquidFeedback","https://liquidfeedback.com","46.1","46.1","0","0.95","LOW","medium","criteria","""The official home page of the LiquidFeedback project"" -- LiquidFeedback has meaningful alignment with my priorities. Scores: C3 15/20, C4 12/12, C2 9/20, C7 6/6. LiquidFeedback is well-enough known that I should flag documentation advantage as a factor in my confidence."
"40","Fairbnb.coop","https://fairbnb.coop","46.1","46.1","0","0.95","LOW","medium","criteria","""A vacation rental platform which gives back 50% of its revenues to support local community projects "" -- Fairbnb.coop has meaningful alignment with my priorities. Scores: C3 14/20, C4 12/12, C6 9/12, C7 5/6. I note that Fairbnb.coop is a moderately familiar project; part of what looks like fit may just be better documentation."
"41","All Our Ideas","https://all-our-ideas.citizens.is","46.1","46.1","0","0.74","LOW","medium","criteria","""A platform for crowdsourcing ideas and priorities through pairwise comparison voting"" -- All Our Ideas has meaningful alignment with my priorities. Scores: C2 20/20, C4 7/12, C6 7/12, C7 4/6. All Our Ideas is well-enough known that I should flag documentation advantage as a factor in my confidence."
"42","Mastodon","https://github.com/mastodon/mastodon","45.2","40.2","5","0.9","LOW","high","criteria","""Your self-hosted, globally interconnected microblogging community - mastodon/mastodon"" -- Mastodon has meaningful alignment with my priorities. Scores: C4 12/12, C3 11/20, C6 7/12, C7 6/6. Popularity risk is high -- Mastodon is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 35."
"43","Discourse","https://www.discourse.org","45.1","45.1","0","0.95","LOW","high","criteria","""The customizable, scalable community platform powering over 22,000 communities. Create knowledge thr"" -- Discourse has meaningful alignment with my priorities. Scores: C2 13/20, C4 12/12, C6 9/12, C7 5/6. Popularity risk is high -- Discourse is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 35."
"44","Diia","https://expo.diia.gov.ua","45.1","45.1","0","0.93","LOW","medium","criteria","""Diia — ecosystem created by the Ministry of Digital Transformation of Ukraine. It includes mobile ap"" -- Diia has meaningful alignment with my priorities. Scores: C3 12/20, C4 9/12, C2 8/20, C6 8/12. I note that Diia is a moderately familiar project; part of what looks like fit may just be better documentation."
"45","PolicyKit","https://policykit.org","45","48.0","0","0.86","LOW","medium","procedural","PolicyKit (""The server is temporarily unable to service your
request due to maintenance downtime or capacity
pro"") has a dead homepage link, severely limiting what I can evaluate. Scores: C2 15/20, C6 10/12, C3 8/20, C4 7/12. Dead link cap at 45. As a moderately well-known project, some of PolicyKit's score may reflect documentation richness rather than pure constitutional fit."
"46","TheyWorkForYou","https://www.theyworkforyou.com","44.1","44.1","0","0.9","LOW","high","criteria","""Making it easy to keep an eye on the UK&rsquo;s parliaments. Discover who represents you, how they&r"" -- TheyWorkForYou has meaningful alignment with my priorities. Scores: C2 15/20, C6 12/12, C4 9/12, C7 5/6. Popularity risk is high -- TheyWorkForYou is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 34."
"47","RxC Voice","https://github.com/radicalxchange/rxc-voice","44.1","44.1","0","0.88","LOW","none","criteria","""An app for decentralized democratic governance. Contribute to RadicalxChange/rxc-voice development b"" -- RxC Voice has meaningful alignment with my priorities. Scores: C2 18/20, C6 8/12, C4 7/12, C7 5/6."
"48","Rahvaalgatus","https://github.com/rahvaalgatus/rahvaalgatus","44.1","44.1","0","0.9","LOW","none","criteria","""https://rahvaalgatus.ee. Contribute to rahvaalgatus/rahvaalgatus development by creating an account "" -- Rahvaalgatus has meaningful alignment with my priorities. Scores: C2 13/20, C6 10/12, C4 9/12, C7 4/6."
"49","Parti","https://parti.xyz","44.1","44.1","0","0.93","LOW","medium","criteria","""Parti is a digital platform enabling citizens to participate directly in local governance through pr"" -- Parti has meaningful alignment with my priorities. Scores: C2 17/20, C4 9/12, C6 8/12, C7 5/6. As a moderately well-known project, some of Parti's score may reflect documentation richness rather than pure constitutional fit."
"50","The Government Says","https://thegovernmentsays.com","43.1","43.1","0","0.95","LOW","none","criteria","""Applications have now reopened for joining our Professional Forester Apprenticeship this September. "" -- The Government Says has meaningful alignment with my priorities. Scores: C3 11/20, C4 9/12, C6 9/12, C7 5/6."
"51","Principles for Public Participation in Procurement of AI","https://p4ai.net","43.1","43.1","0","0.79","LOW","none","criteria","""Framework for public participation in AI procurement decisions"" -- Principles for Public Participation in Procurement of AI has meaningful alignment with my priorities. Scores: C2 13/20, C6 9/12, C4 6/12, C7 6/6."
"52","PlaceCal","https://github.com/geeksforsocialchange/placecal","43.1","43.1","0","0.88","LOW","none","criteria","""Bring your community together. Contribute to geeksforsocialchange/PlaceCal development by creating a"" -- PlaceCal has meaningful alignment with my priorities. Scores: C2 14/20, C4 9/12, C6 7/12, C7 6/6."
"53","ODK (Open Data Kit)","https://getodk.org","43.1","43.1","0","0.9","LOW","medium","criteria","""Powerful forms to collect the data you need wherever it is. Join the researchers, field teams, and o"" -- ODK (Open Data Kit) has meaningful alignment with my priorities. Scores: C6 11/12, C4 9/12, C2 8/20, C7 6/6. I note that ODK (Open Data Kit) is a moderately familiar project; part of what looks like fit may just be better documentation."
"54","Mastodon C","https://www.mastodonc.com","43.1","43.1","0","0.86","LOW","high","criteria","""Think big. Plan wisely"" -- Mastodon C has meaningful alignment with my priorities. Scores: C2 14/20, C6 12/12, C4 9/12, C7 5/6. Popularity risk is high -- Mastodon C is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 33."
"55","GovTrack.us","https://www.govtrack.us","43.1","43.1","0","0.98","LOW","high","criteria","""Tracking legislation and votes in the United States Congress and actions by the White House"" -- GovTrack.us has meaningful alignment with my priorities. Scores: C2 13/20, C6 12/12, C4 9/12, C7 5/6. Popularity risk is high -- GovTrack.us is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 33."
"56","FixMyStreet","https://www.fixmystreet.com","43.1","43.1","0","0.93","LOW","high","criteria","""Need to report a problem in your local area? Learn all about FixMyStreet, how it works and what happ"" -- FixMyStreet has meaningful alignment with my priorities. Scores: C2 15/20, C6 10/12, C4 9/12, C7 5/6. Popularity risk is high -- FixMyStreet is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 33."
"57","deliberAIde","https://www.deliberaide.com","42.2","42.2","0","0.9","LOW","none","criteria","""Empowering democracy through AI"" -- deliberAIde has meaningful alignment with my priorities. Scores: C2 15/20, C3 9/20, C4 8/12, C6 8/12."
"58","Parallel Parliament","https://www.parallelparliament.co.uk","42.2","42.2","0","0.81","LOW","none","criteria","""Your single source for UK Government, Parliamentary and Legislative information"" -- Parallel Parliament has meaningful alignment with my priorities. Scores: C2 20/20, C6 10/12, C4 7/12."
"59","Open Council Data UK","https://opencouncildata.co.uk","42.2","42.2","0","0.83","LOW","none","criteria","""Names, parties and wards of all UK councillors, up-to-date, free to access. Stakeholder communicatio"" -- Open Council Data UK has meaningful alignment with my priorities. Scores: C2 20/20, C6 11/12, C4 7/12, C7 3/6."
"60","ClimateAction.Tech","https://climateaction.tech","42.2","42.2","0","0.93","LOW","none","criteria","""The climate crisis is happening all around us. As tech workers, we can use our skills to take and ac"" -- ClimateAction.Tech has meaningful alignment with my priorities. Scores: C3 20/20, C4 12/12, C7 5/6."
"61","Participa (Podemos)","https://github.com/podemos-info/participa","41.2","41.2","0","0.9","LOW","none","criteria","""Contribute to podemos-info/participa development by creating an account on GitHub"" -- Participa (Podemos) has meaningful alignment with my priorities. Scores: C2 10/20, C3 10/20, C4 7/12, C7 6/6."
"62","Open Digital Planning","https://opendigitalplanning.org/","41.2","41.2","0","0.95","LOW","none","criteria","""Planning services designed by councils for councils"" -- Open Digital Planning has meaningful alignment with my priorities. Scores: C3 9/20, C4 9/12, C5 6/12, C7 6/6."
"63","Go Vocal","https://www.govocal.com","41.2","41.2","0","0.83","LOW","none","criteria","""Go Vocal is an online community engagement platform for local governments. Our software lets you eng"" -- Go Vocal has meaningful alignment with my priorities. Scores: C2 15/20, C4 10/12, C6 8/12, C7 4/6."
"64","Constitute Project","https://constituteproject.org","41.2","41.2","0","0.88","LOW","none","criteria","""Check out Constitute to read, search, and compare the world’s constitutions!"" -- Constitute Project has meaningful alignment with my priorities. Scores: C2 14/20, C4 10/12, C7 6/6, C6 5/12."
"65","Agreement Engine","https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c","41.2","41.2","0","0.67","MEDIUM","none","criteria","Agreement Engine (""A tool for designing and implementing digital governance agreements"") has a dead homepage link, severely limiting what I can evaluate. Scores: C2 20/20, C6 9/12, C7 3/6."
"66","meet.coop","https://www.meet.coop","40.2","40.2","0","0.93","LOW","medium","criteria","""Online meeting and conferencing tools, powered by renewable energy running on cooperatively owned an"" -- meet.coop has meaningful alignment with my priorities. Scores: C3 15/20, C2 9/20, C6 6/12, C4 5/12. Medium popularity risk -- meet.coop's visibility in civic tech circles may be inflating my assessment somewhat."
"67","Parliament Watch Uganda","https://parliamentwatch.ug/","40.2","40.2","0","0.81","LOW","none","criteria","""Your Eye on Parliament - Bridging the gap between Parliament and citizens"" -- Parliament Watch Uganda has meaningful alignment with my priorities. Scores: C2 20/20, C6 10/12, C4 7/12."
"68","OpenCRVS","https://www.opencrvs.org","40.2","40.2","0","0.95","LOW","high","criteria","""Our vision is that every person on the planet is recognised, protected and provided for from birth"" -- OpenCRVS has meaningful alignment with my priorities. Scores: C4 12/12, C6 11/12, C7 6/6. Popularity risk is high -- OpenCRVS is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 30."
"69","OpenBudgets.eu","https://openbudgets.eu","40.2","40.2","0","0.9","LOW","medium","criteria","""Upload, Visualize, Analyse public budget and spending data. Start exploring and learn stories behind"" -- OpenBudgets.eu has meaningful alignment with my priorities. Scores: C1 10/20, C2 8/20, C4 7/12, C6 7/12. As a moderately well-known project, some of OpenBudgets.eu's score may reflect documentation richness rather than pure constitutional fit."
"70","Humble Data Workshop","https://humbledata.org","39.3","34.3","5","0.79","LOW","none","criteria","""Stay Humble"" -- Humble Data Workshop has partial overlap with my criteria. Scores: C3 14/20, C4 8/12, C7 5/6."
"71","Turkopticon","https://turkopticon.ucsd.edu","39.2","39.2","0","0.95","LOW","none","criteria","""Our mission is to organize mutual aid, resources, and advocacy to improve conditions for all people "" -- Turkopticon has partial overlap with my criteria. Scores: C3 16/20, C4 9/12, C6 5/12, C7 5/6."
"72","Tracka","https://yourtracka.org","39.2","39.2","0","0.93","LOW","none","criteria","""Tracka is a community of active citizens who monitor the implementation of government projects in th"" -- Tracka has partial overlap with my criteria. Scores: C2 13/20, C6 9/12, C4 7/12, C7 4/6."
"73","ShineYourEye","https://www.shineyoureye.org","39.2","39.2","0","0.69","MEDIUM","none","criteria","""Making Nigerian politicians accountable through citizen engagement and legislative tracking"" -- ShineYourEye has partial overlap with my criteria. Scores: C2 20/20, C4 7/12, C6 6/12."
"74","Polis","https://github.com/compdemocracy/polis","39.2","39.2","0","0.9","LOW","high","criteria",""":milky_way: Open Source AI for large scale open ended feedback - compdemocracy/polis"" -- Polis has partial overlap with my criteria. Scores: C4 12/12, C2 9/20, C3 8/20, C7 5/6. Popularity risk is high -- Polis is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 29."
"75","Open Supply Hub","https://opensupplyhub.org","39.2","39.2","0","0.95","LOW","medium","criteria","""Open Supply Hub (OS Hub) is an accessible, collaborative, supply chain mapping platform, used and po"" -- Open Supply Hub has partial overlap with my criteria. Scores: C4 12/12, C6 7/12, C7 6/6."
"76","Open Ownership","https://www.openownership.org","39.2","39.2","0","0.95","LOW","medium","criteria","""Open Ownership provides support and guidance on all aspects of beneficial ownership transparency ref"" -- Open Ownership has partial overlap with my criteria. Scores: C2 12/20, C4 10/12, C6 5/12, C7 5/6."
"77","NumFOCUS","https://numfocus.org","39.2","39.2","0","0.98","LOW","medium","criteria","""NumFOCUS promotes open practices in research, data, and scientific computing. We run educational pro"" -- NumFOCUS has partial overlap with my criteria. Scores: C3 10/20, C4 9/12, C6 8/12, C7 6/6."
"78","Modular Politics","https://arxiv.org/abs/2005.13701","39.2","39.2","0","0.76","LOW","none","criteria","""Abstract page for arXiv paper 2005.13701: Modular Politics: Toward a Governance Layer for Online Com"" -- Modular Politics has partial overlap with my criteria. Scores: C2 16/20, C6 12/12."
"79","MapIt","https://mapit.mysociety.org","39.2","39.2","0","0.98","LOW","none","criteria","""MapIt: a web service that maps postcodes and geographical points to administrative areas"" -- MapIt has partial overlap with my criteria. Scores: C6 11/12, C4 9/12, C7 5/6."
"80","Creative Commons","https://creativecommons.org","39.2","39.2","0","0.93","LOW","high","criteria","""Help us keep the internet free and open"" -- Creative Commons has partial overlap with my criteria. Scores: C3 14/20, C4 12/12, C7 5/6. Popularity risk is high -- Creative Commons is thoroughly documented and likely in training data. Discounting documentation advantage, I would estimate roughly 29."
