rank,url,score,votes,dossier_completeness,popularity_risk,rationale
18,https://www.opencrvs.org,74.0,3,0.0,low,OpenCRVS has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Open source digital civil registration and vital statistics system for every person on the planet. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Operates international.
19,https://www.hotosm.org,73.7,3,0.0,low,"Humanitarian OpenStreetMap Team (HOT) serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Mapping for impact in humanitarian crises and development challenges. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Operates international."
20,https://www.meet.coop,73.5,6,0.0,low,meet.coop has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: The Online Meeting Cooperative - surveillance-free video conferencing powered by renewable energy on. Governance model: cooperative. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+4. Operates international.
21,https://www.ushahidi.com,73.4,5,0.0,low,"Ushahidi takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Crowdsourcing Solutions to Empower Communities. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
22,https://citizenos.com/platform,73.0,4,0.0,low,No rationale available.
23,https://www.loomio.org,72.8,4,0.0,low,"Loomio takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Make decisions together, without the endless meetings. Governance model: LLC. Strongest on participatory governance (C2: 14.7). Modifiers: M4:+4. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
24,https://web.archive.org,72.7,3,0.0,low,"Internet Archive Wayback Machine serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Digital archive of the World Wide Web — preserving over 1 trillion web pages since 1996. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 10). Modifiers: M4:+4. Operates international."
25,https://opencollective.com,72.3,6,0.0,low,"Open Collective has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Raise, manage and disburse money with full transparency.. Governance model: Platform stewardship transitioned in 2024 to Open Finance Co. Strongest on cross-jurisdictional applicability (C5: 12). Modifiers: M4:+4. Operates international."
26,https://oa.works,72.2,4,0.0,low,No rationale available.
27,https://github.com/huridocs,72.0,7,0.0,low,"HURIDOCS serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: HURIDOCS equips human rights defenders with tools to mobilise information for justice and accountabi. Governance model: Swiss NGO with Board of Advisors; Geneva office with distrib. Strongest on lifecycle governance (C3: 10.0). Operates international."
28,https://www.torproject.org,72.0,5,0.0,low,"Tor Project serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Anonymity Online - Advance human rights and defend privacy through free and open source anonymity an. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
29,https://cobudget.com,71.8,5,0.0,low,"Cobudget has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Bring people, ideas and money together, encouraging participation at every stage. Governance model: cooperative. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+4. Operates international."
30,https://fairbnb.coop,71.5,4,0.0,low,Fairbnb.coop addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Community powered tourism platform. Governance model: cooperative. Strongest on cross-jurisdictional applicability (C5: 11). Modifiers: M4:+6. Operates international.
31,https://www.organise.org.uk,71.5,4,0.0,low,"Organise does not align with my evaluative framework. It lacks enforcement mechanisms, participatory governance, and lifecycle coverage. The project describes itself as: Get heard at work – a workers' network for collective action on employment issues. Governance model: LLC. Strongest on participatory governance (C2: 6.5). Modifiers: M5:-11. Operates national."
32,https://www.wikidata.org,71.0,3,0.0,low,Wikidata has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A free and open knowledge base that can be read and edited by both machines and humans. Governance model: project_of_larger_org. Strongest on lifecycle governance (C3: 10.0). Operates international.
33,https://securedrop.org,70.8,4,0.0,low,SecureDrop has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Open source whistleblower submission system for secure anonymous document sharing. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Operates international.
34,https://www.workerinfoexchange.org,70.8,5,0.0,low,"Worker Info Exchange has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Platform connecting workers with information about labor rights, workplace conditions, and employmen. Governance model: foundation. Strongest on lifecycle governance (C3: 8.0). Operates national."
35,https://www.oporaua.org,70.4,5,0.0,low,"ОПОРА (Opora) has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Ukrainian civic network for election monitoring, democratic integrity, and civic participation. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Modifiers: M5:-11. Operates national."
36,https://www.campaigntracker.nl/en,70.2,4,0.0,low,"Campaign Tracker serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Platform for tracking and analyzing political campaign spending and advertising in the Netherlands. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates national."
37,https://alaveteli.org,70.0,6,0.0,low,"Alaveteli serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Run your own Freedom of Information website - An open-source platform for making public freedom of i. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
38,https://algorithmwatch.org,70.0,5,0.0,low,"AlgorithmWatch is almost exactly what I look for: a project that builds enforcement infrastructure for AI governance while maintaining cross-jurisdictional reach. The project describes itself as: A non-governmental, non-profit organization based in Berlin and Zurich that fights for a world where. Governance model: foundation. Strongest on enforcement/verification (C1: 20). Modifiers: M3:+7. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
39,https://ethelo.com,69.2,6,0.0,low,Ethelo has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: The world's leading group solutions technology — a multi-party scenario analysis engine that finds f. Governance model: LLC. Strongest on participatory governance (C2: 12.6). Operates national.
40,https://yrpri.org,69.0,4,0.0,low,"Your Priorities takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: Idea generation, deliberation & decision-making platform for governments since 2008. Governance model: Social enterprise governance with stakeholder input from gov. Strongest on participatory governance (C2: 12.6). Operates international."
41,https://data.mysociety.org,68.6,5,0.0,low,"mySociety Datasets and APIs scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Open datasets and APIs for democracy, transparency, and community engagement. Governance model: foundation. Strongest on institutional infrastructure (C4: 11.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
42,https://metagov.org/projects/interop,68.6,5,0.0,low,Interoperable Deliberative Tools has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Homebase for interoperable deliberative tools enabling governance beyond voting and commenting. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 10.0). Modifiers: M4:+4. Operates international.
43,https://matrix.org,68.5,4,0.0,low,"Matrix scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: An open standard and network for secure, decentralised, interoperable communication. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
44,https://github.com/rahvaalgatus/rahvaalgatus,68.2,6,0.0,low,"Rahvaalgatus does not align with my evaluative framework. It lacks enforcement mechanisms, participatory governance, and lifecycle coverage. The project describes itself as: Estonian citizen initiative and e-petition platform. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 5.2). Operates national."
45,https://littlesis.org,68.2,4,0.0,low,LittleSis has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Free database of who-knows-who at the heights of business and government — power research for just f. Governance model: foundation. Strongest on lifecycle governance (C3: 8.0). Operates primarily United States.
46,https://cybersecurityfordemocracy.org,67.5,6,0.0,low,"Cybersecurity for Democracy scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: A multi-university center for problem-driven research and research-driven policy. Governance model: Multi-university research center. Strongest on lifecycle governance (C3: 10.0). Operates Global (based at NYU)."
47,https://yourtracka.org,67.4,5,0.0,low,"Tracka serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Monitor the status of federal and state projects in your community and take action on implementation. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates national."
48,https://communityrule.info,67.3,6,0.0,low,"CommunityRule takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A governance toolkit for great communities. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 10.4). Modifiers: M3:+5. Operates international."
49,https://oneproject.org,67.2,6,0.0,low,No rationale available.
50,https://atlasofsurveillance.org,66.5,6,0.0,low,Atlas of Surveillance has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Documenting Police Tech in Our Communities with Open Source Research. Governance model: project_of_larger_org. Strongest on evidence quality (C6: 7). Operates national.
51,https://www.whatdotheyknow.com,66.4,5,0.0,low,WhatDoTheyKnow has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Make freedom of information requests and see responses from UK public authorities. Governance model: project_of_larger_org. Strongest on evidence quality (C6: 7). Operates national.
52,https://developers.democracyclub.org.uk/api/v1,66.2,6,0.0,low,"Democracy Club Developer API has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: API for accessing ballots, candidates and polling stations data. Governance model: foundation. Strongest on lifecycle governance (C3: 8.0). Operates national."
53,https://talktothecity.org,66.2,5,0.0,low,Talk to the City has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Open-source LLM survey tool to improve collective discourse and decision-making by analyzing qualita. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 15.2). Operates international.
54,https://github.com/mastodon/mastodon,66.0,4,0.0,low,"Mastodon scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Your self-hosted, globally interconnected microblogging community. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 12). Modifiers: M4:+4. Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
55,https://adhocracy.plus,65.2,4,0.0,low,"adhocracy+ has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Makes digital democracy easy — for everyone, no matter where.. Governance model: foundation. Strongest on participatory governance (C2: 18.7). Operates national."
56,https://en.wikipedia.org/wiki/wikipedia:in_the_news,65.0,4,0.0,low,In the news has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Section of the Main Page directing readers to articles substantially updated to reflect recent or cu. Governance model: consensus-based editorial process. Strongest on cross-jurisdictional applicability (C5: 9). Operates international.
57,https://datacollective.mozillafoundation.org,64.8,5,0.0,low,No rationale available.
58,https://guardianproject.info,64.6,5,0.0,low,"Guardian Project serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Secure, privacy-enhancing mobile applications and tools for journalists, activists, and people at ri. Governance model: founder-led open-source collective (Nathan Freitas / n8fr8 a. Strongest on cross-jurisdictional applicability (C5: 12). Operates international."
59,https://github.com/blacksky-algorithms/rsky,64.5,4,0.0,low,"rsky has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: An AT Protocol implementation prioritizing community safety and self-governance, written in Rust. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
60,https://ckan.org,64.4,5,0.0,low,"CKAN serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: The world's leading open source data management system for powering data hubs and data portals. Governance model: foundation. Strongest on cross-jurisdictional applicability (C5: 11). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
61,https://aragon.org,64.3,6,0.0,low,Aragon has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: The Home of Onchain Organizations – governance and ownership infrastructure for DAOs and protocols. Governance model: LLC. Strongest on lifecycle governance (C3: 8.0). Operates international.
62,https://github.com/podemos-info/participa,63.5,4,0.0,low,"Participa (Podemos) has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Unified census and participation platform for Podemos: voting, donations, microcredits, and citizen . Governance model: Controlled by Podemos party; open source code allows forks (. Strongest on participatory governance (C2: 13.4). Operates Spain."
63,https://coops.tech,63.4,5,0.0,low,CoTech has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A UK-wide network of cooperative technology companies building values-aligned digital products. Governance model: cooperative. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+6. Operates national.
64,https://www.opensanctions.org,63.2,5,0.0,low,"OpenSanctions serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Supreme Data on Supreme Leaders - open source sanctions and politically exposed persons data platfor. Governance model: Open governance with community contributions and advisory bo. Strongest on lifecycle governance (C3: 12.0). Operates international."
65,https://contractsfordatacollaboration.org,62.5,4,0.0,low,"Contracts for Data Collaboration serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Strengthening trust, transparency, and accountability in cross-sector data collaboratives through le. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 10). Operates international."
66,https://opencouncil.network,62.5,6,0.0,low,"Open Council Network serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Makes local government decision-making accessible to everyone through council meeting tracking and w. Governance model: Community-led with advisory board. Strongest on institutional infrastructure (C4: 8.0). Operates national."
67,https://coralproject.net,62.4,5,0.0,low,"Coral has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A better commenting experience — open source tools for safer, more engaged online communities.. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 12). Operates international."
68,https://vframe.io,62.4,5,0.0,low,"VFRAME scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: Computer vision for OSINT: detecting illegal munitions and documenting war crimes through AI-powered. Governance model: project_of_larger_org. Strongest on lifecycle governance (C3: 10.0). Modifiers: M4:+4. Operates international."
69,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,62.1,7,0.0,low,"Framework for Meaningful Engagement 2.0 serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Practical suggestions on how to engage civil society and affected communities in AI development to s. Governance model: individual. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
70,https://publicai.co,62.0,3,0.0,low,No rationale available.
71,https://docs.plus,61.5,4,0.0,low,"docs.plus has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Free, open-source collaborative documents for organizations. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
72,https://all-our-ideas.citizens.is,61.2,5,0.0,low,All Our Ideas has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A platform for crowdsourcing ideas and priorities through pairwise comparison voting. Governance model: Democratic governance with citizen input. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+4. Operates international.
73,https://www.fixmystreet.com,61.2,5,0.0,low,"FixMyStreet has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Report, view, and discuss local street problems with UK councils. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 9.1). Operates national. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
74,https://numfocus.org,61.0,5,0.0,low,NumFOCUS has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A Nonprofit Supporting Open Code for Better Science. Governance model: foundation. Strongest on institutional infrastructure (C4: 9.0). Operates international.
75,https://aleph.occrp.org,60.8,4,0.0,low,"Aleph (OCCRP) scores well across multiple criteria, particularly institutional infrastructure and cross-jurisdictional reach. The project describes itself as: The global archive of research material for investigative reporting. Follow the money through govern. Governance model: foundation. Strongest on evidence quality (C6: 10). Modifiers: M4:+4. Operates international."
76,https://turkopticon.ucsd.edu,60.8,5,0.0,low,Turkopticon addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Worker-led platform organizing mutual aid and advocacy for Amazon Mechanical Turk workers. Governance model: cooperative. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+4. Operates international.
77,https://cortico.ai/platform,60.4,5,0.0,low,Cortico has meaningful participatory elements but limited enforcement infrastructure. The project describes itself as: Bringing underheard voices to the center of stronger civic spaces through recorded small-group dialo. Governance model: foundation. Strongest on participatory governance (C2: 11.7). Operates national.
78,https://policykit.org,60.0,3,0.0,low,PolicyKit addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: An open-source tool for evolving governance in online communities. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international. Dead link detected: score capped at 45.
79,https://www.communitytech.network,60.0,3,0.0,low,"Community Tech does not align with my evaluative framework. It lacks enforcement mechanisms, participatory governance, and lifecycle coverage. The project describes itself as: Technology built with, by and for communities that is locally accountable and creates local value. Governance model: project_of_larger_org. Strongest on participatory governance (C2: 7.8). Operates national."
80,https://activisthandbook.org,59.0,4,0.0,low,No rationale available.
81,https://communities.sunlightfoundation.com/methodology,58.8,5,0.0,low,Tactical Data Engagement has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A framework for local governments to catalyze resident-centered use of open data for community probl. Governance model: project_of_larger_org. Strongest on evidence quality (C6: 9). Operates national.
82,https://gender-pay-gap.service.gov.uk,58.2,6,0.0,low,Gender Pay Gap Service has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Search and compare gender pay gap data. Governance model: government_administered. Strongest on evidence quality (C6: 9). Modifiers: M5:-11. Operates national.
83,https://www.sign-in.service.gov.uk,57.5,4,0.0,low,GOV.UK One Login has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Centralized digital identity and authentication platform for UK government services. Governance model: project_of_larger_org. Strongest on evidence quality (C6: 7). Operates national.
84,https://civicrm.org,56.8,4,0.0,low,"CiviCRM serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Open source constituent relationship management for non-profits, NGOs and advocacy organizations. Governance model: LLC. Strongest on cross-jurisdictional applicability (C5: 11). Operates international."
85,https://www.theyworkforyou.com,56.8,4,0.0,low,"TheyWorkForYou has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Hansard and Official Reports for the UK Parliament, Scottish Parliament, and Northern Ireland Assemb. Governance model: project_of_larger_org. Strongest on institutional infrastructure (C4: 7.0). Operates national."
86,https://participedia.net,56.5,4,0.0,low,"Participedia takes participatory governance seriously, with structural community involvement rather than token consultation. The project describes itself as: A global crowdsourcing platform for researchers, activists, practitioners, and anyone interested in . Governance model: Academic co-governance led by McMaster University, Simon Fra. Strongest on participatory governance (C2: 12.6). Modifiers: M4:+6. Operates international."
87,https://charmverse.io,56.2,4,0.0,low,No rationale available.
88,https://github.com/radicalxchange/rxc-voice,56.2,5,0.0,low,"RxC Voice has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: An app for decentralized democratic governance leveraging Quadratic Funding, pol.is, and Quadratic V. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Modifiers: M4:+4. Operates international."
89,https://opensupplyhub.org,56.2,4,0.0,low,"Open Supply Hub builds genuine governance infrastructure with enforcement mechanisms. The project describes itself as: A global, open-source platform for supply chain transparency and worker rights. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international."
90,https://radicle.xyz,56.0,3,0.0,low,"Radicle has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: A sovereign, peer-to-peer code forge built on Git. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 9). Operates international."
91,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,54.7,6,0.0,low,"Political Advertising Transparency Data Standard serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: A schema standard for how political advertising data is presented across platforms to increase compr. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 10). Operates international."
92,https://sourceafrica.net,54.7,3,0.0,low,sourceAFRICA has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Africa's premier repository for actionable documents. Governance model: operated by ANCIR under incubation by Code for Africa; CC BY. Strongest on lifecycle governance (C3: 8.0). Operates Africa.
93,https://murmurations.network,54.5,4,0.0,low,Murmurations Protocol addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Making movements visible — a distributed data sharing protocol to facilitate collaboration at scale. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 11). Modifiers: M4:+4. Operates international.
94,https://getodk.org,54.4,5,0.0,low,"ODK (Open Data Kit) serves institutional governance needs, with government partnerships that suggest real-world deployment. The project describes itself as: Open-source tools for collecting, managing, and using data in resource-constrained environments. Governance model: foundation. Strongest on lifecycle governance (C3: 10.0). Operates international. Popularity risk flag: this is a well-known project with rich documentation; stripping the documentation advantage, I estimate the score would drop by roughly 8-12 points."
95,https://github.com/geeksforsocialchange/placecal,54.3,6,0.0,low,PlaceCal has limited alignment with my core criteria. It addresses a legitimate domain but does not build the governance infrastructure I prioritise. The project describes itself as: Bring your community together. Governance model: project_of_larger_org. Strongest on cross-jurisdictional applicability (C5: 7). Operates international.
96,https://github.com/datakind/data-observation-toolkit,54.0,6,0.0,low,Data Observation Toolkit (DOT) addresses some of my criteria but falls short on enforcement and lifecycle coverage. The project describes itself as: Open-source toolkit to monitor data integrity and flag problems in public health and humanitarian da. Governance model: foundation. Strongest on lifecycle governance (C3: 12.0). Operates international.
