name,v3_rank,v5_rank,v3_score,v5_score,rank_swing,score_diff_v3_minus_v5
UK Policy Dojo,123,67,55.6,67.4,56,-11.800000000000004
Fission Codes,218,162,44.4,54.2,56,-9.800000000000004
Parliament Watch Uganda,122,177,55.6,51.4,55,4.200000000000003
The DAO (Standard DAO Framework),128,73,54.9,66.7,55,-11.800000000000004
Moral Machine,262,207,39.6,45.1,55,-5.5
Land Explorer,131,185,54.2,48.6,54,5.600000000000001
dDocs,136,82,53.5,65.3,54,-11.799999999999997
Spacetube,168,114,50.0,61.8,54,-11.799999999999997
Nyaaya,255,201,40.3,45.8,54,-5.5
Fatebook,259,205,39.6,45.1,54,-5.5
Atlas of Surveillance,269,216,38.2,43.8,53,-5.599999999999994
Plausible Analytics,250,198,41.0,46.5,52,-5.5
Murmurations Protocol,74,23,61.8,73.6,51,-11.799999999999997
Monitor Mamdani,147,197,52.1,46.5,50,5.600000000000001
Open Referral UK,21,70,70.8,66.7,49,4.099999999999994
Open Collective,81,32,61.1,70.8,49,-9.699999999999996
DeepSeek-V3,296,247,34.7,40.3,49,-5.599999999999994
Gapminder Worldview Upgrader,35,83,69.4,65.3,48,4.1000000000000085
Open Science Framework,36,84,69.4,65.3,48,4.1000000000000085
Participa (Podemos),63,15,63.9,75.7,48,-11.800000000000004
PolicyKit,84,36,60.4,70.1,48,-9.699999999999996
Cortico,170,218,49.3,43.8,48,5.5
Neighbourhood Warmth,193,241,47.2,41.7,48,5.5
OpenElections Leaflet Scraper and Parser,77,30,61.8,71.5,47,-9.700000000000003
Open Heart Mind (OHM),87,40,59.7,69.4,47,-9.700000000000003
Rahvaalgatus,88,41,59.7,69.4,47,-9.700000000000003
Turkopticon,89,42,59.7,69.4,47,-9.700000000000003
Marks Out Of Tenancy,192,239,47.2,41.7,47,5.5
Libertrium,160,206,50.7,45.1,46,5.600000000000001
Harmonica,166,212,50.0,44.4,46,5.600000000000001
The Data Trusts Initiative,176,222,49.3,43.8,46,5.5
Turn2us Benefits Calculator,177,223,49.3,43.8,46,5.5
Gender Pay Gap Service,185,231,47.9,42.4,46,5.5
Riseup,232,186,43.1,48.6,46,-5.5
Agreement Engine,102,57,57.6,67.4,45,-9.800000000000004
Humble Data Workshop,104,59,57.6,67.4,45,-9.800000000000004
CAN/DGSI 127 - Age Assurance Technologies Standard,165,210,50.0,44.4,45,5.600000000000001
Tactical Data Engagement,169,214,50.0,44.4,45,5.600000000000001
PlanIT,175,220,49.3,43.8,45,5.5
Beckton,197,152,46.5,56.2,45,-9.700000000000003
django-collaborative,199,154,46.5,56.2,45,-9.700000000000003
EDGAR,200,155,46.5,56.2,45,-9.700000000000003
Bluesky,229,184,43.1,48.6,45,-5.5
AISafety.info,282,237,36.1,41.7,45,-5.600000000000001
Journalist Studio,283,238,36.1,41.7,45,-5.600000000000001
ОПОРА (Opora),97,141,58.3,58.3,44,0.0
Mozilla Data Collective,105,61,57.6,67.4,44,-9.800000000000004
Snowdrift.coop,110,66,57.6,67.4,44,-9.800000000000004
whatsmeow,178,134,49.3,59.0,44,-9.700000000000003
Cybersecurity for Democracy,15,58,71.5,67.4,43,4.099999999999994
MapIt,96,139,58.3,58.3,43,0.0
Pastecal,107,64,57.6,67.4,43,-9.800000000000004
PatCit,108,65,57.6,67.4,43,-9.800000000000004
One Project,112,69,56.9,66.7,43,-9.800000000000004
Democracy Fund Open Source,179,136,48.6,58.3,43,-9.699999999999996
Journal of Open Source Software,181,138,48.6,58.3,43,-9.699999999999996
Find local consultations,217,260,44.4,38.9,43,5.5
oTree,50,92,66.0,63.9,42,2.1000000000000014
Channel.org,95,53,58.3,68.1,42,-9.799999999999997
Pageviews Analysis,173,131,49.3,59.0,42,-9.700000000000003
rsky,187,145,47.9,57.6,42,-9.700000000000003
Schema.org,188,146,47.9,57.6,42,-9.700000000000003
Tech Coops List,57,16,65.3,75.0,41,-9.700000000000003
Martus,171,130,49.3,59.0,41,-9.700000000000003
semanticClimate,183,142,48.6,58.3,41,-9.699999999999996
LittleSis,191,150,47.2,56.9,41,-9.699999999999996
Unpaywall Browser Extension,114,74,56.9,66.7,40,-9.800000000000004
Pursuance Project,91,52,59.0,68.8,39,-9.799999999999997
Bellingcat Online Investigation Toolkit,115,76,56.2,66.0,39,-9.799999999999997
PlaceCal,117,78,56.2,66.0,39,-9.799999999999997
Shareyourpaper.org,118,79,56.2,66.0,39,-9.799999999999997
The Engine Room Library,129,90,54.9,64.6,39,-9.699999999999996
Participedia,132,93,54.2,63.9,39,-9.699999999999996
Relational Tech Project,133,94,54.2,63.9,39,-9.699999999999996
Theft Bisect,134,95,54.2,63.9,39,-9.699999999999996
MP Twitter Bios,139,100,53.5,63.2,39,-9.700000000000003
Coral,142,103,52.8,62.5,39,-9.700000000000003
Full Fact AI,213,252,45.1,39.6,39,5.5
Go Vocal,214,253,45.1,39.6,39,5.5
Parti,113,151,56.9,56.9,38,0.0
GrantNav,121,159,55.6,55.6,38,0.0
docs.plus,125,87,54.9,64.6,38,-9.699999999999996
GRIM (Global Risk Simulator),126,88,54.9,64.6,38,-9.699999999999996
SecureDrop,127,89,54.9,64.6,38,-9.699999999999996
CivicPress,135,97,53.5,63.2,38,-9.700000000000003
Papertree,140,102,53.5,63.2,38,-9.700000000000003
OSINT Framework,144,106,52.8,62.5,38,-9.700000000000003
Esper,225,263,43.8,38.2,38,5.599999999999994
Granicus,226,264,43.8,38.2,38,5.599999999999994
sourceAFRICA,145,108,52.8,62.5,37,-9.700000000000003
Open Ownership,76,112,61.8,61.8,36,0.0
Guardian Project,12,47,72.9,68.8,35,4.1000000000000085
Consent-O-Matic,146,111,52.1,61.8,35,-9.699999999999996
ORCID,167,202,50.0,45.8,35,4.200000000000003
Parallel Parliament,174,208,49.3,45.1,34,4.199999999999996
Choose a License,206,172,45.8,51.4,34,-5.600000000000001
Local Intelligence Hub,208,174,45.8,51.4,34,-5.600000000000001
Mapped,209,175,45.8,51.4,34,-5.600000000000001
Fundación Ciudadanía Inteligente,71,104,62.5,62.5,33,0.0
Nook CRM,204,171,46.5,52.1,33,-5.600000000000001
GovWise,240,273,42.4,36.8,33,5.600000000000001
Manifold Markets,202,170,46.5,52.1,32,-5.600000000000001
Local Insight,271,303,38.2,32.6,32,5.600000000000001
Plinth,273,305,38.2,32.6,32,5.600000000000001
Labour Xchange,276,308,37.5,31.9,32,5.600000000000001
Data Observation Toolkit (DOT),67,98,63.2,63.2,31,0.0
Fairbnb.coop,68,99,63.2,63.2,31,0.0
Open Contracting Partnership,70,101,63.2,63.2,31,0.0
Anna's Archive,149,118,51.4,61.1,31,-9.700000000000003
postcodes.io,152,121,51.4,61.1,31,-9.700000000000003
ClimateAction.Tech,41,11,67.4,77.1,30,-9.699999999999989
Bluesky Social,154,124,50.7,60.4,30,-9.699999999999996
DAO Governance Surfaces,155,125,50.7,60.4,30,-9.699999999999996
CharmVerse,198,168,46.5,52.1,30,-5.600000000000001
User Research Library,246,276,42.4,36.8,30,5.600000000000001
GreenPT,270,300,38.2,32.6,30,5.600000000000001
arXiv,94,123,58.3,60.4,29,-2.1000000000000014
FixMyStreet,137,166,53.5,53.5,29,0.0
DISARM Frameworks,49,77,66.0,66.0,28,0.0
Community Notes (Birdwatch) Analysis Tool,54,81,65.3,65.3,27,0.0
UK Parliament Developer Portal,234,261,43.1,38.9,27,4.200000000000003
GlobaLeaks,19,45,70.8,68.8,26,2.0
VFRAME,100,126,58.3,60.4,26,-2.1000000000000014
WardWatch,236,262,43.1,38.9,26,4.200000000000003
ShineYourEye,153,178,51.4,51.4,25,0.0
Nestr,254,278,40.3,36.1,24,4.199999999999996
Empurrando Juntas (EJ),266,290,38.9,34.7,24,4.199999999999996
Spartacus,267,291,38.9,34.7,24,4.199999999999996
Public Editor,290,314,35.4,31.2,24,4.199999999999999
OA.Works,16,39,71.5,69.4,23,2.0999999999999943
DoNotPay,248,225,41.7,43.1,23,-1.3999999999999986
Humanitarian Data Exchange,158,180,50.7,50.7,22,0.0
Interoperable Deliberative Tools,159,137,50.7,58.3,22,-7.599999999999994
Open Council Data UK,243,265,42.4,38.2,22,4.199999999999996
CiviCRM,39,18,68.1,74.3,21,-6.200000000000003
Frankenstein Bill,47,68,66.7,66.7,21,0.0
Modular Politics,215,194,45.1,47.2,21,-2.1000000000000014
Viewpoints,247,268,42.4,38.2,21,4.199999999999996
Dunadyne,298,277,34.0,36.1,21,-2.1000000000000014
Abstract Wikipedia,66,86,63.2,64.6,20,-1.3999999999999915
OpenCRVS,44,63,67.4,67.4,19,0.0
Agencies for Good,163,182,50.0,50.0,19,0.0
Aleph (OCCRP),32,14,69.4,75.7,18,-6.299999999999997
Metaculus,182,164,48.6,54.2,18,-5.600000000000001
vTaiwan,7,24,77.8,73.6,17,4.200000000000003
Matrix,43,60,67.4,67.4,17,0.0
Kagi SlopStop,230,213,43.1,44.4,17,-1.2999999999999972
Security First / Umbrella,56,72,65.3,66.7,16,-1.4000000000000057
WhatDoTheyKnow,53,38,66.0,70.1,15,-4.099999999999994
Wikidata,58,43,65.3,69.4,15,-4.1000000000000085
Framework for Meaningful Engagement 2.0,40,54,68.1,68.1,14,0.0
Contracts for Data Collaboration,45,31,66.7,70.8,14,-4.099999999999994
Stanford Participatory Budgeting Platform,51,37,66.0,70.1,14,-4.099999999999994
Political Advertising Transparency Data Standard,13,26,72.9,72.9,13,0.0
Bonfire,14,1,71.5,83.3,13,-11.799999999999997
OpenProcurement,37,50,68.8,68.8,13,0.0
PolicyEngine,38,51,68.8,68.8,13,0.0
All Our Ideas,34,22,69.4,73.6,12,-4.199999999999989
Open Supply Hub,18,29,71.5,71.5,11,0.0
openparliament.ca,82,71,61.1,66.7,11,-5.600000000000001
Tor Project,98,109,58.3,62.5,11,-4.200000000000003
New_ Public Roundabout,172,183,49.3,49.3,11,0.0
Mastodon,59,49,64.6,68.8,10,-4.200000000000003
Organise,244,235,42.4,42.4,9,0.0
RightDD,245,236,42.4,42.4,9,0.0
Open Standards for Data Guidebook,17,9,71.5,77.8,8,-6.299999999999997
The Government Says,64,56,63.9,68.1,8,-4.199999999999996
Strike Map,141,133,53.5,59.0,8,-5.5
Remember to Vote,212,204,45.8,45.8,8,0.0
Global Fact-Check Bot (GFC),219,211,44.4,44.4,8,0.0
Timecounts,223,215,44.4,44.4,8,0.0
Who Targets Me Trends,237,229,43.1,43.1,8,0.0
Community Tech,238,230,42.4,42.4,8,0.0
Objector.ai,242,234,42.4,42.4,8,0.0
Objector.ai,242,234,42.4,42.4,8,0.0
Prolific,275,267,38.2,38.2,8,0.0
Mapping.kids,277,269,37.5,37.5,8,0.0
Society for Hopeful Technologists,278,270,37.5,37.5,8,0.0
DemTech Navigator,279,271,36.8,36.8,8,0.0
Filmot,280,272,36.8,36.8,8,0.0
WorkInCharities,312,320,31.9,27.8,8,4.099999999999998
Citizen OS,24,17,70.1,74.3,7,-4.200000000000003
Internet Archive Wayback Machine,27,34,70.1,70.1,7,0.0
Loomio,28,21,70.1,74.3,7,-4.200000000000003
Open Council Network,62,55,63.9,68.1,7,-4.199999999999996
ODK (Open Data Kit),69,62,63.2,67.4,7,-4.200000000000003
Democracy Club Developer API,120,127,55.6,59.7,7,-4.100000000000001
GOV.UK Forms,207,200,45.8,45.8,7,0.0
Parse The Bill,210,203,45.8,45.8,7,0.0
The Commons Social Change Library,216,209,45.1,45.1,7,0.0
Collaborative Data Patterns,224,217,43.8,43.8,7,0.0
Vote for Policies,235,228,43.1,43.1,7,0.0
GOV.UK Notify,239,232,42.4,42.4,7,0.0
Open Letter,256,249,40.3,40.3,7,0.0
Right To Know,257,250,40.3,40.3,7,0.0
CrowdJustice,258,251,39.6,39.6,7,0.0
Who Posted What?,263,256,39.6,39.6,7,0.0
Digital Account Management Toolkit,264,257,38.9,38.9,7,0.0
Dovetail,265,258,38.9,38.9,7,0.0
mySociety Datasets and APIs,6,12,78.5,76.4,6,2.0999999999999943
RxC Quadratic Voting,22,28,70.8,72.2,6,-1.4000000000000057
CommunityRule,25,19,70.1,74.3,6,-4.200000000000003
Constitute Project,26,20,70.1,74.3,6,-4.200000000000003
OpenSanctions,29,35,70.1,70.1,6,0.0
Landlord Tech Watch,143,149,52.8,56.9,6,-4.100000000000001
Aragon,164,158,50.0,55.6,6,-5.600000000000001
The Accountability Project,227,221,43.8,43.8,6,0.0
Turbo Phonebank,251,245,41.0,41.0,6,0.0
CiviClick,252,246,40.3,40.3,6,0.0
Hand-Written Petition Scanner,260,254,39.6,39.6,6,0.0
Missing Numbers,261,255,39.6,39.6,6,0.0
Overton,272,266,38.2,38.2,6,0.0
Sci-Hub,281,275,36.8,36.8,6,0.0
Public Media Stack,291,285,35.4,35.4,6,0.0
The Decelerator,292,286,35.4,35.4,6,0.0
We Live It,293,287,35.4,35.4,6,0.0
CivicMatch,294,288,34.7,34.7,6,0.0
COTSI (Cyber Operational Threat Situational Intelligence),295,289,34.7,34.7,6,0.0
The Guide to Major Trusts 2025/26,299,293,34.0,34.0,6,0.0
Watch Duty,300,294,34.0,34.0,6,0.0
Charity Digital Skills Report,301,295,33.3,33.3,6,0.0
OpenAudience,302,296,33.3,33.3,6,0.0
Citizens Advice Tableau Public Profile,303,297,32.6,32.6,6,0.0
DoGooder,304,298,32.6,32.6,6,0.0
FixMyBlock,305,299,32.6,32.6,6,0.0
Open Digital Planning,8,13,76.4,76.4,5,0.0
HURIDOCS,20,25,70.8,72.9,5,-2.1000000000000085
NumFOCUS,86,91,59.7,63.9,5,-4.199999999999996
Activist Handbook,101,96,57.6,63.2,5,-5.600000000000001
meet.coop,161,156,50.7,56.2,5,-5.5
River Sentiment Dashboard,186,191,47.9,47.9,5,0.0
GOV.UK Pay,201,196,46.5,46.5,5,0.0
OA.Report,231,226,43.1,43.1,5,0.0
Kialo,249,244,41.0,41.0,5,0.0
MyActionCenter,253,248,40.3,40.3,5,0.0
PoliMonitor,284,279,36.1,36.1,5,0.0
The List,285,280,36.1,36.1,5,0.0
Whoisology,286,281,36.1,36.1,5,0.0
Conservative Party Funding,287,282,35.4,35.4,5,0.0
Idealist,288,283,35.4,35.4,5,0.0
PostBug,289,284,35.4,35.4,5,0.0
Violation Tracker UK,297,292,34.7,34.7,5,0.0
Ladder Hub,306,301,32.6,32.6,5,0.0
Local Deep Researcher,307,302,32.6,32.6,5,0.0
Groupthink (OpenPolitics Votebot),42,46,67.4,68.8,4,-1.3999999999999915
Public AI Inference Utility,109,113,57.6,61.8,4,-4.199999999999996
Worker Info Exchange,228,224,43.8,43.8,4,0.0
OpenOrigins,308,304,32.6,32.6,4,0.0
Polis,2,5,84.7,80.6,3,4.1000000000000085
Populate Tools,30,27,70.1,72.2,3,-2.1000000000000085
Awesome UK Government Datasets,72,75,61.8,66.0,3,-4.200000000000003
Discourse,156,153,50.7,56.2,3,-5.5
The Circuit,184,187,48.6,48.6,3,0.0
Deliberation & Technology (DelibTech) Network,189,192,47.2,47.2,3,0.0
GOV.UK One Login,190,193,47.2,47.2,3,0.0
Registers and collaboration: making lists we can trust,309,306,32.6,32.6,3,0.0
Understanding Your Morality,310,307,32.6,32.6,3,0.0
Collab.Land,313,310,31.2,31.2,3,0.0
Consciousness Evolution Operating System (ConSoc),314,311,31.2,31.2,3,0.0
Keep It In The Community,315,312,31.2,31.2,3,0.0
PolicyMogul,316,313,31.2,31.2,3,0.0
Decidim,4,6,81.9,79.9,2,2.0
Alaveteli,9,7,75.0,79.2,2,-4.200000000000003
Cobudget,10,8,73.6,77.8,2,-4.200000000000003
Diia,46,44,66.7,68.8,2,-2.0999999999999943
Teaching Public Service in the Digital Age,83,85,61.1,65.3,2,-4.199999999999996
WhatGov,124,122,55.6,61.1,2,-5.5
Shared Digital Guides,311,309,31.9,31.9,2,0.0
FarmerChat,317,315,30.6,30.6,2,0.0
Responsible Tech Guide 2025,318,316,29.9,29.9,2,0.0
,319,317,29.2,29.2,2,0.0
Unknown Academic Paper (SSRN 5351275),320,318,29.2,29.2,2,0.0
verification-report,321,319,29.2,29.2,2,0.0
CONSUL Democracy,1,2,84.7,82.6,1,2.1000000000000085
Open Data Editor (ODE),5,4,80.6,80.6,1,0.0
adhocracy+,11,10,72.9,77.1,1,-4.199999999999989
CKAN,79,80,61.1,65.3,1,-4.199999999999996
Wikum,148,147,52.1,57.6,1,-5.5
LiquidFeedback,3,3,84.0,81.9,0,2.0999999999999943
CoTech,119,119,55.6,61.1,0,-5.5
Service Manual,195,195,47.2,47.2,0,0.0
Yoti,322,322,28.5,22.9,0,5.600000000000001
