Rank,Project,URL,Score,Criteria,Mod Adj,Completeness,Uncertainty,Pop Risk,Primary Driver,Rationale
22,Open Digital Planning,https://opendigitalplanning.org,51.1,47.1,4,1.0,LOW,MEDIUM,criteria,Open Digital Planning gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
23,ODK (Open Data Kit),https://getodk.org,51.0,51.0,0,0.9,LOW,HIGH,criteria,"ODK (Open Data Kit) does useful work that partially overlaps with what I care about, but it does not hit the core of my criteria — either the civic engagement component is indirect, or the data-for-good aspect is secondary to its main mission."
24,CommunityRule,https://communityrule.info,50.2,42.2,8,0.95,LOW,MEDIUM,modifier,CommunityRule gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
25,Martus,https://www.martus.org,50.2,42.2,8,0.9,LOW,MEDIUM,modifier,Martus gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
26,Constitute Project,https://constituteproject.org,50.1,46.1,4,0.95,LOW,MEDIUM,criteria,Constitute Project gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
27,RxC Voice,https://github.com/radicalxchange/rxc-voice,50.1,46.1,4,0.95,LOW,MEDIUM,criteria,RxC Voice gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
28,Pursuance Project,https://pursuanceproject.org,50.1,46.1,4,0.95,LOW,MEDIUM,criteria,Pursuance Project gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
29,OpenBudgets.eu,https://openbudgets.eu,49.2,38.2,11,0.9,LOW,MEDIUM,modifier,OpenBudgets.eu gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
30,Participedia,https://participedia.net,49.2,41.2,8,0.95,LOW,HIGH,modifier,Participedia gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
31,MP Twitter Bios,https://www.mptwitterbios.co.uk,49.2,41.2,8,0.95,LOW,MEDIUM,modifier,MP Twitter Bios gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
32,Tactical Data Engagement,https://communities.sunlightfoundation.com/methodology,49.1,45.1,4,0.85,LOW,MEDIUM,criteria,Tactical Data Engagement gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
33,Parti,https://parti.xyz,49.1,45.1,4,0.95,LOW,MEDIUM,criteria,Parti gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
34,Cobudget,https://cobudget.com,48.2,40.2,8,0.9,LOW,HIGH,modifier,Cobudget gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
35,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,48.2,41.2,7,0.9,LOW,HIGH,modifier,Humanitarian OpenStreetMap Team (HOT) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
36,All Our Ideas,https://all-our-ideas.citizens.is,48.1,44.1,4,0.75,LOW,MEDIUM,criteria,All Our Ideas gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
37,Pastecal,https://github.com/kazad/pastecal,48.1,44.1,4,0.9,LOW,MEDIUM,criteria,Pastecal gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
38,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,48.1,44.1,4,0.95,LOW,MEDIUM,criteria,Rahvaalgatus gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
39,Open Collective,https://opencollective.com,48.1,44.1,4,0.9,LOW,MEDIUM,criteria,Open Collective gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
40,Creative Commons,https://creativecommons.org,47.3,36.3,11,0.95,LOW,HIGH,modifier,Creative Commons gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
41,Channel.org,https://channel.org,47.2,39.2,8,0.9,LOW,MEDIUM,modifier,Channel.org gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
42,Mapped,https://mapped.commonknowledge.coop,47.2,39.2,8,0.95,LOW,MEDIUM,modifier,Mapped gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
43,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,47.2,39.2,8,0.9,LOW,MEDIUM,modifier,RxC Quadratic Voting gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
44,Talk to the City,https://talktothecity.org,47.2,39.2,8,0.95,LOW,MEDIUM,modifier,Talk to the City gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
45,Local Intelligence Hub,https://www.localintelligencehub.com,47.2,39.2,8,1.0,LOW,MEDIUM,modifier,Local Intelligence Hub gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
46,CKAN,https://ckan.org,47.1,43.1,4,0.9,LOW,HIGH,criteria,CKAN gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
47,Relational Tech Project,https://relationaltechproject.org,47.1,43.1,4,0.85,LOW,MEDIUM,criteria,Relational Tech Project gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
48,The Government Says,https://thegovernmentsays.com,47.1,43.1,4,0.9,LOW,MEDIUM,criteria,The Government Says gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
49,Campaign Tracker,https://www.campaigntracker.nl/en,46.3,35.3,11,0.95,LOW,MEDIUM,modifier,Campaign Tracker gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
50,Activist Handbook,https://activisthandbook.org,46.2,38.2,8,0.9,LOW,MEDIUM,modifier,Activist Handbook gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
51,Logos,https://logos.co,46.2,38.2,8,0.95,LOW,MEDIUM,modifier,Logos gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
52,FixMyStreet,https://www.fixmystreet.com,46.2,38.2,8,0.95,LOW,HIGH,modifier,FixMyStreet gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
53,Loomio,https://www.loomio.org,46.2,42.2,4,0.9,LOW,HIGH,criteria,Loomio gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
54,Participa (Podemos),https://github.com/podemos-info/participa,45.3,37.3,8,0.9,LOW,MEDIUM,modifier,Participa (Podemos) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
55,Open Council Data UK,https://opencouncildata.co.uk,45.3,37.3,8,0.85,LOW,MEDIUM,modifier,Open Council Data UK gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
56,Neighbourhood Warmth,https://www.mysociety.org/climate/neighbourhood-warmth,45.3,34.3,11,0.85,LOW,MEDIUM,modifier,Neighbourhood Warmth gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
57,TheyWorkForYou,https://www.theyworkforyou.com,45.3,37.3,8,0.9,LOW,HIGH,modifier,TheyWorkForYou gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
58,Fundación Ciudadanía Inteligente,https://ciudadaniai.org,45.2,41.2,4,0.9,LOW,MEDIUM,criteria,Fundación Ciudadanía Inteligente gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
59,docs.plus,https://docs.plus,45.2,41.2,4,0.9,LOW,MEDIUM,criteria,docs.plus gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
60,Open Heart Mind (OHM),https://openheartmind.org,45.2,41.2,4,0.9,LOW,MEDIUM,criteria,Open Heart Mind (OHM) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
61,Open Contracting Partnership,https://www.open-contracting.org,45.2,42.2,3,0.95,LOW,HIGH,criteria,Open Contracting Partnership gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
62,Ushahidi,https://www.ushahidi.com,45.2,41.2,4,0.9,LOW,HIGH,criteria,Ushahidi gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
63,Members' Interests,https://membersinterests.org.uk,45,38.2,8,0.8,LOW,MEDIUM,modifier,Members' Interests gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
64,PolicyKit,https://policykit.org,45,42.2,4,0.85,LOW,MEDIUM,criteria,PolicyKit gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
65,CoTech,https://coops.tech,44.3,36.3,8,0.95,LOW,MEDIUM,modifier,CoTech gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
66,Principles for Public Participation in Procurement of AI,https://p4ai.net,44.3,36.3,8,0.6,MEDIUM,LOW,modifier,Principles for Public Participation in Procurement of AI gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
67,Community Tech,https://www.communitytech.network,44.3,36.3,8,0.85,LOW,MEDIUM,modifier,Community Tech gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
68,Bonfire,https://bonfirenetworks.org,44.2,40.2,4,0.9,LOW,MEDIUM,criteria,Bonfire gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
69,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,44.2,40.2,4,0.6,MEDIUM,LOW,criteria,Agreement Engine gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
70,Open Standards for Data Guidebook,https://standards.theodi.org,44.2,40.2,4,0.9,LOW,MEDIUM,criteria,Open Standards for Data Guidebook gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
71,Framework for Meaningful Engagement 2.0,https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38,43.3,35.3,8,0.85,LOW,MEDIUM,modifier,Framework for Meaningful Engagement 2.0 gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
72,SecureDrop,https://securedrop.org,43.3,35.3,8,0.9,LOW,MEDIUM,modifier,SecureDrop gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
73,Your Priorities,https://yrpri.org,43.3,35.3,8,0.9,LOW,HIGH,modifier,Your Priorities gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
74,Mozilla Data Collective,https://datacollective.mozillafoundation.org,43.2,39.2,4,0.95,LOW,MEDIUM,criteria,Mozilla Data Collective gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
75,Interoperable Deliberative Tools,https://metagov.org/projects/interop,43.2,39.2,4,0.9,LOW,MEDIUM,criteria,Interoperable Deliberative Tools gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
76,Parliament Watch Uganda,https://parliamentwatch.ug,43.2,39.2,4,0.85,LOW,MEDIUM,criteria,Parliament Watch Uganda gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
77,Democracy Fund Open Source,https://www.dfos.com,43.2,39.2,4,0.85,LOW,MEDIUM,criteria,Democracy Fund Open Source gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
78,OpenCRVS,https://www.opencrvs.org,43.2,39.2,4,0.9,LOW,HIGH,criteria,OpenCRVS gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
79,Open Ownership,https://www.openownership.org,43.2,39.2,4,0.9,LOW,MEDIUM,criteria,Open Ownership gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
80,WhatDoTheyKnow,https://www.whatdotheyknow.com,43.2,39.2,4,0.9,LOW,MEDIUM,criteria,WhatDoTheyKnow gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
81,CivicPress,https://civicpress.io,43.1,43.1,0,0.9,LOW,MEDIUM,criteria,"CivicPress does useful work that partially overlaps with what I care about, but it does not hit the core of my criteria — either the civic engagement component is indirect, or the data-for-good aspect is secondary to its main mission."
82,Open Supply Hub,https://opensupplyhub.org,43.1,43.1,0,0.95,LOW,MEDIUM,criteria,"Open Supply Hub does useful work that partially overlaps with what I care about, but it does not hit the core of my criteria — either the civic engagement component is indirect, or the data-for-good aspect is secondary to its main mission."
83,Parse The Bill,https://parsethebill.com,42.4,31.4,11,0.85,LOW,MEDIUM,modifier,Parse The Bill gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
84,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,42.3,34.3,8,0.95,LOW,HIGH,modifier,Democracy Club Developer API gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
85,Open Letter,https://openletter.earth,42.3,34.3,8,0.85,LOW,MEDIUM,modifier,Open Letter gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
86,oTree,https://www.otree.org,42.3,34.3,8,0.9,LOW,MEDIUM,modifier,oTree gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
87,Bellingcat Online Investigation Toolkit,https://bellingcat.gitbook.io/toolkit,42.2,38.2,4,0.95,LOW,MEDIUM,criteria,Bellingcat Online Investigation Toolkit gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
88,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,42.2,38.2,4,0.9,LOW,MEDIUM,criteria,Political Advertising Transparency Data Standard gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
89,Murmurations Protocol,https://murmurations.network,42.2,38.2,4,0.95,LOW,MEDIUM,criteria,Murmurations Protocol gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
90,One Project,https://oneproject.org,42.2,38.2,4,0.9,LOW,MEDIUM,criteria,One Project gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
91,GovTrack.us,https://www.govtrack.us,42.2,38.2,4,0.95,LOW,HIGH,criteria,GovTrack.us gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
92,Collaborative Data Patterns,https://collaborative-data.theodi.org,41.3,33.3,8,0.85,LOW,MEDIUM,modifier,Collaborative Data Patterns gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
93,vTaiwan,https://github.com/g0v/vue.vtaiwan.tw,41.3,37.3,4,0.9,LOW,MEDIUM,criteria,vTaiwan gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
94,Awesome UK Government Datasets,https://github.com/i-dot-ai/awesome-gov-datasets,41.3,34.3,7,0.95,LOW,MEDIUM,modifier,Awesome UK Government Datasets gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
95,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,41.3,37.3,4,0.95,LOW,MEDIUM,criteria,postcodes.io gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
96,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,41.3,33.3,8,0.95,LOW,MEDIUM,modifier,Groupthink (OpenPolitics Votebot) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
97,Harmonica,https://harmonica.chat,41.3,33.3,8,0.85,LOW,MEDIUM,modifier,Harmonica gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
98,Humble Data Workshop,https://humbledata.org,41.3,33.3,8,0.95,LOW,MEDIUM,modifier,Humble Data Workshop gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
99,Monitor Mamdani,https://monitormamdani.com,41.3,37.3,4,0.9,LOW,HIGH,criteria,Monitor Mamdani gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
100,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,41.3,37.3,4,0.8,LOW,MEDIUM,criteria,Open Access – Transparency International UK gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
101,PlanIT,https://planit.org.uk,41.3,33.3,8,0.6,MEDIUM,LOW,modifier,PlanIT gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
102,UrbanistAI,https://site.urbanistai.com,41.3,33.3,8,0.85,LOW,MEDIUM,modifier,UrbanistAI gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
103,WardWatch,https://wardwatch.uk,41.3,33.3,8,0.85,LOW,MEDIUM,modifier,WardWatch gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
104,Papertree,https://www.papertree.earth,41.3,37.3,4,0.7,MEDIUM,LOW,criteria,Papertree gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
105,WriteToThem,https://www.writetothem.com,41.3,33.3,8,0.9,LOW,MEDIUM,modifier,WriteToThem gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
106,GRIM (Global Risk Simulator),https://github.com/sentinelteam/grim,40.4,29.4,11,1.0,LOW,HIGH,modifier,GRIM (Global Risk Simulator) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
107,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,40.3,36.3,4,0.9,LOW,MEDIUM,criteria,OpenElections Leaflet Scraper and Parser gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
108,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,40.3,36.3,4,0.9,LOW,MEDIUM,criteria,The DAO (Standard DAO Framework) gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
109,Manifold Markets,https://manifold.markets,40.3,33.3,7,0.9,LOW,MEDIUM,modifier,Manifold Markets gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
110,Open Referral UK,https://openreferraluk.org,40.3,36.3,4,0.9,LOW,MEDIUM,criteria,Open Referral UK gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
111,OpenSanctions,https://www.opensanctions.org,40.3,37.3,3,0.9,LOW,MEDIUM,criteria,OpenSanctions gets a moderate score on raw criteria but benefits from modifier boosts — likely European context or creative methodology. The base civic engagement and data work is solid if unspectacular.
112,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,39.4,28.4,11,0.9,LOW,MEDIUM,modifier,"Cybersecurity for Democracy exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
113,Ethelo,https://ethelo.com,39.4,31.4,8,0.95,LOW,MEDIUM,modifier,"Ethelo exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
114,Go Vocal,https://www.govocal.com,39.4,31.4,8,0.9,LOW,MEDIUM,modifier,"Go Vocal exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
115,MP Watch,https://www.mpwatch.org,39.4,31.4,8,0.9,LOW,MEDIUM,modifier,"MP Watch exists at the margin of my constitutional interests. It is not civic infrastructure, not focused on participatory democracy, and does not primarily use data for social good — so the criteria give it limited traction."
