"rank","project_name","url","score","criteria_score","modifier_adj","dossier_completeness","uncertainty","popularity_risk","primary_driver","rationale"
"11","Fundación Ciudadanía Inteligente","https://ciudadaniai.org","73.2","65.2","8","0.95","LOW","MEDIUM","criteria","Fundación Ciudadanía Inteligente earns a solid mid-to-high placement serving citizens, civil society organizations, local governments. Fundación Ciudadanía Inteligente addresses democratic participation and citizen engagement. Latin Am.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"12","CiviCRM","https://civicrm.org","72.5","62.5","10","0.95","LOW","HIGH","modifier","CiviCRM earns a solid mid-to-high placement serving nonprofits, NGOs, advocacy organizations. Addresses barriers to meaningful citizen participation in democratic decision-making by providing to.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"13","Cobudget","https://cobudget.com","72.2","57.2","15","0.95","LOW","MEDIUM","modifier","Participatory budgeting done well creates genuine voice over resource allocation — not just consultation but consequential co-decision. Cobudget's cooperative origins and open-source model give it credibility. The adoption evidence shows real cooperatives and organisations using it for genuine allocation decisions, not just pilot exercises."
"14","Discourse","https://www.discourse.org","71.3","56.3","15","0.94","LOW","HIGH","modifier","Discourse is in an interesting position: it's widely used, open-source, and designed for genuine community deliberation — but it's not civic technology in a narrow sense. The participation architecture has strengths (moderation tools, threading, community governance plugins) and weaknesses (default hierarchies can reproduce dominant-voice dynamics). The score reflects solid constitutional fit on participation architecture dimensions despite some hesitations."
"15","Logos","https://logos.co/","70.6","55.6","15","1.0","LOW","MEDIUM","modifier","Logos earns a solid mid-to-high placement serving builders, engineers, artists. Logos addresses protecting digital rights and privacy and enabling broader democratic participation..... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"16","Participa (Podemos)","https://github.com/podemos-info/participa","70.4","55.4","15","0.95","LOW","MEDIUM","modifier","Participa earns a solid mid-to-high placement serving Podemos party members, Spanish citizens, political activists. Participa (Podemos) addresses gaps in democratic participation by providing tools or platforms that .... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"17","Your Priorities","https://yrpri.org","69.6","59.6","10","0.95","LOW","MEDIUM","modifier","Your Priorities' use in Iceland for participatory city planning is the kind of deployment evidence I find most credible — a real government making real resource allocation decisions using the platform. The open-source model and long deployment history earn implementation credibility. The participation architecture could be stronger on anti-dominance features, but the sustained adoption record is hard to ignore."
"18","Turkopticon","https://turkopticon.ucsd.edu","69.2","59.2","10","0.94","LOW","HIGH","modifier","Turkopticon is doing something important that my constitution almost misses: it creates worker voice infrastructure in a context — gig economy labour — where workers have almost no formal recourse. The peer-review mechanism is exactly the kind of collective sense-making I value. The adversarial framing (rating employers) sits in tension with my facilitation philosophy, but the voice-equalisation purpose overrides that concern here."
"19","Loomio","https://www.loomio.org","67.9","57.9","10","0.94","LOW","HIGH","modifier","Loomio occupies a specific niche I value: structured asynchronous decision-making for groups who can't always meet synchronously. The consent-based decision model (not consensus — consent) reflects a nuanced understanding of group dynamics that most collaboration tools miss. The cooperatively owned model is a plus. My reservation is that the medium (text-based deliberation) can exclude people who communicate better in other modes."
"20","Polis","https://github.com/compdemocracy/polis","67.3","57.3","10","0.95","LOW","MEDIUM","modifier","Polis's approach to structured disagreement — using machine learning to surface clusters of opinion rather than forcing consensus — aligns with my facilitation practice more than most voting tools. I run events where the goal is not agreement but legibility of the disagreement landscape. The Taiwan use case (vTaiwan) is the most powerful evidence of real-world deployment in high-stakes contexts."
"21","vTaiwan","https://github.com/g0v/vue.vtaiwan.tw","67.1","52.1","15","0.94","LOW","MEDIUM","modifier","The vTaiwan process is the closest thing in this list to structured Open Space Technology at a national scale — agenda emergence from the population rather than imposition by organisers. The documented use in Uber regulation and other contested policy areas shows it can hold genuine conflict rather than sanitising it. The constitutional fit is high; my uncertainty is whether the Taiwanese context translates to other governance cultures."
"22","Ushahidi","https://www.ushahidi.com","66.8","61.8","5","0.95","LOW","HIGH","criteria","Ushahidi earns a solid mid-to-high placement serving citizens, community groups, governments. Ushahidi addresses democratic participation and citizen engagement. Crowdsourcing Solutions to Empow.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"23","Groupthink (OpenPolitics Votebot)","https://github.com/openpolitics/groupthink","66.0","56.0","10","0.98","LOW","MEDIUM","modifier","A votebot for parliamentary-style group decision-making is an interesting structural choice — it formalises the procedural rules rather than leaving them implicit. The GitHub-native model limits the audience (you need to be comfortable with git workflows), which creates an access barrier that sits in tension with my voice-equality values. The open-source model and long development history are positives."
"24","adhocracy+","https://adhocracy.plus","65.7","55.7","10","0.96","LOW","MEDIUM","modifier","adhocracy+'s explicit focus on participatory processes for public institutions — rather than just open forums — gives it specificity I value. The German-speaking context and civic deployment record is strong. My main concern is whether the structured deliberation workflows create sufficient psychological safety for minority voices, or whether they formalise majority dynamics in a new register."
"25","mySociety Datasets and APIs","https://data.mysociety.org","65.0","60.0","5","0.95","LOW","HIGH","criteria","mySociety Datasets and APIs earns a solid mid-to-high placement serving researchers, journalists, citizens. mySociety Datasets and APIs addresses enabling broader democratic participation and improving govern.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"26","Go Vocal","https://www.govocal.com","64.4","49.4","15","0.98","LOW","MEDIUM","modifier","Participation platforms built specifically for local government processes have to navigate the tension between genuine participation and institutional legitimacy. Go Vocal has clearly thought about this — the deployment record with European municipalities shows it has been adopted by institutions with real accountability requirements. My concern is whether the commercial model creates pressures toward participation-washing rather than genuine co-design."
"27","Open Data Editor (ODE)","https://okfn.org/en/projects/open-data-editor/","63.9","53.9","10","0.98","LOW","MEDIUM","modifier","Open Data Editor earns a solid mid-to-high placement serving nonprofits, data journalists, activists. Open Data Editor (ODE) addresses the civic need for government transparency and open data access, en.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"28","Relational Tech Project","https://relationaltechproject.org","63.9","46.9","17","1.0","LOW","MEDIUM","modifier","The 'relational' framing in civic technology is unusual and resonates with my practice — most tools treat participation as information exchange, not relationship-building. The project's attention to the quality of connection between participants, not just the outcomes of deliberation, aligns with my IFS understanding that safety and trust are prerequisites for genuine voice. Early stage with limited deployment evidence, but the theoretical frame is among the strongest in the list."
"29","CoTech","https://coops.tech","63.8","48.8","15","0.98","LOW","MEDIUM","modifier","CoTech as cooperative infrastructure for technologists building civic tools is interesting — it's a second-order intervention, creating the organisational conditions for good tools to be built rather than building a tool itself. The peer-learning dimension is high. What I can't assess confidently is whether the cooperative model has actually changed the tools being built or just the ownership structure."
"30","Open Heart Mind (OHM)","https://openheartmind.org","63.7","43.7","20","0.96","LOW","MEDIUM","modifier","Open Heart Mind is doing something unusual: applying contemplative practice frameworks to community governance. The resonance with my IFS and facilitation practice is obvious. The question I can't answer from the dossier is whether the contemplative framing makes it less accessible to communities without that background — or whether it genuinely helps groups hold conflict differently."
"31","Tracka","https://yourtracka.org","63.5","58.5","5","1.0","LOW","MEDIUM","criteria","Tracka earns a solid mid-to-high placement serving citizens, community members, civil society organizations. Tracka addresses democratic participation and citizen engagement. Monitor the status of federal and .... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"32","deliberAIde","https://www.deliberaide.com","63.4","48.4","15","0.96","LOW","MEDIUM","modifier","AI-assisted deliberation is an area where I have both interest and scepticism. The promise is making facilitation scalable; the risk is that AI mediates group dynamics in ways that reproduce biases from training data. deliberAIde's approach seems thoughtful about the second problem, which earns credit. The participation architecture design — using AI to surface rather than synthesise — aligns with how I think about the facilitator's role."
"33","CrowdJustice","https://www.crowdjustice.com","63.2","53.2","10","1.0","LOW","MEDIUM","modifier","CrowdJustice earns a solid mid-to-high placement serving citizens, campaigners, legal advocates. Addresses barriers to meaningful citizen participation in democratic decision-making by providing to.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"34","Open Council Network","https://opencouncil.network","63.1","53.1","10","0.95","LOW","MEDIUM","modifier","Open Council Network earns a solid mid-to-high placement serving citizens, researchers, campaigners. Open Council Network addresses gaps in democratic participation by providing tools or platforms that.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"35","Guardian Project","https://guardianproject.info","62.7","52.7","10","0.95","LOW","HIGH","modifier","Guardian Project earns a solid mid-to-high placement serving journalists, activists, human rights defenders. Guardian Project addresses the civic problem of supporting human rights documentation and accountabi.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"36","Creative Commons","https://creativecommons.org","62.5","52.5","10","0.96","LOW","MEDIUM","modifier","Creative Commons earns a solid mid-to-high placement serving educators, researchers, artists. Addresses challenges in legal access and justice by serving educators, researchers, artists.. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"37","TheyWorkForYou","https://www.theyworkforyou.com","62.5","52.5","10","0.95","LOW","MEDIUM","modifier","TheyWorkForYou earns a solid mid-to-high placement serving citizens, researchers, journalists. TheyWorkForYou addresses democratic participation and citizen engagement. Hansard and Official Repor.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"38","Tor Project","https://www.torproject.org","62.5","57.5","5","0.95","LOW","HIGH","criteria","Tor Project earns a solid mid-to-high placement serving journalists, activists, researchers. Tor Project addresses digital rights and online freedoms. Anonymity Online - Advance human rights an.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"39","Activist Handbook","https://activisthandbook.org/","62.3","52.3","10","0.93","LOW","MEDIUM","modifier","Activist Handbook earns a solid mid-to-high placement serving activists, campaigners, nonprofit organizations. Addresses barriers to meaningful citizen participation in democratic decision-making by providing to.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"40","Interoperable Deliberative Tools","https://metagov.org/projects/interop","61.8","46.8","15","0.96","LOW","MEDIUM","modifier","Interoperability between deliberative tools is a systems-level intervention that interests me — the problem isn't usually that good tools don't exist, it's that they don't connect to each other or to formal governance processes. The Metagov project's academic and open-source orientation aligns with my values. The early-stage uncertainty is real, but the constitutional fit for the theory of change is high."
"41","RxC Quadratic Voting","https://quadraticvote.radicalxchange.org","61.1","56.1","5","0.96","LOW","MEDIUM","criteria","Quadratic voting is one of the more sophisticated formal governance mechanisms in this list — it addresses preference intensity, not just binary yes/no. The constitutional fit is genuine but limited: I can evaluate whether the participation architecture creates voice equality (partly yes) but cannot evaluate the sophistication of the underlying mechanism design. That's a gap I should acknowledge."
"42","GlobaLeaks","https://www.globaleaks.org","60.5","60.5","0","0.96","LOW","HIGH","criteria","GlobaLeaks scores well on privacy-by-design — the architecture is genuinely consent-first, protecting sources rather than treating privacy as a compliance checkbox. The adversarial framing (whistleblowing) creates a modifier reduction, but the underlying facilitation value — creating genuine safety for minority voices to speak — is strongly present. The open-source model confirms alignment with community governance values."
"43","Agencies for Good","https://www.agenciesforgood.org","60.4","45.4","15","0.98","LOW","MEDIUM","modifier","Agencies for Good earns a solid mid-to-high placement serving tech agencies, consultancies, freelancers. Addresses barriers to meaningful citizen participation in democratic decision-making by providing to.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"44","Principles for Public Participation in Procurement of AI","https://p4ai.net","60.1","50.1","10","0.94","LOW","MEDIUM","modifier","Principles for Public Participation in Procurement of AI earns a solid mid-to-high placement serving policymakers, government procurement officials, civil society. Principles for Public Participation in Procurement of AI addresses democratic participation and citi.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"45","Constitute Project","https://constituteproject.org","59.8","49.8","10","0.96","LOW","MEDIUM","modifier","Constitute Project earns a solid mid-to-high placement serving researchers, constitutional courts, educators. Addresses barriers to meaningful citizen participation in democratic decision-making by providing to.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"46","Framework for Meaningful Engagement 2.0","https://ecnl.org/publications/framework-meaningful-engagement-20?mc_cid=b1c5158063&mc_eid=a09c64ec38","59.8","47.8","12","0.96","LOW","MEDIUM","modifier","Framework for Meaningful Engagement 2.0 earns a solid mid-to-high placement serving Civil society organizations, AI developers, Affected communities. Framework for Meaningful Engagement 2.0 addresses civic technology. Practical suggestions on how to .... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"47","Open Letter","https://openletter.earth","59.7","49.7","10","0.98","LOW","MEDIUM","modifier","Open Letter earns a solid mid-to-high placement serving citizens, campaigners, advocacy groups. Open Letter addresses gaps in democratic participation by providing tools or platforms that enable c.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"48","Organise","https://www.organise.org.uk","59.7","49.7","10","0.96","LOW","MEDIUM","modifier","Organise earns a solid mid-to-high placement serving workers, employees, self-employed individuals. Organise addresses gaps in democratic participation by providing tools or platforms that enable citi.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"49","Abstract Wikipedia","https://meta.wikimedia.org/wiki/abstract_wikipedia","59.4","49.4","10","0.98","LOW","MEDIUM","modifier","Abstract Wikipedia earns a solid mid-to-high placement serving researchers, citizens, editors. Addresses information asymmetry by improving access to structured knowledge and civic data for infor.... The open-source commitment matters to me — it means the governance of the tool itself models the participatory values it claims to enable. My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"50","GovTrack.us","https://www.govtrack.us","58.5","55.5","3","0.96","LOW","HIGH","criteria","GovTrack.us earns a solid mid-to-high placement serving citizens, journalists, researchers. GovTrack.us addresses democratic participation and citizen engagement. Tracking the U.S. Congress an.... My main limitation is assessing whether the participation architecture creates genuine safety for minority voices rather than just providing a forum for majority views."
"51","Channel.org","https://channel.org","58.3","48.3","10","0.57","MEDIUM","LOW","modifier","Channel.org addresses a genuine need in the civic technology space. The participatory_democracy, media_journalism, digital_rights focus serves communities, particularly organizations, content creators, communities, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"52","Granitt","https://granitt.io","57.9","42.9","15","0.98","LOW","MEDIUM","modifier","Granitt addresses a genuine need in the civic technology space. The govtech, civic_data, participatory_democracy focus serves communities, particularly government agencies, civic organizations, citizens, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"53","Tech Coops List","https://tech-coops.xyz","57.9","42.9","15","0.98","LOW","MEDIUM","modifier","Tech Coops List addresses a genuine need in the civic technology space. The participatory_democracy, civic_data focus serves communities, particularly technology workers, freelancers, cooperative enterprises, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2014 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"54","Find local consultations","https://gov.uk/find-local-consultations","57.8","42.8","15","0.98","LOW","MEDIUM","modifier","Find local consultations addresses a genuine need in the civic technology space. The participatory_democracy, govtech, civic_data focus serves communities, particularly citizens, local councils, residents, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2014 origins give it real deployment history; Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"55","Mastodon C","https://www.mastodonc.com","57.6","52.6","5","0.95","LOW","HIGH","criteria","Federated social infrastructure is important civic technology, and Mastodon has actually deployed it at scale in a way that ActivityPub-based projects before it didn't manage. The community governance model — each instance governed by its own rules — is a genuine participation architecture experiment. My uncertainty is whether the federation model creates legible governance for ordinary users or just shifts complexity to a different layer."
"56","Cybersecurity for Democracy","https://cybersecurityfordemocracy.org","57.5","45.5","12","0.95","LOW","MEDIUM","modifier","Cybersecurity for Democracy addresses a genuine need in the civic technology space. The Cybersecurity, Platform Transparency, Algorithm Accountability focus serves communities, particularly Researchers, Policymakers, Platform Regulators, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"57","Parti","https://parti.xyz","57.5","52.5","5","0.98","LOW","MEDIUM","criteria","Parti addresses a genuine need in the civic technology space. The participatory_democracy, civic_data, advocacy_tech focus serves communities, particularly citizens, civic organizations, local governments, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2012 origins give it real deployment history; Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"58","Community Tech","https://www.communitytech.network","56.9","46.9","10","0.98","LOW","MEDIUM","modifier","Community Tech addresses a genuine need in the civic technology space. The participatory_democracy, civic_data, digital_rights focus serves communities, particularly community organisations, local communities, citizens, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"59","WriteToThem","https://www.writetothem.com","56.7","46.7","10","0.96","LOW","MEDIUM","modifier","WriteToThem addresses a genuine need in the civic technology space. The participatory_democracy, govtech, advocacy_tech focus serves communities, particularly citizens, campaigners, constituents, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2001 origins give it real deployment history; Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"60","Humanitarian OpenStreetMap Team (HOT)","https://www.hotosm.org","56.6","51.6","5","0.95","LOW","HIGH","criteria","Humanitarian OpenStreetMap Team addresses a genuine need in the civic technology space. The civic_data, participatory_democracy, govtech focus serves communities, particularly humanitarian organizations, development agencies, government partners, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2010 origins give it real deployment history; Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"61","Land Explorer","https://landexplorer.coop","56.3","46.3","10","0.98","LOW","MEDIUM","modifier","Land Explorer addresses a genuine need in the civic technology space. The civic_data, participatory_democracy focus serves communities, particularly community organizations, land trusts, neighborhood planners, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"62","Pursuance Project","https://pursuanceproject.org","56.1","51.1","5","0.96","LOW","MEDIUM","criteria","Pursuance Project addresses a genuine need in the civic technology space. The participatory_democracy, advocacy_tech, digital_rights focus serves communities, particularly activists, nonprofits, charities, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2016 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"63","All Our Ideas","https://all-our-ideas.citizens.is","55.8","45.8","10","0.95","LOW","MEDIUM","modifier","All Our Ideas addresses a genuine need in the civic technology space. The participatory_democracy, civic_data focus serves communities, particularly citizens, policymakers, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2009 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"64","PolicyEngine","https://policyengine.org/uk","55.8","50.8","5","0.96","LOW","MEDIUM","criteria","PolicyEngine addresses a genuine need in the civic technology space. The govtech, civic_data, advocacy_tech focus serves communities, particularly policymakers, researchers, citizens, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"65","Aleph (OCCRP)","https://aleph.occrp.org","55.7","45.7","10","0.98","LOW","MEDIUM","modifier","Aleph addresses a genuine need in the civic technology space. The media_journalism, civic_data, digital_rights focus serves communities, particularly investigative journalists, civil society researchers, activists, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2014 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"66","Pastecal","https://github.com/kazad/pastecal","55.3","45.3","10","0.98","LOW","MEDIUM","modifier","Pastecal addresses a genuine need in the civic technology space. The civic_data, participatory_democracy focus serves communities, particularly citizens, organizers, collaborative groups, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"67","Cortico","https://cortico.ai/platform","54.9","46.9","8","0.94","LOW","MEDIUM","modifier","Cortico addresses a genuine need in the civic technology space. The participatory_democracy, civic_data focus serves communities, particularly municipalities, community organizations, newsrooms, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"68","Coral","https://coralproject.net","54.2","54.2","0","0.95","LOW","HIGH","criteria","Coral addresses a genuine need in the civic technology space. The media_journalism, digital_rights focus serves communities, particularly newsrooms, journalists, online readers, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2015 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"69","Participedia","https://participedia.net","54.1","49.1","5","0.96","LOW","MEDIUM","criteria","Participedia addresses a genuine need in the civic technology space. The democratic innovation, public participation, participatory governance focus serves communities, particularly researchers, practitioners, policymakers, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2009 origins give it real deployment history; The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"70","Collaborative Data Patterns","https://collaborative-data.theodi.org","53.5","38.5","15","0.98","LOW","MEDIUM","modifier","Collaborative Data Patterns addresses a genuine need in the civic technology space. The civic_data, participatory_democracy focus serves communities, particularly data practitioners, organizations, communities, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. 2016 origins give it real deployment history; Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
"71","Agreement Engine","https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c","53.4","43.4","10","0.9","LOW","MEDIUM","modifier","Agreement Engine addresses a genuine need in the civic technology space. The participatory_democracy, govtech focus serves communities, particularly researchers, governance practitioners, digital communities, but the participation architecture — the structural mechanisms for equalising voice and ensuring genuine co-decision — is limited compared to what I weight most. The open-source model matters for community ownership. Solid work that my constitution scores in the middle tier because the evidence of humans redesigning power dynamics (rather than just accessing information) is partial."
