Rank,Project,URL,Score,Criteria Score,Modifier Adj,Dossier Completeness,Uncertainty,Popularity Risk,Primary Driver,Rationale
13,Activist Handbook,https://activisthandbook.org/,56,39.2,17,0.93,LOW,LOW,modifier,Activist Handbook aligns well with my campaign-focused criteria.
14,Pursuance Project,https://pursuanceproject.org,56,39.2,17,0.96,LOW,LOW,modifier,Pursuance Project aligns well with my campaign-focused criteria.
15,Strike Map,https://strikemap.org,56,41.2,15,0.98,LOW,LOW,modifier,What draws me to Strike Map is its campaign relevance — exactly what progressive campaigns need.
16,Turkopticon,https://turkopticon.ucsd.edu,55,39.2,16,0.94,LOW,LOW,modifier,Turkopticon scores 55 through its constitutional fit. Modifiers boost further.
17,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,54,39.2,15,0.98,LOW,LOW,modifier,Landlord Tech Watch scores 54 through its constitutional fit. Modifiers boost further.
18,Open Letter,https://openletter.earth,54,45.1,9,0.98,LOW,LOW,criteria,Open Letter aligns well with my campaign-focused criteria.
19,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,53,37.3,16,0.93,LOW,LOW,modifier,I see potential in Hand-Written Petition Scanner — evidence supports this ranking.
20,OpenElections Leaflet Scraper and Parser,https://github.com/thicknavyrain/uk_elections_leaflets,53,40.2,13,0.98,LOW,LOW,modifier,OpenElections Leaflet Scraper and Parser aligns well with my campaign-focused criteria.
21,PolicyEngine,https://policyengine.org/uk,53,34.3,19,0.96,LOW,LOW,modifier,What draws me to PolicyEngine is its campaign relevance — exactly what progressive campaigns need.
22,HURIDOCS,https://github.com/huridocs,52,32.4,20,0.95,LOW,LOW,modifier,What draws me to HURIDOCS is its campaign relevance — exactly what progressive campaigns need.
23,The Commons Social Change Library,https://commonslibrary.org,52,43.1,9,0.98,LOW,LOW,criteria,The Commons Social Change Library aligns well with my campaign-focused criteria.
24,Bluesky,https://bsky.app,51,35.3,16,0.95,LOW,HIGH,modifier,What draws me to Bluesky is its campaign relevance — exactly what progressive campaigns need. Popularity risk HIGH.
25,Civic Tech Field Guide,https://civictech.guide,51,40.2,11,0.94,LOW,LOW,criteria,I see potential in Civic Tech Field Guide — evidence supports this ranking.
26,DemTech Navigator,https://navigator.oii.ox.ac.uk,51,44.1,7,0.98,LOW,LOW,criteria,DemTech Navigator scores 51 through its constitutional fit. Modifiers boost further.
27,Mapped,https://mapped.commonknowledge.coop,51,36.3,15,0.98,LOW,LOW,modifier,What draws me to Mapped is its campaign relevance — exactly what progressive campaigns need.
28,Open Council Network,https://opencouncil.network,51,34.3,17,0.95,LOW,LOW,modifier,I see potential in Open Council Network — evidence supports this ranking.
29,Talk to the City,https://talktothecity.org,51,34.3,17,0.98,LOW,LOW,modifier,Talk to the City aligns well with my campaign-focused criteria.
30,CiviCRM,https://civicrm.org,50,33.3,17,0.95,LOW,LOW,modifier,CiviCRM scores 50 through its constitutional fit. Modifiers boost further.
31,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,50,34.3,16,0.98,LOW,LOW,modifier,Community Notes (Birdwatch) Analysis Tool scores 50 through its constitutional fit. Modifiers boost further.
32,DoNotPay,https://www.donotpay.com,50,39.2,11,0.96,LOW,LOW,criteria,What draws me to DoNotPay is its civic potential — though direct campaign fit is limited.
33,GlobaLeaks,https://www.globaleaks.org,50,31.4,19,0.96,LOW,LOW,modifier,What draws me to GlobaLeaks is its civic potential — though direct campaign fit is limited.
34,Local Intelligence Hub,https://www.localintelligencehub.com,50,39.2,11,1.0,LOW,LOW,criteria,I see potential in Local Intelligence Hub — evidence supports this ranking.
35,Missing Numbers,https://missingnumbers.org,50,39.2,11,0.98,LOW,LOW,criteria,Missing Numbers partially fits my campaign-focused criteria.
36,Pastecal,https://github.com/kazad/pastecal,50,35.3,15,0.98,LOW,LOW,modifier,Pastecal scores 50 through its constitutional fit. Modifiers boost further.
37,PlaceCal,https://github.com/geeksforsocialchange/placecal,50,35.3,15,0.98,LOW,LOW,modifier,PlaceCal partially fits my campaign-focused criteria.
38,ShineYourEye,https://www.shineyoureye.org,50,38.2,12,1.0,LOW,LOW,modifier,What draws me to ShineYourEye is its civic potential — though direct campaign fit is limited.
39,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,50,41.2,9,0.93,LOW,LOW,criteria,Violation Tracker UK partially fits my campaign-focused criteria.
40,Guardian Project,https://guardianproject.info,49,29.4,20,0.95,LOW,HIGH,modifier,I see potential in Guardian Project — evidence supports this ranking. Popularity risk HIGH.
41,LiquidFeedback,https://liquidfeedback.com,49,32.4,17,0.95,LOW,LOW,modifier,LiquidFeedback scores 49 through its constitutional fit. Modifiers boost further.
42,Mozilla Data Collective,https://datacollective.mozillafoundation.org/,49,34.3,15,0.98,LOW,LOW,modifier,I see potential in Mozilla Data Collective — evidence supports this ranking.
43,Ushahidi,https://www.ushahidi.com,49,30.4,19,0.95,LOW,LOW,modifier,Ushahidi scores 49 through its constitutional fit. Modifiers boost further.
44,Atlas of Surveillance,https://atlasofsurveillance.org,48,31.4,17,0.96,LOW,LOW,modifier,Atlas of Surveillance scores 48 through its constitutional fit. Modifiers boost further.
45,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,48,40.2,8,0.93,LOW,LOW,criteria,I see potential in COTSI (Cyber Operational Threat Situational Intelligence) — evidence supports this ranking.
46,Give Food,https://www.givefood.org.uk,48,35.3,13,1.0,LOW,LOW,modifier,I see potential in Give Food — evidence supports this ranking.
47,Global Fact-Check Bot (GFC),https://globalfactcheck.bot/,48,45.1,3,0.98,LOW,LOW,criteria,Global Fact-Check Bot (GFC) partially fits my campaign-focused criteria.
48,Monitor Mamdani,https://monitormamdani.com/,48,39.2,9,1.0,LOW,LOW,criteria,Monitor Mamdani partially fits my campaign-focused criteria.
49,Sugartrail,https://github.com/ribenamaplesyrup/sugartrail,48,35.3,13,0.98,LOW,LOW,modifier,I see potential in Sugartrail — evidence supports this ranking.
50,Open Contracting Partnership,https://www.open-contracting.org,47,30.4,17,0.97,LOW,LOW,modifier,Open Contracting Partnership scores 47 through its constitutional fit. Modifiers boost further.
51,OpenAudience,https://openaudience.org,47,38.2,9,0.98,LOW,LOW,criteria,OpenAudience partially fits my campaign-focused criteria.
52,Rahvaalgatus,https://github.com/rahvaalgatus/rahvaalgatus,47,34.3,13,0.96,LOW,LOW,modifier,What draws me to Rahvaalgatus is its civic potential — though direct campaign fit is limited.
53,Tracka,https://yourtracka.org,47,38.2,9,1.0,LOW,LOW,criteria,Tracka partially fits my campaign-focused criteria.
54,Alaveteli,https://alaveteli.org,46,26.5,20,0.96,LOW,LOW,modifier,Alaveteli partially fits my campaign-focused criteria.
55,Consent-O-Matic,https://github.com/cavi-au/consent-o-matic,46,27.5,19,0.98,LOW,LOW,modifier,What draws me to Consent-O-Matic is its civic potential — though direct campaign fit is limited.
56,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,46,32.4,14,0.97,LOW,LOW,modifier,Democracy Club Developer API scores 46 through its constitutional fit. Modifiers boost further.
57,DoGooder,https://dogooder.co,46,35.3,11,0.95,LOW,LOW,modifier,DoGooder partially fits my campaign-focused criteria.
58,Humanitarian OpenStreetMap Team (HOT),https://www.hotosm.org,46,26.5,19,0.95,LOW,LOW,modifier,Humanitarian OpenStreetMap Team (HOT) scores 46 through its constitutional fit. Modifiers boost further.
59,Relational Tech Project,https://relationaltechproject.org,46,31.4,15,1.0,LOW,LOW,modifier,Relational Tech Project scores 46 through its constitutional fit. Modifiers boost further.
60,Timecounts,https://timecounts.org,46,37.3,9,0.98,LOW,LOW,criteria,I see potential in Timecounts — evidence supports this ranking.
61,WhatDoTheyKnow,https://www.whatdotheyknow.com,46,26.5,19,0.95,LOW,LOW,modifier,WhatDoTheyKnow partially fits my campaign-focused criteria.
62,docs.plus,https://docs.plus,46,31.4,15,0.68,LOW,LOW,modifier,I see potential in docs.plus — evidence supports this ranking.
63,Open Ownership,https://www.openownership.org,45,30.4,15,0.95,LOW,LOW,modifier,I see potential in Open Ownership — evidence supports this ranking.
64,OpenBudgets.eu,https://openbudgets.eu,45,34.3,11,0.85,LOW,LOW,modifier,OpenBudgets.eu partially fits my campaign-focused criteria.
65,OpenSanctions,https://www.opensanctions.org,45,30.4,15,0.95,LOW,LOW,modifier,OpenSanctions scores 45 through its constitutional fit. Modifiers boost further.
66,TheyWorkForYou,https://www.theyworkforyou.com,45,28.4,17,0.95,LOW,LOW,modifier,What draws me to TheyWorkForYou is its civic potential — though direct campaign fit is limited.
67,CrowdJustice,https://www.crowdjustice.com,44,33.3,11,1.0,LOW,LOW,modifier,CrowdJustice partially fits my campaign-focused criteria.
68,Discourse,https://www.discourse.org,44,24.5,19,0.94,LOW,HIGH,modifier,Discourse partially fits my campaign-focused criteria. Popularity risk HIGH.
69,LittleSis,https://littlesis.org,44,23.5,20,0.97,LOW,LOW,modifier,I see potential in LittleSis — evidence supports this ranking.
70,Loomio,https://www.loomio.org,44,24.5,19,0.95,LOW,LOW,modifier,Loomio scores 44 through its constitutional fit. Modifiers boost further.
71,Mastodon C,https://www.mastodonc.com,44,24.5,19,0.95,LOW,LOW,modifier,What draws me to Mastodon C is its civic potential — though direct campaign fit is limited.
72,ODK (Open Data Kit),https://getodk.org,44,24.5,19,0.95,LOW,LOW,modifier,I see potential in ODK (Open Data Kit) — evidence supports this ranking.
73,OSINT Framework,https://osintframework.com,44,29.4,15,0.98,LOW,HIGH,modifier,OSINT Framework scores 44 through its constitutional fit. Modifiers boost further. Popularity risk HIGH.
74,Participa (Podemos),https://github.com/podemos-info/participa,44,31.4,13,0.95,LOW,LOW,modifier,I see potential in Participa (Podemos) — evidence supports this ranking.
75,The Government Says,https://thegovernmentsays.com,44,31.4,13,0.95,LOW,LOW,modifier,I see potential in The Government Says — evidence supports this ranking.
76,MyActionCenter,https://www.myaction.center,43,32.4,11,0.98,LOW,LOW,modifier,MyActionCenter partially fits my campaign-focused criteria.
77,Pageviews Analysis,https://pageviews.wmcloud.org,43,33.3,10,0.98,LOW,LOW,modifier,Pageviews Analysis scores 43 through its constitutional fit. Modifiers boost further.
78,Parallel Parliament,https://www.parallelparliament.co.uk,43,34.3,9,0.97,LOW,LOW,criteria,Parallel Parliament partially fits my campaign-focused criteria.
79,Stanford Participatory Budgeting Platform,https://github.com/stanfordcdt/pb,43,30.4,13,0.95,LOW,LOW,modifier,Stanford Participatory Budgeting Platform scores 43 through its constitutional fit. Modifiers boost further.
80,Unpaywall Browser Extension,https://unpaywall.org/products/extension,43,28.4,15,0.95,LOW,LOW,modifier,Unpaywall Browser Extension scores 43 through its constitutional fit. Modifiers boost further.
81,Who Posted What?,https://whopostedwhat.com,43,38.2,5,0.93,LOW,LOW,criteria,Who Posted What? partially fits my campaign-focused criteria.
82,DISARM Frameworks,https://github.com/disarmfoundation/disarmframeworks,42,24.5,17,0.94,LOW,LOW,modifier,I see potential in DISARM Frameworks — evidence supports this ranking.
83,OpenCRVS,https://www.opencrvs.org,42,27.5,15,0.95,LOW,LOW,modifier,I see potential in OpenCRVS — evidence supports this ranking.
84,Parti,https://parti.xyz,42,24.5,17,0.98,LOW,LOW,modifier,Parti scores 42 through its constitutional fit. Modifiers boost further.
85,River Sentiment Dashboard,https://riversentiment.app,42,27.5,14,0.98,LOW,LOW,modifier,River Sentiment Dashboard partially fits my campaign-focused criteria.
86,VFRAME,https://vframe.io,42,27.5,15,0.95,LOW,LOW,modifier,VFRAME scores 42 through its constitutional fit. Modifiers boost further.
87,arXiv,https://arxiv.org,42,27.5,15,0.96,LOW,LOW,modifier,What draws me to arXiv is its civic potential — though direct campaign fit is limited.
88,Aragon,https://aragon.org,41,21.6,19,0.94,LOW,LOW,modifier,I see potential in Aragon — evidence supports this ranking.
89,CiviClick,https://civiclick.com,41,30.4,11,0.95,LOW,LOW,modifier,CiviClick scores 41 through its constitutional fit. Modifiers boost further.
90,Matrix,https://matrix.org,41,21.6,19,0.97,LOW,HIGH,modifier,I see potential in Matrix — evidence supports this ranking. Popularity risk HIGH.
91,Open Collective,https://opencollective.com,41,21.6,19,0.94,LOW,HIGH,modifier,I see potential in Open Collective — evidence supports this ranking. Popularity risk HIGH.
92,Tor Project,https://www.torproject.org,41,21.6,19,0.95,LOW,HIGH,modifier,Tor Project scores 41 through its constitutional fit. Modifiers boost further. Popularity risk HIGH.
93,Anna's Archive,https://annas-archive.pm,40,25.5,15,0.94,LOW,HIGH,modifier,Anna's Archive partially fits my campaign-focused criteria. Popularity risk HIGH.
94,Choose a License,https://choosealicense.com,40,24.5,15,0.96,LOW,LOW,modifier,Choose a License partially fits my campaign-focused criteria.
95,Citizen OS,https://citizenos.com/platform/,40,22.5,17,0.95,LOW,LOW,modifier,What draws me to Citizen OS is its civic potential — though direct campaign fit is limited.
96,Constitute Project,https://constituteproject.org,40,23.5,17,0.96,LOW,LOW,modifier,What draws me to Constitute Project is its civic potential — though direct campaign fit is limited.
97,Contracts for Data Collaboration,https://contractsfordatacollaboration.org,40,24.5,15,0.94,LOW,LOW,modifier,Contracts for Data Collaboration partially fits my campaign-focused criteria.
98,GovTrack.us,https://www.govtrack.us,40,20.6,19,0.96,LOW,LOW,modifier,What draws me to GovTrack.us is its civic potential — though direct campaign fit is limited.
99,Interoperable Deliberative Tools,https://metagov.org/projects/interop,40,22.5,17,0.96,LOW,LOW,modifier,Interoperable Deliberative Tools scores 40 through its constitutional fit. Modifiers boost further.
100,MapIt,https://mapit.mysociety.org,40,22.5,18,0.96,LOW,LOW,modifier,What draws me to MapIt is its civic potential — though direct campaign fit is limited.
101,Marks Out Of Tenancy,https://www.marksoutoftenancy.com,40,29.4,11,0.98,LOW,LOW,modifier,Marks Out Of Tenancy scores 40 through its constitutional fit. Modifiers boost further.
102,Members' Interests,https://membersinterests.org.uk,40,25.5,15,0.98,LOW,LOW,modifier,Members' Interests partially fits my campaign-focused criteria.
103,ORCID,https://orcid.org,40,24.5,15,0.98,LOW,LOW,modifier,ORCID partially fits my campaign-focused criteria.
104,Open Access – Transparency International UK,https://openaccess.transparency.org.uk,40,26.5,13,1.0,LOW,LOW,modifier,While I respect Open Access – Transparency International UK — evidence supports this ranking.
105,Organise,https://www.organise.org.uk,40,31.4,9,0.96,LOW,LOW,criteria,Organise partially fits my campaign-focused criteria.
106,Public Editor,https://www.publiceditor.io,40,29.4,11,0.93,LOW,LOW,modifier,While I respect Public Editor — evidence supports this ranking.
107,Remember to Vote,https://remembertovote.org.uk,40,30.4,10,0.98,LOW,LOW,modifier,What draws me to Remember to Vote is its civic potential — though direct campaign fit is limited.
108,Turbo Phonebank,https://turbophonebank.com,40,34.3,6,0.98,LOW,LOW,criteria,What draws me to Turbo Phonebank is its civic potential — though direct campaign fit is limited.
109,Watch Duty,https://www.watchduty.org,40,31.4,9,0.96,LOW,LOW,criteria,Watch Duty partially fits my campaign-focused criteria.
110,semanticClimate,https://semanticclimate.github.io,40,25.5,15,1.0,LOW,LOW,modifier,semanticClimate scores 40 through its constitutional fit. Modifiers boost further.
111,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,39,29.4,10,0.98,LOW,LOW,modifier,Abstract Wikipedia partially fits my campaign-focused criteria.
112,OpenOrigins,https://www.openorigins.com,39,30.4,9,0.96,LOW,LOW,criteria,OpenOrigins partially fits my campaign-focused criteria.
113,PostBug,https://postbug.com,39,33.3,6,0.98,LOW,LOW,criteria,PostBug scores 39 through its constitutional fit. Modifiers boost further.
114,Channel.org,https://channel.org,38,23.5,15,0.58,MEDIUM,LOW,modifier,Channel.org partially fits my campaign-focused criteria.
115,Conservative Party Funding,https://conservativepartyfunding.co.uk,38,32.4,6,0.98,LOW,LOW,criteria,While I respect Conservative Party Funding — evidence supports this ranking.
116,FixMyStreet,https://www.fixmystreet.com,38,18.6,19,0.97,LOW,LOW,modifier,While I respect FixMyStreet — evidence supports this ranking.
117,Open Digital Planning,https://opendigitalplanning.org/,38,18.6,19,1.0,LOW,LOW,modifier,While I respect Open Digital Planning — evidence supports this ranking.
118,Open Heart Mind (OHM),https://openheartmind.org,38,25.5,12,0.96,LOW,LOW,modifier,Open Heart Mind (OHM) scores 38 through its constitutional fit. Modifiers boost further.
119,Public Media Stack,https://publicmediastack.com,38,26.5,11,0.98,LOW,LOW,modifier,Public Media Stack partially fits my campaign-focused criteria.
120,Right To Know,https://right-to-know.org,38,29.4,9,0.98,LOW,LOW,modifier,Right To Know scores 38 through its constitutional fit. Modifiers boost further.
121,RightDD,https://www.rightsdd.com,38,27.5,10,0.98,LOW,LOW,modifier,While I respect RightDD — evidence supports this ranking.
122,Riseup,https://riseup.net,38,26.5,12,0.94,LOW,LOW,modifier,Riseup partially fits my campaign-focused criteria.
123,RxC Quadratic Voting,https://quadraticvote.radicalxchange.org,38,24.5,14,0.96,LOW,LOW,modifier,RxC Quadratic Voting scores 38 through its constitutional fit. Modifiers boost further.
124,SecureDrop,https://securedrop.org,38,18.6,19,0.95,LOW,HIGH,modifier,While I respect SecureDrop — evidence supports this ranking. Popularity risk HIGH.
125,Shareyourpaper.org,https://shareyourpaper.org,38,23.5,14,0.66,LOW,LOW,modifier,What draws me to Shareyourpaper.org is its civic potential — though direct campaign fit is limited.
126,Spacetube,https://spacetu.be,38,23.5,15,0.98,LOW,LOW,modifier,What draws me to Spacetube is its civic potential — though direct campaign fit is limited.
127,Tech Coops List,https://tech-coops.xyz,38,20.6,17,0.98,LOW,LOW,modifier,While I respect Tech Coops List — evidence supports this ranking.
128,Bonfire,https://bonfirenetworks.org/,37,19.6,17,0.94,LOW,LOW,modifier,Bonfire partially fits my campaign-focused criteria.
129,CKAN,https://ckan.org,37,20.6,16,0.95,LOW,LOW,modifier,While I respect CKAN — evidence supports this ranking.
130,Charity Digital Skills Report,https://charitydigitalskills.co.uk,37,28.4,9,0.98,LOW,LOW,modifier,Charity Digital Skills Report scores 37 through its constitutional fit. Modifiers boost further.
131,Dunadyne,https://dunadyne.org,37,29.4,8,1.0,LOW,LOW,criteria,What draws me to Dunadyne is its civic potential — though direct campaign fit is limited.
132,Fatebook,https://fatebook.io,37,20.6,16,0.96,LOW,LOW,modifier,What draws me to Fatebook is its civic potential — though direct campaign fit is limited.
133,AlgorithmWatch,https://algorithmwatch.org,36,15.7,20,1.0,LOW,LOW,modifier,While I respect AlgorithmWatch — evidence supports this ranking.
134,Granitt,https://granitt.io,36,24.5,11,0.98,LOW,LOW,modifier,While I respect Granitt — evidence supports this ranking.
135,Humanitarian Data Exchange,https://data.humdata.org,36,21.6,14,0.98,LOW,LOW,modifier,Humanitarian Data Exchange partially fits my campaign-focused criteria.
136,Mastodon,https://github.com/mastodon/mastodon,36,18.6,17,0.95,LOW,HIGH,modifier,Mastodon partially fits my campaign-focused criteria. Popularity risk HIGH.
137,NumFOCUS,https://numfocus.org,36,23.5,12,0.96,LOW,LOW,modifier,While I respect NumFOCUS — evidence supports this ranking.
138,Open Science Framework,https://osf.io,36,20.6,15,0.96,LOW,LOW,modifier,Open Science Framework scores 36 through its constitutional fit. Modifiers boost further.
139,Parliament Watch Uganda,https://parliamentwatch.ug/,36,24.5,12,0.98,LOW,LOW,modifier,Parliament Watch Uganda partially fits my campaign-focused criteria.
140,Populate Tools,https://github.com/populatetools,36,22.5,13,0.98,LOW,LOW,modifier,Populate Tools scores 36 through its constitutional fit. Modifiers boost further.
141,Spartacus,https://spartacus.app,36,25.5,11,0.98,LOW,LOW,modifier,While I respect Spartacus — evidence supports this ranking.
142,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,36,24.5,12,0.94,LOW,LOW,modifier,The DAO (Standard DAO Framework) partially fits my campaign-focused criteria.
143,WardWatch,https://wardwatch.uk,36,26.5,9,0.98,LOW,LOW,modifier,While I respect WardWatch — evidence supports this ranking.
144,WhatGov,https://www.whatgov.co.uk,36,22.5,13,0.98,LOW,LOW,modifier,WhatGov partially fits my campaign-focused criteria.
145,Worker Info Exchange,https://www.workerinfoexchange.org,36,24.5,12,0.98,LOW,LOW,modifier,Worker Info Exchange scores 36 through its constitutional fit. Modifiers boost further.
146,WriteToThem,https://www.writetothem.com,36,21.6,14,0.96,LOW,LOW,modifier,While I respect WriteToThem — evidence supports this ranking.
147,All Our Ideas,https://all-our-ideas.citizens.is,35,19.6,15,0.95,LOW,LOW,modifier,All Our Ideas partially fits my campaign-focused criteria.
148,ClimateAction.Tech,https://climateaction.tech,35,18.6,16,0.73,LOW,LOW,modifier,ClimateAction.Tech partially fits my campaign-focused criteria.
149,Fairbnb.coop,https://fairbnb.coop,35,21.6,13,0.87,LOW,LOW,modifier,While I respect Fairbnb.coop — evidence supports this ranking.
150,Kagi SlopStop,https://blog.kagi.com/slopstop,35,29.4,6,0.98,LOW,LOW,criteria,Kagi SlopStop partially fits my campaign-focused criteria.
151,The Engine Room Library,https://library.theengineroom.org,35,19.6,15,0.94,LOW,LOW,modifier,What draws me to The Engine Room Library is its civic potential — though direct campaign fit is limited.
152,adhocracy+,https://adhocracy.plus,35,17.6,17,0.97,LOW,LOW,modifier,adhocracy+ scores 35 through its constitutional fit. Modifiers boost further.
153,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,35,14.7,20,0.98,LOW,LOW,modifier,While I respect postcodes.io — evidence supports this ranking.
154,youtube-dl,https://github.com/ytdl-org/youtube-dl,35,19.6,15,0.94,LOW,HIGH,modifier,youtube-dl scores 35 through its constitutional fit. Modifiers boost further. Popularity risk HIGH.
155,Collaborative Data Patterns,https://collaborative-data.theodi.org,34,18.6,15,0.98,LOW,LOW,modifier,While I respect Collaborative Data Patterns — evidence supports this ranking.
156,CommunityRule,https://communityrule.info,34,16.7,17,0.96,LOW,LOW,modifier,What draws me to CommunityRule is its civic potential — though direct campaign fit is limited.
157,Coral,https://coralproject.net,34,18.6,15,0.95,LOW,LOW,modifier,Coral scores 34 through its constitutional fit. Modifiers boost further.
158,Cybersecurity for Democracy,https://cybersecurityfordemocracy.org,34,17.6,16,0.95,LOW,LOW,modifier,What draws me to Cybersecurity for Democracy is its civic potential — though direct campaign fit is limited.
159,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,34,21.6,12,0.98,LOW,LOW,modifier,Digital Account Management Toolkit scores 34 through its constitutional fit. Modifiers boost further.
160,FixMyBlock,https://fixmyblock.org,34,25.5,9,0.98,LOW,LOW,modifier,FixMyBlock partially fits my campaign-focused criteria.
161,Full Fact AI,https://fullfact.org/ai,34,25.5,8,0.94,LOW,LOW,modifier,What draws me to Full Fact AI is its civic potential — though direct campaign fit is limited.
162,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,34,21.6,12,0.96,LOW,LOW,modifier,Gapminder Worldview Upgrader scores 34 through its constitutional fit. Modifiers boost further.
163,Groupthink (OpenPolitics Votebot),https://github.com/openpolitics/groupthink,34,21.6,12,0.98,LOW,LOW,modifier,While I respect Groupthink (OpenPolitics Votebot) — evidence supports this ranking.
164,Idealist,https://idealist.org,34,23.5,11,0.96,LOW,LOW,modifier,Idealist partially fits my campaign-focused criteria.
165,Manifold Markets,https://manifold.markets,34,18.6,15,0.85,LOW,LOW,modifier,Manifold Markets partially fits my campaign-focused criteria.
166,Moral Machine,https://moralmachine.net,34,21.6,12,0.98,LOW,LOW,modifier,Moral Machine partially fits my campaign-focused criteria.
167,PoliMonitor,https://www.polimonitor.com,34,24.5,9,0.97,LOW,LOW,modifier,What draws me to PoliMonitor is its civic potential — though direct campaign fit is limited.
168,Wikidata,https://www.wikidata.org,34,22.5,12,0.95,LOW,LOW,modifier,While I respect Wikidata — evidence supports this ranking.
169,django-collaborative,https://github.com/propublica/django-collaborative,34,20.6,13,0.98,LOW,LOW,modifier,django-collaborative partially fits my campaign-focused criteria.
170,sourceAFRICA,https://sourceafrica.net,34,20.6,13,0.96,LOW,LOW,modifier,sourceAFRICA partially fits my campaign-focused criteria.
171,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,33,21.6,11,0.98,LOW,LOW,modifier,DAO Governance Surfaces partially fits my campaign-focused criteria.
172,Decidim,https://decidim.org,33,16.7,16,0.85,LOW,LOW,modifier,Decidim scores 33 through its constitutional fit. Modifiers boost further.
173,MP Watch,https://www.mpwatch.org,33,21.6,11,0.98,LOW,LOW,modifier,MP Watch scores 33 through its constitutional fit. Modifiers boost further.
174,Nym,https://nymtech.net,33,13.7,19,0.94,LOW,LOW,modifier,Nym partially fits my campaign-focused criteria.
175,Polis,https://github.com/compdemocracy/polis,33,13.7,19,0.95,LOW,LOW,modifier,What draws me to Polis is its civic potential — though direct campaign fit is limited.
176,Privacy Badger,https://privacybadger.org,33,13.7,19,0.96,LOW,LOW,modifier,Privacy Badger partially fits my campaign-focused criteria.
177,meet.coop,https://www.meet.coop,33,17.6,15,0.98,LOW,LOW,modifier,What draws me to meet.coop is its civic potential — though direct campaign fit is limited.
178,Agreement Engine,https://medium.com/metagov/introducing-the-agreement-engine-bf03b6d5c16c,32,16.7,15,0.91,LOW,LOW,modifier,Agreement Engine partially fits my campaign-focused criteria.
179,CharmVerse,https://charmverse.io/,32,13.7,18,0.96,LOW,LOW,modifier,What draws me to CharmVerse is its civic potential — though direct campaign fit is limited.
180,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,32,27.5,5,1.0,LOW,LOW,criteria,What draws me to Citizens Advice Tableau Public Profile is its civic potential — though direct campaign fit is limited.
181,Democracy Fund Open Source,https://www.dfos.com,32,18.6,13,0.98,LOW,LOW,modifier,What draws me to Democracy Fund Open Source is its civic potential — though direct campaign fit is limited.
